ID;SoortMisdrijf;SoortVerdachte;LeeftijdVerdachte;Perioden;TotaalAfdoeningenDoorDeRechter_1;MeervoudigeKamer_2;Politierechter_3;MeervoudigeEconomischeKamer_4;EconomischePolitierechter_5;Kinderrechter_6;Raadkamer_7;Onbekend_8;OnbevoegdverklaringVanDeRechter_9;NietOntvankelijkOpenbaarMinisterie_10;SchorsingVanDeVervolging_11;Vrijspraak_12;OntslagRechtsvervolgingMetMaatregel_13;OntslagRechtsvervolgingZonderMaatr_14;SchuldigverklaringMetStraf_15;SchuldigverklaringZonderStraf_16;Onbekend_17;ContradictoirVonnis_18;Verstekvonnis_19;ZonderRechtsmiddel_20;HogerBeroep_21;Cassatie_22;RechtsmiddelOnbekend_23
0;0;Totaal soort verdachte;Totaal leeftijd;1994;96510;9495;74895;75;6945;5100;0;0;30;565;0;3960;0;230;91210;520;0;60005;36510;87775;8720;15;0
1;0;Totaal soort verdachte;Totaal leeftijd;1995;102310;10290;80125;65;6385;5445;0;0;30;680;0;4130;0;260;96545;660;0;65000;37310;93570;8720;20;0
2;0;Totaal soort verdachte;Totaal leeftijd;1996;104615;11060;80175;120;6585;6680;0;0;40;605;5;4190;0;225;98845;715;0;69290;35325;95895;8710;15;0
3;0;Totaal soort verdachte;Totaal leeftijd;1997;106370;11225;81160;100;7320;6565;0;0;25;755;5;4130;0;220;100515;720;0;70240;36135;95815;9950;605;0
4;0;Totaal soort verdachte;Totaal leeftijd;1998;105030;11115;80590;80;6370;6875;0;0;45;480;0;4110;0;220;99540;640;0;69785;35245;93920;10860;250;0
5;0;Totaal soort verdachte;Totaal leeftijd;1999;111310;11115;87195;75;5725;7200;0;0;50;520;15;4655;0;285;105155;630;0;75265;36045;100145;11110;55;0
6;0;Totaal soort verdachte;Totaal leeftijd;2000;111030;11230;86460;85;5465;7785;0;0;45;650;10;4690;0;245;104760;630;0;73710;37325;101230;9790;15;0
7;0;Totaal soort verdachte;Totaal leeftijd;2001;112035;12350;87330;5;4940;7410;0;0;55;1000;5;4745;0;300;105240;685;0;73590;38445;100955;11080;0;0
8;0;Totaal soort verdachte;Totaal leeftijd;2002;116810;13655;89330;5;5245;8580;0;0;65;865;10;4640;0;295;110165;770;0;76250;40560;104755;12050;0;0
9;0;Totaal soort verdachte;Totaal leeftijd;2003;134630;14080;104935;0;6195;9420;0;0;55;840;10;5690;0;350;126800;885;0;87555;47075;120710;13920;0;0
