ID;RegioS;Inkomensgroepen;AantalHuishoudensAbsoluut_1;AantalHuishoudensIn_2
0;Nederland;Totaal huishouden;7041.8;100.0
1;Nederland;"1e 10%-groep; minder dan 10 600 euro";704.2;10.0
2;Nederland;"2e 10%-groep; 10 600 tot 13 800 euro";704.2;10.0
3;Nederland;"3e 10%-groep; 13 800 tot 16 700 euro";704.2;10.0
4;Nederland;"4e 10%-groep; 16 700 tot 19 800 euro";704.2;10.0
5;Nederland;"5e 10%-groep; 19 800 tot 23 400 euro";704.2;10.0
6;Nederland;"6e 10%-groep; 23 400 tot 27 400 euro";704.2;10.0
7;Nederland;"7e 10%-groep; 27 400 tot 31 900 euro";704.2;10.0
8;Nederland;"8e 10%-groep; 31 900 tot 37 600 euro";704.2;10.0
9;Nederland;"9e 10%-groep; 37 600 tot 46 900 euro";704.2;10.0
10;Nederland;"10e 10%-groep; meer dan 46 900  euro";704.2;10.0
11;Nederland;"1e 10%-groep; minder dan 10 600 euro";704.2;10.0
12;Nederland;"2e-4e 10%-groep; 10 600 tot 19 800 euro";2112.6;30.0
13;Nederland;"5e-8e 10%-groep; 19 800 tot 37 600 euro";2816.7;40.0
14;Nederland;"9e-10e 10%-groep; meer dan 37 600 euro";1408.4;20.0
15;Noord-Nederland;Totaal huishouden;742.2;100.0
16;Noord-Nederland;"1e 10%-groep; minder dan 10 600 euro";83.6;11.0
17;Noord-Nederland;"2e 10%-groep; 10 600 tot 13 800 euro";86.1;12.0
18;Noord-Nederland;"3e 10%-groep; 13 800 tot 16 700 euro";80.7;11.0
19;Noord-Nederland;"4e 10%-groep; 16 700 tot 19 800 euro";81.5;11.0
20;Noord-Nederland;"5e 10%-groep; 19 800 tot 23 400 euro";79.4;11.0
21;Noord-Nederland;"6e 10%-groep; 23 400 tot 27 400 euro";80.1;11.0
22;Noord-Nederland;"7e 10%-groep; 27 400 tot 31 900 euro";75.6;10.0
23;Noord-Nederland;"8e 10%-groep; 31 900 tot 37 600 euro";67.5;9.0
24;Noord-Nederland;"9e 10%-groep; 37 600 tot 46 900 euro";59.4;8.0
25;Noord-Nederland;"10e 10%-groep; meer dan 46 900  euro";48.3;7.0
26;Noord-Nederland;"1e 10%-groep; minder dan 10 600 euro";83.6;11.0
27;Noord-Nederland;"2e-4e 10%-groep; 10 600 tot 19 800 euro";248.2;33.0
28;Noord-Nederland;"5e-8e 10%-groep; 19 800 tot 37 600 euro";302.6;41.0
29;Noord-Nederland;"9e-10e 10%-groep; meer dan 37 600 euro";107.7;15.0
30;Oost-Nederland;Totaal huishouden;1403.8;100.0
31;Oost-Nederland;"1e 10%-groep; minder dan 10 600 euro";129.3;9.0
32;Oost-Nederland;"2e 10%-groep; 10 600 tot 13 800 euro";134.4;10.0
33;Oost-Nederland;"3e 10%-groep; 13 800 tot 16 700 euro";135.0;10.0
34;Oost-Nederland;"4e 10%-groep; 16 700 tot 19 800 euro";136.9;10.0
35;Oost-Nederland;"5e 10%-groep; 19 800 tot 23 400 euro";141.6;10.0
36;Oost-Nederland;"6e 10%-groep; 23 400 tot 27 400 euro";148.1;11.0
37;Oost-Nederland;"7e 10%-groep; 27 400 tot 31 900 euro";149.7;11.0
38;Oost-Nederland;"8e 10%-groep; 31 900 tot 37 600 euro";148.6;11.0
39;Oost-Nederland;"9e 10%-groep; 37 600 tot 46 900 euro";144.8;10.0
40;Oost-Nederland;"10e 10%-groep; meer dan 46 900  euro";135.3;10.0
41;Oost-Nederland;"1e 10%-groep; minder dan 10 600 euro";129.3;9.0
42;Oost-Nederland;"2e-4e 10%-groep; 10 600 tot 19 800 euro";406.3;29.0
43;Oost-Nederland;"5e-8e 10%-groep; 19 800 tot 37 600 euro";588.0;42.0
44;Oost-Nederland;"9e-10e 10%-groep; meer dan 37 600 euro";280.1;20.0
45;West-Nederland;Totaal huishouden;3389.2;100.0
46;West-Nederland;"1e 10%-groep; minder dan 10 600 euro";357.5;11.0
47;West-Nederland;"2e 10%-groep; 10 600 tot 13 800 euro";341.6;10.0
48;West-Nederland;"3e 10%-groep; 13 800 tot 16 700 euro";340.5;10.0
49;West-Nederland;"4e 10%-groep; 16 700 tot 19 800 euro";338.4;10.0
50;West-Nederland;"5e 10%-groep; 19 800 tot 23 400 euro";333.0;10.0
51;West-Nederland;"6e 10%-groep; 23 400 tot 27 400 euro";319.7;9.0
52;West-Nederland;"7e 10%-groep; 27 400 tot 31 900 euro";319.4;9.0
53;West-Nederland;"8e 10%-groep; 31 900 tot 37 600 euro";326.6;10.0
54;West-Nederland;"9e 10%-groep; 37 600 tot 46 900 euro";341.6;10.0
55;West-Nederland;"10e 10%-groep; meer dan 46 900  euro";371.1;11.0
56;West-Nederland;"1e 10%-groep; minder dan 10 600 euro";357.5;11.0
