ID;SBI;Grootteklasse;WerkzamePersonen_1;FullTimeWerknemers_2;Werknemers_3;PartTimeWerknemers_4;EigenarenGezinsledenFirmanten_5;Uitzendkrachten_6
0;521 t/m 525 Detailhandel in winkel;Alle bedrijven;667.9;348.0;85.1;49.5;13.2;1.8
1;521 t/m 525 Detailhandel in winkel;0 tot 10 werknemers;;;;;;
2;521 t/m 525 Detailhandel in winkel;10 en meer werknemers;;;;;;
3;521 t/m 525 Detailhandel in winkel;10 tot 100 werknemers;;;;;;
4;521 t/m 525 Detailhandel in winkel;100 en meer werknemers;;;;;;
5;5211 + 522 Food in winkel;Alle bedrijven;269.6;128.5;89.1;57.8;8.8;2.2
6;5211 + 522 Food in winkel;0 tot 10 werknemers;;;;;;
7;5211 + 522 Food in winkel;10 en meer werknemers;;;;;;
8;5211 + 522 Food in winkel;10 tot 100 werknemers;;;;;;
9;5211 + 522 Food in winkel;100 en meer werknemers;;;;;;
10;5211   Food alg. ass. (Supermarkten);Alle bedrijven;205.0;100.4;95.6;63.6;1.9;2.6
11;5211   Food alg. ass. (Supermarkten);0 tot 10 werknemers;10.5;4.4;71.5;43.9;27.7;0.9
12;5211   Food alg. ass. (Supermarkten);10 en meer werknemers;;;;;;
13;5211   Food alg. ass. (Supermarkten);10 tot 100 werknemers;55.8;28.9;97.5;67.1;1.8;0.7
14;5211   Food alg. ass. (Supermarkten);100 en meer werknemers;138.6;67.2;96.6;63.8;0.0;3.5
15;5221   Aardappelen, groenten en fruit;Alle bedrijven;11.5;4.7;67.0;41.5;31.8;1.3
16;5221   Aardappelen, groenten en fruit;0 tot 10 werknemers;9.8;3.7;62.7;40.0;36.7;0.7
17;5221   Aardappelen, groenten en fruit;10 en meer werknemers;1.7;1.0;91.9;50.3;3.1;5.0
18;5221   Aardappelen, groenten en fruit;10 tot 100 werknemers;;;;;;
19;5221   Aardappelen, groenten en fruit;100 en meer werknemers;;;;;;
20;5222.1 Vlees en vleeswaren (Slagers);Alle bedrijven;22.1;10.1;71.4;40.7;27.9;0.8
21;5222.1 Vlees en vleeswaren (Slagers);0 tot 10 werknemers;17.9;7.6;66.2;39.0;33.7;0.3
22;5222.1 Vlees en vleeswaren (Slagers);10 en meer werknemers;4.1;2.5;94.2;47.7;2.8;3.1
23;5222.1 Vlees en vleeswaren (Slagers);10 tot 100 werknemers;;;;;;
24;5222.1 Vlees en vleeswaren (Slagers);100 en meer werknemers;;;;;;
25;5225   Dranken (Slijters);Alle bedrijven;5.6;2.8;74.0;28.5;26.8;0.5
26;5225   Dranken (Slijters);0 tot 10 werknemers;2.9;1.0;47.2;20.1;51.7;0.9
27;5225   Dranken (Slijters);10 en meer werknemers;2.7;1.8;102.5;37.4;0.2;0.1
28;5225   Dranken (Slijters);10 tot 100 werknemers;;;;;;
29;5225   Dranken (Slijters);100 en meer werknemers;;;;;;
30;5226   Tabaksproducten;Alle bedrijven;5.0;1.7;52.2;28.7;46.9;0.8
31;5226   Tabaksproducten;0 tot 10 werknemers;;;;;;
32;5226   Tabaksproducten;10 en meer werknemers;;;;;;
33;5226   Tabaksproducten;10 tot 100 werknemers;;;;;;
34;5226   Tabaksproducten;100 en meer werknemers;;;;;;
35;5212+523 t/m 525 Non-food in winkel;Alle bedrijven;398.3;219.5;82.4;43.9;16.1;1.5
36;5212+523 t/m 525 Non-food in winkel;0 tot 10 werknemers;;;;;;
37;5212+523 t/m 525 Non-food in winkel;10 en meer werknemers;;;;;;
38;5212+523 t/m 525 Non-food in winkel;10 tot 100 werknemers;;;;;;
39;5212+523 t/m 525 Non-food in winkel;100 en meer werknemers;;;;;;
40;5241 + 5242 Textielgoederen;Alle bedrijven;91.0;48.3;86.4;53.3;12.9;0.7
41;5241 + 5242 Textielgoederen;0 tot 10 werknemers;37.5;15.5;69.0;44.8;30.7;0.2
42;5241 + 5242 Textielgoederen;10 en meer werknemers;53.5;32.8;98.6;59.2;0.4;1.1
43;5241 + 5242 Textielgoederen;10 tot 100 werknemers;;;;;;
44;5241 + 5242 Textielgoederen;100 en meer werknemers;;;;;;
45;5242.1 t/m 5242.4 Bovenkleding;Alle bedrijven;75.5;41.4;88.2;54.0;11.1;0.8
46;5242.1 t/m 5242.4 Bovenkleding;0 tot 10 werknemers;30.2;13.3;72.7;46.3;27.1;0.2
47;5242.1 t/m 5242.4 Bovenkleding;10 en meer werknemers;45.3;28.0;98.5;59.2;0.4;1.2
48;5242.1 t/m 5242.4 Bovenkleding;10 tot 100 werknemers;;;;;;
49;5242.1 t/m 5242.4 Bovenkleding;100 en meer werknemers;;;;;;
50;5242.7 Textielsupermarkten (alg.ass.);Alle bedrijven;7.8;3.9;90.7;54.8;9.0;0.4
51;5242.7 Textielsupermarkten (alg.ass.);0 tot 10 werknemers;;;;;;
52;5242.7 Textielsupermarkten (alg.ass.);10 en meer werknemers;;;;;;
53;5242.7 Textielsupermarkten (alg.ass.);10 tot 100 werknemers;;;;;;
54;5242.7 Textielsupermarkten (alg.ass.);100 en meer werknemers;;;;;;
55;5241+5242.5+5242.6 Overige textiel;Alle bedrijven;7.7;2.9;65.1;44.3;34.6;0.4
56;5241+5242.5+5242.6 Overige textiel;0 tot 10 werknemers;;;;;;
57;5241+5242.5+5242.6 Overige textiel;10 en meer werknemers;;;;;;
58;5241+5242.5+5242.6 Overige textiel;10 tot 100 werknemers;;;;;;
59;5241+5242.5+5242.6 Overige textiel;100 en meer werknemers;;;;;;
60;5243.1 Schoeisel;Alle bedrijven;20.4;10.2;89.9;60.4;9.7;0.4
61;5243.1 Schoeisel;0 tot 10 werknemers;6.1;2.6;67.8;42.3;32.3;0.0
62;5243.1 Schoeisel;10 en meer werknemers;14.3;7.6;99.3;68.0;0.2;0.5
63;5243.1 Schoeisel;10 tot 100 werknemers;;;;;;
64;5243.1 Schoeisel;100 en meer werknemers;;;;;;
65;5243.2 Lederwaren en reisartikelen;Alle bedrijven;1.5;0.7;76.7;49.9;22.2;1.1
66;5243.2 Lederwaren en reisartikelen;0 tot 10 werknemers;1.1;0.4;70.2;49.0;29.8;0.0
67;5243.2 Lederwaren en reisartikelen;10 en meer werknemers;0.4;0.3;94.0;52.1;2.0;4.0
68;5243.2 Lederwaren en reisartikelen;10 tot 100 werknemers;;;;;;
69;5243.2 Lederwaren en reisartikelen;100 en meer werknemers;;;;;;
70;5244.1 Meubels;Alle bedrijven;17.5;12.0;88.2;32.3;9.7;2.4
71;5244.1 Meubels;0 tot 10 werknemers;5.9;3.2;70.3;25.1;28.3;1.3
72;5244.1 Meubels;10 en meer werknemers;11.6;8.8;97.3;35.9;0.3;3.0
73;5244.1 Meubels;10 tot 100 werknemers;;;;;;
74;5244.1 Meubels;100 en meer werknemers;;;;;;
75;5244.2 Woningtextiel;Alle bedrijven;4.9;3.0;74.9;23.0;23.1;2.0
76;5244.2 Woningtextiel;0 tot 10 werknemers;;;;;;
77;5244.2 Woningtextiel;10 en meer werknemers;;;;;;
78;5244.2 Woningtextiel;10 tot 100 werknemers;;;;;;
79;5244.2 Woningtextiel;100 en meer werknemers;;;;;;
80;5244.3 Verlichtingsartikelen;Alle bedrijven;1.5;0.7;66.2;39.6;33.4;0.3
81;5244.3 Verlichtingsartikelen;0 tot 10 werknemers;;;;;;
82;5244.3 Verlichtingsartikelen;10 en meer werknemers;;;;;;
83;5244.3 Verlichtingsartikelen;10 tot 100 werknemers;;;;;;
84;5244.3 Verlichtingsartikelen;100 en meer werknemers;;;;;;
85;5244.4 Woninginrichting alg. assortiment;Alle bedrijven;10.0;6.5;83.8;29.4;14.2;2.0
86;5244.4 Woninginrichting alg. assortiment;0 tot 10 werknemers;;;;;;
87;5244.4 Woninginrichting alg. assortiment;10 en meer werknemers;;;;;;
88;5244.4 Woninginrichting alg. assortiment;10 tot 100 werknemers;;;;;;
89;5244.4 Woninginrichting alg. assortiment;100 en meer werknemers;;;;;;
90;5249.7 Vloerbedekking;Alle bedrijven;3.5;2.5;82.6;20.5;16.0;1.4
91;5249.7 Vloerbedekking;0 tot 10 werknemers;;;;;;
92;5249.7 Vloerbedekking;10 en meer werknemers;;;;;;
93;5249.7 Vloerbedekking;10 tot 100 werknemers;;;;;;
94;5249.7 Vloerbedekking;100 en meer werknemers;;;;;;
95;5244.5/6 Glas-, porcelein en aardewerk;Alle bedrijven;2.9;1.1;70.7;44.1;28.5;0.9
96;5244.5/6 Glas-, porcelein en aardewerk;0 tot 10 werknemers;2.1;0.6;61.8;45.2;37.7;0.5
97;5244.5/6 Glas-, porcelein en aardewerk;10 en meer werknemers;0.7;0.5;96.1;40.7;2.0;1.9
98;5244.5/6 Glas-, porcelein en aardewerk;10 tot 100 werknemers;;;;;;
99;5244.5/6 Glas-, porcelein en aardewerk;100 en meer werknemers;;;;;;
100;5244.7 Huishoudelijke art. alg. ass.;Alle bedrijven;15.8;8.9;89.7;54.6;8.0;2.3
101;5244.7 Huishoudelijke art. alg. ass.;0 tot 10 werknemers;4.1;1.6;68.0;41.3;30.2;1.8
102;5244.7 Huishoudelijke art. alg. ass.;10 en meer werknemers;11.7;7.3;97.3;59.2;0.2;2.5
103;5244.7 Huishoudelijke art. alg. ass.;10 tot 100 werknemers;;;;;;
104;5244.7 Huishoudelijke art. alg. ass.;100 en meer werknemers;;;;;;
105;5245+5249.4 Consumenten elektronica;Alle bedrijven;25.3;15.8;78.5;24.8;20.1;1.7
106;5245+5249.4 Consumenten elektronica;0 tot 10 werknemers;11.9;5.5;57.0;18.2;42.3;0.7
107;5245+5249.4 Consumenten elektronica;10 en meer werknemers;13.4;10.4;97.7;30.6;0.3;2.6
108;5245+5249.4 Consumenten elektronica;10 tot 100 werknemers;;;;;;
109;5245+5249.4 Consumenten elektronica;100 en meer werknemers;;;;;;
110;5245.1/2/3/6 Wit-, bruingoed, CD's e.d.;Alle bedrijven;19.2;12.7;80.9;24.4;18.0;1.5
111;5245.1/2/3/6 Wit-, bruingoed, CD's e.d.;0 tot 10 werknemers;8.1;3.9;57.6;16.4;42.1;0.4
112;5245.1/2/3/6 Wit-, bruingoed, CD's e.d.;10 en meer werknemers;11.0;8.7;98.2;30.3;0.3;2.2
113;5245.1/2/3/6 Wit-, bruingoed, CD's e.d.;10 tot 100 werknemers;;;;;;
114;5245.1/2/3/6 Wit-, bruingoed, CD's e.d.;100 en meer werknemers;;;;;;
115;5246 Doe-het-zelf artikelen;Alle bedrijven;34.7;22.2;83.8;33.6;13.4;3.0
116;5246 Doe-het-zelf artikelen;0 tot 10 werknemers;14.9;7.9;68.0;21.6;30.5;1.7
117;5246 Doe-het-zelf artikelen;10 en meer werknemers;19.8;14.3;95.8;42.7;0.4;4.0
118;5246 Doe-het-zelf artikelen;10 tot 100 werknemers;;;;;;
119;5246 Doe-het-zelf artikelen;100 en meer werknemers;;;;;;
120;5232.1 Drogisterij artikelen;Alle bedrijven;20.1;11.5;87.2;47.1;11.6;1.3
121;5232.1 Drogisterij artikelen;0 tot 10 werknemers;8.0;3.8;70.5;40.1;28.4;1.1
122;5232.1 Drogisterij artikelen;10 en meer werknemers;12.1;7.7;98.2;51.8;0.5;1.4
123;5232.1 Drogisterij artikelen;10 tot 100 werknemers;;;;;;
124;5232.1 Drogisterij artikelen;100 en meer werknemers;;;;;;
125;5232.2 Medische en orthopedische art.;Alle bedrijven;1.3;0.8;76.1;27.0;4.6;19.5
126;5232.2 Medische en orthopedische art.;0 tot 10 werknemers;;;;;;
127;5232.2 Medische en orthopedische art.;10 en meer werknemers;;;;;;
128;5232.2 Medische en orthopedische art.;10 tot 100 werknemers;;;;;;
129;5232.2 Medische en orthopedische art.;100 en meer werknemers;;;;;;
130;5233   Parfums en cosmetica;Alle bedrijven;2.7;1.6;89.0;46.8;10.4;0.5
131;5233   Parfums en cosmetica;0 tot 10 werknemers;;;;;;
132;5233   Parfums en cosmetica;10 en meer werknemers;;;;;;
133;5233   Parfums en cosmetica;10 tot 100 werknemers;;;;;;
134;5233   Parfums en cosmetica;100 en meer werknemers;;;;;;
135;5248.2 Optische artikelen;Alle bedrijven;7.8;5.6;83.2;23.1;15.4;1.5
136;5248.2 Optische artikelen;0 tot 10 werknemers;4.2;2.5;68.5;18.4;28.9;2.5
137;5248.2 Optische artikelen;10 en meer werknemers;3.7;3.1;99.7;28.4;0.1;0.3
138;5248.2 Optische artikelen;10 tot 100 werknemers;;;;;;
139;5248.2 Optische artikelen;100 en meer werknemers;;;;;;
140;5247.1 Boeken, tijdschriften en kranten;Alle bedrijven;7.5;4.4;83.1;38.2;15.8;1.1
141;5247.1 Boeken, tijdschriften en kranten;0 tot 10 werknemers;3.2;1.4;63.9;40.0;35.7;0.3
142;5247.1 Boeken, tijdschriften en kranten;10 en meer werknemers;4.2;3.0;97.6;36.9;0.8;1.7
143;5247.1 Boeken, tijdschriften en kranten;10 tot 100 werknemers;;;;;;
144;5247.1 Boeken, tijdschriften en kranten;100 en meer werknemers;;;;;;
145;5248.3 Uurwerken en juweliersartikelen;Alle bedrijven;8.4;4.0;73.1;41.7;26.4;0.7
146;5248.3 Uurwerken en juweliersartikelen;0 tot 10 werknemers;5.9;2.5;61.8;32.0;37.7;0.9
147;5248.3 Uurwerken en juweliersartikelen;10 en meer werknemers;2.6;1.5;99.2;63.8;0.6;0.2
148;5248.3 Uurwerken en juweliersartikelen;10 tot 100 werknemers;;;;;;
149;5248.3 Uurwerken en juweliersartikelen;100 en meer werknemers;;;;;;
150;5247.2/3 Boek en kantoorboekh;Alle bedrijven;6.0;3.1;76.3;44.1;18.9;4.8
151;5247.2/3 Boek en kantoorboekh;0 tot 10 werknemers;;;;;;
152;5247.2/3 Boek en kantoorboekh;10 en meer werknemers;;;;;;
153;5247.2/3 Boek en kantoorboekh;10 tot 100 werknemers;;;;;;
154;5247.2/3 Boek en kantoorboekh;100 en meer werknemers;;;;;;
155;5248.5 Fietsen;Alle bedrijven;7.4;3.0;52.1;14.6;47.6;0.6
156;5248.5 Fietsen;0 tot 10 werknemers;;;;;;
157;5248.5 Fietsen;10 en meer werknemers;;;;;;
158;5248.5 Fietsen;10 tot 100 werknemers;;;;;;
159;5248.5 Fietsen;100 en meer werknemers;;;;;;
160;5248.6/8 Sport- en kampeerartikelen;Alle bedrijven;9.9;5.3;81.0;41.9;18.3;0.7
161;5248.6/8 Sport- en kampeerartikelen;0 tot 10 werknemers;5.5;2.3;67.0;38.0;32.6;0.3
162;5248.6/8 Sport- en kampeerartikelen;10 en meer werknemers;4.4;3.1;98.6;46.9;0.3;1.1
163;5248.6/8 Sport- en kampeerartikelen;10 tot 100 werknemers;;;;;;
164;5248.6/8 Sport- en kampeerartikelen;100 en meer werknemers;;;;;;
