ID;ActiviteitWatersportclubs;Perioden;Watersportclubs_1;TotaalLeden_2;LedenJongerDan18Jaar_3;LedenVan18JaarOfOuder_4;GemiddeldLedental_5
0;Totaal hoofdactiviteiten watersportclubs;1997;950;170;8;92;180
1;Totaal hoofdactiviteiten watersportclubs;2000;1070;185;8;92;175
2;Totaal hoofdactiviteiten watersportclubs;2003;1080;184;9;91;170
3;Totaal hoofdactiviteiten watersportclubs;2006;1050;178;10;90;170
4;Totaal hoofdactiviteiten watersportclubs;2009;1105;183;10;90;165
5;Totaal hoofdactiviteiten watersportclubs;2012;1110;181;9;91;165
6;Totaal hoofdactiviteiten watersportclubs;2015;1125;181;8;92;160
7;Totaal hoofdactiviteiten watersportclubs;2018;1145;191;8;92;165
8;Totaal hoofdactiviteiten watersportclubs;2020;1140;195;9;91;170
9;Totaal hoofdactiviteiten watersportclubs;2021;1160;197;8;92;170
10;Kanovaren en/of roeien;1997;185;25;10;90;145
11;Kanovaren en/of roeien;2000;240;36;10;90;150
12;Kanovaren en/of roeien;2003;245;36;8;92;145
13;Kanovaren en/of roeien;2006;265;33;9;91;125
14;Kanovaren en/of roeien;2009;300;40;10;90;135
15;Kanovaren en/of roeien;2012;280;41;10;90;150
16;Kanovaren en/of roeien;2015;260;39;11;89;150
17;Kanovaren en/of roeien;2018;295;41;8;92;135
18;Kanovaren en/of roeien;2020;270;43;5;95;160
19;Kanovaren en/of roeien;2021;270;38;6;94;140
20;Zeilen en/of surfen;1997;210;30;8;92;155
21;Zeilen en/of surfen;2000;220;30;12;88;135
22;Zeilen en/of surfen;2003;225;30;15;85;135
23;Zeilen en/of surfen;2006;205;29;15;85;140
24;Zeilen en/of surfen;2009;230;32;13;87;140
25;Zeilen en/of surfen;2012;225;32;9;91;145
26;Zeilen en/of surfen;2015;195;31;8;92;160
27;Zeilen en/of surfen;2018;200;26;8;92;130
28;Zeilen en/of surfen;2020;205;30;12;88;150
29;Zeilen en/of surfen;2021;210;34;10;90;160
30;Zeilen en motorbootvaren;1997;250;50;4;96;185
31;Zeilen en motorbootvaren;2000;285;57;4;96;200
32;Zeilen en motorbootvaren;2003;290;63;5;95;220
33;Zeilen en motorbootvaren;2006;250;54;6;94;215
34;Zeilen en motorbootvaren;2009;235;47;6;94;200
35;Zeilen en motorbootvaren;2012;220;45;7;93;205
36;Zeilen en motorbootvaren;2015;235;38;5;95;165
37;Zeilen en motorbootvaren;2018;195;36;4;96;185
38;Zeilen en motorbootvaren;2020;185;31;3;97;170
39;Zeilen en motorbootvaren;2021;170;32;4;96;190
40;Motorbootvaren en/of waterskiën;1997;105;10;2;98;110
41;Motorbootvaren en/of waterskiën;2000;155;15;5;95;95
42;Motorbootvaren en/of waterskiën;2003;160;15;4;96;95
43;Motorbootvaren en/of waterskiën;2006;165;14;4;96;85
44;Motorbootvaren en/of waterskiën;2009;165;18;10;90;105
45;Motorbootvaren en/of waterskiën;2012;175;17;6;94;100
46;Motorbootvaren en/of waterskiën;2015;185;15;1;99;80
47;Motorbootvaren en/of waterskiën;2018;140;13;4;96;95
48;Motorbootvaren en/of waterskiën;2020;125;12;4;96;100
49;Motorbootvaren en/of waterskiën;2021;140;16;5;95;115
50;Overig of andere combinaties watersport;1997;200;55;11;89;275
51;Overig of andere combinaties watersport;2000;170;48;10;90;285
52;Overig of andere combinaties watersport;2003;165;41;12;88;255
53;Overig of andere combinaties watersport;2006;175;49;13;87;280
54;Overig of andere combinaties watersport;2009;175;47;11;89;270
55;Overig of andere combinaties watersport;2012;210;45;11;89;215
56;Overig of andere combinaties watersport;2015;255;58;11;89;230
57;Overig of andere combinaties watersport;2018;315;74;11;89;235
58;Overig of andere combinaties watersport;2020;355;79;12;88;225
59;Overig of andere combinaties watersport;2021;370;77;11;89;210
