ID;SectorBranchesSIC2008;Periods;Value_1;Price_2;Volume_3;Value_4;Price_5;Volume_6
0;Hotels, restaurants and bars;2005 January;81.5;86.8;93.9;;;
1;Hotels, restaurants and bars;2005 February;80.0;87.0;92.0;;;
2;Hotels, restaurants and bars;2005 March;89.0;87.3;101.9;;;
3;Hotels, restaurants and bars;2005 1st quarter;83.5;87.1;95.9;;;
4;Hotels, restaurants and bars;2005 April;98.9;87.6;112.9;;;
5;Hotels, restaurants and bars;2005 May;104.4;87.4;119.4;;;
6;Hotels, restaurants and bars;2005 June;105.7;88.1;120.0;;;
7;Hotels, restaurants and bars;2005 2nd quarter;103.0;87.7;117.4;;;
8;Hotels, restaurants and bars;2005 July;103.3;87.7;117.8;;;
9;Hotels, restaurants and bars;2005 August;102.1;87.3;117.0;;;
10;Hotels, restaurants and bars;2005 September;104.9;88.1;119.0;;;
11;Hotels, restaurants and bars;2005 3rd quarter;103.4;87.7;117.9;;;
12;Hotels, restaurants and bars;2005 October;102.4;88.1;116.2;;;
13;Hotels, restaurants and bars;2005 November;95.3;88.2;108.0;;;
14;Hotels, restaurants and bars;2005 December;97.5;88.0;110.8;;;
15;Hotels, restaurants and bars;2005 4th quarter;98.4;88.1;111.7;;;
16;Hotels, restaurants and bars;2005;97.1;87.7;110.7;;;
17;Hotels, restaurants and bars;2006 January;84.5;88.2;95.8;3.6;1.5;2.0
18;Hotels, restaurants and bars;2006 February;82.9;88.5;93.7;3.5;1.7;1.8
19;Hotels, restaurants and bars;2006 March;93.3;89.1;104.7;4.8;2.0;2.7
20;Hotels, restaurants and bars;2006 1st quarter;86.9;88.6;98.0;4.0;1.8;2.2
21;Hotels, restaurants and bars;2006 April;105.0;89.3;117.6;6.1;1.9;4.1
22;Hotels, restaurants and bars;2006 May;109.8;89.4;122.9;5.2;2.2;3.0
23;Hotels, restaurants and bars;2006 June;110.7;89.9;123.2;4.7;2.0;2.7
24;Hotels, restaurants and bars;2006 2nd quarter;108.5;89.5;121.2;5.3;2.0;3.2
25;Hotels, restaurants and bars;2006 July;107.4;89.3;120.2;4.0;1.8;2.1
26;Hotels, restaurants and bars;2006 August;107.0;89.1;120.0;4.8;2.1;2.6
27;Hotels, restaurants and bars;2006 September;111.8;90.3;123.8;6.5;2.5;4.0
28;Hotels, restaurants and bars;2006 3rd quarter;108.7;89.6;121.3;5.1;2.1;2.9
29;Hotels, restaurants and bars;2006 October;105.7;90.3;117.0;3.2;2.5;0.7
30;Hotels, restaurants and bars;2006 November;100.9;90.6;111.4;6.0;2.8;3.1
31;Hotels, restaurants and bars;2006 December;103.9;90.5;114.8;6.6;2.9;3.6
32;Hotels, restaurants and bars;2006 4th quarter;103.5;90.5;114.4;5.2;2.7;2.4
33;Hotels, restaurants and bars;2006;101.9;89.5;113.8;5.0;2.2;2.7
34;Hotels, restaurants and bars;2007 January;90.3;90.8;99.5;6.9;3.0;3.9
35;Hotels, restaurants and bars;2007 February;90.5;91.9;98.5;9.2;3.8;5.2
36;Hotels, restaurants and bars;2007 March;102.3;92.1;111.1;9.7;3.4;6.1
37;Hotels, restaurants and bars;2007 1st quarter;94.4;91.6;103.0;8.7;3.4;5.1
38;Hotels, restaurants and bars;2007 April;113.0;92.2;122.6;7.6;3.2;4.3
39;Hotels, restaurants and bars;2007 May;115.3;92.1;125.2;5.0;3.0;1.9
40;Hotels, restaurants and bars;2007 June;119.2;92.6;128.6;7.6;3.1;4.4
41;Hotels, restaurants and bars;2007 2nd quarter;115.8;92.3;125.5;6.7;3.1;3.5
42;Hotels, restaurants and bars;2007 July;111.0;91.7;121.0;3.4;2.7;0.7
43;Hotels, restaurants and bars;2007 August;109.9;91.8;119.7;2.8;3.0;-0.3
44;Hotels, restaurants and bars;2007 September;113.5;93.8;121.1;1.6;3.9;-2.2
45;Hotels, restaurants and bars;2007 3rd quarter;111.5;92.4;120.6;2.6;3.2;-0.6
46;Hotels, restaurants and bars;2007 October;109.4;93.6;116.8;3.5;3.6;-0.2
47;Hotels, restaurants and bars;2007 November;104.1;93.5;111.4;3.1;3.1;0.0
48;Hotels, restaurants and bars;2007 December;106.6;93.3;114.2;2.6;3.1;-0.5
49;Hotels, restaurants and bars;2007 4th quarter;106.7;93.5;114.1;3.1;3.3;-0.2
50;Hotels, restaurants and bars;2007;107.1;92.4;115.8;5.1;3.2;1.8
51;Hotels, restaurants and bars;2008 January;92.0;94.0;97.9;1.9;3.5;-1.6
52;Hotels, restaurants and bars;2008 February;95.3;94.4;101.0;5.3;2.7;2.5
53;Hotels, restaurants and bars;2008 March;103.4;95.0;108.8;1.0;3.2;-2.1
54;Hotels, restaurants and bars;2008 1st quarter;96.9;94.5;102.6;2.7;3.1;-0.4
55;Hotels, restaurants and bars;2008 April;112.7;96.3;117.0;-0.3;4.5;-4.5
56;Hotels, restaurants and bars;2008 May;120.6;96.2;125.3;4.6;4.5;0.1
57;Hotels, restaurants and bars;2008 June;115.5;96.0;120.4;-3.1;3.6;-6.4
58;Hotels, restaurants and bars;2008 2nd quarter;116.2;96.1;120.9;0.4;4.2;-3.6
59;Hotels, restaurants and bars;2008 July;109.9;95.5;115.1;-1.0;4.1;-4.9
60;Hotels, restaurants and bars;2008 August;111.8;95.2;117.5;1.7;3.6;-1.8
61;Hotels, restaurants and bars;2008 September;110.1;97.1;113.4;-3.0;3.5;-6.3
62;Hotels, restaurants and bars;2008 3rd quarter;110.6;95.9;115.3;-0.8;3.8;-4.4
63;Hotels, restaurants and bars;2008 October;108.8;97.1;112.1;-0.5;3.7;-4.1
64;Hotels, restaurants and bars;2008 November;101.6;97.2;104.6;-2.3;4.0;-6.1
65;Hotels, restaurants and bars;2008 December;100.1;96.8;103.4;-6.1;3.7;-9.4
66;Hotels, restaurants and bars;2008 4th quarter;103.5;97.0;106.7;-3.0;3.8;-6.5
67;Hotels, restaurants and bars;2008;106.8;95.9;111.4;-0.2;3.7;-3.8
68;Hotels, restaurants and bars;2009 January;89.1;96.9;91.9;-3.2;3.1;-6.1
69;Hotels, restaurants and bars;2009 February;88.5;97.3;91.0;-7.2;3.1;-10.0
70;Hotels, restaurants and bars;2009 March;96.4;97.7;98.6;-6.7;2.9;-9.4
71;Hotels, restaurants and bars;2009 1st quarter;91.3;97.3;93.8;-5.8;3.0;-8.5
72;Hotels, restaurants and bars;2009 April;107.5;98.0;109.7;-4.6;1.8;-6.3
73;Hotels, restaurants and bars;2009 May;112.6;97.9;115.0;-6.6;1.8;-8.2
74;Hotels, restaurants and bars;2009 June;108.8;98.3;110.7;-5.8;2.4;-8.1
75;Hotels, restaurants and bars;2009 2nd quarter;109.6;98.1;111.8;-5.7;2.0;-7.5
76;Hotels, restaurants and bars;2009 July;108.0;97.6;110.7;-1.7;2.2;-3.8
77;Hotels, restaurants and bars;2009 August;107.5;97.4;110.3;-3.9;2.3;-6.1
78;Hotels, restaurants and bars;2009 September;103.0;99.2;103.8;-6.4;2.2;-8.5
79;Hotels, restaurants and bars;2009 3rd quarter;106.2;98.1;108.3;-4.0;2.3;-6.1
80;Hotels, restaurants and bars;2009 October;103.3;98.7;104.7;-5.1;1.6;-6.6
81;Hotels, restaurants and bars;2009 November;94.5;99.2;95.3;-7.0;2.1;-8.9
82;Hotels, restaurants and bars;2009 December;95.1;98.6;96.5;-4.9;1.9;-6.7
83;Hotels, restaurants and bars;2009 4th quarter;97.7;98.8;98.8;-5.7;1.9;-7.4
84;Hotels, restaurants and bars;2009;101.2;98.1;103.2;-5.3;2.3;-7.4
85;Hotels, restaurants and bars;2010 January;83.7;99.0;84.5;-6.1;2.2;-8.1
86;Hotels, restaurants and bars;2010 February;83.0;99.2;83.6;-6.3;2.0;-8.1
87;Hotels, restaurants and bars;2010 March;92.2;99.6;92.5;-4.4;1.9;-6.2
88;Hotels, restaurants and bars;2010 1st quarter;86.3;99.3;86.9;-5.6;2.0;-7.4
89;Hotels, restaurants and bars;2010 April;104.5;100.0;104.4;-2.8;2.1;-4.8
90;Hotels, restaurants and bars;2010 May;107.3;100.0;107.2;-4.7;2.2;-6.8
91;Hotels, restaurants and bars;2010 June;105.8;100.1;105.7;-2.7;1.8;-4.5
92;Hotels, restaurants and bars;2010 2nd quarter;105.9;100.1;105.8;-3.4;2.0;-5.4
93;Hotels, restaurants and bars;2010 July;107.9;99.2;108.8;-0.1;1.6;-1.7
94;Hotels, restaurants and bars;2010 August;106.0;99.8;106.2;-1.3;2.5;-3.7
95;Hotels, restaurants and bars;2010 September;106.8;101.0;105.7;3.7;1.8;1.9
96;Hotels, restaurants and bars;2010 3rd quarter;106.9;100.0;106.9;0.7;2.0;-1.2
97;Hotels, restaurants and bars;2010 October;108.9;100.8;108.0;5.4;2.2;3.2
