ID;Sectoren;COFOGOverheidsfuncties;Perioden;Overheidsconsumptie_1
0;Overheid;18300;1995;72687
1;Overheid;18300;1996;72830
2;Overheid;18300;1997;76472
3;Overheid;18300;1998;80489
4;Overheid;18300;1999;85867
5;Overheid;18300;2000;91871
6;Overheid;18300;2001;101385
7;Overheid;18300;2002;110246
8;Overheid;18300;2003;116793
9;Overheid;18300;2004;118942
10;Overheid;18300;2005;121685
11;Overheid;18300;2006;135442
12;Overheid;18300;2007;143872
13;Overheid;18300;2008;152813
14;Overheid;18300;2009;164140
15;Overheid;18300;2010;166970
16;Overheid;18300;2011;167330
17;Overheid;18300;2012;170614
18;Overheid;10000;1995;5634
19;Overheid;10000;1996;5619
20;Overheid;10000;1997;5785
21;Overheid;10000;1998;6160
22;Overheid;10000;1999;6398
23;Overheid;10000;2000;6942
24;Overheid;10000;2001;7306
25;Overheid;10000;2002;8144
26;Overheid;10000;2003;8456
27;Overheid;10000;2004;8616
28;Overheid;10000;2005;8809
29;Overheid;10000;2006;8759
30;Overheid;10000;2007;9081
31;Overheid;10000;2008;9692
32;Overheid;10000;2009;10810
33;Overheid;10000;2010;11176
34;Overheid;10000;2011;10656
35;Overheid;10000;2012;10969
36;Overheid;10100;1995;3321
37;Overheid;10100;1996;3281
38;Overheid;10100;1997;3732
39;Overheid;10100;1998;4063
40;Overheid;10100;1999;4421
41;Overheid;10100;2000;5018
42;Overheid;10100;2001;5204
43;Overheid;10100;2002;5730
44;Overheid;10100;2003;5979
45;Overheid;10100;2004;5888
46;Overheid;10100;2005;6072
47;Overheid;10100;2006;6127
48;Overheid;10100;2007;6345
49;Overheid;10100;2008;6684
50;Overheid;10100;2009;7082
51;Overheid;10100;2010;7275
52;Overheid;10100;2011;6722
53;Overheid;10100;2012;6621
54;Overheid;10200;1995;252
55;Overheid;10200;1996;269
56;Overheid;10200;1997;148
57;Overheid;10200;1998;364
58;Overheid;10200;1999;146
59;Overheid;10200;2000;158
60;Overheid;10200;2001;154
61;Overheid;10200;2002;154
62;Overheid;10200;2003;147
63;Overheid;10200;2004;164
64;Overheid;10200;2005;183
65;Overheid;10200;2006;206
66;Overheid;10200;2007;225
67;Overheid;10200;2008;233
68;Overheid;10200;2009;241
69;Overheid;10200;2010;271
70;Overheid;10200;2011;294
71;Overheid;10200;2012;309
72;Overheid;10300;1995;299
73;Overheid;10300;1996;289
74;Overheid;10300;1997;244
75;Overheid;10300;1998;259
76;Overheid;10300;1999;229
77;Overheid;10300;2000;179
78;Overheid;10300;2001;287
79;Overheid;10300;2002;304
80;Overheid;10300;2003;378
81;Overheid;10300;2004;429
82;Overheid;10300;2005;526
83;Overheid;10300;2006;530
84;Overheid;10300;2007;652
85;Overheid;10300;2008;720
86;Overheid;10300;2009;833
87;Overheid;10300;2010;954
88;Overheid;10300;2011;970
89;Overheid;10300;2012;961
90;Overheid;10400;1995;952
91;Overheid;10400;1996;997
92;Overheid;10400;1997;1007
93;Overheid;10400;1998;990
94;Overheid;10400;1999;1082
95;Overheid;10400;2000;1135
96;Overheid;10400;2001;1180
97;Overheid;10400;2002;1210
98;Overheid;10400;2003;1251
99;Overheid;10400;2004;1300
100;Overheid;10400;2005;1319
101;Overheid;10400;2006;1325
102;Overheid;10400;2007;1344
103;Overheid;10400;2008;1448
104;Overheid;10400;2009;1522
105;Overheid;10400;2010;1548
106;Overheid;10400;2011;1604
107;Overheid;10400;2012;1659
108;Overheid;10500;1995;22
109;Overheid;10500;1996;20
110;Overheid;10500;1997;22
111;Overheid;10500;1998;23
112;Overheid;10500;1999;24
113;Overheid;10500;2000;27
114;Overheid;10500;2001;28
115;Overheid;10500;2002;29
116;Overheid;10500;2003;16
117;Overheid;10500;2004;16
118;Overheid;10500;2005;12
119;Overheid;10500;2006;10
120;Overheid;10500;2007;11
121;Overheid;10500;2008;11
122;Overheid;10500;2009;11
123;Overheid;10500;2010;14
124;Overheid;10500;2011;11
125;Overheid;10500;2012;6
126;Overheid;10600;1995;22
127;Overheid;10600;1996;-19
128;Overheid;10600;1997;20
129;Overheid;10600;1998;19
130;Overheid;10600;1999;18
131;Overheid;10600;2000;50
132;Overheid;10600;2001;18
133;Overheid;10600;2002;63
134;Overheid;10600;2003;15
135;Overheid;10600;2004;14
136;Overheid;10600;2005;50
137;Overheid;10600;2006;92
138;Overheid;10600;2007;137
139;Overheid;10600;2008;140
140;Overheid;10600;2009;92
141;Overheid;10600;2010;49
142;Overheid;10600;2011;9
143;Overheid;10600;2012;11
144;Overheid;10700;1995;766
145;Overheid;10700;1996;782
146;Overheid;10700;1997;612
147;Overheid;10700;1998;442
148;Overheid;10700;1999;478
149;Overheid;10700;2000;375
150;Overheid;10700;2001;435
151;Overheid;10700;2002;654
152;Overheid;10700;2003;670
153;Overheid;10700;2004;805
154;Overheid;10700;2005;647
155;Overheid;10700;2006;469
156;Overheid;10700;2007;367
157;Overheid;10700;2008;456
158;Overheid;10700;2009;1029
159;Overheid;10700;2010;1065
160;Overheid;10700;2011;1046
161;Overheid;10700;2012;1402
162;Overheid;10800;1995;0
163;Overheid;10800;1996;0
164;Overheid;10800;1997;0
165;Overheid;10800;1998;0
166;Overheid;10800;1999;0
167;Overheid;10800;2000;0
168;Overheid;10800;2001;0
169;Overheid;10800;2002;0
170;Overheid;10800;2003;0
171;Overheid;10800;2004;0
172;Overheid;10800;2005;0
173;Overheid;10800;2006;0
174;Overheid;10800;2007;0
