ID;Plaatsnamen;Gemeentecode_1;Gemeentenaam_2;EGGCode_3;EGGNaam_4;Provinciecode_5;ProvincienaamAfkorting_6;PlaatsnaamPTTWoonplaatsnaam_7;PlaatsnaamGemeentenaam_8;Plaatsnaam_9
0;1;1680;Aa en Hunze                    ;16;Overige gemeenten Drentse Veenkoloniën  ;22;D.  ;Nee;Ja ;Aa en Hunze                    
1;2;1724;Bergeijk                       ;116;Kempenland                              ;30;NB. ;Nee;Nee;Aa, De                         
2;3;141;Almelo                         ;24;Overige gemeenten in Twente             ;23;O.  ;Ja ;Nee;Aadorp                         
3;4;373;Bergen (NH.)                   ;55;Noord-Kennemerland                      ;27;NH. ;Nee;Nee;Aagtdorp                       
4;5;717;Veere                          ;96;Overige gemeenten Walcheren             ;29;Z.  ;Ja ;Nee;Aagtekerke                     
5;6;951;Nuth                           ;125;Oostelijke Mijnstreek                   ;31;L.  ;Nee;Nee;Aalbeek                        
6;7;738;Aalburg                        ;105;Land van Altena                         ;30;NB. ;Nee;Ja ;Aalburg                        
7;8;109;Coevorden                      ;18;Zuiddrents randgebied                   ;22;D.  ;Ja ;Nee;Aalden                         
8;9;141;Almelo                         ;24;Overige gemeenten in Twente             ;23;O.  ;Nee;Nee;Aalderinkshoek                 
9;10;907;Gennep                         ;120;Noord-Limburg                           ;31;L.  ;Nee;Nee;Aaldonk                        
10;11;358;Aalsmeer                       ;62;Noordhollandse Meerlanden               ;27;NH. ;Ja ;Ja ;Aalsmeer                       
11;12;394;Haarlemmermeer                 ;62;Noordhollandse Meerlanden               ;27;NH. ;Ja ;Nee;Aalsmeerderbrug                
12;15;866;Waalre                         ;114;Randgebied Eindhoven                    ;30;NB. ;Nee;Nee;Aalst                          
13;14;297;Zaltbommel                     ;42;Bommelerwaard                           ;25;Gld.;Ja ;Nee;Aalst                          
14;13;214;Buren                          ;37;Oostelijke Betuwe                       ;25;Gld.;Nee;Nee;Aalst                          
15;16;826;Oosterhout                     ;104;Gebied om Breda                         ;30;NB. ;Nee;Nee;Aalst, Ter                     
16;18;58;Dongeradeel                    ;12;Friese bouwstreek                       ;21;F.  ;Ja ;Nee;Aalsum                         
17;17;56;Zuidhorn                       ;1;Groninger Hoogeland en N. Westerkwartier;20;Gr. ;Nee;Nee;Aalsum                         
18;19;197;Aalten                         ;30;Overige gemeenten oostelijke Achterhoek ;25;Gld.;Ja ;Ja ;Aalten                         
19;20;1734;Overbetuwe                     ;37;Oostelijke Betuwe                       ;25;Gld.;Nee;Nee;Aam                            
20;21;848;Son en Breugel                 ;114;Randgebied Eindhoven                    ;30;NB. ;Nee;Nee;Aanschot                       
21;22;873;Woensdrecht                    ;102;Bergen op Zoom, Roosendaal en omgeving  ;30;NB. ;Nee;Nee;Aanwas                         
22;23;480;Ter Aar                        ;72;Noordelijke veenstreek in Zuid-Holland  ;28;ZH. ;Ja ;Ja ;Aar, Ter                       
23;24;106;Assen                          ;17;Drentse zandgronden                     ;22;D.  ;Ja ;Nee;Aard, Ter                      
24;25;480;Ter Aar                        ;72;Noordelijke veenstreek in Zuid-Holland  ;28;ZH. ;Nee;Nee;Aardam                         
25;26;1714;Sluis                          ;98;West-Zeeuwsch-Vlaanderen                ;29;Z.  ;Ja ;Nee;Aardenburg                     
26;27;200;Apeldoorn                      ;33;Apeldoorn                               ;25;Gld.;Nee;Nee;Aardhuis                       
27;28;484;Alphen aan den Rijn            ;73;Rijnstreek Zuid-Holland                 ;28;ZH. ;Ja ;Nee;Aarlanderveen                  
28;30;1659;Laarbeek                       ;115;Industriegebied Helmond                 ;30;NB. ;Nee;Nee;Aarle                          
29;29;753;Best                           ;114;Randgebied Eindhoven                    ;30;NB. ;Nee;Nee;Aarle                          
30;31;1659;Laarbeek                       ;115;Industriegebied Helmond                 ;30;NB. ;Ja ;Nee;Aarle-Rixtel                   
31;32;432;Opmeer                         ;54;Midden- en Oostelijk West-Friesland     ;27;NH. ;Ja ;Nee;Aartswoud                      
32;33;1507;Horst aan de Maas              ;120;Noord-Limburg                           ;31;L.  ;Nee;Nee;Aast                           
33;34;1711;Echt-Susteren                  ;122;Overig Midden-Limburg ten oosten v. Maas;31;L.  ;Nee;Nee;Aasterberg                     
34;35;683;Wymbritseradiel                ;10;Fries weidegebied                       ;21;F.  ;Ja ;Nee;Abbega                         
35;36;683;Wymbritseradiel                ;10;Fries weidegebied                       ;21;F.  ;Nee;Nee;Abbegaesterketting             
36;37;529;Noorder-Koggenland             ;54;Midden- en Oostelijk West-Friesland     ;27;NH. ;Ja ;Nee;Abbekerk                       
37;38;664;Goes                           ;97;Noord- en Zuid-Beveland                 ;29;Z.  ;Nee;Nee;Abbekinderen                   
38;39;568;Bernisse                       ;91;Voorne-Putten en Rozenburg              ;28;ZH. ;Ja ;Nee;Abbenbroek                     
39;40;394;Haarlemmermeer                 ;62;Noordhollandse Meerlanden               ;27;NH. ;Ja ;Nee;Abbenes                        
40;41;476;Zijpe                          ;52;Overige gemeenten Kop van Noord-Holland ;27;NH. ;Nee;Nee;Abbestede                      
