ID;Perioden;TotaalPersonen_1;AlleenstaandePersonen_2;SamenwonendePersonen_3;ThuiswonendeKinderen_4;Eenouders_5;OverigePersonen_6;InInstitutieWonendePersonen_7;TotaalHuishoudens_8;Eenpersoonshuishouden_9;Paren_10;Eenouders_11;OverigeHuishoudens_12;GemiddeldeHuishoudensgrootte_13;TotaalAantalHuishoudens_14;Eenpersoonshuishouden_15;TotaalMeerpersoonshuishoudens_16;k_2Personen_17;k_3Personen_18;k_4Personen_19;k_5OfMeerPersonen_20;TotaalParen_21;GeenKinderen_22;k_1Kind_23;k_2Kinderen_24;k_3OfMeerKinderen_25;TotaalEenouderhuishoudens_26;k_1Kind_27;k_2Kinderen_28;k_3OfMeerKinderen_29;ReferentiepersonenMetKinderen_30;JongsteKind02Jaar_31;JongsteKind35Jaar_32;JongsteKind611Jaar_33;JongsteKind1217Jaar_34;JongsteKind18JaarEnOuder_35
0;2005;16294594;2471723;8273852;4626701;445511;266400;210423;7095784;2471714;4129415;445513;49142;2.3;7095783;2471714;4624069;2300126;904081;976555;443307;4129414;2036630;752785;936597;403402;445511;263083;135636;46792;2538298;533900;346695;558556;511290;587859
1;2006;16328172;2519555;8258575;4620740;455336;268371;205605;7145937;2519552;4121787;455330;49268;2.28;7145935;2519552;4626383;2299438;901143;983841;441961;4121789;2029455;747386;943397;401551;455327;269884;137991;47452;2547662;522918;351781;561752;521206;590009
2;2007;16360826;2566293;8246113;4613058;464620;270388;200368;7195906;2566289;4115553;464621;49443;2.27;7195910;2566289;4629621;2300876;899288;989927;439530;4115556;2024507;743320;949096;398633;464622;276525;140095;48002;2555669;510000;350063;572208;531592;591805
3;2008;16393749;2612671;8236100;4604078;473562;272490;194868;7246446;2612664;4110536;473552;49694;2.26;7246449;2612664;4633785;2304739;897585;995126;436335;4110537;2021973;739607;954010;394947;473550;283102;141987;48461;2562115;499962;346134;583338;536472;596211
4;2009;16427526;2658821;8229401;4593486;481992;274656;189205;7297976;2658828;4107200;481990;49958;2.25;7297977;2658828;4639149;2310332;896689;999450;432678;4107200;2021256;736963;958181;390800;481990;289586;143618;48786;2567937;491562;338439;597039;534327;606570
5;2010;16462467;2704704;8225883;4581512;489986;276874;183548;7350400;2704711;4105435;489990;50264;2.24;7350404;2704711;4645693;2318542;896440;1002553;428158;4105435;2023178;735225;961205;385827;489991;296002;144982;49007;2572247;485215;328255;609959;531627;617192
6;2011;16498228;2750019;8224990;4568520;497663;279054;178015;7403279;2750017;4104993;497676;50593;2.23;7403280;2750017;4653263;2329275;896346;1004325;423317;4104990;2027621;733828;962939;380602;497677;302382;146162;49133;2575047;481162;320293;612371;534983;626238
7;2012;16534263;2794419;8226438;4554569;504996;281126;172721;7456035;2794432;4105713;504999;50891;2.22;7456037;2794432;4661605;2342339;896013;1005105;418148;4105711;2034488;732394;963723;375106;505005;308686;147150;49169;2576222;478434;313509;611185;537745;635350
8;2013;16570290;2837836;8229654;4539945;512060;283010;167791;7508346;2837833;4107321;512048;51144;2.21;7508351;2837833;4670518;2357657;894977;1004975;412909;4107321;2043656;730458;963609;369598;512051;314956;147942;49153;2575713;476403;308395;600287;547493;643135
9;2014;16605815;2880023;8233622;4525286;518843;284698;163341;7559519;2880018;4109305;518832;51364;2.2;7559528;2880018;4679510;2374774;893323;1004117;407296;4109308;2054706;728052;962797;363753;518837;321142;148603;49092;2573432;475232;305127;589273;558907;644894
10;2015;16640371;2920551;8238017;4510804;525315;286178;159507;7608919;2920555;4111504;525304;51556;2.19;7608933;2920555;4688378;2392722;891024;1002895;401737;4111503;2066714;725149;961644;357996;525312;327182;149126;49004;2570094;475014;302647;575312;573271;643849
11;2016;16673914;2959926;8242116;4496500;531493;287464;156417;7656659;2959913;4113551;531492;51703;2.18;7656676;2959913;4696763;2410538;888312;1001583;396330;4113552;2078781;721934;960417;352420;531504;333051;149559;48894;2566263;475847;300410;560251;586641;643111
12;2017;16706544;2998623;8245334;4482325;537370;288688;154209;7703006;2998612;4115166;537373;51855;2.17;7703027;2998612;4704415;2427247;885164;1000655;391349;4115164;2089905;718386;959584;347289;537390;338725;149891;48774;2562632;477447;298688;549170;589290;648042
13;2018;16738349;3036607;8247322;4468463;543014;289936;153013;7747798;3036600;4116159;543010;52029;2.16;7747816;3036600;4711216;2442939;881911;999718;386648;4116163;2100188;714793;958738;342444;543027;344208;150161;48658;2558982;479648;297610;539888;588223;653615
14;2019;16769470;3073961;8248014;4454906;548428;291186;152977;7791089;3073959;4116502;548429;52199;2.15;7791110;3073959;4717151;2457158;878530;998906;382557;4116504;2109204;711113;957983;338204;548447;349489;150390;48568;2555730;482324;297323;532379;577563;666140
15;2020;16799827;3110141;8247220;4442137;553710;292374;154252;7832313;3110130;4116109;553711;52363;2.14;7832335;3110130;4722205;2471098;875107;997304;378696;4116110;2118149;707367;956379;334215;553731;354553;150652;48526;2551672;485290;297600;527172;566681;674930
16;2021;16829205;3145221;8245053;4430349;558854;293435;156293;7871555;3145223;4115028;558841;52463;2.14;7871579;3145223;4726356;2484497;871146;995359;375354;4115027;2126816;703079;954372;330760;558865;359402;150923;48540;2547052;488359;298409;523261;552873;684150
17;2022;16857482;3179256;8241697;4419711;563982;294372;158465;7909124;3179256;4113344;563983;52541;2.13;7909149;3179256;4729893;2498077;866169;993025;372622;4113345;2135794;697708;951915;327928;564007;364133;151265;48609;2541533;491317;299727;520265;538021;692203
18;2023;16884468;3211881;8237071;4410493;569074;295156;160795;7944598;3211884;4111042;569072;52600;2.13;7944622;3211884;4732738;2512378;859982;990087;370291;4111043;2145700;691013;948812;325518;569095;368631;151736;48728;2534415;494069;301427;518258;527057;693604
19;2024;16909935;3243094;8230884;4402843;574229;295582;163302;7977782;3243092;4107935;574236;52519;2.12;7977804;3243092;4734712;2526504;852312;987260;368636;4107938;2155634;682757;945800;323747;574261;373038;152307;48916;2526538;496538;303343;517345;517890;691420
20;2025;16933703;3272478;8222953;4396979;579430;295868;165997;8008304;3272487;4103967;579424;52426;2.11;8008332;3272487;4735845;2540035;843432;984789;367589;4103966;2165105;673165;943132;322564;579448;377293;153004;49151;2518286;498712;305284;517717;510465;686109
21;2026;16955577;3300077;8213011;4393071;584747;295807;168865;8036095;3300080;4099007;584739;52269;2.11;8036125;3300080;4736045;2552510;833639;982893;367003;4099007;2173561;662571;941006;321869;584766;381504;153814;49448;2510185;500592;307178;519043;505273;678101
