ID;EnergyIntensitiesServicesFloorArea;FloorArea;AverageConsumptionOfNaturalGas_1;AverageConsumptionOfElectricity_2
0;Retail with cooling;0 to 250 m2;18.7;231.8
1;Retail with cooling;250 to 500 m2;17.2;174.8
2;Retail with cooling;500 to 1 000 m2;13.7;243.6
3;Retail with cooling;1 000 to 2 500 m2;11.1;279.7
4;Retail with cooling;2 500 to 5 000 m2;7.3;201.8
5;Retail with cooling;5 000 to 10 000 m2;;
6;Retail with cooling;10 000 to 25 000 m2;;
7;Retail without cooling;0 to 250 m2;17.0;105.2
8;Retail without cooling;250 to 500 m2;11.9;84.8
9;Retail without cooling;500 to 1 000 m2;8.8;70.6
10;Retail without cooling;1 000 to 2 500 m2;6.9;76.1
11;Retail without cooling;2 500 to 5 000 m2;6.2;70.0
12;Retail without cooling;5 000 to 10 000 m2;5.8;64.7
13;Retail without cooling;10 000 to 25 000 m2;6.4;74.1
14;Wholesale with cooling;0 to 250 m2;18.1;95.6
15;Wholesale with cooling;250 to 500 m2;12.3;83.8
16;Wholesale with cooling;500 to 1 000 m2;9.0;126.2
17;Wholesale with cooling;1 000 to 2 500 m2;8.2;178.9
18;Wholesale with cooling;2 500 to 5 000 m2;7.0;139.5
19;Wholesale with cooling;5 000 to 10 000 m2;;173.8
20;Wholesale with cooling;10 000 to 25 000 m2;;
21;Wholesale without cooling;0 to 250 m2;16.6;64.9
22;Wholesale without cooling;250 to 500 m2;11.9;50.9
23;Wholesale without cooling;500 to 1 000 m2;8.9;46.1
24;Wholesale without cooling;1 000 to 2 500 m2;7.3;47.3
25;Wholesale without cooling;2 500 to 5 000 m2;6.7;50.0
26;Wholesale without cooling;5 000 to 10 000 m2;6.0;53.7
27;Wholesale without cooling;10 000 to 25 000 m2;6.6;69.8
28;Motor vehicle companies;0 to 250 m2;17.7;60.3
29;Motor vehicle companies;250 to 500 m2;11.0;44.2
30;Motor vehicle companies;500 to 1 000 m2;8.8;42.8
31;Motor vehicle companies;1 000 to 2 500 m2;8.5;46.9
32;Motor vehicle companies;2 500 to 5 000 m2;8.0;51.9
33;Motor vehicle companies;5 000 to 10 000 m2;7.6;52.7
34;Motor vehicle companies;10 000 to 25 000 m2;;
35;Motor vehicle repair services;0 to 250 m2;16.3;61.7
36;Motor vehicle repair services;250 to 500 m2;12.1;52.3
37;Motor vehicle repair services;500 to 1 000 m2;12.1;53.0
38;Motor vehicle repair services;1 000 to 2 500 m2;12.4;55.6
39;Motor vehicle repair services;2 500 to 5 000 m2;9.2;52.9
40;Motor vehicle repair services;5 000 to 10 000 m2;;
41;Motor vehicle repair services;10 000 to 25 000 m2;;
42;Food and Accommodation: bar;0 to 250 m2;22.4;146.0
43;Food and Accommodation: bar;250 to 500 m2;17.4;117.5
44;Food and Accommodation: bar;500 to 1 000 m2;14.4;90.8
45;Food and Accommodation: bar;1 000 to 2 500 m2;10.9;73.2
46;Food and Accommodation: bar;2 500 to 5 000 m2;;
47;Food and Accommodation: bar;5 000 to 10 000 m2;;
48;Food and Accommodation: bar;10 000 to 25 000 m2;;
49;Food and Accommodation: restaurant;0 to 250 m2;37.4;227.8
50;Food and Accommodation: restaurant;250 to 500 m2;33.1;184.2
51;Food and Accommodation: restaurant;500 to 1 000 m2;26.5;149.5
52;Food and Accommodation: restaurant;1 000 to 2 500 m2;21.3;127.3
53;Food and Accommodation: restaurant;2 500 to 5 000 m2;;
54;Food and Accommodation: restaurant;5 000 to 10 000 m2;;
55;Food and Accommodation: restaurant;10 000 to 25 000 m2;;
56;Food and Accommodation: snackbar;0 to 250 m2;38.1;265.3
57;Food and Accommodation: snackbar;250 to 500 m2;28.7;172.5
58;Food and Accommodation: snackbar;500 to 1 000 m2;24.3;201.5
59;Food and Accommodation: snackbar;1 000 to 2 500 m2;;179.4
60;Food and Accommodation: snackbar;2 500 to 5 000 m2;;
61;Food and Accommodation: snackbar;5 000 to 10 000 m2;;
62;Food and Accommodation: snackbar;10 000 to 25 000 m2;;
63;Food and Accommodation: hotel;0 to 250 m2;22.8;64.9
64;Food and Accommodation: hotel;250 to 500 m2;22.6;71.5
65;Food and Accommodation: hotel;500 to 1 000 m2;21.9;85.1
66;Food and Accommodation: hotel;1 000 to 2 500 m2;21.3;97.6
67;Food and Accommodation: hotel;2 500 to 5 000 m2;21.1;107.7
68;Food and Accommodation: hotel;5 000 to 10 000 m2;22.0;112.1
69;Food and Accommodation: hotel;10 000 to 25 000 m2;21.2;114.0
70;Office: public;0 to 250 m2;20.9;60.0
71;Office: public;250 to 500 m2;18.3;49.5
72;Office: public;500 to 1 000 m2;16.2;51.0
73;Office: public;1 000 to 2 500 m2;13.3;57.0
74;Office: public;2 500 to 5 000 m2;11.0;85.2
75;Office: public;5 000 to 10 000 m2;10.5;90.8
76;Office: public;10 000 to 25 000 m2;11.6;84.1
77;Office: other;0 to 250 m2;17.3;57.2
78;Office: other;250 to 500 m2;15.0;50.8
79;Office: other;500 to 1 000 m2;12.8;54.9
80;Office: other;1 000 to 2 500 m2;10.9;66.3
81;Office: other;2 500 to 5 000 m2;10.7;76.1
82;Office: other;5 000 to 10 000 m2;10.6;75.8
83;Office: other;10 000 to 25 000 m2;10.9;90.9
84;Education: primary;0 to 250 m2;16.6;38.6
85;Education: primary;250 to 500 m2;18.7;34.4
86;Education: primary;500 to 1 000 m2;15.1;29.8
87;Education: primary;1 000 to 2 500 m2;12.0;27.6
88;Education: primary;2 500 to 5 000 m2;7.9;25.5
89;Education: primary;5 000 to 10 000 m2;4.7;21.0
90;Education: primary;10 000 to 25 000 m2;;
91;Education: secondary;0 to 250 m2;;
92;Education: secondary;250 to 500 m2;;36.3
93;Education: secondary;500 to 1 000 m2;18.2;40.6
94;Education: secondary;1 000 to 2 500 m2;14.8;40.0
95;Education: secondary;2 500 to 5 000 m2;11.8;43.4
96;Education: secondary;5 000 to 10 000 m2;10.1;41.7
97;Education: secondary;10 000 to 25 000 m2;7.5;33.4
98;Education: MBO;0 to 250 m2;;
99;Education: MBO;250 to 500 m2;;
100;Education: MBO;500 to 1 000 m2;15.4;48.9
101;Education: MBO;1 000 to 2 500 m2;14.0;49.3
102;Education: MBO;2 500 to 5 000 m2;12.3;48.2
103;Education: MBO;5 000 to 10 000 m2;10.5;49.4
104;Education: MBO;10 000 to 25 000 m2;8.9;54.2
105;Healthcare: communal;0 to 250 m2;17.6;43.9
106;Healthcare: communal;250 to 500 m2;15.8;40.6
107;Healthcare: communal;500 to 1 000 m2;14.3;40.8
108;Healthcare: communal;1 000 to 2 500 m2;12.2;37.7
109;Healthcare: communal;2 500 to 5 000 m2;9.2;31.4
110;Healthcare: communal;5 000 to 10 000 m2;;
111;Healthcare: communal;10 000 to 25 000 m2;;
112;Healthcare: practice;0 to 250 m2;17.4;59.8
113;Healthcare: practice;250 to 500 m2;14.8;51.9
114;Healthcare: practice;500 to 1 000 m2;13.0;53.5
115;Healthcare: practice;1 000 to 2 500 m2;12.4;58.4
116;Healthcare: practice;2 500 to 5 000 m2;12.0;71.5
117;Healthcare: practice;5 000 to 10 000 m2;;
118;Healthcare: practice;10 000 to 25 000 m2;;
119;Healthcare: home;0 to 250 m2;18.5;49.6
120;Healthcare: home;250 to 500 m2;19.2;57.1
121;Healthcare: home;500 to 1 000 m2;17.3;54.8
122;Healthcare: home;1 000 to 2 500 m2;15.9;57.4
123;Healthcare: home;2 500 to 5 000 m2;18.1;66.0
124;Healthcare: home;5 000 to 10 000 m2;19.6;66.5
125;Healthcare: home;10 000 to 25 000 m2;17.3;56.4
126;Recreation: club;0 to 250 m2;17.9;48.5
127;Recreation: club;250 to 500 m2;14.4;36.5
128;Recreation: club;500 to 1 000 m2;11.2;30.5
129;Recreation: club;1 000 to 2 500 m2;9.1;30.3
130;Recreation: club;2 500 to 5 000 m2;;
