ID;BeroepsEnEigenVervoer;Vervoerstromen;LandVanLadenLossen;Landen;Perioden;VervoerdLadinggewicht_1
0;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Totaal alle landen;1997;73927
1;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Totaal alle landen;1998;75513
2;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Totaal alle landen;1999;81895
3;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Totaal alle landen;2000;76429
4;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Totaal alle landen;2001;80612
5;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Totaal alle landen;2002;79014
6;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Totaal alle landen;2003;84237
7;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Totaal alle landen;2004;93695
8;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Totaal alle landen;2005;89802
9;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Totaal alle landen;2006;88353
10;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Totaal alle landen;2007;86737
11;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Totaal alle landen;2008;88162
12;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Totaal alle landen;2009;77458
13;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Totaal alle landen;2010;81292
14;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Totaal alle landen;2011;83130
15;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Totaal alle landen;2012;78014
16;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Totaal alle landen;2013;81137
17;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Totaal alle landen;2014;79808
18;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Totaal alle landen;2015;77613
19;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Totaal alle landen;2016;73916
20;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Totaal alle landen;2017;76454
21;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Totaal alle landen;2018;74508
22;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Totaal alle landen;2019;74565
23;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Totaal alle landen;2020;73036
24;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Totaal alle landen;2021;73879
25;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Totaal alle landen;2022;66423
26;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Totaal alle landen;2023;66702
27;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;België of Luxemburg;1997;22565
28;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;België of Luxemburg;1998;23318
29;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;België of Luxemburg;1999;25017
30;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;België of Luxemburg;2000;23648
31;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;België of Luxemburg;2001;24334
32;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;België of Luxemburg;2002;23020
33;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;België of Luxemburg;2003;25544
34;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;België of Luxemburg;2004;26891
35;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;België of Luxemburg;2005;26023
36;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;België of Luxemburg;2006;26343
37;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;België of Luxemburg;2007;27508
38;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;België of Luxemburg;2008;27392
39;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;België of Luxemburg;2009;23565
40;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;België of Luxemburg;2010;27397
41;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;België of Luxemburg;2011;27158
42;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;België of Luxemburg;2012;28401
43;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;België of Luxemburg;2013;28318
44;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;België of Luxemburg;2014;28431
45;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;België of Luxemburg;2015;28926
46;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;België of Luxemburg;2016;29748
47;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;België of Luxemburg;2017;30357
48;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;België of Luxemburg;2018;30250
49;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;België of Luxemburg;2019;30042
50;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;België of Luxemburg;2020;29011
51;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;België of Luxemburg;2021;28557
52;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;België of Luxemburg;2022;28014
53;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;België of Luxemburg;2023;27320
54;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Frankrijk;1997;5883
55;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Frankrijk;1998;6507
56;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Frankrijk;1999;6526
57;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Frankrijk;2000;6611
58;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Frankrijk;2001;6759
59;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Frankrijk;2002;6800
60;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Frankrijk;2003;7109
61;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Frankrijk;2004;9608
62;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Frankrijk;2005;10126
63;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Frankrijk;2006;8644
64;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Frankrijk;2007;7922
65;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Frankrijk;2008;7744
66;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Frankrijk;2009;6966
67;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Frankrijk;2010;7447
68;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Frankrijk;2011;6895
69;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Frankrijk;2012;6015
70;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Frankrijk;2013;6210
71;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Frankrijk;2014;6833
72;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Frankrijk;2015;6128
73;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Frankrijk;2016;5105
74;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Frankrijk;2017;5561
75;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Frankrijk;2018;5458
76;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Frankrijk;2019;5265
77;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Frankrijk;2020;4643
78;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Frankrijk;2021;5124
79;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Frankrijk;2022;4619
80;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Frankrijk;2023;4389
81;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Duitsland;1997;38177
82;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Duitsland;1998;37787
83;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Duitsland;1999;42486
84;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Duitsland;2000;37277
85;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Duitsland;2001;40597
86;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Duitsland;2002;40070
87;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Duitsland;2003;42489
88;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Duitsland;2004;45997
89;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Duitsland;2005;41853
90;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Duitsland;2006;41916
91;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Duitsland;2007;42354
92;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Duitsland;2008;43152
93;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Duitsland;2009;39572
94;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Duitsland;2010;38635
95;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Duitsland;2011;40771
96;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Duitsland;2012;36777
97;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Duitsland;2013;39896
98;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Duitsland;2014;37969
99;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Duitsland;2015;37114
100;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Duitsland;2016;34687
101;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Duitsland;2017;36190
102;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Duitsland;2018;34603
103;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Duitsland;2019;35140
104;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Duitsland;2020;35577
105;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Duitsland;2021;36480
106;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Duitsland;2022;30345
107;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Duitsland;2023;32151
108;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Italië;1997;1762
109;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Italië;1998;1878
110;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Italië;1999;1760
111;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Italië;2000;1795
112;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Italië;2001;1709
113;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Italië;2002;1713
114;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Italië;2003;1454
115;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Italië;2004;1798
116;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Italië;2005;1935
117;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Italië;2006;1716
118;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Italië;2007;1436
119;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Italië;2008;1322
120;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Italië;2009;1364
121;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Italië;2010;1093
122;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Italië;2011;1241
123;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Italië;2012;1201
124;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Italië;2013;1104
125;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Italië;2014;1149
126;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Italië;2015;666
127;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Italië;2016;549
128;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Italië;2017;591
129;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Italië;2018;407
130;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Italië;2019;515
131;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Italië;2020;400
132;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Italië;2021;468
133;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Italië;2022;409
134;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Italië;2023;415
135;Beroeps- en eigen vervoer;Totaal internationaal vervoer;Land van laden;Verenigd Koninkrijk;1997;937
