ID;Fondsen;Perioden;Koersindex_1;Herbeleggingsindex_2
0;1;1993 december;100.0;100.0
1;1;1994 januari;102.8;102.8
2;1;1994 februari;100.0;100.0
3;1;1994 maart;96.7;96.9
4;1;1994 april;96.4;97.3
5;1;1994 mei;95.7;96.6
6;1;1994 juni;93.3;94.2
7;1;1994 juli;94.2;95.2
8;1;1994 augustus;94.7;95.9
9;1;1994 september;92.4;93.5
10;1;1994 oktober;92.2;93.4
11;1;1994 november;91.9;93.4
12;1;1994 december;91.7;93.2
13;1;1995 januari;89.7;91.2
14;1;1995 februari;89.4;90.9
15;1;1995 maart;89.3;90.9
16;1;1995 april;89.9;92.1
17;1;1995 mei;91.7;94.0
18;1;1995 juni;91.3;93.7
19;1;1995 juli;93.2;95.8
20;1;1995 augustus;95.3;98.0
21;1;1995 september;94.9;97.6
22;1;1995 oktober;94.5;97.2
23;1;1995 november;96.6;99.7
24;1;1995 december;97.9;101.1
25;1;1996 januari;100.6;103.9
26;1;1996 februari;99.9;103.2
27;1;1996 maart;101.2;104.7
28;1;1996 april;103.8;108.0
29;1;1996 mei;104.6;108.8
30;1;1996 juni;104.5;108.8
31;1;1996 juli;101.2;105.5
32;1;1996 augustus;102.9;107.4
33;1;1996 september;106.1;110.7
34;1;1996 oktober;106.4;111.0
35;1;1996 november;109.7;114.8
36;1;1996 december;111.1;116.3
37;1;1997 januari;114.5;119.9
38;1;1997 februari;118.3;123.9
39;1;1997 maart;117.2;122.8
40;1;1997 april;117.8;124.1
41;1;1997 mei;122.2;128.8
42;1;1997 juni;127.6;134.5
43;1;1997 juli;135.7;143.2
44;1;1997 augustus;128.0;135.2
45;1;1997 september;130.8;138.2
46;1;1997 oktober;124.8;131.9
47;1;1997 november;125.6;133.0
48;1;1997 december;127.2;134.8
49;1;1998 januari;130.9;138.6
50;1;1998 februari;136.2;144.3
51;1;1998 maart;141.2;149.8
52;1;1998 april;138.2;147.2
53;1;1998 mei;139.6;148.9
54;1;1998 juni;142.5;151.9
55;1;1998 juli;143.0;152.7
56;1;1998 augustus;133.2;142.3
57;1;1998 september;128.1;136.8
58;1;1998 oktober;131.3;140.3
59;1;1998 november;139.0;148.8
60;1;1998 december;142.9;153.1
61;1;1999 januari;146.1;156.5
62;1;1999 februari;146.8;157.3
63;1;1999 maart;151.9;162.8
64;1;1999 april;156.4;168.4
65;1;1999 mei;153.4;165.2
66;1;1999 juni;158.8;171.1
67;1;1999 juli;155.7;167.9
68;1;1999 augustus;159.4;171.8
69;1;1999 september;157.0;169.4
70;1;1999 oktober;162.0;174.9
71;1;1999 november;176.9;191.2
72;1;1999 december;190.2;205.6
73;1;2000 januari;186.9;202.1
74;1;2000 februari;199.0;215.1
75;1;2000 maart;203.4;219.9
76;1;2000 april;201.0;218.1
77;1;2000 mei;192.8;209.4
78;1;2000 juni;195.2;212.2
79;1;2000 juli;196.0;213.2
80;1;2000 augustus;208.4;226.7
81;1;2000 september;203.3;221.4
82;1;2000 oktober;201.9;219.8
83;1;2000 november;188.8;205.8
84;1;2000 december;183.3;199.8
85;1;2001 januari;186.4;203.2
86;1;2001 februari;173.9;189.6
87;1;2001 maart;165.3;180.6
88;1;2001 april;170.3;186.7
89;1;2001 mei;175.2;192.3
90;1;2001 juni;170.8;187.8
91;1;2001 juli;163.2;179.4
92;1;2001 augustus;153.9;169.4
93;1;2001 september;141.1;155.4
94;1;2001 oktober;147.3;162.2
