ID;Perioden;Waarde_1;VoortschrijdendJaargemiddeldeWaarde_2;Waarde_3;CumulatieveWaarde_4
0;1995 januari;66.7;;;
1;1995 februari;63.3;;;
2;1995 maart;72.8;;;
3;1995 1e kwartaal;67.6;;;
4;1995 april;68.3;;;
5;1995 mei;68.2;;;
6;1995 juni;68.6;;;
7;1995 2e kwartaal;68.3;;;
8;1995 juli;54.5;;;
9;1995 augustus;45.7;;;
10;1995 september;56.3;;;
11;1995 3e kwartaal;52.2;;;
12;1995 oktober;64.5;;;
13;1995 november;57.0;;;
14;1995 december;58.5;62.0;;
15;1995 4e kwartaal;60.0;62.0;;
16;1995;62.0;62.0;;
17;1996 januari;73.0;62.6;9.5;9.5
18;1996 februari;65.9;62.8;4.1;6.9
19;1996 maart;74.4;62.9;2.1;5.2
20;1996 1e kwartaal;71.1;62.9;5.2;5.2
21;1996 april;79.3;63.8;16.2;7.9
22;1996 mei;75.3;64.4;10.5;8.5
23;1996 juni;77.4;65.2;12.8;9.2
24;1996 2e kwartaal;77.3;65.2;13.2;9.2
25;1996 juli;65.1;66.0;19.3;10.4
26;1996 augustus;47.5;66.2;3.9;9.8
27;1996 september;61.2;66.6;8.8;9.7
28;1996 3e kwartaal;57.9;66.6;11.1;9.7
29;1996 oktober;71.6;67.2;11.1;9.8
30;1996 november;62.0;67.6;8.8;9.8
31;1996 december;65.7;68.2;12.3;10.0
32;1996 4e kwartaal;66.5;68.2;10.7;10.0
33;1996;68.2;68.2;10.0;10.0
34;1997 januari;81.5;68.9;11.7;11.7
35;1997 februari;74.4;69.6;12.9;12.3
36;1997 maart;80.5;70.1;8.3;10.9
37;1997 1e kwartaal;78.8;70.1;10.9;10.9
38;1997 april;81.2;70.3;2.4;8.6
39;1997 mei;75.2;70.3;-0.2;6.8
40;1997 juni;76.4;70.2;-1.4;5.4
41;1997 2e kwartaal;77.6;70.2;0.3;5.4
42;1997 juli;72.6;70.8;11.6;6.2
43;1997 augustus;54.1;71.4;14.0;6.8
44;1997 september;73.9;72.4;20.6;8.2
45;1997 3e kwartaal;66.9;72.4;15.4;8.2
46;1997 oktober;76.7;72.9;7.0;8.1
47;1997 november;62.1;72.9;0.0;7.4
48;1997 december;72.7;73.4;10.6;7.7
49;1997 4e kwartaal;70.5;73.4;6.0;7.7
50;1997;73.4;73.4;7.7;7.7
51;1998 januari;96.2;74.7;18.0;18.0
52;1998 februari;78.7;75.0;5.7;12.1
53;1998 maart;93.8;76.1;16.4;13.6
54;1998 1e kwartaal;89.5;76.1;13.6;13.6
55;1998 april;91.8;77.0;13.0;13.4
56;1998 mei;86.6;78.0;15.3;13.8
57;1998 juni;94.4;79.5;23.7;15.4
58;1998 2e kwartaal;90.9;79.5;17.2;15.4
59;1998 juli;84.7;80.5;16.6;15.6
60;1998 augustus;63.7;81.3;17.8;15.8
61;1998 september;83.6;82.1;13.2;15.5
62;1998 3e kwartaal;77.3;82.1;15.7;15.5
63;1998 oktober;88.4;83.1;15.3;15.5
64;1998 november;83.0;84.8;33.7;16.9
65;1998 december;93.0;86.5;27.8;17.8
66;1998 4e kwartaal;88.1;86.5;25.0;17.8
67;1998;86.5;86.5;17.8;17.8
68;1999 januari;115.0;88.0;19.6;19.6
69;1999 februari;96.4;89.5;22.5;20.9
70;1999 maart;125.5;92.2;33.9;25.4
71;1999 1e kwartaal;112.3;92.2;25.4;25.4
72;1999 april;110.7;93.7;20.6;24.2
73;1999 mei;102.0;95.0;17.8;23.0
74;1999 juni;107.3;96.1;13.6;21.3
75;1999 2e kwartaal;106.7;96.1;17.3;21.3
76;1999 juli;94.3;96.9;11.4;20.0
77;1999 augustus;80.6;98.3;26.5;20.6
78;1999 september;97.0;99.4;16.0;20.1
79;1999 3e kwartaal;90.6;99.4;17.2;20.1
80;1999 oktober;94.7;99.9;7.2;18.8
81;1999 november;85.3;100.1;2.9;17.4
82;1999 december;96.4;100.4;3.7;16.1
83;1999 4e kwartaal;92.2;100.4;4.6;16.1
84;1999;100.4;100.4;16.1;16.1
85;2000 januari;109.4;100.0;-4.8;-4.8
86;2000 februari;104.1;100.6;8.0;1.0
87;2000 maart;124.3;100.5;-1.0;0.3
88;2000 1e kwartaal;112.6;100.5;0.3;0.3
89;2000 april;122.8;101.5;11.0;2.9
90;2000 mei;103.9;101.7;1.8;2.7
91;2000 juni;97.5;100.9;-9.1;0.8
92;2000 2e kwartaal;108.1;100.9;1.3;0.8
93;2000 juli;89.8;100.5;-4.8;0.1
94;2000 augustus;82.7;100.7;2.6;0.3
95;2000 september;95.9;100.6;-1.1;0.2
96;2000 3e kwartaal;89.4;100.6;-1.3;0.2
97;2000 oktober;98.5;100.9;4.0;0.5
98;2000 november;92.5;101.5;8.3;1.1
99;2000 december;97.0;101.5;0.6;1.1
100;2000 4e kwartaal;96.0;101.5;4.2;1.1
101;2000;101.5;101.5;1.1;1.1
102;2001 januari;107.3;101.3;-2.0;-2.0
103;2001 februari;96.5;100.7;-7.2;-4.5
104;2001 maart;123.8;100.7;-0.4;-3.0
105;2001 1e kwartaal;109.2;100.7;-3.0;-3.0
106;2001 april;100.2;98.8;-18.4;-7.1
107;2001 mei;113.3;99.6;9.0;-4.1
108;2001 juni;106.2;100.3;8.9;-2.2
109;2001 2e kwartaal;106.5;100.3;-1.4;-2.2
110;2001 juli;100.8;101.2;12.2;-0.5
111;2001 augustus;81.0;101.1;-2.0;-0.6
112;2001 september;96.5;101.1;0.7;-0.5
113;2001 3e kwartaal;92.8;101.1;3.7;-0.5
114;2001 oktober;107.3;101.9;9.0;0.4
115;2001 november;89.0;101.6;-3.7;0.1
116;2001 december;90.5;101.0;-6.7;-0.5
117;2001 4e kwartaal;95.6;101.0;-0.4;-0.5
118;2001;101.0;101.0;-0.5;-0.5
119;2002 januari;110.4;101.3;2.9;2.9
120;2002 februari;97.1;101.3;0.6;1.8
121;2002 maart;108.4;100.1;-12.4;-3.6
122;2002 1e kwartaal;105.3;100.1;-3.6;-3.6
123;2002 april;102.4;100.2;2.2;-2.2
124;2002 mei;109.4;99.9;-3.4;-2.5
125;2002 juni;110.4;100.3;4.0;-1.4
126;2002 2e kwartaal;107.4;100.3;0.8;-1.4
127;2002 juli;101.6;100.3;0.8;-1.1
128;2002 augustus;77.8;100.1;-3.9;-1.4
129;2002 september;103.9;100.7;7.6;-0.4
130;2002 3e kwartaal;94.4;100.7;1.8;-0.4
131;2002 oktober;111.2;101.0;3.6;0.0
132;2002 november;97.7;101.7;9.8;0.8
133;2002 december;98.9;102.4;9.3;1.4
134;2002 4e kwartaal;102.6;102.4;7.3;1.4
135;2002;102.4;102.4;1.4;1.4
136;2003 januari;113.4;102.7;2.7;2.7
137;2003 februari;91.3;102.2;-6.0;-1.4
138;2003 maart;102.5;101.7;-5.4;-2.8
139;2003 1e kwartaal;102.4;101.7;-2.8;-2.8
140;2003 april;102.6;101.7;0.2;-2.0
141;2003 mei;106.9;101.5;-2.3;-2.1
142;2003 juni;107.6;101.3;-2.5;-2.2
143;2003 2e kwartaal;105.7;101.3;-1.6;-2.2
144;2003 juli;100.8;101.2;-0.8;-2.0
145;2003 augustus;75.3;101.0;-3.2;-2.1
146;2003 september;100.1;100.7;-3.6;-2.3
147;2003 3e kwartaal;92.1;100.7;-2.5;-2.3
148;2003 oktober;98.1;99.6;-11.8;-3.3
149;2003 november;85.7;98.6;-12.3;-4.1
150;2003 december;115.8;100.0;17.1;-2.4
151;2003 4e kwartaal;99.9;100.0;-2.7;-2.4
152;2003;100.0;100.0;-2.4;-2.4
153;2004 januari;95.9;98.6;-15.4;-15.4
154;2004 februari;88.1;98.3;-3.4;-10.1
155;2004 maart;113.3;99.2;10.5;-3.2
156;2004 1e kwartaal;99.1;99.2;-3.2;-3.2
157;2004 april;97.7;98.8;-4.8;-3.6
158;2004 mei;93.3;97.6;-12.7;-5.5
159;2004 juni;114.5;98.2;6.4;-3.4
160;2004 2e kwartaal;101.8;98.2;-3.7;-3.4
161;2004 juli;93.6;97.6;-7.2;-4.0
162;2004 augustus;75.2;97.6;-0.1;-3.6
163;2004 september;99.1;97.5;-1.0;-3.3
164;2004 3e kwartaal;89.3;97.5;-3.0;-3.3
165;2004 oktober;102.8;97.9;4.9;-2.5
166;2004 november;91.1;98.4;6.3;-1.8
167;2004 december;127.8;99.4;10.3;-0.6
168;2004 4e kwartaal;107.2;99.4;7.4;-0.6
169;2004;99.4;99.4;-0.6;-0.6
170;2005 januari;82.0;98.2;-14.5;-14.5
171;2005 februari;90.8;98.4;3.0;-6.1
172;2005 maart;111.4;98.3;-1.7;-4.4
173;2005 1e kwartaal;94.7;98.3;-4.4;-4.4
174;2005 april;103.0;98.7;5.5;-2.0
175;2005 mei;97.8;99.1;4.8;-0.7
176;2005 juni;120.6;99.6;5.3;0.5
177;2005 2e kwartaal;107.1;99.6;5.2;0.5
178;2005 juli;90.5;99.3;-3.4;-0.1
179;2005 augustus;76.1;99.4;1.2;0.1
180;2005 september;109.0;100.2;10.0;1.2
181;2005 3e kwartaal;91.9;100.2;2.9;1.2
182;2005 oktober;99.6;100.0;-3.2;0.7
183;2005 november;89.0;99.8;-2.2;0.5
184;2005 december;130.2;100.0;1.8;0.6
185;2005 4e kwartaal;106.3;100.0;-0.9;0.6
186;2005;100.0;100.0;0.6;0.6
187;2006 januari;94.9;101.1;15.7;15.7
188;2006 februari;102.7;102.1;13.2;14.4
189;2006 maart;112.8;102.2;1.3;9.3
190;2006 1e kwartaal;103.5;102.2;9.3;9.3
191;2006 april;102.1;102.1;-0.9;6.6
192;2006 mei;115.4;103.6;18.1;8.9
193;2006 juni;122.6;103.8;1.7;7.4
194;2006 2e kwartaal;113.4;103.8;5.8;7.4
195;2006 juli;94.1;104.1;4.0;7.0
196;2006 augustus;84.2;104.7;10.6;7.4
197;2006 september;110.9;104.9;1.7;6.7
198;2006 3e kwartaal;96.4;104.9;4.9;6.7
199;2006 oktober;102.1;105.1;2.5;6.2
200;2006 november;96.2;105.7;8.1;6.4
201;2006 december;129.7;105.7;-0.3;5.7
202;2006 4e kwartaal;109.3;105.7;2.9;5.7
203;2006;105.7;105.7;5.7;5.7
204;2007 januari;97.7;105.9;2.9;2.9
205;2007 februari;102.6;105.9;-0.2;1.3
206;2007 maart;124.2;106.8;10.1;4.5
207;2007 1e kwartaal;108.2;106.8;4.5;4.5
208;2007 april;105.2;107.1;3.0;4.1
209;2007 mei;115.8;107.1;0.3;3.3
210;2007 juni;128.6;107.6;4.9;3.6
211;2007 2e kwartaal;116.6;107.6;2.8;3.6
212;2007 juli;107.4;108.7;14.1;4.9
