ID;Regio;Perioden;NederlandTotaal_1;Groningen_2;Friesland_3;Drenthe_4;Overijssel_5;Flevoland_6;Gelderland_7;Utrecht_8;NoordHolland_9;ZuidHolland_10;Zeeland_11;NoordBrabant_12;Limburg_13;BuitenlandOnbekend_14
0;Nederland;1990 mei - 1991 april;867493;30910.0;32285.0;26116.0;53405.0;7707.0;103235;54670;136474;178658;21686.0;130878;72466.0;19003
1;Nederland;1995 september - 1996 augustus;935768;30132.0;35194.0;26812.0;57762.0;12713.0;106932;66045;159670;201408;21808.0;132913;67733.0;16646
2;Nederland;2001 december - 2002 november;981624;31277.0;33742.0;25376.0;56941.0;14807.0;113113;70131;172439;215191;21248.0;142168;65363.0;19829
3;Nederland;2006 oktober - 2007 september;906642;31688.0;31390.0;25289.0;55295.0;14201.0;100161;69727;155329;185198;18857.0;133979;66158.0;19369
4;Woonregio Landsdeel Noord;1990 mei - 1991 april;89003;29315.0;29582.0;22863.0;1916.0;288.0;919;457;1453;629;71.0;503;129.0;878
5;Woonregio Landsdeel Noord;1995 september - 1996 augustus;92617;28516.0;33240.0;22824.0;2690.0;336.0;1128;560;1563;646;43.0;313;138.0;622
6;Woonregio Landsdeel Noord;2001 december - 2002 november;90889;28688.0;30820.0;21921.0;3204.0;434.0;1309;272;1965;1004;22.0;323;25.0;901
7;Woonregio Landsdeel Noord;2006 oktober - 2007 september;89930;29146.0;29437.0;22408.0;2961.0;504.0;1785;609;1290;343;31.0;420;28.0;968
8;Woonregio Landsdeel Oost;1990 mei - 1991 april;170750;625.0;1134.0;1890.0;49497.0;6103.0;89555;4628;5098;3369;181.0;3716;1475.0;3481
9;Woonregio Landsdeel Oost;1995 september - 1996 augustus;179431;500.0;651.0;2108.0;52415.0;10438.0;92458;4993;5934;2601;302.0;3383;1003.0;2644
10;Woonregio Landsdeel Oost;2001 december - 2002 november;188470;718.0;1605.0;1848.0;51608.0;10817.0;95813;6152;6246;4118;83.0;4196;1672.0;3594
11;Woonregio Landsdeel Oost;2006 oktober - 2007 september;175837;644.0;858.0;1934.0;49520.0;11288.0;83976;8398;6198;3824;353.0;4332;979.0;3535
12;Woonregio Landsdeel West;1990 mei - 1991 april;391652;781.0;1362.0;1068.0;1363.0;1257.0;8181;48109;127118;170639;19836.0;7104;1564.0;3270
13;Woonregio Landsdeel West;1995 september - 1996 augustus;452216;958.0;1105.0;1575.0;2099.0;1743.0;8753;58771;149501;193953;20034.0;8254;1261.0;4211
14;Woonregio Landsdeel West;2001 december - 2002 november;484645;1668.0;1182.0;986.0;1770.0;3181.0;10631;62406;161797;205177;18851.0;10310;2889.0;3795
15;Woonregio Landsdeel West;2006 oktober - 2007 september;425287;1671.0;1064.0;751.0;2213.0;2235.0;8370;59014;144544;175459;16360.0;9661;1423.0;2521
16;Woonregio Landsdeel Zuid;1990 mei - 1991 april;216088;189.0;208.0;295.0;629.0;58.0;4581;1475;2804;4023;1598.0;119554;69298.0;11374
17;Woonregio Landsdeel Zuid;1995 september - 1996 augustus;211504;158.0;199.0;306.0;558.0;196.0;4593;1722;2672;4209;1430.0;120961;65330.0;9170
18;Woonregio Landsdeel Zuid;2001 december - 2002 november;217620;201.0;135.0;620.0;361.0;374.0;5361;1299;2430;4893;2290.0;127339;60776.0;11538
19;Woonregio Landsdeel Zuid;2006 oktober - 2007 september;215590;228.0;31.0;195.0;603.0;173.0;6030;1706;3297;5572;2113.0;119567;63730.0;12346
20;Woonregio Groningen (PV);1990 mei - 1991 april;32307;26053.0;843.0;3003.0;315.0;28.0;275;168;722;251;0.0;133;54.0;462
21;Woonregio Groningen (PV);1995 september - 1996 augustus;31755;25357.0;1187.0;3303.0;317.0;13.0;352;107;493;155;28.0;100;65.0;278
22;Woonregio Groningen (PV);2001 december - 2002 november;34660;25595.0;1511.0;3635.0;1132.0;102.0;807;22;806;533;22.0;128;;368
23;Woonregio Groningen (PV);2006 oktober - 2007 september;31090;24007.0;1417.0;3569.0;523.0;94.0;615;169;228;66;0.0;98;0.0;303
24;Woonregio Friesland (PV);1990 mei - 1991 april;32551;1239.0;28173.0;894.0;447.0;131.0;372;232;452;252;14.0;231;43.0;71
25;Woonregio Friesland (PV);1995 september - 1996 augustus;36236;1109.0;31459.0;827.0;736.0;265.0;423;276;724;173;;158;34.0;52
26;Woonregio Friesland (PV);2001 december - 2002 november;34568;1828.0;28860.0;1321.0;592.0;186.0;292;100;783;394;;139;;72
27;Woonregio Friesland (PV);2006 oktober - 2007 september;33712;1686.0;27512.0;1145.0;865.0;301.0;845;246;704;182;31.0;139;0.0;56
28;Woonregio Drenthe (PV);1990 mei - 1991 april;24145;2023.0;566.0;18966.0;1154.0;129.0;272;57;279;126;57.0;139;32.0;345
