ID;Geslacht;LeeftijdOp31December;Perioden;Sterftekans_1;LevendenTafelbevolking_2;OverledenenTafelbevolking_3;Levensverwachting_4
0;Totaal mannen en vrouwen;0 jaar;1861 tot 1866;;;;
1;Totaal mannen en vrouwen;0 jaar;1866 tot 1871;;;;
2;Totaal mannen en vrouwen;0 jaar;1871 tot 1876;;;;
3;Totaal mannen en vrouwen;0 jaar;1876 tot 1881;;;;
4;Totaal mannen en vrouwen;0 jaar;1881 tot 1886;;;;
5;Totaal mannen en vrouwen;0 jaar;1886 tot 1891;;;;
6;Totaal mannen en vrouwen;0 jaar;1891 tot 1896;;;;
7;Totaal mannen en vrouwen;0 jaar;1896 tot 1901;;;;
8;Totaal mannen en vrouwen;0 jaar;1901 tot 1906;;;;
9;Totaal mannen en vrouwen;0 jaar;1906 tot 1911;;;;
10;Totaal mannen en vrouwen;0 jaar;1911 tot 1916;;;;
11;Totaal mannen en vrouwen;0 jaar;1916 tot 1921;;;;
12;Totaal mannen en vrouwen;0 jaar;1921 tot 1926;;;;
13;Totaal mannen en vrouwen;0 jaar;1926 tot 1931;;;;
14;Totaal mannen en vrouwen;0 jaar;1931 tot 1936;;;;
15;Totaal mannen en vrouwen;0 jaar;1936 tot 1941;;;;
16;Totaal mannen en vrouwen;0 jaar;1941 tot 1946;;;;
17;Totaal mannen en vrouwen;0 jaar;1950;0.02234;100000.0;2234.0;71.43
18;Totaal mannen en vrouwen;0 jaar;1946 tot 1951;;;;
19;Totaal mannen en vrouwen;0 jaar;1951;0.02268;100000.0;2268.0;71.49
20;Totaal mannen en vrouwen;0 jaar;1952;0.02071;100000.0;2071.0;72.12
21;Totaal mannen en vrouwen;0 jaar;1953;0.02024;100000.0;2024.0;71.68
22;Totaal mannen en vrouwen;0 jaar;1954;0.01948;100000.0;1948.0;72.38
23;Totaal mannen en vrouwen;0 jaar;1955;0.01904;100000.0;1904.0;72.49
24;Totaal mannen en vrouwen;0 jaar;1951 tot 1956;0.02043;100000.0;2043.0;72.03
25;Totaal mannen en vrouwen;0 jaar;1956;0.01752;100000.0;1752.0;72.52
26;Totaal mannen en vrouwen;0 jaar;1957;0.01603;100000.0;1603.0;72.97
27;Totaal mannen en vrouwen;0 jaar;1958;0.01603;100000.0;1603.0;73.14
28;Totaal mannen en vrouwen;0 jaar;1959;0.0157;100000.0;1570.0;73.17
29;Totaal mannen en vrouwen;0 jaar;1960;0.01585;100000.0;1585.0;73.32
30;Totaal mannen en vrouwen;0 jaar;1956 tot 1961;0.01622;100000.0;1622.0;73.03
31;Totaal mannen en vrouwen;0 jaar;1961;0.01521;100000.0;1521.0;73.57
32;Totaal mannen en vrouwen;0 jaar;1962;0.01507;100000.0;1507.0;73.22
33;Totaal mannen en vrouwen;0 jaar;1963;0.01398;100000.0;1398.0;73.35
34;Totaal mannen en vrouwen;0 jaar;1964;0.01327;100000.0;1327.0;73.73
35;Totaal mannen en vrouwen;0 jaar;1965;0.01313;100000.0;1313.0;73.58
36;Totaal mannen en vrouwen;0 jaar;1961 tot 1966;0.01413;100000.0;1413.0;73.49
37;Totaal mannen en vrouwen;0 jaar;1966;0.01311;100000.0;1311.0;73.53
38;Totaal mannen en vrouwen;0 jaar;1967;0.01201;100000.0;1201.0;73.82
