ID;Vakantiekenmerken;Marges;RegioS;Perioden;TotaalNederlanders_1;PercentageNederlanders_2;TotaalVakanties_3;GemiddeldPerDeelnemer_4;TotaalVakantiedagen_5;GemiddeldPerDeelnemer_6;GemiddeldPerVakantie_7;TotaalOvernachtingen_8;GemiddeldPerDeelnemer_9;GemiddeldPerVakantie_10;TotaalVakantieUitgaven_11;GemiddeldPerDeelnemer_12;GemiddeldPerPersoonPerVakantie_13;GemiddeldPerPersoonPerVakantiedag_14
236;Totaal vakanties;Waarde;Kust (TG);2023;2277.0;15.3;2987.0;1.3;19268.0;8.5;6.5;16282.0;7.2;5.5;946.0;415.0;317.0;49.0
237;Totaal vakanties;Waarde;Watersportgebieden (TG);2021;1778.0;12.2;2439.0;1.4;13527.0;7.6;5.5;11088.0;6.2;4.5;564.0;317.0;231.0;42.0
238;Totaal vakanties;Waarde;Watersportgebieden (TG);2022;1282.0;8.8;1621.0;1.3;8452.0;6.6;5.2;6831.0;5.3;4.2;368.0;287.0;227.0;43.0
239;Totaal vakanties;Waarde;Watersportgebieden (TG);2023;1383.0;9.3;1715.0;1.2;9146.0;6.6;5.3;7431.0;5.4;4.3;411.0;297.0;239.0;45.0
240;Totaal vakanties;Waarde;Bos en Heide Midden-Nederland (TG);2021;2443.0;16.8;3605.0;1.5;19586.0;8.0;5.4;15981.0;6.5;4.4;871.0;356.0;241.0;44.0
241;Totaal vakanties;Waarde;Bos en Heide Midden-Nederland (TG);2022;2073.0;14.2;2849.0;1.4;16062.0;7.7;5.6;13213.0;6.4;4.6;632.0;305.0;222.0;39.0
242;Totaal vakanties;Waarde;Bos en Heide Midden-Nederland (TG);2023;2303.0;15.5;3020.0;1.3;16958.0;7.4;5.6;13939.0;6.1;4.6;742.0;322.0;246.0;44.0
243;Totaal vakanties;Waarde;Bos en Heide Noordoost-Nederland (TG);2021;2148.0;14.8;3002.0;1.4;18405.0;8.6;6.1;15403.0;7.2;5.1;793.0;369.0;264.0;43.0
244;Totaal vakanties;Waarde;Bos en Heide Noordoost-Nederland (TG);2022;2043.0;14.0;2586.0;1.3;14876.0;7.3;5.8;12290.0;6.0;4.8;631.0;309.0;244.0;42.0
245;Totaal vakanties;Waarde;Bos en Heide Noordoost-Nederland (TG);2023;1914.0;12.9;2343.0;1.2;15238.0;8.0;6.5;12895.0;6.7;5.5;665.0;347.0;284.0;44.0
246;Totaal vakanties;Waarde;Bos en Heide Zuid-Nederland (TG);2021;3103.0;21.4;4426.0;1.4;24185.0;7.8;5.5;19759.0;6.4;4.5;1150.0;371.0;260.0;48.0
247;Totaal vakanties;Waarde;Bos en Heide Zuid-Nederland (TG);2022;2688.0;18.4;3531.0;1.3;17996.0;6.7;5.1;14465.0;5.4;4.1;857.0;319.0;243.0;48.0
248;Totaal vakanties;Waarde;Bos en Heide Zuid-Nederland (TG);2023;2866.0;19.3;3808.0;1.3;19175.0;6.7;5.0;15367.0;5.4;4.0;957.0;334.0;251.0;50.0
249;Totaal vakanties;Waarde;Overig Nederland (TG);2021;2043.0;14.1;2777.0;1.4;12061.0;5.9;4.3;9285.0;4.5;3.3;589.0;288.0;212.0;49.0
250;Totaal vakanties;Waarde;Overig Nederland (TG);2022;1783.0;12.2;2320.0;1.3;9848.0;5.5;4.2;7528.0;4.2;3.2;451.0;253.0;195.0;46.0
251;Totaal vakanties;Waarde;Overig Nederland (TG);2023;1840.0;12.4;2429.0;1.3;9153.0;5.0;3.8;6723.0;3.7;2.8;512.0;278.0;211.0;56.0
252;Totaal vakanties;Waarde;Toeristengebied (groep) onbekend (TG);2021;493.0;3.4;621.0;1.3;3775.0;7.7;6.1;3155.0;6.4;5.1;165.0;334.0;265.0;44.0
253;Totaal vakanties;Waarde;Toeristengebied (groep) onbekend (TG);2022;373.0;2.5;455.0;1.2;3040.0;8.2;6.7;2586.0;6.9;5.7;153.0;410.0;336.0;50.0
254;Totaal vakanties;Waarde;Toeristengebied (groep) onbekend (TG);2023;319.0;2.2;394.0;1.2;2493.0;7.8;6.3;2100.0;6.6;5.3;106.0;334.0;270.0;43.0
255;Totaal vakanties;Ondergrens 95%-interval;Nederland;2021;8749.0;60.5;20699.0;2.3;115695.0;13.0;;94819.0;10.6;;5434.0;610.0;;
256;Totaal vakanties;Ondergrens 95%-interval;Nederland;2022;7596.0;52.1;15957.0;2.1;86714.0;11.2;;70596.0;9.1;;3902.0;504.0;;
257;Totaal vakanties;Ondergrens 95%-interval;Nederland;2023;7719.0;52.4;15939.0;2.0;86668.0;10.9;;70504.0;8.9;;4132.0;520.0;;
258;Totaal vakanties;Ondergrens 95%-interval;Noord-Nederland (LD);2021;2446.0;16.9;3408.0;1.4;21118.0;8.3;;17656.0;7.0;;1000.0;395.0;;
259;Totaal vakanties;Ondergrens 95%-interval;Noord-Nederland (LD);2022;2229.0;15.3;2976.0;1.3;17257.0;7.5;;14234.0;6.2;;777.0;335.0;;
260;Totaal vakanties;Ondergrens 95%-interval;Noord-Nederland (LD);2023;2094.0;14.2;2761.0;1.3;16095.0;7.3;;13256.0;6.0;;778.0;355.0;;
261;Totaal vakanties;Ondergrens 95%-interval;Oost-Nederland (LD);2021;3370.0;23.2;5101.0;1.5;28519.0;8.2;;23308.0;6.7;;1201.0;345.0;;
262;Totaal vakanties;Ondergrens 95%-interval;Oost-Nederland (LD);2022;3023.0;20.7;4295.0;1.4;23918.0;7.7;;19544.0;6.3;;995.0;319.0;;
