ID;Afvalsoort;RegioS;Perioden;HoeveelheidHuishoudelijkAfval_1
0;Totaal huishoudelijk afval;Aa en Hunze;2001;724.4
1;Totaal huishoudelijk afval;Aa en Hunze;2002;
2;Totaal huishoudelijk afval;Aa en Hunze;2003;
3;Totaal huishoudelijk afval;Aa en Hunze;2004;
4;Totaal huishoudelijk afval;Aa en Hunze;2005;782.5
5;Totaal huishoudelijk afval;Aa en Hunze;2006;
6;Totaal huishoudelijk afval;Aa en Hunze;2007;700.4
7;Totaal huishoudelijk afval;Aa en Hunze;2008;743.7
8;Totaal huishoudelijk afval;Aa en Hunze;2009;722.9
9;Totaal huishoudelijk afval;Aa en Hunze;2010;682.2
10;Totaal huishoudelijk afval;Aa en Hunze;2011;714.4
11;Totaal huishoudelijk afval;Aa en Hunze;2012;662.5
12;Totaal huishoudelijk afval;Aa en Hunze;2013;672.8
13;Totaal huishoudelijk afval;Aa en Hunze;2014;
14;Totaal huishoudelijk afval;Aa en Hunze;2015;697.0
15;Totaal huishoudelijk afval;Aa en Hunze;2016;678.3
16;Totaal huishoudelijk afval;Aa en Hunze;2017;667.5
17;Totaal huishoudelijk afval;Aa en Hunze;2018;653.4
18;Totaal huishoudelijk afval;Aa en Hunze;2019;641.7
19;Totaal huishoudelijk afval;Aa en Hunze;2020;695.5
20;Totaal huishoudelijk afval;Aa en Hunze;2021;
21;Totaal huishoudelijk afval;Aa en Hunze;2022;
22;Totaal huishoudelijk afval;Aa en Hunze;2023;635.5
23;Totaal huishoudelijk afval;Aalburg;2001;615.8
24;Totaal huishoudelijk afval;Aalburg;2002;596.1
25;Totaal huishoudelijk afval;Aalburg;2003;597.6
26;Totaal huishoudelijk afval;Aalburg;2004;606.4
27;Totaal huishoudelijk afval;Aalburg;2005;596.7
28;Totaal huishoudelijk afval;Aalburg;2006;572.0
29;Totaal huishoudelijk afval;Aalburg;2007;596.7
30;Totaal huishoudelijk afval;Aalburg;2008;590.3
31;Totaal huishoudelijk afval;Aalburg;2009;579.9
32;Totaal huishoudelijk afval;Aalburg;2010;
33;Totaal huishoudelijk afval;Aalburg;2011;546.0
34;Totaal huishoudelijk afval;Aalburg;2012;536.4
35;Totaal huishoudelijk afval;Aalburg;2013;441.8
36;Totaal huishoudelijk afval;Aalburg;2014;473.6
37;Totaal huishoudelijk afval;Aalburg;2015;451.5
38;Totaal huishoudelijk afval;Aalburg;2016;468.5
39;Totaal huishoudelijk afval;Aalburg;2017;463.1
40;Totaal huishoudelijk afval;Aalburg;2018;464.3
41;Totaal huishoudelijk afval;Aalburg;2019;
42;Totaal huishoudelijk afval;Aalburg;2020;
43;Totaal huishoudelijk afval;Aalburg;2021;
44;Totaal huishoudelijk afval;Aalburg;2022;
45;Totaal huishoudelijk afval;Aalburg;2023;
46;Totaal huishoudelijk afval;Aalsmeer;2001;596.5
47;Totaal huishoudelijk afval;Aalsmeer;2002;594.1
48;Totaal huishoudelijk afval;Aalsmeer;2003;587.0
49;Totaal huishoudelijk afval;Aalsmeer;2004;
50;Totaal huishoudelijk afval;Aalsmeer;2005;617.0
51;Totaal huishoudelijk afval;Aalsmeer;2006;597.1
52;Totaal huishoudelijk afval;Aalsmeer;2007;589.7
53;Totaal huishoudelijk afval;Aalsmeer;2008;589.3
54;Totaal huishoudelijk afval;Aalsmeer;2009;546.9
55;Totaal huishoudelijk afval;Aalsmeer;2010;543.1
56;Totaal huishoudelijk afval;Aalsmeer;2011;533.8
57;Totaal huishoudelijk afval;Aalsmeer;2012;535.6
58;Totaal huishoudelijk afval;Aalsmeer;2013;512.1
59;Totaal huishoudelijk afval;Aalsmeer;2014;488.0
60;Totaal huishoudelijk afval;Aalsmeer;2015;491.6
61;Totaal huishoudelijk afval;Aalsmeer;2016;484.1
62;Totaal huishoudelijk afval;Aalsmeer;2017;477.8
63;Totaal huishoudelijk afval;Aalsmeer;2018;485.5
64;Totaal huishoudelijk afval;Aalsmeer;2019;489.0
65;Totaal huishoudelijk afval;Aalsmeer;2020;541.5
66;Totaal huishoudelijk afval;Aalsmeer;2021;516.0
67;Totaal huishoudelijk afval;Aalsmeer;2022;483.7
68;Totaal huishoudelijk afval;Aalsmeer;2023;455.8
69;Totaal huishoudelijk afval;Aalten;2001;510.1
70;Totaal huishoudelijk afval;Aalten;2002;517.6
71;Totaal huishoudelijk afval;Aalten;2003;518.1
72;Totaal huishoudelijk afval;Aalten;2004;
73;Totaal huishoudelijk afval;Aalten;2005;
74;Totaal huishoudelijk afval;Aalten;2006;
75;Totaal huishoudelijk afval;Aalten;2007;483.2
76;Totaal huishoudelijk afval;Aalten;2008;443.3
77;Totaal huishoudelijk afval;Aalten;2009;452.2
78;Totaal huishoudelijk afval;Aalten;2010;412.3
79;Totaal huishoudelijk afval;Aalten;2011;427.6
80;Totaal huishoudelijk afval;Aalten;2012;423.6
81;Totaal huishoudelijk afval;Aalten;2013;422.6
82;Totaal huishoudelijk afval;Aalten;2014;421.7
83;Totaal huishoudelijk afval;Aalten;2015;418.9
84;Totaal huishoudelijk afval;Aalten;2016;413.7
85;Totaal huishoudelijk afval;Aalten;2017;424.1
86;Totaal huishoudelijk afval;Aalten;2018;416.4
87;Totaal huishoudelijk afval;Aalten;2019;428.9
88;Totaal huishoudelijk afval;Aalten;2020;466.0
89;Totaal huishoudelijk afval;Aalten;2021;456.5
90;Totaal huishoudelijk afval;Aalten;2022;412.1
