ID;Geslacht;Leeftijd;Perioden;TotaalSlachtoffersMoordEnDoodslag_1;SlachtoffersMoordEnDoodslagRelatief_2;OphangenVerwurgenOfVerstikken_3;SlaanOfSchoppen_4;Vuurwapen_5;SteekOfSlagwapen_6;OverigeOfOnbekendeWijze_7;WoningVanHetSlachtofferOfAnderen_8;LocatieVoorHandelEnDienstverlening_9;OpenbareWeg_10;OverigeOfOnbekendeLocatie_11
31;Totaal mannen en vrouwen;Jonger dan 20 jaar;2004;25;6.3;2.0;1.0;3.0;10.0;9.0;12.0;0.0;9.0;4.0
32;Totaal mannen en vrouwen;Jonger dan 20 jaar;2005;27;6.8;8.0;1.0;3.0;9.0;6.0;22.0;0.0;2.0;3.0
33;Totaal mannen en vrouwen;Jonger dan 20 jaar;2006;23;5.8;4.0;0.0;2.0;9.0;8.0;14.0;0.0;5.0;4.0
34;Totaal mannen en vrouwen;Jonger dan 20 jaar;2007;28;7.1;6.0;6.0;0.0;6.0;10.0;14.0;3.0;5.0;6.0
35;Totaal mannen en vrouwen;Jonger dan 20 jaar;2008;16;4.1;3.0;5.0;0.0;2.0;6.0;12.0;0.0;1.0;3.0
36;Totaal mannen en vrouwen;Jonger dan 20 jaar;2009;23;5.9;1.0;4.0;4.0;9.0;5.0;18.0;1.0;1.0;3.0
37;Totaal mannen en vrouwen;Jonger dan 20 jaar;2010;24;6.1;3.0;6.0;7.0;4.0;4.0;20.0;1.0;3.0;0.0
38;Totaal mannen en vrouwen;Jonger dan 20 jaar;2011;18;4.6;5.0;5.0;3.0;2.0;3.0;13.0;3.0;2.0;0.0
39;Totaal mannen en vrouwen;Jonger dan 20 jaar;2012;21;5.4;2.0;8.0;1.0;7.0;3.0;15.0;1.0;1.0;4.0
40;Totaal mannen en vrouwen;Jonger dan 20 jaar;2013;19;4.9;4.0;1.0;1.0;6.0;7.0;13.0;0.0;1.0;5.0
41;Totaal mannen en vrouwen;Jonger dan 20 jaar;2014;14;3.6;3.0;2.0;0.0;6.0;3.0;9.0;1.0;2.0;2.0
42;Totaal mannen en vrouwen;Jonger dan 20 jaar;2015;9;2.4;4.0;3.0;1.0;1.0;0.0;8.0;0.0;0.0;1.0
43;Totaal mannen en vrouwen;Jonger dan 20 jaar;2016;8;2.1;0.0;3.0;1.0;2.0;2.0;5.0;0.0;2.0;1.0
44;Totaal mannen en vrouwen;Jonger dan 20 jaar;2017;17;4.5;4.0;5.0;2.0;4.0;2.0;8.0;0.0;5.0;4.0
45;Totaal mannen en vrouwen;Jonger dan 20 jaar;2018;13;3.4;1.0;1.0;6.0;5.0;0.0;8.0;2.0;2.0;1.0
46;Totaal mannen en vrouwen;20 tot 30 jaar;1996;67;28.5;7.0;1.0;31.0;23.0;5.0;15.0;5.0;15.0;32.0
47;Totaal mannen en vrouwen;20 tot 30 jaar;1997;70;30.6;6.0;0.0;29.0;27.0;8.0;15.0;7.0;21.0;27.0
48;Totaal mannen en vrouwen;20 tot 30 jaar;1998;54;24.2;4.0;1.0;26.0;18.0;5.0;16.0;3.0;17.0;18.0
49;Totaal mannen en vrouwen;20 tot 30 jaar;1999;56;25.8;2.0;0.0;27.0;21.0;6.0;15.0;5.0;16.0;20.0
50;Totaal mannen en vrouwen;20 tot 30 jaar;2000;60;28.5;7.0;2.0;18.0;24.0;9.0;24.0;6.0;12.0;18.0
51;Totaal mannen en vrouwen;20 tot 30 jaar;2001;56;27.2;3.0;2.0;27.0;12.0;12.0;19.0;5.0;19.0;13.0
52;Totaal mannen en vrouwen;20 tot 30 jaar;2002;58;28.7;4.0;3.0;25.0;22.0;4.0;25.0;5.0;19.0;9.0
53;Totaal mannen en vrouwen;20 tot 30 jaar;2003;45;22.6;1.0;1.0;15.0;22.0;6.0;17.0;4.0;15.0;9.0
54;Totaal mannen en vrouwen;20 tot 30 jaar;2004;36;18.3;2.0;1.0;15.0;14.0;4.0;18.0;1.0;11.0;6.0
