ID;Vervoermiddel;TypeAccommodatie;Perioden;Gasten_1;Overnachtingen_2;Gasten_3;Overnachtingen_4
0;Totaal vervoermiddelen;Totaal accommodaties;2005/'06;10012.0;25210.0;100.0;100.0
1;Totaal vervoermiddelen;Hotel en pension;2005/'06;8081.0;15143.0;100.0;100.0
2;Totaal vervoermiddelen;Andere accommodatie;2005/'06;1931.0;10067.0;100.0;100.0
3;Auto, motor en camper;Totaal accommodaties;2005/'06;4189.0;13564.0;42.0;54.0
4;Auto, motor en camper;Hotel en pension;2005/'06;2388.0;;30.0;27.0
5;Auto, motor en camper;Andere accommodatie;2005/'06;1802.0;;93.0;94.0
6;Vliegtuig;Totaal accommodaties;2005/'06;4429.0;8726.0;44.0;35.0
7;Vliegtuig;Hotel en pension;2005/'06;4396.0;;54.0;57.0
8;Vliegtuig;Andere accommodatie;2005/'06;;;;
9;Bus en touringcar;Totaal accommodaties;2005/'06;416.0;1005.0;4.0;4.0
10;Bus en touringcar;Hotel en pension;2005/'06;401.0;;5.0;6.0
11;Bus en touringcar;Andere accommodatie;2005/'06;;;;
12;Trein;Totaal accommodaties;2005/'06;652.0;1208.0;7.0;5.0
13;Trein;Hotel en pension;2005/'06;621.0;;8.0;7.0
14;Trein;Andere accommodatie;2005/'06;;;;
15;Overig;Totaal accommodaties;2005/'06;325.0;707.0;;
16;Overig;Hotel en pension;2005/'06;;;;
17;Overig;Andere accommodatie;2005/'06;;;;
