ID;ICTStellingen;BeantwoordingICTStellingen;BedrijfstakkenBranchesSBI93;Perioden;AantalBedrijven250WerkzamePersonen_1;PercentageBedrijven250WerkzamePers_2
0;1;0;1;2006;2282;100
1;1;0;1;2007;2273;100
2;1;0;1;2008;2256;100
3;1;0;2;2006;495;100
4;1;0;2;2007;496;100
5;1;0;2;2008;492;100
6;1;0;3;2006;293;100
7;1;0;3;2007;298;100
8;1;0;3;2008;299;100
9;1;0;4;2006;152;100
10;1;0;4;2007;153;100
11;1;0;4;2008;146;100
12;1;0;5;2006;74;100
13;1;0;5;2007;73;100
14;1;0;5;2008;63;100
15;1;0;6;2006;430;100
16;1;0;6;2007;423;100
17;1;0;6;2008;430;100
18;1;0;7;2006;838;100
19;1;0;7;2007;830;100
20;1;0;7;2008;827;100
21;1;1;1;2006;1379;60
22;1;1;1;2007;1393;61
23;1;1;1;2008;1440;64
24;1;1;2;2006;300;61
25;1;1;2;2007;302;61
26;1;1;2;2008;320;65
27;1;1;3;2006;186;63
28;1;1;3;2007;194;65
29;1;1;3;2008;216;72
30;1;1;4;2006;107;70
31;1;1;4;2007;107;70
32;1;1;4;2008;98;67
33;1;1;5;2006;72;97
34;1;1;5;2007;64;88
35;1;1;5;2008;43;68
36;1;1;6;2006;268;62
37;1;1;6;2007;273;65
38;1;1;6;2008;254;59
39;1;1;7;2006;446;53
40;1;1;7;2007;453;55
41;1;1;7;2008;508;61
42;1;2;1;2006;726;32
43;1;2;1;2007;707;31
44;1;2;1;2008;656;29
45;1;2;2;2006;171;35
46;1;2;2;2007;152;31
47;1;2;2;2008;144;29
48;1;2;3;2006;87;30
49;1;2;3;2007;90;30
50;1;2;3;2008;63;21
51;1;2;4;2006;38;25
52;1;2;4;2007;38;25
53;1;2;4;2008;37;25
54;1;2;5;2006;0;0
55;1;2;5;2007;3;4
56;1;2;5;2008;12;19
57;1;2;6;2006;139;32
58;1;2;6;2007;130;31
59;1;2;6;2008;147;34
60;1;2;7;2006;291;35
61;1;2;7;2007;294;35
62;1;2;7;2008;252;30
63;1;3;1;2006;120;5
64;1;3;1;2007;141;6
65;1;3;1;2008;128;6
66;1;3;2;2006;13;3
67;1;3;2;2007;36;7
68;1;3;2;2008;20;4
69;1;3;3;2006;14;5
70;1;3;3;2007;12;4
71;1;3;3;2008;12;4
72;1;3;4;2006;3;2
73;1;3;4;2007;7;5
74;1;3;4;2008;9;6
75;1;3;5;2006;0;0
76;1;3;5;2007;0;0
77;1;3;5;2008;7;11
78;1;3;6;2006;13;3
79;1;3;6;2007;17;4
80;1;3;6;2008;26;6
81;1;3;7;2006;78;9
82;1;3;7;2007;69;8
83;1;3;7;2008;52;6
84;1;4;1;2006;57;2
85;1;4;1;2007;32;1
86;1;4;1;2008;32;1
87;1;4;2;2006;11;2
88;1;4;2;2007;7;1
89;1;4;2;2008;7;1
90;1;4;3;2006;7;2
91;1;4;3;2007;2;1
92;1;4;3;2008;7;2
93;1;4;4;2006;5;3
94;1;4;4;2007;0;0
95;1;4;4;2008;1;1
96;1;4;5;2006;2;3
97;1;4;5;2007;6;8
98;1;4;5;2008;0;0
99;1;4;6;2006;10;2
100;1;4;6;2007;3;1
101;1;4;6;2008;3;1
102;1;4;7;2006;23;3
103;1;4;7;2007;14;2
104;1;4;7;2008;14;2
105;2;0;1;2006;2282;100
106;2;0;1;2007;2273;100
107;2;0;1;2008;2256;100
108;2;0;2;2006;495;100
109;2;0;2;2007;496;100
110;2;0;2;2008;492;100
111;2;0;3;2006;293;100
112;2;0;3;2007;298;100
113;2;0;3;2008;299;100
114;2;0;4;2006;152;100
115;2;0;4;2007;153;100
116;2;0;4;2008;146;100
117;2;0;5;2006;74;100
118;2;0;5;2007;73;100
119;2;0;5;2008;63;100
120;2;0;6;2006;430;100
121;2;0;6;2007;423;100
122;2;0;6;2008;430;100
123;2;0;7;2006;838;100
124;2;0;7;2007;830;100
125;2;0;7;2008;827;100
126;2;1;1;2006;715;31
127;2;1;1;2007;785;35
128;2;1;1;2008;778;34
129;2;1;2;2006;145;29
130;2;1;2;2007;165;33
131;2;1;2;2008;155;32
132;2;1;3;2006;89;30
133;2;1;3;2007;104;35
134;2;1;3;2008;110;37
135;2;1;4;2006;53;35
136;2;1;4;2007;51;33
137;2;1;4;2008;45;31
138;2;1;5;2006;41;55
139;2;1;5;2007;28;38
140;2;1;5;2008;32;51
141;2;1;6;2006;138;32
142;2;1;6;2007;179;42
143;2;1;6;2008;157;37
144;2;1;7;2006;248;30
145;2;1;7;2007;259;31
146;2;1;7;2008;279;34
147;2;2;1;2006;1130;50
148;2;2;1;2007;1078;47
149;2;2;1;2008;1067;47
150;2;2;2;2006;256;52
151;2;2;2;2007;227;46
152;2;2;2;2008;234;48
153;2;2;3;2006;143;49
154;2;2;3;2007;150;50
155;2;2;3;2008;122;41
156;2;2;4;2006;83;55
157;2;2;4;2007;78;51
158;2;2;4;2008;84;58
159;2;2;5;2006;22;30
160;2;2;5;2007;36;49
161;2;2;5;2008;15;24
162;2;2;6;2006;208;48
163;2;2;6;2007;182;43
164;2;2;6;2008;194;45
165;2;2;7;2006;417;50
166;2;2;7;2007;405;49
167;2;2;7;2008;418;51
168;2;3;1;2006;389;17
169;2;3;1;2007;382;17
170;2;3;1;2008;367;16
171;2;3;2;2006;85;17
172;2;3;2;2007;97;20
173;2;3;2;2008;95;19
174;2;3;3;2006;52;18
175;2;3;3;2007;42;14
176;2;3;3;2008;60;20
177;2;3;4;2006;12;8
178;2;3;4;2007;24;16
179;2;3;4;2008;15;10
180;2;3;5;2006;9;12
181;2;3;5;2007;10;14
182;2;3;5;2008;16;25
183;2;3;6;2006;72;17
184;2;3;6;2007;60;14
185;2;3;6;2008;74;17
186;2;3;7;2006;159;19
187;2;3;7;2007;149;18
188;2;3;7;2008;106;13
189;2;4;1;2006;48;2
190;2;4;1;2007;28;1
191;2;4;1;2008;43;2
192;2;4;2;2006;8;2
193;2;4;2;2007;7;1
194;2;4;2;2008;7;1
195;2;4;3;2006;8;3
196;2;4;3;2007;2;1
197;2;4;3;2008;7;2
198;2;4;4;2006;4;3
199;2;4;4;2007;0;0
200;2;4;4;2008;0;0
201;2;4;5;2006;2;3
202;2;4;5;2007;0;0
203;2;4;5;2008;0;0
204;2;4;6;2006;12;3
205;2;4;6;2007;2;0
206;2;4;6;2008;5;1
207;2;4;7;2006;15;2
208;2;4;7;2007;18;2
209;2;4;7;2008;23;3
210;3;0;1;2006;2282;100
211;3;0;1;2007;2273;100
212;3;0;1;2008;2256;100
213;3;0;2;2006;495;100
214;3;0;2;2007;496;100
215;3;0;2;2008;492;100
216;3;0;3;2006;293;100
217;3;0;3;2007;298;100
218;3;0;3;2008;299;100
219;3;0;4;2006;152;100
220;3;0;4;2007;153;100
221;3;0;4;2008;146;100
222;3;0;5;2006;74;100
223;3;0;5;2007;73;100
224;3;0;5;2008;63;100
225;3;0;6;2006;430;100
226;3;0;6;2007;423;100
227;3;0;6;2008;430;100
228;3;0;7;2006;838;100
229;3;0;7;2007;830;100
230;3;0;7;2008;827;100
231;3;1;1;2006;1149;50
232;3;1;1;2007;1160;51
233;3;1;1;2008;1120;50
234;3;1;2;2006;395;80
235;3;1;2;2007;395;80
236;3;1;2;2008;369;75
237;3;1;3;2006;208;71
238;3;1;3;2007;227;76
239;3;1;3;2008;235;79
240;3;1;4;2006;81;53
241;3;1;4;2007;80;52
242;3;1;4;2008;74;51
