ID;SIC2008;Regions;Periods;InvestmentsInTangibleFixedAssets_1;Land_2;CorporateBuildings_3;NetworkInfrastructure_4;MeansOfTransport_5;ComputerHardwarePeripheralEquipment_6;MachineryAndInstallations_7;OtherTangibleFixedAssets_8
0;B-E Industry (no construction), energy;The Netherlands;2009;12042.1;122.65;1293.14;1868.59;492.61;286.4;7210.64;768.08
1;B-E Industry (no construction), energy;The Netherlands;2010;12642.56;144.24;1061.75;2830.35;572.11;261.35;6980.78;791.98
2;B-E Industry (no construction), energy;The Netherlands;2011;15913.9;162.47;1613.29;4846.17;721.37;316.65;7455.38;798.57
3;B-E Industry (no construction), energy;The Netherlands;2012;14640.73;136.37;1241.21;1781.37;508.17;291.99;9996.18;685.43
4;B-E Industry (no construction), energy;The Netherlands;2013;14312.14;150.02;1272.1;2296.06;722.94;287.23;9003.93;579.86
5;B-E Industry (no construction), energy;The Netherlands;2014;16264.74;133.89;1812.72;2724.08;539.56;296.83;10036.9;720.77
6;B-E Industry (no construction), energy;The Netherlands;2015;16544.24;186.49;1486.69;3610.53;758.89;283.91;9462.33;755.4
7;B-E Industry (no construction), energy;The Netherlands;2016;12568.23;137.97;1425.66;2455.17;624.96;331.0;6963.92;629.55
8;B-E Industry (no construction), energy;The Netherlands;2017;12970.15;255.21;1463.7;2429.19;548.53;366.61;7241.35;665.57
9;B-E Industry (no construction), energy;The Netherlands;2018;15369.41;314.39;2166.92;2455.0;528.1;324.32;8786.15;794.53
10;B-E Industry (no construction), energy;The Netherlands;2019;19130.42;264.41;2461.73;3897.03;2212.24;404.0;8773.37;1117.64
11;B-E Industry (no construction), energy;The Netherlands;2020;15895.77;209.71;2051.74;3393.84;711.0;336.21;8229.68;963.37
12;B-E Industry (no construction), energy;The Netherlands;2021;16570.9;325.06;2398.72;3371.77;589.33;395.62;8457.27;1032.93
13;B-E Industry (no construction), energy;The Netherlands;2022;18850.73;277.78;2609.12;3991.53;773.38;426.23;9652.45;1120.01
14;B-E Industry (no construction), energy;The Netherlands;2023;20348.52;;;;;;;
15;B-E Industry (no construction), energy;Noord-Nederland (LD);2009;1422.45;11.95;129.21;281.81;52.51;22.2;858.42;66.36
16;B-E Industry (no construction), energy;Noord-Nederland (LD);2010;1757.18;10.76;109.67;684.88;47.56;24.2;790.78;89.32
17;B-E Industry (no construction), energy;Noord-Nederland (LD);2011;;;;;;;;
18;B-E Industry (no construction), energy;Noord-Nederland (LD);2012;;;;;;;;
19;B-E Industry (no construction), energy;Noord-Nederland (LD);2013;;;;;;;;
20;B-E Industry (no construction), energy;Noord-Nederland (LD);2014;2265.33;10.1;339.86;782.9;36.09;46.4;990.57;59.41
21;B-E Industry (no construction), energy;Noord-Nederland (LD);2015;3326.75;17.65;147.58;479.84;44.43;58.51;2487.03;91.7
22;B-E Industry (no construction), energy;Noord-Nederland (LD);2016;1445.63;8.68;173.19;319.73;43.47;40.8;801.33;58.43
23;B-E Industry (no construction), energy;Noord-Nederland (LD);2017;1196.0;20.68;125.14;205.64;50.66;39.49;684.34;70.05
24;B-E Industry (no construction), energy;Noord-Nederland (LD);2018;;;;;;;;
25;B-E Industry (no construction), energy;Noord-Nederland (LD);2019;;;;;;;;
26;B-E Industry (no construction), energy;Noord-Nederland (LD);2020;;;;;;;;
27;B-E Industry (no construction), energy;Noord-Nederland (LD);2021;;;;;;;;
28;B-E Industry (no construction), energy;Noord-Nederland (LD);2022;;;;;;;;
29;B-E Industry (no construction), energy;Noord-Nederland (LD);2023;;;;;;;;
30;B-E Industry (no construction), energy;Oost-Nederland (LD);2009;2021.49;37.15;322.03;201.01;114.71;54.74;1119.09;172.75
31;B-E Industry (no construction), energy;Oost-Nederland (LD);2010;;;;;;;;
32;B-E Industry (no construction), energy;Oost-Nederland (LD);2011;;;;;;;;
33;B-E Industry (no construction), energy;Oost-Nederland (LD);2012;2364.25;45.68;264.09;443.57;119.97;57.54;1321.22;112.18
34;B-E Industry (no construction), energy;Oost-Nederland (LD);2013;2042.2;49.12;262.49;538.93;100.66;60.85;918.47;111.67
35;B-E Industry (no construction), energy;Oost-Nederland (LD);2014;;;;;;;;
36;B-E Industry (no construction), energy;Oost-Nederland (LD);2015;;;;;;;;
37;B-E Industry (no construction), energy;Oost-Nederland (LD);2016;;;;;;;;
38;B-E Industry (no construction), energy;Oost-Nederland (LD);2017;2733.71;92.23;365.55;659.14;138.69;69.13;1270.38;138.58
39;B-E Industry (no construction), energy;Oost-Nederland (LD);2018;3361.97;103.67;475.25;935.88;141.65;74.87;1441.78;188.87
40;B-E Industry (no construction), energy;Oost-Nederland (LD);2019;3224.86;62.12;472.61;1019.7;152.28;76.02;1238.39;203.74
41;B-E Industry (no construction), energy;Oost-Nederland (LD);2020;3315.22;71.82;525.54;967.34;131.01;64.55;1297.85;257.07
42;B-E Industry (no construction), energy;Oost-Nederland (LD);2021;3776.24;76.35;474.71;1104.13;149.7;92.18;1657.49;221.63
43;B-E Industry (no construction), energy;Oost-Nederland (LD);2022;;;;;;;;
44;B-E Industry (no construction), energy;Oost-Nederland (LD);2023;3527.43;;;;;;;
45;B-E Industry (no construction), energy;West-Nederland (LD);2009;4406.65;34.63;428.25;424.77;210.4;109.35;2848.49;350.76
46;B-E Industry (no construction), energy;West-Nederland (LD);2010;4789.63;71.6;370.65;770.75;199.2;91.33;2917.74;368.37
47;B-E Industry (no construction), energy;West-Nederland (LD);2011;5245.71;44.22;422.01;1252.61;201.28;126.12;2842.13;357.35
48;B-E Industry (no construction), energy;West-Nederland (LD);2012;5610.91;31.15;373.97;561.56;226.87;117.78;3952.33;347.25
49;B-E Industry (no construction), energy;West-Nederland (LD);2013;5507.48;32.09;404.94;878.42;494.25;115.19;3338.28;244.31
50;B-E Industry (no construction), energy;West-Nederland (LD);2014;8872.64;32.05;737.72;969.24;332.92;102.54;6358.4;339.79
