ID;GovernmentSectors;Periods;UnfilledVacancies_1;NewVacancies_2;FilledVacancies_3
0;Total government;1997 1st quarter;9.4;13.9;13.4
1;Total government;1997 2nd quarter;11.6;15.6;13.3
2;Total government;1997 3rd quarter;10.7;18.3;19.3
3;Total government;1997 4th quarter;10.6;13.0;12.6
4;Total government;1997 annual aver. /annual total;;61.0;59.0
5;Total government;1998 1st quarter;12.1;16.7;15.3
6;Total government;1998 2nd quarter;14.3;16.6;14.5
7;Total government;1998 3rd quarter;12.6;20.6;22.3
8;Total government;1998 4th quarter;13.6;15.1;14.0
9;Total government;1998 annual aver. /annual total;12.8;69.0;66.0
10;Total government;1999 1st quarter;13.8;18.1;17.7
11;Total government;1999 2nd quarter;16.8;19.4;16.3
12;Total government;1999 3rd quarter;14.8;20.9;23.1
13;Total government;1999 4th quarter;17.2;16.3;14.0
14;Total government;1999 annual aver. /annual total;15.2;75.0;71.0
15;Total government;2000 1st quarter;16.2;17.3;18.2
16;Total government;2000 2nd quarter;18.2;19.5;17.5
17;Total government;2000 3rd quarter;15.4;22.8;25.5
18;Total government;2000 4th quarter;16.9;18.5;17.0
19;Total government;2000 annual aver. /annual total;16.7;78.0;78.0
20;Total government;2001 1st quarter;16.4;18.8;19.3
21;Total government;2001 2nd quarter;17.8;22.0;20.5
22;Total government;2001 3rd quarter;16.1;21.8;23.8
23;Total government;2001 4th quarter;17.6;18.5;16.8
24;Total government;2001 annual aver. /annual total;16.9;81.0;80.0
25;Total government;2002 1st quarter;16.7;18.4;19.4
26;Total government;2002 2nd quarter;17.5;19.3;18.2
27;Total government;2002 3rd quarter;13.1;19.8;24.4
28;Total government;2002 4th quarter;14.2;14.0;12.6
29;Total government;2002 annual aver. /annual total;15.8;72.0;75.0
30;Total government;2003 1st quarter;11.5;12.3;15.0
31;Total government;2003 2nd quarter;12.2;13.9;13.0
32;Total government;2003 3rd quarter;9.6;14.1;16.7
33;Total government;2003 4th quarter;9.5;10.4;10.4
34;Total government;2003 annual aver. /annual total;11.3;51.0;55.0
35;Total government;2004 1st quarter;10.0;9.9;9.4
36;Total government;2004 2nd quarter;13.2;14.3;11.0
37;Total government;2004 3rd quarter;9.2;10.8;14.7
38;Total government;2004 4th quarter;11.0;11.3;9.3
39;Total government;2004 annual aver. /annual total;10.7;46.0;44.0
40;Total government;2005 1st quarter;9.8;11.0;11.9
41;Total government;2005 2nd quarter;13.4;15.9;12.0
42;Total government;2005 3rd quarter;11.1;14.5;16.8
43;Total government;2005 4th quarter;13.0;13.6;12.0
44;Total government;2005 annual aver. /annual total;11.6;55.0;53.0
45;Total government;2006 1st quarter;12.7;13.4;13.9
46;Total government;2006 2nd quarter;13.0;15.2;15.0
47;Total government;2006 3rd quarter;12.2;15.4;16.3
48;Total government;2006 4th quarter;14.2;16.4;14.3
49;Total government;2006 annual aver. /annual total;12.9;60.0;60.0
50;Total government;2007 1st quarter;15.2;17.6;16.8
51;Total government;2007 2nd quarter;17.0;18.9;17.4
52;Total government;2007 3rd quarter;15.4;19.5;20.9
