ID;Onderwijskenmerk;Persoonskenmerken;Perioden;TotaalBevolking15Tot25Jaar_1;Beroepsbevolking_2;WerkzameBeroepsbevolking_3;WerklozeBeroepsbevolking_4;NietBeroepsbevolking_5;Werkloosheidspercentage_6;WilBetaaldWerkVan12UurOfMeer_7;KanOpKorteTermijnBeginnen_8;Afgelopen4WekenGezocht_9;Afgelopen4WekenNietGezocht_10;WelAfgelopen6MaandenGezocht_11;NietAfgelopen6MaandenGezocht_12;VanwegeWeinigResultaat_13;OverigeRedenen_14;KanNietOpKorteTermijnBeginnen_15;WilGeenBetaaldWerkVan12UurOfMeer_16;WilWerkVanMinderDan12UurPerWeek_17;ZorgVoorGezinOfHuishouden_18;OpleidingStudie_19;ZiekteArbeidsongeschiktheid_20;AndereRedenen_21;WilOfKanNietWerken_22;ZorgVoorGezinOfHuishouden_23;OpleidingStudie_24;ZiekteArbeidsongeschiktheid_25;AndereRedenen_26;WerknemersVasteArbeidsrelatie_27;WerknemersFlexibeleArbeidsrelatie_28;Zelfstandigen_29;PositieWerkkringOnbekend_30;Arbeidsduur4UurOfMinder_31;Arbeidsduur5Tot12Uur_32;Arbeidsduur12Tot20Uur_33;Arbeidsduur20Tot35Uur_34;Arbeidsduur35UurOfMeer_35;ArbeidsduurOnbekend_36
0;Totaal 15 tot 25 jarigen;Mannen en vrouwen;2001;1888.0;920.0;852.0;68.0;968.0;7.4;143.0;108.0;68.0;40.0;13.0;26.0;3.0;23.0;35.0;893.0;487.0;7.0;463.0;;16.0;406.0;23.0;348.0;13.0;22.0;805.0;418.0;39.0;;93.0;317.0;124.0;205.0;524.0;626.0
1;Totaal 15 tot 25 jarigen;Mannen en vrouwen;2002;1907.0;914.0;836.0;79.0;993.0;8.6;155.0;121.0;79.0;42.0;14.0;29.0;5.0;24.0;34.0;916.0;502.0;4.0;480.0;2.0;17.0;414.0;16.0;361.0;15.0;22.0;805.0;429.0;38.0;;103.0;332.0;131.0;218.0;487.0;635.0
2;Totaal 15 tot 25 jarigen;Mannen en vrouwen;2003;1921.0;901.0;805.0;96.0;1020.0;10.6;190.0;155.0;96.0;60.0;20.0;40.0;8.0;32.0;35.0;925.0;518.0;4.0;496.0;2.0;16.0;408.0;13.0;353.0;14.0;27.0;799.0;411.0;36.0;;109.0;331.0;123.0;221.0;461.0;675.0
3;Totaal 15 tot 25 jarigen;Mannen en vrouwen;2004;1929.0;877.0;759.0;119.0;1052.0;13.5;229.0;189.0;119.0;70.0;26.0;44.0;9.0;35.0;40.0;942.0;534.0;3.0;510.0;3.0;19.0;408.0;13.0;359.0;13.0;23.0;743.0;434.0;41.0;;125.0;335.0;118.0;206.0;434.0;711.0
4;Totaal 15 tot 25 jarigen;Mannen en vrouwen;2005;1938.0;854.0;742.0;112.0;1084.0;13.1;229.0;188.0;112.0;76.0;27.0;49.0;10.0;39.0;41.0;966.0;567.0;2.0;536.0;3.0;26.0;399.0;9.0;353.0;14.0;24.0;703.0;457.0;39.0;;129.0;329.0;134.0;202.0;407.0;738.0
5;Totaal 15 tot 25 jarigen;Mannen en vrouwen;2006;1950.0;849.0;758.0;91.0;1101.0;10.7;202.0;164.0;91.0;73.0;26.0;47.0;7.0;40.0;39.0;989.0;582.0;;554.0;5.0;21.0;408.0;10.0;354.0;15.0;29.0;690.0;505.0;50.0;;145.0;343.0;138.0;201.0;420.0;704.0
6;Totaal 15 tot 25 jarigen;Mannen;2001;959.0;486.0;452.0;34.0;473.0;7.0;71.0;55.0;34.0;21.0;7.0;14.0;2.0;12.0;16.0;436.0;232.0;;220.0;;11.0;204.0;;187.0;4.0;12.0;410.0;213.0;25.0;;44.0;152.0;56.0;74.0;323.0;311.0
7;Totaal 15 tot 25 jarigen;Mannen;2002;969.0;483.0;438.0;44.0;487.0;9.2;84.0;68.0;44.0;24.0;8.0;15.0;3.0;13.0;16.0;447.0;246.0;;234.0;;11.0;201.0;;183.0;6.0;11.0;410.0;217.0;24.0;;52.0;161.0;61.0;78.0;299.0;318.0
8;Totaal 15 tot 25 jarigen;Mannen;2003;976.0;481.0;431.0;50.0;495.0;10.4;98.0;82.0;50.0;32.0;11.0;21.0;4.0;17.0;16.0;448.0;247.0;;238.0;;9.0;200.0;;181.0;5.0;14.0;408.0;212.0;23.0;;51.0;162.0;59.0;84.0;288.0;333.0
9;Totaal 15 tot 25 jarigen;Mannen;2004;979.0;466.0;403.0;63.0;514.0;13.5;118.0;97.0;63.0;35.0;13.0;22.0;4.0;17.0;20.0;459.0;254.0;;244.0;;9.0;205.0;;184.0;6.0;14.0;372.0;223.0;27.0;;61.0;158.0;55.0;82.0;266.0;357.0
10;Totaal 15 tot 25 jarigen;Mannen;2005;984.0;448.0;392.0;56.0;536.0;12.5;113.0;96.0;56.0;39.0;13.0;27.0;4.0;22.0;17.0;480.0;273.0;;258.0;;14.0;207.0;;184.0;7.0;15.0;362.0;227.0;23.0;;63.0;158.0;57.0;72.0;263.0;371.0
11;Totaal 15 tot 25 jarigen;Mannen;2006;991.0;449.0;406.0;43.0;542.0;9.6;103.0;84.0;43.0;41.0;15.0;26.0;4.0;22.0;20.0;482.0;281.0;;268.0;;12.0;201.0;;180.0;6.0;15.0;361.0;252.0;32.0;;77.0;162.0;56.0;80.0;270.0;346.0
12;Totaal 15 tot 25 jarigen;Vrouwen;2001;929.0;434.0;400.0;34.0;495.0;7.8;72.0;53.0;34.0;19.0;7.0;13.0;;12.0;19.0;456.0;255.0;6.0;243.0;;5.0;202.0;22.0;161.0;9.0;9.0;396.0;205.0;14.0;;48.0;165.0;68.0;131.0;201.0;315.0
13;Totaal 15 tot 25 jarigen;Vrouwen;2002;938.0;432.0;398.0;34.0;506.0;7.9;71.0;53.0;34.0;19.0;5.0;14.0;2.0;11.0;18.0;469.0;256.0;3.0;246.0;;5.0;213.0;16.0;178.0;9.0;10.0;395.0;212.0;14.0;;52.0;171.0;70.0;140.0;188.0;317.0
14;Totaal 15 tot 25 jarigen;Vrouwen;2003;945.0;420.0;375.0;45.0;525.0;10.8;92.0;73.0;45.0;28.0;9.0;19.0;3.0;15.0;19.0;478.0;270.0;4.0;258.0;;7.0;207.0;13.0;172.0;9.0;13.0;391.0;199.0;12.0;;59.0;169.0;65.0;137.0;173.0;342.0
