ID;SBIsecties93;Jaren;TotaalAantalVerzoekenOmSurseance_1;Eenmanszaken_2;BeslotenVennootschappen_3;VennootschappenOnderFirma_4;OverigeVennootschappen_5;Type0_6;Typen1Tot10_7;Typen10Tot50_8;Typen50Tot100_9;Typen100EnMeer_10;TypeWerknemerOnbekend_11;Tot2Jaar_12;k_2Tot4Jaar_13;k_4Tot6Jaar_14;k_6Tot8Jaar_15;k_8Tot10Jaar_16;k_10Tot15Jaar_17;k_15EnMeerJaren_18;BestaansduurOnbekend_19
0;Totaal;1996;420;134;237;33;16;81;171;77;8;16;67;50.0;62.0;45.0;25.0;27.0;54.0;78.0;79.0
1;Totaal;1997;389;100;231;39;19;66;149;72;17;14;71;38.0;47.0;42.0;33.0;24.0;38.0;79.0;88.0
2;Landbouw, jacht, bosbouw  en visserij;1996;11;4;2;5;0;2;5;2;0;1;1;1.0;3.0;2.0;0.0;0.0;1.0;2.0;2.0
3;Landbouw, jacht, bosbouw  en visserij;1997;9;5;3;1;0;2;6;0;0;0;1;2.0;0.0;1.0;3.0;0.0;2.0;0.0;1.0
4;Industrie en delfstoffenwinning;1996;67;13;47;4;3;8;22;23;2;5;7;7.0;8.0;3.0;3.0;6.0;9.0;21.0;10.0
5;Industrie en delfstoffenwinning;1997;66;14;44;7;1;7;19;18;10;3;9;7.0;6.0;11.0;2.0;1.0;6.0;20.0;13.0
6;Bouwnijverheid;1996;48;23;21;4;0;11;20;13;2;0;2;9.0;6.0;9.0;4.0;4.0;5.0;8.0;3.0
7;Bouwnijverheid;1997;49;17;24;8;0;9;20;15;2;1;2;5.0;8.0;4.0;4.0;3.0;8.0;13.0;4.0
8;"Reparatie consumentenart; handel";1996;108;36;59;10;3;29;49;16;4;1;9;13.0;22.0;9.0;6.0;6.0;14.0;29.0;9.0
9;"Reparatie consumentenart; handel";1997;107;31;61;13;2;15;50;19;2;8;13;6.0;15.0;11.0;9.0;11.0;12.0;28.0;15.0
10;Horeca;1996;30;16;11;3;0;2;20;3;0;1;4;9.0;2.0;2.0;0.0;2.0;4.0;6.0;5.0
11;Horeca;1997;17;5;7;3;2;3;10;0;0;0;4;1.0;2.0;3.0;2.0;0.0;1.0;3.0;5.0
12;Vervoer, opslag en communicatie;1996;28;9;16;2;1;3;12;3;0;7;3;4.0;5.0;6.0;2.0;0.0;0.0;6.0;5.0
13;Vervoer, opslag en communicatie;1997;22;4;12;2;4;3;7;8;0;0;4;5.0;4.0;4.0;1.0;0.0;0.0;0.0;8.0
14;Financiële instellingen;1996;19;1;17;1;0;5;5;0;0;0;9;5.0;11.0;11.0;8.0;9.0;18.0;6.0;29.0
15;Financiële instellingen;1997;13;0;13;0;0;2;4;0;0;0;7;9.0;12.0;5.0;11.0;7.0;9.0;11.0;16.0
16;"Verhuur; zakelijke dienstverlening";1996;78;22;51;3;2;12;29;16;0;1;20;;;;;;;;
17;"Verhuur; zakelijke dienstverlening";1997;67;13;49;2;3;22;23;9;3;2;8;;;;;;;;
18;Onderwijs, gezondheid en milieu;1996;20;7;7;0;6;8;9;1;0;0;2;2.0;4.0;3.0;2.0;0.0;3.0;0.0;6.0
19;Onderwijs, gezondheid en milieu;1997;21;9;5;1;6;3;10;3;0;0;5;3.0;0.0;3.0;1.0;2.0;0.0;4.0;8.0
