ID;SBI93EnBedrijfsgrootte;Perioden;Vacatures_1;OntstaneVacatures_2;VervuldeVacatures_3;Vacatures_4;OntstaneVacatures_5;VervuldeVacatures_6
0;A-O Totaal SBI'93;1994 1e kwartaal;;;;43.2;108.0;98.0
1;A-O Totaal SBI'93;1994 2e kwartaal;;;;41.6;115.0;117.0
2;A-O Totaal SBI'93;1994 3e kwartaal;;;;39.4;117.0;119.0
3;A-O Totaal SBI'93;1994 4e kwartaal;;;;42.8;98.0;95.0
4;A-O Totaal SBI'93;1994 jaargem./jaartotaal;;;;40.6;438.0;428.0
5;A-O Totaal SBI'93;1995 1e kwartaal;;;;56.0;131.0;118.0
6;A-O Totaal SBI'93;1995 2e kwartaal;;;;55.0;134.0;135.0
7;A-O Totaal SBI'93;1995 3e kwartaal;;;;55.3;141.0;141.0
8;A-O Totaal SBI'93;1995 4e kwartaal;;;;61.7;120.0;114.0
9;A-O Totaal SBI'93;1995 jaargem./jaartotaal;;;;54.6;526.0;508.0
10;A-O Totaal SBI'93;1996 1e kwartaal;;;;72.6;145.0;134.0
11;A-O Totaal SBI'93;1996 2e kwartaal;;;;71.2;152.0;153.0
12;A-O Totaal SBI'93;1996 3e kwartaal;;;;61.1;141.0;151.0
13;A-O Totaal SBI'93;1996 4e kwartaal;;;;70.4;133.0;123.0
14;A-O Totaal SBI'93;1996 jaargem./jaartotaal;;;;67.7;571.0;561.0
15;A-O Totaal SBI'93;1997 1e kwartaal;;;;80.1;138.0;129.0
16;A-O Totaal SBI'93;1997 2e kwartaal;;;;90.0;176.0;166.0
17;A-O Totaal SBI'93;1997 3e kwartaal;;;;82.1;165.0;173.0
18;A-O Totaal SBI'93;1997 4e kwartaal;;;;105.8;177.0;153.0
19;A-O Totaal SBI'93;1997 jaargem./jaartotaal;;;;85.1;656.0;621.0
20;A-O Totaal SBI'93;1998 1e kwartaal;;;;122.3;204.0;188.0
21;A-O Totaal SBI'93;1998 2e kwartaal;;;;138.7;214.0;197.0
22;A-O Totaal SBI'93;1998 3e kwartaal;;;;117.5;189.0;211.0
23;A-O Totaal SBI'93;1998 4e kwartaal;;;;124.4;183.0;176.0
24;A-O Totaal SBI'93;1998 jaargem./jaartotaal;;;;123.4;790.0;772.0
25;A-O Totaal SBI'93;1999 1e kwartaal;;;;145.5;225.0;204.0
26;A-O Totaal SBI'93;1999 2e kwartaal;;;;181.6;250.0;214.0
27;A-O Totaal SBI'93;1999 3e kwartaal;;;;157.4;197.0;221.0
28;A-O Totaal SBI'93;1999 4e kwartaal;;;;168.1;210.0;200.0
29;A-O Totaal SBI'93;1999 jaargem./jaartotaal;;;;157.7;882.0;839.0
30;A-O Totaal SBI'93;2000 1e kwartaal;;;;200.8;267.0;234.0
31;A-O Totaal SBI'93;2000 2e kwartaal;;;;201.6;233.0;232.0
32;A-O Totaal SBI'93;2000 3e kwartaal;;;;169.4;208.0;240.0
33;A-O Totaal SBI'93;2000 4e kwartaal;;;;188.8;237.0;217.0
34;A-O Totaal SBI'93;2000 jaargem./jaartotaal;;;;187.6;945.0;924.0
35;A-O Totaal SBI'93;2001 1e kwartaal;;;;200.6;252.0;241.0
36;A-O Totaal SBI'93;2001 2e kwartaal;;;;201.7;252.0;251.0
37;A-O Totaal SBI'93;2001 3e kwartaal;;;;156.1;189.0;234.0
38;A-O Totaal SBI'93;2001 4e kwartaal;;;;147.8;176.0;185.0
39;A-O Totaal SBI'93;2001 jaargem./jaartotaal;;;;181.7;870.0;911.0
40;A-O Totaal SBI'93;2002 1e kwartaal;;;;162.8;196.0;181.0
41;A-O Totaal SBI'93;2002 2e kwartaal;;;;146.0;182.0;199.0
42;A-O Totaal SBI'93;2002 3e kwartaal;;;;103.3;141.0;184.0
43;A-O Totaal SBI'93;2002 4e kwartaal;;;;107.9;149.0;144.0
44;A-O Totaal SBI'93;2002 jaargem./jaartotaal;;;;135.0;668.0;708.0
45;A-O Totaal SBI'93;2003 1e kwartaal;;;;113.1;165.0;160.0
46;A-O Totaal SBI'93;2003 2e kwartaal;;;;114.0;162.0;161.0
47;A-O Totaal SBI'93;2003 3e kwartaal;;;;72.5;128.0;169.0
48;A-O Totaal SBI'93;2003 4e kwartaal;;;;85.4;142.0;129.0
49;A-O Totaal SBI'93;2003 jaargem./jaartotaal;;;;99.1;597.0;620.0
50;A-O Totaal SBI'93;2004 1e kwartaal;;;;112.0;169.0;143.0
