ID;StedelijkheidWoongemeente;VerdachtenNaarSoortMisdrijf;Perioden;AantalVerdachten_1;VerdachtenPer1000Inwoners_2
0;Totaal verdachten van misdrijven;Totaal verdachten van misdrijven;1999;139330;10.0
1;Totaal verdachten van misdrijven;Totaal verdachten van misdrijven;2000;138110;10.0
2;Totaal verdachten van misdrijven;Totaal verdachten van misdrijven;2001;149270;11.0
3;Totaal verdachten van misdrijven;Totaal verdachten van misdrijven;2002;164230;12.0
4;Totaal verdachten van misdrijven;Totaal verdachten van misdrijven;2003;184020;13.0
5;Totaal verdachten van misdrijven;Totaal verdachten van misdrijven;2004;199180;14.0
6;Totaal verdachten van misdrijven;Totaal verdachten van misdrijven;2005;209350;15.0
7;Totaal verdachten van misdrijven;Totaal verdachten van misdrijven;2006;214320;15.0
8;Totaal verdachten van misdrijven;Totaal verdachten van misdrijven;2007;216790;15.0
9;Totaal verdachten van misdrijven;Totaal verdachten van misdrijven;2008;203040;14.0
10;Totaal verdachten van misdrijven;Vermogensmisdrijven;1999;36840;3.0
11;Totaal verdachten van misdrijven;Vermogensmisdrijven;2000;34810;3.0
12;Totaal verdachten van misdrijven;Vermogensmisdrijven;2001;36330;3.0
13;Totaal verdachten van misdrijven;Vermogensmisdrijven;2002;37590;3.0
14;Totaal verdachten van misdrijven;Vermogensmisdrijven;2003;39750;3.0
15;Totaal verdachten van misdrijven;Vermogensmisdrijven;2004;41950;3.0
16;Totaal verdachten van misdrijven;Vermogensmisdrijven;2005;42820;3.0
17;Totaal verdachten van misdrijven;Vermogensmisdrijven;2006;43420;3.0
18;Totaal verdachten van misdrijven;Vermogensmisdrijven;2007;42280;3.0
19;Totaal verdachten van misdrijven;Vermogensmisdrijven;2008;41320;3.0
20;Totaal verdachten van misdrijven;Vernieling en openbare orde;1999;13330;1.0
21;Totaal verdachten van misdrijven;Vernieling en openbare orde;2000;13790;1.0
22;Totaal verdachten van misdrijven;Vernieling en openbare orde;2001;15120;1.0
23;Totaal verdachten van misdrijven;Vernieling en openbare orde;2002;17130;1.0
24;Totaal verdachten van misdrijven;Vernieling en openbare orde;2003;19240;1.0
25;Totaal verdachten van misdrijven;Vernieling en openbare orde;2004;21490;2.0
26;Totaal verdachten van misdrijven;Vernieling en openbare orde;2005;23620;2.0
27;Totaal verdachten van misdrijven;Vernieling en openbare orde;2006;24070;2.0
28;Totaal verdachten van misdrijven;Vernieling en openbare orde;2007;25290;2.0
29;Totaal verdachten van misdrijven;Vernieling en openbare orde;2008;22710;2.0
30;Totaal verdachten van misdrijven;Geweldsmisdrijven;1999;19800;1.0
31;Totaal verdachten van misdrijven;Geweldsmisdrijven;2000;20650;2.0
32;Totaal verdachten van misdrijven;Geweldsmisdrijven;2001;24130;2.0
33;Totaal verdachten van misdrijven;Geweldsmisdrijven;2002;27280;2.0
34;Totaal verdachten van misdrijven;Geweldsmisdrijven;2003;31970;2.0
35;Totaal verdachten van misdrijven;Geweldsmisdrijven;2004;36070;3.0
36;Totaal verdachten van misdrijven;Geweldsmisdrijven;2005;40280;3.0
37;Totaal verdachten van misdrijven;Geweldsmisdrijven;2006;42230;3.0
38;Totaal verdachten van misdrijven;Geweldsmisdrijven;2007;43630;3.0
39;Totaal verdachten van misdrijven;Geweldsmisdrijven;2008;41720;3.0
40;Totaal verdachten van misdrijven;Verkeersmisdrijven;1999;36630;3.0
41;Totaal verdachten van misdrijven;Verkeersmisdrijven;2000;36980;3.0
42;Totaal verdachten van misdrijven;Verkeersmisdrijven;2001;39100;3.0
43;Totaal verdachten van misdrijven;Verkeersmisdrijven;2002;42110;3.0
44;Totaal verdachten van misdrijven;Verkeersmisdrijven;2003;46070;3.0
45;Totaal verdachten van misdrijven;Verkeersmisdrijven;2004;46180;3.0
46;Totaal verdachten van misdrijven;Verkeersmisdrijven;2005;47220;3.0
47;Totaal verdachten van misdrijven;Verkeersmisdrijven;2006;48840;3.0
48;Totaal verdachten van misdrijven;Verkeersmisdrijven;2007;50230;4.0
49;Totaal verdachten van misdrijven;Verkeersmisdrijven;2008;47160;3.0
50;Totaal verdachten van misdrijven;Drugsmisdrijven;1999;4020;0.0
51;Totaal verdachten van misdrijven;Drugsmisdrijven;2000;3950;0.0
52;Totaal verdachten van misdrijven;Drugsmisdrijven;2001;4920;0.0
53;Totaal verdachten van misdrijven;Drugsmisdrijven;2002;5610;0.0
54;Totaal verdachten van misdrijven;Drugsmisdrijven;2003;6950;1.0
55;Totaal verdachten van misdrijven;Drugsmisdrijven;2004;7820;1.0
56;Totaal verdachten van misdrijven;Drugsmisdrijven;2005;8220;1.0
57;Totaal verdachten van misdrijven;Drugsmisdrijven;2006;8580;1.0
58;Totaal verdachten van misdrijven;Drugsmisdrijven;2007;8380;1.0
59;Totaal verdachten van misdrijven;Drugsmisdrijven;2008;7580;1.0
60;Totaal verdachten van misdrijven;Overige misdrijven;1999;6690;0.0
61;Totaal verdachten van misdrijven;Overige misdrijven;2000;6860;1.0
62;Totaal verdachten van misdrijven;Overige misdrijven;2001;7310;1.0
