ID;RegioS;Geslacht;Leeftijd;AantalPersonenMet52WekenInkomen_1;GemiddeldBesteedbaarInkomen_2
0;Nederland;Totaal mannen en vrouwen;Totaal leeftijd;10631.2;17.0
1;Nederland;Totaal mannen en vrouwen;15 tot 25 jaar;1070.7;8.5
2;Nederland;Totaal mannen en vrouwen;25 tot 45 jaar;4169.7;18.2
3;Nederland;Totaal mannen en vrouwen;45 tot 65 jaar;3228.4;20.0
4;Nederland;Totaal mannen en vrouwen;65 jaar en ouder;2162.4;14.7
5;Nederland;Man;Totaal leeftijd;5707.3;20.7
6;Nederland;Man;15 tot 25 jaar;552.4;9.1
7;Nederland;Man;25 tot 45 jaar;2307.0;21.5
8;Nederland;Man;45 tot 65 jaar;1942.8;24.3
9;Nederland;Man;65 jaar en ouder;905.1;18.2
10;Nederland;Vrouw;Totaal leeftijd;4923.9;12.8
11;Nederland;Vrouw;15 tot 25 jaar;518.3;7.9
12;Nederland;Vrouw;25 tot 45 jaar;1862.6;14.0
13;Nederland;Vrouw;45 tot 65 jaar;1285.6;13.4
14;Nederland;Vrouw;65 jaar en ouder;1257.3;12.2
15;Noord-Nederland;Totaal mannen en vrouwen;Totaal leeftijd;1104.3;15.6
16;Noord-Nederland;Totaal mannen en vrouwen;15 tot 25 jaar;110.3;8.1
17;Noord-Nederland;Totaal mannen en vrouwen;25 tot 45 jaar;412.3;16.5
18;Noord-Nederland;Totaal mannen en vrouwen;45 tot 65 jaar;337.6;18.5
19;Noord-Nederland;Totaal mannen en vrouwen;65 jaar en ouder;244.1;13.7
20;Noord-Nederland;Man;Totaal leeftijd;602.2;18.8
21;Noord-Nederland;Man;15 tot 25 jaar;58.0;8.7
22;Noord-Nederland;Man;25 tot 45 jaar;231.5;19.3
23;Noord-Nederland;Man;45 tot 65 jaar;209.1;22.0
24;Noord-Nederland;Man;65 jaar en ouder;103.6;16.7
25;Noord-Nederland;Vrouw;Totaal leeftijd;502.1;11.8
26;Noord-Nederland;Vrouw;15 tot 25 jaar;52.3;7.3
27;Noord-Nederland;Vrouw;25 tot 45 jaar;180.8;12.9
28;Noord-Nederland;Vrouw;45 tot 65 jaar;128.4;12.6
29;Noord-Nederland;Vrouw;65 jaar en ouder;140.6;11.5
30;Oost-Nederland;Totaal mannen en vrouwen;Totaal leeftijd;2204.5;16.5
31;Oost-Nederland;Totaal mannen en vrouwen;15 tot 25 jaar;239.4;8.5
32;Oost-Nederland;Totaal mannen en vrouwen;25 tot 45 jaar;867.4;17.6
33;Oost-Nederland;Totaal mannen en vrouwen;45 tot 65 jaar;657.8;19.5
34;Oost-Nederland;Totaal mannen en vrouwen;65 jaar en ouder;439.9;14.4
35;Oost-Nederland;Man;Totaal leeftijd;1198.9;20.2
36;Oost-Nederland;Man;15 tot 25 jaar;125.4;9.1
37;Oost-Nederland;Man;25 tot 45 jaar;485.8;21.0
38;Oost-Nederland;Man;45 tot 65 jaar;402.2;23.7
39;Oost-Nederland;Man;65 jaar en ouder;185.6;17.7
40;Oost-Nederland;Vrouw;Totaal leeftijd;1005.5;12.2
41;Oost-Nederland;Vrouw;15 tot 25 jaar;114.1;7.8
42;Oost-Nederland;Vrouw;25 tot 45 jaar;381.6;13.2
43;Oost-Nederland;Vrouw;45 tot 65 jaar;255.6;12.8
44;Oost-Nederland;Vrouw;65 jaar en ouder;254.2;11.9
45;West-Nederland;Totaal mannen en vrouwen;Totaal leeftijd;4975.1;17.8
46;West-Nederland;Totaal mannen en vrouwen;15 tot 25 jaar;488.8;8.8
47;West-Nederland;Totaal mannen en vrouwen;25 tot 45 jaar;1985.3;18.9
48;West-Nederland;Totaal mannen en vrouwen;45 tot 65 jaar;1499.8;20.8
49;West-Nederland;Totaal mannen en vrouwen;65 jaar en ouder;1001.3;15.3
50;West-Nederland;Man;Totaal leeftijd;2625.6;21.6
51;West-Nederland;Man;15 tot 25 jaar;248.9;9.3
52;West-Nederland;Man;25 tot 45 jaar;1084.5;22.3
53;West-Nederland;Man;45 tot 65 jaar;880.0;25.4
54;West-Nederland;Man;65 jaar en ouder;412.2;19.1
55;West-Nederland;Vrouw;Totaal leeftijd;2349.6;13.5
56;West-Nederland;Vrouw;15 tot 25 jaar;239.9;8.2
57;West-Nederland;Vrouw;25 tot 45 jaar;900.8;14.9
58;West-Nederland;Vrouw;45 tot 65 jaar;619.8;14.2
59;West-Nederland;Vrouw;65 jaar en ouder;589.1;12.7
60;Zuid-Nederland;Totaal mannen en vrouwen;Totaal leeftijd;2347.3;16.7
61;Zuid-Nederland;Totaal mannen en vrouwen;15 tot 25 jaar;232.2;8.4
62;Zuid-Nederland;Totaal mannen en vrouwen;25 tot 45 jaar;904.6;17.7
63;Zuid-Nederland;Totaal mannen en vrouwen;45 tot 65 jaar;733.3;19.5
64;Zuid-Nederland;Totaal mannen en vrouwen;65 jaar en ouder;477.1;14.3
65;Zuid-Nederland;Man;Totaal leeftijd;1280.6;20.4
66;Zuid-Nederland;Man;15 tot 25 jaar;120.1;9.0
67;Zuid-Nederland;Man;25 tot 45 jaar;505.3;21.3
68;Zuid-Nederland;Man;45 tot 65 jaar;451.6;23.7
69;Zuid-Nederland;Man;65 jaar en ouder;203.7;17.6
70;Zuid-Nederland;Vrouw;Totaal leeftijd;1066.7;12.1
71;Zuid-Nederland;Vrouw;15 tot 25 jaar;112.1;7.7
72;Zuid-Nederland;Vrouw;25 tot 45 jaar;399.4;13.3
73;Zuid-Nederland;Vrouw;45 tot 65 jaar;281.7;12.6
74;Zuid-Nederland;Vrouw;65 jaar en ouder;273.5;11.8
75;Groningen;Totaal mannen en vrouwen;Totaal leeftijd;375.7;15.4
76;Groningen;Totaal mannen en vrouwen;15 tot 25 jaar;40.2;7.6
77;Groningen;Totaal mannen en vrouwen;25 tot 45 jaar;143.0;16.4
78;Groningen;Totaal mannen en vrouwen;45 tot 65 jaar;111.4;18.3
79;Groningen;Totaal mannen en vrouwen;65 jaar en ouder;81.0;13.5
80;Groningen;Man;Totaal leeftijd;202.2;18.2
81;Groningen;Man;15 tot 25 jaar;20.5;8.1
82;Groningen;Man;25 tot 45 jaar;79.6;18.8
83;Groningen;Man;45 tot 65 jaar;68.5;21.6
84;Groningen;Man;65 jaar en ouder;33.6;16.2
85;Groningen;Vrouw;Totaal leeftijd;173.4;12.0
86;Groningen;Vrouw;15 tot 25 jaar;19.7;7.1
87;Groningen;Vrouw;25 tot 45 jaar;63.4;13.3
88;Groningen;Vrouw;45 tot 65 jaar;42.9;12.9
89;Groningen;Vrouw;65 jaar en ouder;47.4;11.6
90;Friesland;Totaal mannen en vrouwen;Totaal leeftijd;411.8;15.6
91;Friesland;Totaal mannen en vrouwen;15 tot 25 jaar;41.9;8.4
92;Friesland;Totaal mannen en vrouwen;25 tot 45 jaar;153.9;16.5
93;Friesland;Totaal mannen en vrouwen;45 tot 65 jaar;126.0;18.4
94;Friesland;Totaal mannen en vrouwen;65 jaar en ouder;90.0;13.7
95;Friesland;Man;Totaal leeftijd;227.3;18.8
96;Friesland;Man;15 tot 25 jaar;22.5;9.2
97;Friesland;Man;25 tot 45 jaar;87.5;19.4
98;Friesland;Man;45 tot 65 jaar;79.0;22.0
99;Friesland;Man;65 jaar en ouder;38.3;16.9
100;Friesland;Vrouw;Totaal leeftijd;184.5;11.7
101;Friesland;Vrouw;15 tot 25 jaar;19.4;7.5
102;Friesland;Vrouw;25 tot 45 jaar;66.4;12.6
103;Friesland;Vrouw;45 tot 65 jaar;47.0;12.3
104;Friesland;Vrouw;65 jaar en ouder;51.7;11.4
105;Drenthe;Totaal mannen en vrouwen;Totaal leeftijd;316.8;15.9
106;Drenthe;Totaal mannen en vrouwen;15 tot 25 jaar;28.2;8.3
107;Drenthe;Totaal mannen en vrouwen;25 tot 45 jaar;115.3;16.6
108;Drenthe;Totaal mannen en vrouwen;45 tot 65 jaar;100.2;18.7
109;Drenthe;Totaal mannen en vrouwen;65 jaar en ouder;73.1;14.0
110;Drenthe;Man;Totaal leeftijd;172.7;19.3
111;Drenthe;Man;15 tot 25 jaar;15.1;9.0
112;Drenthe;Man;25 tot 45 jaar;64.3;19.7
113;Drenthe;Man;45 tot 65 jaar;61.6;22.6
114;Drenthe;Man;65 jaar en ouder;31.7;17.2
115;Drenthe;Vrouw;Totaal leeftijd;144.1;11.8
116;Drenthe;Vrouw;15 tot 25 jaar;13.2;7.5
117;Drenthe;Vrouw;25 tot 45 jaar;51.0;12.6
118;Drenthe;Vrouw;45 tot 65 jaar;38.5;12.6
119;Drenthe;Vrouw;65 jaar en ouder;41.4;11.5
120;Overijssel;Totaal mannen en vrouwen;Totaal leeftijd;711.5;16.0
121;Overijssel;Totaal mannen en vrouwen;15 tot 25 jaar;80.0;8.4
122;Overijssel;Totaal mannen en vrouwen;25 tot 45 jaar;276.6;17.2
123;Overijssel;Totaal mannen en vrouwen;45 tot 65 jaar;207.3;18.9
124;Overijssel;Totaal mannen en vrouwen;65 jaar en ouder;147.4;13.7
125;Overijssel;Man;Totaal leeftijd;390.3;19.4
126;Overijssel;Man;15 tot 25 jaar;42.4;9.0
127;Overijssel;Man;25 tot 45 jaar;156.9;20.5
128;Overijssel;Man;45 tot 65 jaar;128.9;22.9
129;Overijssel;Man;65 jaar en ouder;62.1;16.8
130;Overijssel;Vrouw;Totaal leeftijd;321.2;11.8
131;Overijssel;Vrouw;15 tot 25 jaar;37.6;7.7
132;Overijssel;Vrouw;25 tot 45 jaar;119.7;12.9
133;Overijssel;Vrouw;45 tot 65 jaar;78.5;12.2
134;Overijssel;Vrouw;65 jaar en ouder;85.3;11.5
135;Flevoland;Totaal mannen en vrouwen;Totaal leeftijd;210.4;16.9
