ID;Perioden;BrutoBinnenlandsProductVolumegroei_1;Totaal_2;Totaal_3;Huishoudens_4;Overheid_5;Investeringen_6;Totaal_7;GoederenUitBinnenlandseProductie_8;Wederuitvoer_9;Diensten_10
0;2016;2.2;2.2;0.4;0.2;0.2;1.8;0.0;0.5;0.2;-0.7
1;2017;2.9;1.2;0.6;0.4;0.2;0.6;1.7;0.6;0.3;0.8
2;2018;2.6;1.4;1.0;0.7;0.3;0.4;1.2;0.4;0.2;0.6
