ID;Geslacht;LeeftijdPartnerOp31December;HuwelijksduurOp31December;Perioden;OverledenenGehuwden_1
0;Totaal mannen en vrouwen;Totaal;Totaal huwelijksduur;1996;59269.0
1;Totaal mannen en vrouwen;Totaal;Totaal huwelijksduur;1997;57964.0
2;Totaal mannen en vrouwen;Totaal;Totaal huwelijksduur;1998;58314.0
3;Totaal mannen en vrouwen;Totaal;Totaal huwelijksduur;1999;58824.0
4;Totaal mannen en vrouwen;Totaal;Totaal huwelijksduur;2000;58953.0
5;Totaal mannen en vrouwen;Totaal;Totaal huwelijksduur;2001;58471.0
6;Totaal mannen en vrouwen;Totaal;Totaal huwelijksduur;2002;58525.0
7;Totaal mannen en vrouwen;Totaal;Totaal huwelijksduur;2003;58291.0
8;Totaal mannen en vrouwen;Totaal;Totaal huwelijksduur;2004;56681.0
9;Totaal mannen en vrouwen;Totaal;Totaal huwelijksduur;2005;56273.0
10;Totaal mannen en vrouwen;Totaal;Totaal huwelijksduur;2006;55141.0
11;Totaal mannen en vrouwen;Totaal;Totaal huwelijksduur;2007;54756.0
12;Totaal mannen en vrouwen;Totaal;Totaal huwelijksduur;2008;54743.0
13;Totaal mannen en vrouwen;Totaal;Totaal huwelijksduur;2009;54918.0
14;Totaal mannen en vrouwen;Totaal;Totaal huwelijksduur;2010;56022.0
15;Totaal mannen en vrouwen;Totaal;Totaal huwelijksduur;2011;55645.0
16;Totaal mannen en vrouwen;Totaal;Totaal huwelijksduur;2012;57166.0
17;Totaal mannen en vrouwen;Totaal;Totaal huwelijksduur;2013;57331.0
18;Totaal mannen en vrouwen;Totaal;Totaal huwelijksduur;2014;56585.0
19;Totaal mannen en vrouwen;Totaal;Totaal huwelijksduur;2015;58927.0
20;Totaal mannen en vrouwen;Totaal;Totaal huwelijksduur;2016;59506.0
21;Totaal mannen en vrouwen;Totaal;Totaal huwelijksduur;2017;59640.0
22;Totaal mannen en vrouwen;Totaal;Totaal huwelijksduur;2018;61127.0
23;Totaal mannen en vrouwen;Totaal;Totaal huwelijksduur;2019;61020.0
24;Totaal mannen en vrouwen;Totaal;Totaal huwelijksduur;2020;67649.0
25;Totaal mannen en vrouwen;Totaal;Totaal huwelijksduur;2021;68721.0
26;Totaal mannen en vrouwen;Totaal;Totaal huwelijksduur;2022;66507.0
27;Totaal mannen en vrouwen;Totaal;Totaal huwelijksduur;2023;65908.0
28;Totaal mannen en vrouwen;Totaal;Minder dan 1 jaar gehuwd geweest;1996;203.0
29;Totaal mannen en vrouwen;Totaal;Minder dan 1 jaar gehuwd geweest;1997;201.0
30;Totaal mannen en vrouwen;Totaal;Minder dan 1 jaar gehuwd geweest;1998;219.0
31;Totaal mannen en vrouwen;Totaal;Minder dan 1 jaar gehuwd geweest;1999;209.0
32;Totaal mannen en vrouwen;Totaal;Minder dan 1 jaar gehuwd geweest;2000;202.0
33;Totaal mannen en vrouwen;Totaal;Minder dan 1 jaar gehuwd geweest;2001;241.0
34;Totaal mannen en vrouwen;Totaal;Minder dan 1 jaar gehuwd geweest;2002;219.0
35;Totaal mannen en vrouwen;Totaal;Minder dan 1 jaar gehuwd geweest;2003;232.0
36;Totaal mannen en vrouwen;Totaal;Minder dan 1 jaar gehuwd geweest;2004;241.0
37;Totaal mannen en vrouwen;Totaal;Minder dan 1 jaar gehuwd geweest;2005;237.0
38;Totaal mannen en vrouwen;Totaal;Minder dan 1 jaar gehuwd geweest;2006;234.0
39;Totaal mannen en vrouwen;Totaal;Minder dan 1 jaar gehuwd geweest;2007;243.0
40;Totaal mannen en vrouwen;Totaal;Minder dan 1 jaar gehuwd geweest;2008;270.0
41;Totaal mannen en vrouwen;Totaal;Minder dan 1 jaar gehuwd geweest;2009;281.0
42;Totaal mannen en vrouwen;Totaal;Minder dan 1 jaar gehuwd geweest;2010;312.0
43;Totaal mannen en vrouwen;Totaal;Minder dan 1 jaar gehuwd geweest;2011;312.0
44;Totaal mannen en vrouwen;Totaal;Minder dan 1 jaar gehuwd geweest;2012;337.0
45;Totaal mannen en vrouwen;Totaal;Minder dan 1 jaar gehuwd geweest;2013;337.0
46;Totaal mannen en vrouwen;Totaal;Minder dan 1 jaar gehuwd geweest;2014;344.0
47;Totaal mannen en vrouwen;Totaal;Minder dan 1 jaar gehuwd geweest;2015;347.0
48;Totaal mannen en vrouwen;Totaal;Minder dan 1 jaar gehuwd geweest;2016;360.0
49;Totaal mannen en vrouwen;Totaal;Minder dan 1 jaar gehuwd geweest;2017;403.0
50;Totaal mannen en vrouwen;Totaal;Minder dan 1 jaar gehuwd geweest;2018;386.0
51;Totaal mannen en vrouwen;Totaal;Minder dan 1 jaar gehuwd geweest;2019;384.0
52;Totaal mannen en vrouwen;Totaal;Minder dan 1 jaar gehuwd geweest;2020;413.0
53;Totaal mannen en vrouwen;Totaal;Minder dan 1 jaar gehuwd geweest;2021;413.0
54;Totaal mannen en vrouwen;Totaal;Minder dan 1 jaar gehuwd geweest;2022;429.0
55;Totaal mannen en vrouwen;Totaal;Minder dan 1 jaar gehuwd geweest;2023;413.0
56;Totaal mannen en vrouwen;Totaal;1 jaar gehuwd geweest;1996;227.0
57;Totaal mannen en vrouwen;Totaal;1 jaar gehuwd geweest;1997;214.0
58;Totaal mannen en vrouwen;Totaal;1 jaar gehuwd geweest;1998;254.0
