ID;Leeftijd;Regiokenmerken;Inwoners_1;Bijstandsontvangers_2;Bijstandsdichtheid_3;Instroom_4;Instroom_5;Uitstroom_6;Uitstroom_7;UitstroomNaarWerk_8;UitstroomNaarWerk_9;PersonenMetReIntegratievoorziening_10;WerkNaReIntegratie_11;WerkNaReIntegratie_12;PersonenMetBijstandEnReIntegratie_13;BijstandsontvangersMetReIntegratie_14;ReIntegratieontvangersMetBijstand_15;WSWWerknemers_16;WSWDichtheid_17
340;15 jaar of ouder;Schagen;39220;670;17.0;170;21.0;160;19.0;90.0;11.5;170.0;40.0;12.0;130.0;21.0;74.0;190.0;5.0
341;15 jaar of ouder;Scherpenzeel;7850;70;9.5;30;22.5;30;30.0;20.0;18.0;70.0;20.0;37.0;40.0;59.5;64.0;10.0;1.0
342;15 jaar of ouder;Schiedam;65460;3210;49.0;610;15.5;680;17.0;300.0;8.5;1560.0;360.0;23.0;1200.0;42.0;77.0;460.0;7.0
343;15 jaar of ouder;Schiermonnikoog;830;10;12.0;0;;0;;0.0;;0.0;0.0;;0.0;;;0.0;
344;15 jaar of ouder;Schinnen;11140;210;19.0;70;25.0;40;13.5;20.0;6.0;120.0;10.0;13.5;110.0;56.0;87.5;70.0;6.5
345;15 jaar of ouder;Schouwen-Duiveland;28910;540;18.5;160;22.0;160;22.5;100.0;14.0;280.0;70.0;26.0;190.0;38.0;68.5;240.0;8.0
346;15 jaar of ouder;Simpelveld;9170;160;17.0;60;26.5;70;29.5;40.0;17.0;130.0;30.0;32.5;90.0;64.5;70.5;110.0;11.5
347;15 jaar of ouder;Sint Anthonis;9870;100;9.5;30;21.0;30;25.0;10.0;10.0;60.0;20.0;23.0;40.0;45.0;64.0;60.0;5.5
348;15 jaar of ouder;Sint-Michielsgestel;23970;290;12.0;80;21.5;80;20.5;40.0;11.5;160.0;20.0;11.5;110.0;40.0;69.0;220.0;9.0
349;15 jaar of ouder;Sittard-Geleen;81090;3250;40.0;620;15.5;710;18.0;310.0;8.5;290.0;80.0;7.5;160.0;5.5;56.0;700.0;8.5
350;15 jaar of ouder;Sliedrecht;20440;560;27.0;140;18.5;160;21.5;70.0;11.0;190.0;40.0;19.0;110.0;20.5;56.5;110.0;5.5
351;15 jaar of ouder;Slochteren;12370;270;21.5;100;26.0;90;25.5;50.0;13.5;270.0;50.0;32.5;220.0;87.5;81.5;70.0;5.5
352;15 jaar of ouder;Sluis;20510;390;19.0;100;20.0;100;20.0;50.0;10.0;180.0;40.0;23.5;120.0;35.5;67.5;100.0;5.0
353;15 jaar of ouder;Smallingerland;46620;2090;45.0;540;20.0;620;23.0;320.0;12.5;550.0;240.0;28.0;400.0;20.0;73.0;440.0;9.5
354;15 jaar of ouder;Soest;38470;900;23.5;210;18.0;250;21.5;120.0;12.0;880.0;200.0;43.0;700.0;87.5;79.5;150.0;4.0
355;15 jaar of ouder;Someren;16340;280;17.0;80;24.5;60;18.0;30.0;10.5;40.0;10.0;5.5;30.0;12.5;86.5;90.0;5.5
356;15 jaar of ouder;Son en Breugel;13860;260;18.5;60;18.5;60;18.0;30.0;9.0;90.0;20.0;17.5;70.0;28.0;74.5;40.0;3.0
357;15 jaar of ouder;Stadskanaal;27540;1120;41.0;320;22.0;310;21.0;170.0;11.5;680.0;200.0;38.0;530.0;49.5;77.5;700.0;25.5
358;15 jaar of ouder;Staphorst;12990;180;13.5;50;23.0;40;16.5;20.0;9.0;50.0;20.0;20.0;40.0;21.0;73.0;50.0;4.0
359;15 jaar of ouder;Stede Broec;18030;330;18.5;110;24.5;110;25.5;60.0;14.5;180.0;100.0;36.0;130.0;41.0;72.0;100.0;5.5
360;15 jaar of ouder;Steenbergen;21420;390;18.0;120;22.5;110;22.0;70.0;13.0;160.0;50.0;22.0;110.0;30.0;72.5;120.0;5.5
361;15 jaar of ouder;Steenwijkerland;36760;910;25.0;230;20.0;270;22.5;140.0;12.5;950.0;130.0;23.0;790.0;90.0;82.5;340.0;9.5
362;15 jaar of ouder;Stein (L.);21880;350;16.0;90;19.5;140;29.5;70.0;15.0;160.0;50.0;25.5;110.0;34.0;71.5;170.0;8.0
363;15 jaar of ouder;Stichtse Vecht;53380;1000;19.0;260;20.0;240;19.0;110.0;9.5;260.0;80.0;15.5;200.0;22.5;78.5;160.0;3.0
364;15 jaar of ouder;Strijen;7620;100;13.5;30;24.0;30;23.5;10.0;11.5;80.0;20.0;24.0;60.0;60.0;77.5;20.0;3.0
365;15 jaar of ouder;Súdwest-Fryslân;70170;2550;36.5;670;20.5;650;20.0;340.0;11.0;730.0;240.0;23.0;480.0;19.5;65.5;520.0;7.5
366;15 jaar of ouder;Terneuzen;46610;1310;28.0;350;20.5;390;23.0;180.0;12.0;790.0;250.0;39.5;580.0;49.0;74.0;430.0;9.0
367;15 jaar of ouder;Terschelling;4300;20;4.5;10;18.0;10;32.0;0.0;;20.0;0.0;;10.0;68.5;59.0;10.0;2.5
368;15 jaar of ouder;Texel;11760;160;13.5;50;25.5;50;22.0;20.0;10.5;20.0;10.0;5.5;10.0;7.5;50.0;120.0;10.5
369;15 jaar of ouder;Teylingen;30520;400;13.0;150;29.5;110;21.0;50.0;11.5;130.0;40.0;13.5;90.0;23.5;68.5;130.0;4.5
370;15 jaar of ouder;Tholen;20870;410;19.5;130;24.0;110;20.0;50.0;10.5;270.0;70.0;31.0;200.0;52.0;74.5;100.0;5.0
371;15 jaar of ouder;Tiel;34660;1480;43.0;310;16.5;410;21.5;190.0;10.5;310.0;100.0;13.5;190.0;14.0;61.0;330.0;9.5
372;15 jaar of ouder;Tilburg;183040;8210;45.0;2050;19.5;2290;21.5;1190.0;12.0;580.0;760.0;19.0;240.0;3.0;41.5;1400.0;7.5
373;15 jaar of ouder;Tubbergen;17620;170;9.5;60;25.5;40;19.0;20.0;9.5;80.0;20.0;12.5;40.0;22.0;45.0;100.0;5.5
374;15 jaar of ouder;Twenterand;27520;630;23.0;150;19.5;150;19.0;70.0;10.0;260.0;90.0;26.0;180.0;29.5;68.5;310.0;11.5
375;15 jaar of ouder;Tynaarlo;27770;490;18.0;190;27.5;160;24.5;90.0;13.5;270.0;50.0;20.0;180.0;38.5;69.0;80.0;3.0
376;15 jaar of ouder;Tytsjerksteradiel;26580;590;22.0;170;23.0;170;23.0;80.0;11.5;450.0;90.0;28.0;320.0;57.0;71.5;170.0;6.0
377;15 jaar of ouder;Uden;35070;830;23.5;220;21.0;220;20.5;100.0;11.0;240.0;70.0;15.5;150.0;20.5;62.0;370.0;10.5
378;15 jaar of ouder;Uitgeest;11190;170;15.5;40;18.5;30;12.5;20.0;9.5;20.0;10.0;6.5;10.0;7.5;52.0;40.0;3.0
379;15 jaar of ouder;Uithoorn;24480;410;16.5;140;26.0;130;25.0;90.0;17.0;280.0;120.0;37.5;220.0;59.5;78.0;60.0;2.5
380;15 jaar of ouder;Urk;14660;180;12.0;60;26.5;40;19.0;20.0;10.0;90.0;20.0;20.0;60.0;35.0;66.0;70.0;4.5
381;15 jaar of ouder;Utrecht (gemeente);287730;12550;43.5;3100;19.5;3100;19.5;1470.0;10.5;1950.0;710.0;14.0;1520.0;13.5;78.0;790.0;2.5
382;15 jaar of ouder;Utrechtse Heuvelrug;41400;790;19.0;220;22.0;170;17.5;90.0;9.0;290.0;80.0;21.0;200.0;28.0;70.5;100.0;2.5
383;15 jaar of ouder;Vaals;8860;390;44.5;60;13.5;60;13.0;40.0;10.0;160.0;30.0;31.0;130.0;39.5;79.0;70.0;7.5
384;15 jaar of ouder;Valkenburg aan de Geul;14550;340;23.5;70;17.5;80;19.5;40.0;9.0;160.0;50.0;27.5;120.0;38.0;73.0;90.0;6.5
385;15 jaar of ouder;Valkenswaard;26510;610;23.0;130;18.0;120;16.5;70.0;9.5;160.0;60.0;21.0;120.0;21.0;72.0;170.0;6.0
386;15 jaar of ouder;Veendam;23310;1110;47.5;280;20.5;280;20.5;140.0;10.0;600.0;220.0;43.5;490.0;46.5;82.0;430.0;18.5
387;15 jaar of ouder;Veenendaal;52730;1660;31.5;380;18.0;530;24.5;270.0;14.0;470.0;190.0;26.0;300.0;21.0;64.0;290.0;5.5
388;15 jaar of ouder;Veere;18570;230;12.5;40;14.5;60;19.0;30.0;10.0;30.0;10.0;5.0;20.0;10.5;76.5;50.0;3.0
389;15 jaar of ouder;Veldhoven;37970;650;17.0;130;16.5;160;20.0;80.0;10.5;490.0;100.0;25.0;400.0;65.0;81.0;200.0;5.5
390;15 jaar of ouder;Velsen;57460;1630;28.5;380;19.0;380;19.0;170.0;9.0;610.0;150.0;24.0;490.0;32.0;80.5;230.0;4.0
391;15 jaar of ouder;Venlo;86440;3710;43.0;780;17.0;900;19.5;460.0;11.0;140.0;50.0;3.0;30.0;1.0;20.0;660.0;7.5
392;15 jaar of ouder;Venray;36870;950;25.5;250;20.5;240;19.5;120.0;10.5;70.0;20.0;4.5;20.0;2.5;29.0;460.0;12.5
393;15 jaar of ouder;Vianen;16600;330;20.0;80;19.5;90;21.0;50.0;13.5;170.0;50.0;31.0;130.0;45.5;81.0;40.0;2.5
394;15 jaar of ouder;Vlaardingen;60550;2940;48.5;600;16.5;710;19.5;300.0;9.0;1460.0;330.0;28.0;1160.0;43.5;80.0;370.0;6.0
395;15 jaar of ouder;Vlagtwedde;13630;360;26.5;110;23.0;110;22.5;60.0;13.5;230.0;70.0;29.0;180.0;54.5;79.5;310.0;22.5
396;15 jaar of ouder;Vlieland;1010;10;12.0;0;;0;;0.0;;10.0;10.0;45.5;10.0;54.5;85.5;0.0;
397;15 jaar of ouder;Vlissingen;37970;2130;56.0;510;18.5;600;22.0;290.0;11.5;220.0;110.0;14.5;160.0;8.0;72.5;360.0;9.5
398;15 jaar of ouder;Voerendaal;10720;150;14.0;50;28.0;40;22.5;20.0;13.0;130.0;20.0;25.5;110.0;79.5;83.5;70.0;6.5
399;15 jaar of ouder;Voorschoten;20920;400;19.0;110;21.5;90;18.5;50.0;10.5;250.0;60.0;26.5;180.0;50.5;73.0;60.0;3.0
400;15 jaar of ouder;Voorst;20500;350;17.0;120;25.5;120;25.0;60.0;13.5;80.0;20.0;15.0;50.0;15.5;57.0;90.0;4.5
