ID;RegioS2007;Perioden;Huishoudens_1;Eenpersoonshuishoudens_2;Paren_3;Eenouderhuishoudens_4;OverigeHuishoudens_5;Huishoudens_6;Eenpersoonshuishoudens_7;Paren_8;Eenouderhuishoudens_9;OverigeHuishoudens_10;Huishoudens_11;Eenpersoonshuishoudens_12;Paren_13;Eenouderhuishoudens_14;OverigeHuishoudens_15;Huishoudens_16;Eenpersoonshuishoudens_17;Paren_18;Eenouderhuishoudens_19;OverigeHuishoudens_20;Regiocode_21
0;Nederland;2008;7247.0;2599.0;4131.0;468.4;48.6;5796.5;2027.2;3428.9;313.0;27.4;709.0;274.4;317.3;103.5;13.8;741.5;297.4;384.8;51.9;7.4;1
1;Nederland;2009;7296.0;2642.5;4130.2;474.5;48.8;5819.9;2056.5;3420.2;315.7;27.5;726.5;282.6;324.0;106.1;13.8;749.6;303.4;385.9;52.7;7.6;1
2;Nederland;2010;7346.5;2686.5;4131.4;479.5;49.2;5843.9;2085.5;3413.2;317.6;27.6;744.7;291.3;330.9;108.5;13.9;758.0;309.6;387.3;53.4;7.7;1
3;Nederland;2011;7398.1;2730.8;4134.1;483.7;49.5;5868.4;2114.3;3407.5;318.9;27.7;763.0;300.5;337.8;110.8;13.9;766.7;316.0;388.8;54.0;7.8;1
4;Nederland;2012;7450.2;2775.2;4137.9;487.3;49.8;5893.3;2143.1;3402.7;319.6;27.8;781.4;309.7;344.7;113.0;14.0;775.5;322.3;390.6;54.7;8.0;1
5;Nederland;2013;7502.0;2819.2;4142.6;490.1;50.2;5917.5;2171.6;3398.2;319.8;27.9;800.3;319.2;352.0;115.0;14.2;784.2;328.5;392.4;55.2;8.1;1
6;Nederland;2014;7552.5;2862.3;4147.6;492.1;50.4;5940.8;2199.7;3393.7;319.4;28.0;819.1;328.5;359.5;116.9;14.2;792.5;334.2;394.4;55.7;8.2;1
7;Nederland;2015;7601.3;2904.4;4152.8;493.4;50.7;5962.9;2227.0;3389.3;318.5;28.1;838.1;337.8;367.3;118.8;14.3;800.4;339.7;396.2;56.2;8.3;1
8;Nederland;2016;7648.5;2945.6;4157.9;494.1;51.0;5983.6;2253.4;3384.9;317.2;28.1;857.0;347.2;375.0;120.3;14.4;807.9;345.0;398.0;56.6;8.4;1
9;Nederland;2017;7694.0;2986.1;4162.6;494.1;51.2;6002.6;2279.4;3379.6;315.4;28.2;876.2;356.6;383.2;121.8;14.5;815.2;350.1;399.7;56.9;8.5;1
