ID;Perioden;TotaalPersonenInHuishoudens_1;TotaalPersonenInParticuliereHuish_2;ThuiswonendKind_3;Alleenstaand_4;Samenwonend_5;OuderInEenouderhuishouden_6;OverigLidHuishouden_7;PersonenInInstitutioneleHuishoudens_8;TotaalParticuliereHuishoudens_9;Eenpersoonshuishouden_10;TotaalMeerpersoonshuishoudens_11;Paar_12;Eenouderhuishouden_13;OverigHuishouden_14;TotaalParticuliereHuishoudens_15;Eenpersoonshuishouden_16;TotaalMeerpersoonshuishoudens_17;k_2Personen_18;k_3Personen_19;k_4Personen_20;k_5OfMeerPersonen_21;GemiddeldeHuishoudensgrootte_22;TotaalHuishoudensMetKinderen_23;k_1Kind_24;k_2Kinderen_25;k_3OfMeerKinderen_26;TotaalParenMetKinderen_27;k_1Kind_28;k_2Kinderen_29;k_3OfMeerKinderen_30;TotaalEenouderhuishoudens_31;k_1Kind_32;k_2Kinderen_33;k_3OfMeerKinderen_34;TotaalHuishoudensMetKinderen_35;JongsteKind0Tot3Jaar_36;JongsteKind3Tot6Jaar_37;JongsteKind6Tot12Jaar_38;JongsteKind12Tot18Jaar_39;JongsteKind18JaarOfOuder_40
0;2025;18048172;17748210;4664414;3415300;8759623;624205;284668;299962;8466181;3415299;5050882;4379814;624203;46865;8466181;3415299;5050882;2721011;979673;950800;399397;2.1;2656070;1176573;1072218;407279;2031867;789691;894110;348066;624203;386882;178108;59213;2656070;442400;316256;539627;548001;809786
1;2026;18144091;17833908;4657242;3477071;8786888;629027;283680;310183;8546460;3477073;5069387;4393446;629023;46918;8546460;3477073;5069387;2739675;987079;946749;395884;2.09;2660261;1187588;1068527;404146;2031238;796628;889790;344819;629023;390960;178736;59327;2660261;444810;313046;543867;546756;811781
2;2027;18229251;17909785;4651131;3529348;8811906;634439;282961;319466;8616793;3529342;5087451;4405955;634429;47067;8616793;3529342;5087451;2756079;996683;942968;391720;2.08;2666959;1201539;1065200;400220;2032530;805823;885812;340895;634429;395716;179388;59325;2666959;448037;301686;559921;542702;814613
3;2028;18309237;17982017;4647328;3575517;8837379;639299;282494;327220;8680769;3575513;5105256;4418688;639299;47269;8680769;3575513;5105256;2771678;1005414;939891;388274;2.07;2673637;1214075;1062553;397008;2034338;814142;882542;337653;639299;399934;180011;59355;2673637;454372;299416;562481;540508;816859
4;2029;18383277;18049435;4646127;3615836;8861305;644179;281988;333842;8738104;3615836;5122268;4430650;644185;47433;8738104;3615836;5122268;2785546;1014176;937162;385384;2.07;2681271;1226670;1060235;394366;2037086;822542;879602;334942;644185;404128;180633;59424;2681271;463830;300685;561038;538850;816868
5;2030;18458056;18117421;4647872;3653925;8884776;648904;281944;340635;8792765;3653924;5138841;4442388;648900;47553;8792765;3653924;5138841;2796953;1023630;935584;382674;2.06;2690742;1239987;1059039;391715;2041842;831751;877826;332264;648900;408236;181213;59451;2690742;475203;301957;559576;539808;814198
6;2031;18533563;18186078;4652812;3690267;8907245;653482;282272;347485;8844998;3690270;5154728;4453618;653484;47626;8844998;3690270;5154728;2806096;1033097;935129;380406;2.06;2701553;1253198;1058982;389373;2048069;840973;877183;329912;653484;412225;181799;59460;2701553;486811;306123;555078;544332;809210
7;2032;18609903;18255568;4661097;3725483;8927983;658098;282907;354335;8895257;3725488;5169769;4463990;658091;47688;8895257;3725488;5169769;2812675;1042820;935813;378461;2.05;2713925;1266503;1060151;387272;2055834;850381;877669;327785;658091;416122;182482;59487;2713925;498182;312814;549911;546719;806298
8;2033;18686526;18325443;4672193;3759476;8947177;662858;283739;361083;8943656;3759472;5184184;4473590;662861;47733;8943656;3759472;5184184;2817112;1053112;937148;376812;2.05;2727810;1280373;1062001;385437;2064949;860302;878764;325884;662861;420071;183238;59552;2727810;507838;321893;535819;559807;802454
9;2034;18762610;18394906;4685762;3791927;8964825;667689;284703;367704;8989824;3791929;5197895;4482414;667686;47795;8989824;3791929;5197895;2819703;1063399;939465;375328;2.05;2742774;1294101;1064937;383734;2075088;870125;880850;324112;667686;423976;184087;59622;2742774;515608;331846;533881;560688;800751
