ID;Persoonskenmerken;Perioden;Bevolking15Tot65Jaar_1;WerkzameBeroepsbevolking_2;WilWerkVoor12UurOfMeer_3;TotaalKanOpKorteTermijnBeginnen_4;Afgelopen4WekenGezochtWerklozen_5;TotaalAfgelopen4WekenNietGezocht_6;WelAfgelopen6MaandenGezocht_7;TotaalNietAfgelopen6MaandenGezocht_8;VanwegeWeinigResultaatOntmoedigden_9;OverigeRedenen_10;KanNietOpKorteTermijnBeginnen_11;WilOfKanGeen12UurPerWeekWerken_12;ZorgVoorGezinOfHuishouden_13;OpleidingStudie_14;VUTPensioenHogeLeeftijd_15;ZiekteArbeidsongeschiktheid_16;AndereRedenen_17;NietBeroepsbevolking_18
0;10000;2000;10729;6917;718;522;270.0;252.0;64.0;188.0;66.0;122.0;196.0;3094;876.0;898.0;272.0;570;478;3542
1;10000;2001 voor revisie;10801;7021;676;476;252.0;224.0;59.0;166.0;55.0;110.0;200.0;3104;894.0;880.0;299.0;612;420;3528
2;10000;2001 na revisie;10800;6935;589;442;252.0;190.0;63.0;127.0;37.0;90.0;147.0;3276;765.0;889.0;373.0;755;493;3613
3;10000;2001, 1e kwartaal;10773;6842;619;474;277.0;197.0;66.0;131.0;46.0;85.0;145.0;3312;769.0;946.0;364.0;727;506;3654
4;10000;2001, 2e kwartaal;10791;6916;583;418;232.0;186.0;59.0;127.0;30.0;97.0;165.0;3292;771.0;889.0;368.0;756;508;3644
5;10000;2001, 3e kwartaal;10809;7025;592;453;256.0;197.0;71.0;126.0;36.0;90.0;139.0;3191;778.0;782.0;386.0;761;485;3528
6;10000;2001, 4e kwartaal;10827;6958;561;423;242.0;181.0;57.0;124.0;37.0;87.0;138.0;3308;744.0;940.0;376.0;774;474;3627
7;10000;2002;10863;7010;646;495;302.0;193.0;65.0;127.0;33.0;95.0;151.0;3207;656.0;900.0;515.0;429;708;3551
8;10000;2002, 1e kwartaal;10843;6916;612;471;282.0;189.0;62.0;126.0;32.0;95.0;141.0;3314;697.0;970.0;477.0;291;879;3644
9;10000;2002, 2e kwartaal;10856;6990;663;475;288.0;187.0;59.0;128.0;33.0;95.0;188.0;3203;672.0;884.0;506.0;555;586;3578
10;10000;2002, 3e kwartaal;10870;7095;680;538;321.0;217.0;76.0;141.0;35.0;105.0;142.0;3094;635.0;810.0;532.0;397;721;3453
11;10000;2002, 4e kwartaal;10883;7039;628;495;316.0;179.0;64.0;114.0;32.0;83.0;133.0;3216;619.0;936.0;545.0;472;644;3528
12;10000;2003;10903;6968;755;621;396.0;225.0;79.0;146.0;43.0;103.0;134.0;3180;597.0;924.0;554.0;661;444;3539
13;10000;2003, 1e kwartaal;10893;6945;713;567;362.0;206.0;70.0;136.0;40.0;95.0;146.0;3235;621.0;964.0;541.0;445;665;3587
14;10000;2003, 2e kwartaal;10900;6959;762;610;392.0;218.0;79.0;138.0;41.0;97.0;152.0;3179;615.0;907.0;563.0;699;395;3549
15;10000;2003, 3e kwartaal;10906;7022;777;657;414.0;243.0;86.0;157.0;45.0;112.0;120.0;3107;580.0;849.0;561.0;736;382;3470
