ID;Huishoudkenmerken;Perioden;TotaleBestedingenPerHuishouden_1;TotaleBestedingenAanEnergie_2;Aardgas_3;Elektriciteit_4;Motorbrandstoffen_5;TotaalEnergie_6;Aardgas_7;Elektriciteit_8;Motorbrandstoffen_9;VerbruikGasM3_10;VerbruikElektriciteitKWh_11
0;1;1992;18610;1230;435;230;505;66;23;12;27;1800;2805
1;1;1993;19395;1245;415;240;535;64;21;12;28;1890;2835
2;1;1994;19630;1255;395;245;555;64;20;12;28;1750;2830
3;1;1995;19990;1255;395;255;550;63;20;13;28;1790;2870
4;1;1996;20570;1410;470;290;600;69;23;14;29;2050;2940
5;1;1997;21285;1535;450;290;740;72;21;14;35;1715;2925
6;1;1998;22205;1500;435;290;720;68;20;13;32;1650;2975
7;1;1999;23175;1515;410;315;740;65;18;14;32;1620;2970
8;1;2000;24745;1795;440;370;925;73;18;15;37;1595;3085
9;2;1992;11215;760;280;140;230;68;25;13;21;1160;1685
10;2;1993;11655;775;275;160;265;66;24;14;23;1265;1855
11;2;1994;12040;785;270;155;270;65;22;13;22;1190;1745
12;2;1995;12420;780;285;165;250;63;23;13;20;1290;1820
13;2;1996;13070;905;350;185;295;69;27;14;23;1530;1865
14;2;1997;13355;965;335;190;350;72;25;14;26;1290;1855
15;2;1998;13955;930;320;180;355;66;23;13;25;1235;1830
16;2;1999;14845;980;340;210;370;66;23;14;25;1360;1975
17;2;2000;14925;1060;315;220;455;71;21;15;30;1170;1855
18;3;1992;19755;1325;465;220;590;67;24;11;30;1920;2650
19;3;1993;20325;1330;440;235;605;66;22;11;30;2020;2745
20;3;1994;20950;1360;425;240;625;65;20;11;30;1895;2790
21;3;1995;21165;1350;420;250;625;64;20;12;30;1895;2810
22;3;1996;21985;1510;490;285;690;69;22;13;31;2135;2895
23;3;1997;22630;1645;475;290;835;73;21;13;37;1810;2900
24;3;1998;24090;1680;470;290;875;70;20;12;36;1775;2965
25;3;1999;25070;1680;415;310;895;67;17;12;36;1655;2920
26;3;2000;27375;2000;480;385;1085;73;18;14;40;1725;3170
27;4;1992;21750;1450;495;285;625;67;23;13;29;2040;3520
28;4;1993;23260;1465;465;280;660;63;20;12;28;2140;3315
29;4;1994;23930;1555;475;305;740;65;20;13;31;2100;3485
30;4;1995;25125;1620;465;320;800;65;18;13;32;2100;3665
31;4;1996;25005;1715;555;350;755;69;22;14;30;2420;3625
32;4;1997;26300;1935;530;355;1005;73;20;13;38;2025;3590
33;4;1998;26870;1790;490;370;875;67;18;14;33;1855;3830
34;4;1999;28200;1810;450;385;930;64;16;14;33;1775;3625
35;4;2000;29185;2170;510;455;1170;74;17;16;40;1810;3740
36;5;1992;23875;1605;550;325;700;67;23;14;29;2280;3940
37;5;1993;25600;1585;510;325;720;62;20;13;28;2340;3900
38;5;1994;25505;1585;475;335;745;62;19;13;29;2095;3940
39;5;1995;26140;1585;475;345;735;61;18;13;28;2150;3975
40;5;1996;26555;1810;550;400;830;68;21;15;31;2395;4090
41;5;1997;28005;1995;530;405;1005;71;19;15;36;2025;4155
42;5;1998;29400;1990;515;405;1005;68;18;14;34;1950;4210
43;5;1999;30210;1930;475;435;980;64;16;14;32;1870;4160
44;5;2000;33630;2470;540;550;1340;74;16;16;40;1920;4505
45;6;1992;27685;1590;605;370;590;58;22;13;21;2500;4515
46;6;1993;27955;1710;565;365;745;61;20;13;27;2575;4370
47;6;1994;27700;1645;505;375;755;59;18;13;27;2240;4460
48;6;1995;27720;1655;520;375;745;60;19;13;27;2345;4330
49;6;1996;28370;1935;625;435;855;68;22;15;30;2720;4550
50;6;1997;30885;2165;575;445;1115;70;19;14;36;2180;4595
51;6;1998;31630;1995;580;460;920;63;18;15;29;2170;4820
52;6;1999;32555;2020;520;500;985;62;16;15;30;2025;4750
