ID;Geslacht;Persoonskenmerken;RegioS;WmoClientenGebruikWlz2020Totaal_1;WmoClienten2019InstroomWlz2020_2;SamenloopWmoWlz2019Wlz2020_3;WmoClientenGebruikWlz2020Totaal_4;WmoClienten2019InstroomWlzIn2020_5;SamenloopWmoWlz2019WlzIn2020_6;WmoClientenGebruikWlz2020Totaal_7;WmoClienten2019InstroomWlzIn2020_8;SamenloopWmoWlz2019WlzIn2020_9
0;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Aa en Hunze;340.0;65.0;275.0;22.14;4.27;17.86;16.0;3.0;13.0
1;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Aalsmeer;;;;;;;;;
2;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Aalten;285.0;105.0;180.0;17.03;6.25;10.78;13.0;5.0;8.0
3;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Achtkarspelen;300.0;80.0;220.0;16.05;4.24;11.81;13.0;3.0;10.0
4;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Alblasserdam;230.0;50.0;180.0;18.77;4.21;14.56;15.0;3.0;11.0
5;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Albrandswaard;320.0;80.0;240.0;24.08;5.87;18.21;16.0;4.0;12.0
6;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Alkmaar;1025.0;280.0;745.0;15.34;4.16;11.18;11.0;3.0;8.0
7;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Almelo;475.0;225.0;250.0;10.45;4.99;5.45;8.0;4.0;4.0
8;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Almere;1580.0;320.0;1255.0;15.67;3.2;12.47;9.0;2.0;7.0
9;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Alphen aan den Rijn;765.0;215.0;550.0;20.0;5.58;14.42;8.0;2.0;6.0
10;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Alphen-Chaam;85.0;25.0;60.0;18.72;5.51;13.22;10.0;3.0;7.0
11;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Altena;610.0;140.0;475.0;21.07;4.75;16.32;14.0;3.0;11.0
12;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Ameland;35.0;10.0;30.0;18.59;4.02;14.57;12.0;3.0;9.0
13;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Amersfoort;1465.0;385.0;1080.0;15.76;4.15;11.61;12.0;3.0;9.0
14;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Amstelveen;;;;;;;;;
