ID;RegioS2005;Perioden;Huishoudens_1;Eenpersoonshuishoudens_2;Paren_3;Eenouderhuishoudens_4;OverigeHuishoudens_5;Huishoudens_6;Eenpersoonshuishoudens_7;Paren_8;Eenouderhuishoudens_9;OverigeHuishoudens_10;Huishoudens_11;Eenpersoonshuishoudens_12;Paren_13;Eenouderhuishoudens_14;OverigeHuishoudens_15;Huishoudens_16;Eenpersoonshuishoudens_17;Paren_18;Eenouderhuishoudens_19;OverigeHuishoudens_20
0;Nederland;2006;7145914;2519552;4121787;455307;49268;5759914;1953126;3467968;308761;30059;674705;271226;294987;95666;12826;711295;295200;358832;50880;6383
1;Nederland;2007;7195832;2566289;4115553;464547;49443;5791698;1989964;3454360;317134;30240;688564;278024;301433;96278;12829;715570;298301;359760;51135;6374
2;Nederland;2008;7246446;2612664;4110536;473552;49694;5823447;2026518;3441181;325129;30619;702411;284550;308031;97037;12793;720588;301596;361324;51386;6282
3;Nederland;2009;7297882;2658828;4107200;481975;49879;5853890;2061889;3428683;332446;30872;717080;291488;315108;97723;12761;726912;305451;363409;51806;6246
4;Nederland;2010;7350396;2704711;4105435;489990;50260;5884068;2096414;3417103;339306;31245;731893;298474;322333;98353;12733;734435;309823;365999;52331;6282
5;Nederland;2011;7403268;2750017;4104982;497676;50593;5912798;2129481;3406045;345630;31642;746968;305371;329823;99076;12698;743502;315165;369114;52970;6253
6;Nederland;2012;7456035;2794432;4105713;504999;50891;5940280;2161369;3395439;351614;31858;762806;312610;337703;99764;12729;752949;320453;372571;53621;6304
7;Nederland;2013;7508346;2837833;4107321;512048;51144;5967155;2192300;3385449;357364;32042;778105;319550;345560;100338;12657;763086;325983;376312;54346;6445
8;Nederland;2014;7559519;2880018;4109305;518832;51364;5992520;2222635;3374656;362986;32243;794169;326337;354443;100762;12627;772830;331046;380206;55084;6494
9;Nederland;2015;7608827;2920555;4111504;525304;51464;6017173;2252080;3364497;368269;32327;809307;332636;363034;101122;12515;782347;335839;383973;55913;6622
10;Nederland;2016;7656659;2959913;4113551;531492;51703;6039990;2279792;3354271;373337;32590;825441;339585;371960;101432;12464;791228;340536;387320;56723;6649
11;Nederland;2017;7703006;2998612;4115166;537373;51855;6060352;2306259;3343417;377991;32685;842729;347382;381038;101892;12417;799925;344971;390711;57490;6753
12;Nederland;2018;7747772;3036600;4116159;542984;52029;6079700;2332372;3331971;382484;32873;859822;354640;390527;102300;12355;808250;349588;393661;58200;6801
13;Nederland;2019;7791089;3073959;4116502;548429;52199;6096677;2357349;3319574;386812;32942;878142;362747;400278;102698;12419;816270;353863;396650;58919;6838
14;Nederland;2020;7832286;3110130;4116109;553684;52363;6112109;2381473;3306563;390993;33080;896556;370962;410236;102999;12359;823621;357695;399310;59692;6924
15;Nederland;2021;7871555;3145223;4115028;558841;52463;6125483;2404679;3292615;394989;33200;914873;378696;420408;103482;12287;831199;361848;402005;60370;6976
16;Nederland;2022;7909092;3179256;4113344;563956;52536;6136944;2426679;3278080;398926;33259;933420;386714;430518;103942;12246;838728;365863;404746;61088;7031
17;Nederland;2023;7944583;3211884;4111031;569072;52596;6145971;2447621;3262427;402646;33277;952610;394433;441439;104517;12221;846002;369830;407165;61909;7098
18;Nederland;2024;7977712;3243092;4107935;574236;52449;6152900;2467742;3245610;406319;33229;972059;402259;452387;105257;12156;852753;373091;409938;62660;7064
19;Nederland;2025;8008304;3272487;4103967;579424;52426;6158476;2486835;3228022;410294;33325;990234;409126;463443;105753;11912;859594;376526;412502;63377;7189
20;Noord-Nederland (LD);2006;749929;257943;446547;40666;4773;673806;224189;411663;34123;3831;29534;14359;11215;3374;586;46589;19395;23669;3169;356
21;Noord-Nederland (LD);2007;753918;262037;445542;41446;4893;676352;227563;409970;34867;3952;30350;14696;11666;3408;580;47216;19778;23906;3171;361
22;Noord-Nederland (LD);2008;757858;266120;444627;42218;4893;678606;230787;408290;35555;3974;31269;15075;12140;3494;560;47983;20258;24197;3169;359
23;Noord-Nederland (LD);2009;761443;269690;443944;42993;4816;680347;233491;406734;36208;3914;32223;15470;12660;3558;535;48873;20729;24550;3227;367
24;Noord-Nederland (LD);2010;766283;274176;443452;43758;4897;683167;237038;405294;36841;3994;33260;15888;13207;3656;509;49856;21250;24951;3261;394
25;Noord-Nederland (LD);2011;770746;278364;443017;44478;4887;685453;240099;403933;37422;3999;34337;16418;13725;3701;493;50956;21847;25359;3355;395
26;Noord-Nederland (LD);2012;775635;282865;442709;45174;4887;688006;243484;402529;37998;3995;35434;16900;14288;3769;477;52195;22481;25892;3407;415
27;Noord-Nederland (LD);2013;780491;287251;442427;45882;4931;690554;246856;401154;38512;4032;36586;17359;14871;3891;465;53351;23036;26402;3479;434
28;Noord-Nederland (LD);2014;784861;291207;442156;46529;4969;692581;249886;399662;38982;4051;37777;17790;15550;3965;472;54503;23531;26944;3582;446
29;Noord-Nederland (LD);2015;788966;294857;441992;47203;4914;694365;252563;398334;39464;4004;38934;18242;16169;4067;456;55667;24052;27489;3672;454
30;Noord-Nederland (LD);2016;793552;298926;441728;47856;5042;696643;255750;396852;39934;4107;40136;18692;16855;4114;475;56773;24484;28021;3808;460
31;Noord-Nederland (LD);2017;797152;302311;441343;48488;5010;697981;258187;395326;40403;4065;41289;19162;17472;4182;473;57882;24962;28545;3903;472
32;Noord-Nederland (LD);2018;800655;305518;441017;49081;5039;699218;260545;393740;40831;4102;42476;19591;18180;4235;470;58961;25382;29097;4015;467
33;Noord-Nederland (LD);2019;804019;308876;440445;49643;5055;700455;263069;392044;41219;4123;43753;20119;18859;4316;459;59811;25688;29542;4108;473
34;Noord-Nederland (LD);2020;807352;312153;439760;50304;5135;701599;265511;390245;41666;4177;45118;20621;19615;4412;470;60635;26021;29900;4226;488
35;Noord-Nederland (LD);2021;810839;315588;439112;51036;5103;702553;267884;388344;42188;4137;46725;21316;20416;4510;483;61561;26388;30352;4338;483
36;Noord-Nederland (LD);2022;813801;318757;438247;51662;5135;703119;270050;386328;42599;4142;48239;22011;21133;4594;501;62443;26696;30786;4469;492
37;Noord-Nederland (LD);2023;816871;321922;437405;52385;5159;703503;272071;384225;43049;4158;49953;22723;22014;4714;502;63415;27128;31166;4622;499
38;Noord-Nederland (LD);2024;819734;325095;436369;53097;5173;703534;273895;381963;43532;4144;51772;23594;22852;4815;511;64428;27606;31554;4750;518
39;Noord-Nederland (LD);2025;822393;328115;435344;53760;5174;703237;275556;379568;44010;4103;53532;24303;23785;4920;524;65624;28256;31991;4830;547
40;Oost-Nederland (LD);2006;1434677;452210;890522;82224;9721;1210271;366429;775603;61464;6775;99674;38110;47924;11755;1885;124732;47671;66995;9005;1061
41;Oost-Nederland (LD);2007;1445378;461614;889906;84141;9717;1217077;373892;773380;63014;6791;102776;39441;49388;12087;1860;125525;48281;67138;9040;1066
42;Oost-Nederland (LD);2008;1456378;470965;889574;86070;9769;1224138;381304;771337;64615;6882;106092;40830;50971;12430;1861;126148;48831;67266;9025;1026
43;Oost-Nederland (LD);2009;1468224;480564;889783;87982;9895;1231350;388770;769533;66076;6971;109652;42299;52656;12815;1882;127222;49495;67594;9091;1042
44;Oost-Nederland (LD);2010;1479791;489969;890150;89807;9865;1238497;396161;767896;67495;6945;113028;43650;54326;13170;1882;128266;50158;67928;9142;1038
45;Oost-Nederland (LD);2011;1491310;499156;890621;91574;9959;1245456;403269;766274;68855;7058;116274;44938;55973;13499;1864;129580;50949;68374;9220;1037
46;Oost-Nederland (LD);2012;1502951;508243;891384;93265;10059;1252293;410208;764793;70144;7148;119870;46393;57788;13825;1864;130788;51642;68803;9296;1047
47;Oost-Nederland (LD);2013;1514344;517053;892118;95070;10103;1258879;416906;763326;71453;7194;123328;47739;59542;14197;1850;132137;52408;69250;9420;1059
48;Oost-Nederland (LD);2014;1525393;525594;892987;96678;10134;1265159;423431;761755;72752;7221;126781;49061;61473;14412;1835;133453;53102;69759;9514;1078
49;Oost-Nederland (LD);2015;1535908;533695;893766;98251;10196;1271062;429610;760227;73937;7288;130094;50366;63266;14649;1813;134752;53719;70273;9665;1095
50;Oost-Nederland (LD);2016;1546102;541685;894387;99753;10277;1276853;435714;758682;75088;7369;133622;51752;65142;14906;1822;135627;54219;70563;9759;1086
51;Oost-Nederland (LD);2017;1555843;549540;894900;101187;10216;1282026;441542;756933;76214;7337;137156;53301;66957;15104;1794;136661;54697;71010;9869;1085
52;Oost-Nederland (LD);2018;1565245;557195;895329;102490;10231;1287037;447308;755109;77246;7374;140678;54680;68918;15288;1792;137530;55207;71302;9956;1065
53;Oost-Nederland (LD);2019;1574351;564849;895367;103847;10288;1291726;453005;753020;78277;7424;144427;56254;70808;15552;1813;138198;55590;71539;10018;1051
54;Oost-Nederland (LD);2020;1582974;572069;895345;105244;10316;1295935;458439;750725;79327;7444;148136;57774;72798;15750;1814;138903;55856;71822;10167;1058
