ID;Gender;PupilCharacteristics;CaribbeanNetherlands;Periods;ParticipantsEnStudents_1
0;Total male and female;Total primary education;Caribbean Netherlands;2009/'10;2215.0
1;Total male and female;Total primary education;Caribbean Netherlands;2010/'11;2097.0
2;Total male and female;Total primary education;Caribbean Netherlands;2011/'12;2136.0
3;Total male and female;Total primary education;Caribbean Netherlands;2012/'13;2144.0
4;Total male and female;Total primary education;Caribbean Netherlands;2013/'14;2165.0
5;Total male and female;Total primary education;Caribbean Netherlands;2014/'15;2222.0
6;Total male and female;Total primary education;Caribbean Netherlands;2015/'16;2274.0
7;Total male and female;Total primary education;Caribbean Netherlands;2016/'17;2334.0
8;Total male and female;Total primary education;Caribbean Netherlands;2017/'18;2424.0
9;Total male and female;Total primary education;Caribbean Netherlands;2018/'19;2385.0
10;Total male and female;Total primary education;Caribbean Netherlands;2019/'20;2437.0
11;Total male and female;Total primary education;Caribbean Netherlands;2020/'21;2446.0
12;Total male and female;Total primary education;Caribbean Netherlands;2021/22;2445.0
13;Total male and female;Total primary education;Caribbean Netherlands;2022/'23;2407.0
14;Total male and female;Total primary education;Caribbean Netherlands;2023/'24;2425.0
15;Total male and female;Total primary education;Caribbean Netherlands;2024/'25;2555.0
16;Total male and female;Total primary education;Bonaire;2009/'10;1678.0
17;Total male and female;Total primary education;Bonaire;2010/'11;1597.0
18;Total male and female;Total primary education;Bonaire;2011/'12;1640.0
19;Total male and female;Total primary education;Bonaire;2012/'13;1627.0
20;Total male and female;Total primary education;Bonaire;2013/'14;1679.0
21;Total male and female;Total primary education;Bonaire;2014/'15;1727.0
22;Total male and female;Total primary education;Bonaire;2015/'16;1778.0
23;Total male and female;Total primary education;Bonaire;2016/'17;1843.0
24;Total male and female;Total primary education;Bonaire;2017/'18;1893.0
25;Total male and female;Total primary education;Bonaire;2018/'19;1899.0
26;Total male and female;Total primary education;Bonaire;2019/'20;1946.0
27;Total male and female;Total primary education;Bonaire;2020/'21;1955.0
28;Total male and female;Total primary education;Bonaire;2021/22;1953.0
29;Total male and female;Total primary education;Bonaire;2022/'23;1951.0
30;Total male and female;Total primary education;Bonaire;2023/'24;1976.0
31;Total male and female;Total primary education;Bonaire;2024/'25;2015.0
32;Total male and female;Total primary education;St Eustatius;2009/'10;377.0
33;Total male and female;Total primary education;St Eustatius;2010/'11;345.0
34;Total male and female;Total primary education;St Eustatius;2011/'12;350.0
35;Total male and female;Total primary education;St Eustatius;2012/'13;363.0
36;Total male and female;Total primary education;St Eustatius;2013/'14;336.0
37;Total male and female;Total primary education;St Eustatius;2014/'15;337.0
38;Total male and female;Total primary education;St Eustatius;2015/'16;331.0
39;Total male and female;Total primary education;St Eustatius;2016/'17;325.0
40;Total male and female;Total primary education;St Eustatius;2017/'18;364.0
41;Total male and female;Total primary education;St Eustatius;2018/'19;337.0
42;Total male and female;Total primary education;St Eustatius;2019/'20;333.0
43;Total male and female;Total primary education;St Eustatius;2020/'21;332.0
44;Total male and female;Total primary education;St Eustatius;2021/22;322.0
45;Total male and female;Total primary education;St Eustatius;2022/'23;305.0
46;Total male and female;Total primary education;St Eustatius;2023/'24;296.0
47;Total male and female;Total primary education;St Eustatius;2024/'25;311.0
48;Total male and female;Total primary education;Saba;2009/'10;160.0
49;Total male and female;Total primary education;Saba;2010/'11;155.0
50;Total male and female;Total primary education;Saba;2011/'12;146.0
51;Total male and female;Total primary education;Saba;2012/'13;154.0
52;Total male and female;Total primary education;Saba;2013/'14;150.0
53;Total male and female;Total primary education;Saba;2014/'15;158.0
54;Total male and female;Total primary education;Saba;2015/'16;165.0
55;Total male and female;Total primary education;Saba;2016/'17;166.0
56;Total male and female;Total primary education;Saba;2017/'18;167.0
57;Total male and female;Total primary education;Saba;2018/'19;149.0
58;Total male and female;Total primary education;Saba;2019/'20;158.0
59;Total male and female;Total primary education;Saba;2020/'21;159.0
60;Total male and female;Total primary education;Saba;2021/22;170.0
61;Total male and female;Total primary education;Saba;2022/'23;151.0
62;Total male and female;Total primary education;Saba;2023/'24;153.0
63;Total male and female;Total primary education;Saba;2024/'25;149.0
64;Total male and female;Younger than 5 years;Caribbean Netherlands;2009/'10;243.0
65;Total male and female;Younger than 5 years;Caribbean Netherlands;2010/'11;241.0
66;Total male and female;Younger than 5 years;Caribbean Netherlands;2011/'12;210.0
67;Total male and female;Younger than 5 years;Caribbean Netherlands;2012/'13;240.0
68;Total male and female;Younger than 5 years;Caribbean Netherlands;2013/'14;258.0
69;Total male and female;Younger than 5 years;Caribbean Netherlands;2014/'15;269.0
70;Total male and female;Younger than 5 years;Caribbean Netherlands;2015/'16;254.0
71;Total male and female;Younger than 5 years;Caribbean Netherlands;2016/'17;269.0
72;Total male and female;Younger than 5 years;Caribbean Netherlands;2017/'18;296.0
73;Total male and female;Younger than 5 years;Caribbean Netherlands;2018/'19;274.0
74;Total male and female;Younger than 5 years;Caribbean Netherlands;2019/'20;265.0
75;Total male and female;Younger than 5 years;Caribbean Netherlands;2020/'21;238.0
76;Total male and female;Younger than 5 years;Caribbean Netherlands;2021/22;256.0
77;Total male and female;Younger than 5 years;Caribbean Netherlands;2022/'23;259.0
78;Total male and female;Younger than 5 years;Caribbean Netherlands;2023/'24;278.0
79;Total male and female;Younger than 5 years;Caribbean Netherlands;2024/'25;328.0
80;Total male and female;Younger than 5 years;Bonaire;2009/'10;183.0
81;Total male and female;Younger than 5 years;Bonaire;2010/'11;186.0
82;Total male and female;Younger than 5 years;Bonaire;2011/'12;170.0
83;Total male and female;Younger than 5 years;Bonaire;2012/'13;187.0
84;Total male and female;Younger than 5 years;Bonaire;2013/'14;201.0
85;Total male and female;Younger than 5 years;Bonaire;2014/'15;209.0
86;Total male and female;Younger than 5 years;Bonaire;2015/'16;213.0
87;Total male and female;Younger than 5 years;Bonaire;2016/'17;215.0
88;Total male and female;Younger than 5 years;Bonaire;2017/'18;238.0
89;Total male and female;Younger than 5 years;Bonaire;2018/'19;213.0
90;Total male and female;Younger than 5 years;Bonaire;2019/'20;210.0
91;Total male and female;Younger than 5 years;Bonaire;2020/'21;190.0
92;Total male and female;Younger than 5 years;Bonaire;2021/22;205.0
93;Total male and female;Younger than 5 years;Bonaire;2022/'23;218.0
94;Total male and female;Younger than 5 years;Bonaire;2023/'24;219.0
95;Total male and female;Younger than 5 years;Bonaire;2024/'25;249.0
96;Total male and female;Younger than 5 years;St Eustatius;2009/'10;36.0
97;Total male and female;Younger than 5 years;St Eustatius;2010/'11;33.0
98;Total male and female;Younger than 5 years;St Eustatius;2011/'12;24.0
99;Total male and female;Younger than 5 years;St Eustatius;2012/'13;33.0
100;Total male and female;Younger than 5 years;St Eustatius;2013/'14;37.0
101;Total male and female;Younger than 5 years;St Eustatius;2014/'15;44.0
102;Total male and female;Younger than 5 years;St Eustatius;2015/'16;29.0
103;Total male and female;Younger than 5 years;St Eustatius;2016/'17;32.0
104;Total male and female;Younger than 5 years;St Eustatius;2017/'18;46.0
105;Total male and female;Younger than 5 years;St Eustatius;2018/'19;41.0
106;Total male and female;Younger than 5 years;St Eustatius;2019/'20;32.0
107;Total male and female;Younger than 5 years;St Eustatius;2020/'21;32.0
108;Total male and female;Younger than 5 years;St Eustatius;2021/22;30.0
109;Total male and female;Younger than 5 years;St Eustatius;2022/'23;27.0
110;Total male and female;Younger than 5 years;St Eustatius;2023/'24;39.0
111;Total male and female;Younger than 5 years;St Eustatius;2024/'25;50.0
112;Total male and female;Younger than 5 years;Saba;2009/'10;24.0
113;Total male and female;Younger than 5 years;Saba;2010/'11;22.0
114;Total male and female;Younger than 5 years;Saba;2011/'12;16.0
115;Total male and female;Younger than 5 years;Saba;2012/'13;20.0
116;Total male and female;Younger than 5 years;Saba;2013/'14;20.0
117;Total male and female;Younger than 5 years;Saba;2014/'15;16.0
118;Total male and female;Younger than 5 years;Saba;2015/'16;12.0
119;Total male and female;Younger than 5 years;Saba;2016/'17;22.0
120;Total male and female;Younger than 5 years;Saba;2017/'18;12.0
121;Total male and female;Younger than 5 years;Saba;2018/'19;20.0
122;Total male and female;Younger than 5 years;Saba;2019/'20;23.0
123;Total male and female;Younger than 5 years;Saba;2020/'21;16.0
124;Total male and female;Younger than 5 years;Saba;2021/22;21.0
125;Total male and female;Younger than 5 years;Saba;2022/'23;14.0
126;Total male and female;Younger than 5 years;Saba;2023/'24;20.0
127;Total male and female;Younger than 5 years;Saba;2024/'25;14.0
128;Total male and female;5 years;Caribbean Netherlands;2009/'10;252.0
129;Total male and female;5 years;Caribbean Netherlands;2010/'11;239.0
130;Total male and female;5 years;Caribbean Netherlands;2011/'12;251.0
131;Total male and female;5 years;Caribbean Netherlands;2012/'13;246.0
132;Total male and female;5 years;Caribbean Netherlands;2013/'14;259.0
133;Total male and female;5 years;Caribbean Netherlands;2014/'15;284.0
134;Total male and female;5 years;Caribbean Netherlands;2015/'16;292.0
135;Total male and female;5 years;Caribbean Netherlands;2016/'17;279.0
136;Total male and female;5 years;Caribbean Netherlands;2017/'18;267.0
137;Total male and female;5 years;Caribbean Netherlands;2018/'19;288.0
138;Total male and female;5 years;Caribbean Netherlands;2019/'20;288.0
139;Total male and female;5 years;Caribbean Netherlands;2020/'21;285.0
140;Total male and female;5 years;Caribbean Netherlands;2021/22;250.0
141;Total male and female;5 years;Caribbean Netherlands;2022/'23;260.0
142;Total male and female;5 years;Caribbean Netherlands;2023/'24;281.0
143;Total male and female;5 years;Caribbean Netherlands;2024/'25;303.0
144;Total male and female;5 years;Bonaire;2009/'10;181.0
145;Total male and female;5 years;Bonaire;2010/'11;179.0
146;Total male and female;5 years;Bonaire;2011/'12;193.0
147;Total male and female;5 years;Bonaire;2012/'13;189.0
148;Total male and female;5 years;Bonaire;2013/'14;204.0
149;Total male and female;5 years;Bonaire;2014/'15;221.0
150;Total male and female;5 years;Bonaire;2015/'16;223.0
151;Total male and female;5 years;Bonaire;2016/'17;232.0
152;Total male and female;5 years;Bonaire;2017/'18;214.0
153;Total male and female;5 years;Bonaire;2018/'19;233.0
154;Total male and female;5 years;Bonaire;2019/'20;223.0
155;Total male and female;5 years;Bonaire;2020/'21;224.0
156;Total male and female;5 years;Bonaire;2021/22;198.0
157;Total male and female;5 years;Bonaire;2022/'23;210.0
158;Total male and female;5 years;Bonaire;2023/'24;234.0
159;Total male and female;5 years;Bonaire;2024/'25;239.0
160;Total male and female;5 years;St Eustatius;2009/'10;52.0
161;Total male and female;5 years;St Eustatius;2010/'11;35.0
162;Total male and female;5 years;St Eustatius;2011/'12;35.0
163;Total male and female;5 years;St Eustatius;2012/'13;41.0
164;Total male and female;5 years;St Eustatius;2013/'14;35.0
165;Total male and female;5 years;St Eustatius;2014/'15;44.0
166;Total male and female;5 years;St Eustatius;2015/'16;52.0
167;Total male and female;5 years;St Eustatius;2016/'17;34.0
168;Total male and female;5 years;St Eustatius;2017/'18;32.0
169;Total male and female;5 years;St Eustatius;2018/'19;41.0
170;Total male and female;5 years;St Eustatius;2019/'20;45.0
171;Total male and female;5 years;St Eustatius;2020/'21;35.0
172;Total male and female;5 years;St Eustatius;2021/22;31.0
173;Total male and female;5 years;St Eustatius;2022/'23;29.0
174;Total male and female;5 years;St Eustatius;2023/'24;29.0
175;Total male and female;5 years;St Eustatius;2024/'25;36.0
176;Total male and female;5 years;Saba;2009/'10;19.0
177;Total male and female;5 years;Saba;2010/'11;25.0
178;Total male and female;5 years;Saba;2011/'12;23.0
179;Total male and female;5 years;Saba;2012/'13;16.0
180;Total male and female;5 years;Saba;2013/'14;20.0
181;Total male and female;5 years;Saba;2014/'15;19.0
182;Total male and female;5 years;Saba;2015/'16;17.0
183;Total male and female;5 years;Saba;2016/'17;13.0
184;Total male and female;5 years;Saba;2017/'18;21.0
185;Total male and female;5 years;Saba;2018/'19;14.0
186;Total male and female;5 years;Saba;2019/'20;20.0
187;Total male and female;5 years;Saba;2020/'21;26.0
188;Total male and female;5 years;Saba;2021/22;21.0
189;Total male and female;5 years;Saba;2022/'23;21.0
190;Total male and female;5 years;Saba;2023/'24;18.0
191;Total male and female;5 years;Saba;2024/'25;19.0
192;Total male and female;6 years;Caribbean Netherlands;2009/'10;249.0
193;Total male and female;6 years;Caribbean Netherlands;2010/'11;252.0
194;Total male and female;6 years;Caribbean Netherlands;2011/'12;235.0
195;Total male and female;6 years;Caribbean Netherlands;2012/'13;249.0
196;Total male and female;6 years;Caribbean Netherlands;2013/'14;248.0
197;Total male and female;6 years;Caribbean Netherlands;2014/'15;276.0
198;Total male and female;6 years;Caribbean Netherlands;2015/'16;295.0
199;Total male and female;6 years;Caribbean Netherlands;2016/'17;306.0
200;Total male and female;6 years;Caribbean Netherlands;2017/'18;293.0
201;Total male and female;6 years;Caribbean Netherlands;2018/'19;269.0
202;Total male and female;6 years;Caribbean Netherlands;2019/'20;309.0
203;Total male and female;6 years;Caribbean Netherlands;2020/'21;292.0
204;Total male and female;6 years;Caribbean Netherlands;2021/22;295.0
