ID;Geslacht;Leeftijd;WijzeVanDeelname;Perioden;Verkeersdoden_1
0;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal wijze van deelname;1996;1251
1;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal wijze van deelname;1997;1235
2;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal wijze van deelname;1998;1149
3;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal wijze van deelname;1999;1186
4;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal wijze van deelname;2000;1166
5;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal wijze van deelname;2001;1083
6;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal wijze van deelname;2002;1066
7;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal wijze van deelname;2003;1088
8;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal wijze van deelname;2004;881
9;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal wijze van deelname;2005;817
10;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal wijze van deelname;2006;811
11;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal wijze van deelname;2007;791
12;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal wijze van deelname;2008;750
13;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal wijze van deelname;2009;720
14;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal wijze van deelname;2010;640
15;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal wijze van deelname;2011;661
16;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal wijze van deelname;2012;650
17;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal wijze van deelname;2013;570
18;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal wijze van deelname;2014;570
19;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal wijze van deelname;2015;621
20;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal wijze van deelname;2016;629
21;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal wijze van deelname;2017;613
22;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal wijze van deelname;2018;678
23;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal wijze van deelname;2019;661
24;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal wijze van deelname;2020;610
25;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal wijze van deelname;2021;582
