ID;Geslacht;Perioden;TotaalBevolking15Tot65Jaar_1;Beroepsbevolking_2;WerkzameBeroepsbevolking_3;WerklozeBeroepsbevolking_4;BrutoArbeidsparticipatie_5;NettoArbeidsparticipatie_6;GeregistreerdeWerklozen_7
0;Mannen en vrouwen;1970;;4711;4681;31;;;44
1;Mannen en vrouwen;1971;;4749;4706;43;;;62
2;Mannen en vrouwen;1972;;4809;4736;73;;;108
3;Mannen en vrouwen;1973;;4846;4769;77;;;110
4;Mannen en vrouwen;1974;;4867;4771;95;;;135
5;Mannen en vrouwen;1975;;4883;4744;139;;;195
6;Mannen en vrouwen;1976;;4915;4762;153;;;211
7;Mannen en vrouwen;1977;;4944;4792;152;;;204
8;Mannen en vrouwen;1978;;4949;4790;159;;;201
9;Mannen en vrouwen;1979;;4967;4800;166;;;194
10;Mannen en vrouwen;1980;;5075;4881;194;;;217
11;Mannen en vrouwen;1981;9365.0;5154;4848;307;55.0;52.0;317
12;Mannen en vrouwen;1982;;5189;4752;437;;;468
13;Mannen en vrouwen;1983;9577.0;5232;4699;533;55.0;49.0;612
14;Mannen en vrouwen;1984;;5253;4720;534;;;591
15;Mannen en vrouwen;1985;9805.0;5293;4811;482;54.0;49.0;511
16;Mannen en vrouwen;1986;;5515;5040;475;;;474
17;Mannen en vrouwen;1987;10024.0;5743;5257;486;57.0;52.0;456
18;Mannen en vrouwen;1988;10107.0;5867;5378;490;58.0;53.0;453
19;Mannen en vrouwen;1989;10168.0;5929;5477;452;58.0;54.0;407
20;Mannen en vrouwen;1990;10228.0;6063;5644;419;59.0;55.0;358
21;Mannen en vrouwen;1991;10294.0;6189;5790;400;60.0;56.0;334
22;Mannen en vrouwen;1992;10349.0;6296;5885;411;61.0;57.0;336
23;Mannen en vrouwen;1993;10420.0;6406;5925;481;61.0;57.0;415
24;Mannen en vrouwen;1994;10473.0;6466;5920;547;62.0;57.0;486
25;Mannen en vrouwen;1995;10498.0;6596;6063;533;63.0;58.0;464
26;Mannen en vrouwen;1996;10534.0;6686;6185;501;63.0;59.0;440
27;Mannen en vrouwen;1997;10566.0;6832;6384;448;65.0;60.0;375
28;Mannen en vrouwen;1998;10606.0;6941;6587;354;65.0;62.0;287
29;Mannen en vrouwen;1999;10665.0;7069;6768;301;66.0;63.0;220
30;Mannen en vrouwen;2000;10729.0;7187;6917;270;67.0;64.0;188
31;Mannen en vrouwen;2001;10801.0;7273;7021;252;67.0;65.0;146
32;Mannen en vrouwen;2002;10863.0;7337;7035;302;68.0;65.0;170
33;Mannen en vrouwen;2003;10903.0;7401;7001;399;68.0;64.0;255
34;Mannen en vrouwen;2004;10925.0;7398;6919;479;68.0;63.0;319
35;Mannen en vrouwen;2005;10943.0;7401;6918;483;68.0;63.0;311
36;Mannen en vrouwen;2006;10964.0;7486;7074;413;68.0;65.0;260
37;Mannen;1970;;3518;3496;22;;;36
38;Mannen;1971;;3522;3492;30;;;51
39;Mannen;1972;;3544;3490;54;;;91
40;Mannen;1973;;3560;3507;53;;;88
41;Mannen;1974;;3567;3504;64;;;107
42;Mannen;1975;;3572;3481;91;;;153
43;Mannen;1976;;3593;3498;95;;;160
44;Mannen;1977;;3612;3525;86;;;145
45;Mannen;1978;;3591;3510;81;;;134
46;Mannen;1979;;3580;3501;79;;;123
47;Mannen;1980;;3603;3508;95;;;141
48;Mannen;1981;4738.0;3615;3447;168;76.0;73.0;217
49;Mannen;1982;;3613;3358;255;;;333
50;Mannen;1983;4843.0;3618;3290;329;75.0;68.0;446
51;Mannen;1984;;3613;3289;324;;;425
52;Mannen;1985;4955.0;3625;3342;283;73.0;67.0;358
53;Mannen;1986;;3692;3443;248;;;310
54;Mannen;1987;5071.0;3763;3536;226;74.0;70.0;278
55;Mannen;1988;5115.0;3797;3564;233;74.0;70.0;281
56;Mannen;1989;5148.0;3825;3619;206;74.0;70.0;244
57;Mannen;1990;5182.0;3865;3686;179;75.0;71.0;209
58;Mannen;1991;5219.0;3912;3732;180;75.0;72.0;190
59;Mannen;1992;5250.0;3967;3781;186;76.0;72.0;195
60;Mannen;1993;5295.0;3999;3771;228;76.0;71.0;240
