ID;Vervoerstromen;BedrijfstakkenBranchesSBI2008;Perioden;VervoerdLadinggewicht_1;Ladingtonkilometers_2;VoertuigkilometersBeladen_3;RittenBeladen_4
0;Totaal;A-U Alle economische activiteiten;2013;642050;72080;5498;49861
1;Totaal;A-U Alle economische activiteiten;2014;639692;72335;5662;51319
2;Totaal;A-U Alle economische activiteiten;2015;641440;68899;5567;53522
3;Totaal;A-U Alle economische activiteiten;2016;656417;67785;5463;54172
4;Totaal;A-U Alle economische activiteiten;2017;665992;67532;5328;52733
5;Totaal;A-U Alle economische activiteiten;2018;680169;68906;5440;53243
6;Totaal;A-U Alle economische activiteiten;2019;688739;68922;5370;53828
7;Totaal;A-U Alle economische activiteiten;2020;684241;67592;5369;55206
8;Totaal;A-U Alle economische activiteiten;2021;699323;69557;5591;57048
9;Totaal;A-U Alle economische activiteiten;2022;690726;65464;5289;58508
10;Totaal;A-U Alle economische activiteiten;2023;642195;62569;5141;55013
11;Totaal;A Landbouw, bosbouw en visserij;2013;22615;1303;92;1664
12;Totaal;A Landbouw, bosbouw en visserij;2014;22360;1504;99;1537
13;Totaal;A Landbouw, bosbouw en visserij;2015;22743;1324;93;1698
14;Totaal;A Landbouw, bosbouw en visserij;2016;22677;1559;103;1669
15;Totaal;A Landbouw, bosbouw en visserij;2017;22671;1503;101;1569
16;Totaal;A Landbouw, bosbouw en visserij;2018;27430;1671;96;1644
17;Totaal;A Landbouw, bosbouw en visserij;2019;28359;1928;115;1951
18;Totaal;A Landbouw, bosbouw en visserij;2020;31121;1872;117;2111
19;Totaal;A Landbouw, bosbouw en visserij;2021;30580;1994;118;2014
20;Totaal;A Landbouw, bosbouw en visserij;2022;27553;1642;106;1950
21;Totaal;A Landbouw, bosbouw en visserij;2023;25786;1526;107;1913
22;Totaal;C Industrie;2013;30907;1764;175;2381
23;Totaal;C Industrie;2014;28988;1726;166;2252
24;Totaal;C Industrie;2015;27395;1698;166;2349
25;Totaal;C Industrie;2016;26506;1586;161;2158
26;Totaal;C Industrie;2017;28725;1729;160;2199
27;Totaal;C Industrie;2018;26237;1545;150;2096
28;Totaal;C Industrie;2019;28731;1681;154;2114
29;Totaal;C Industrie;2020;28013;1710;153;2096
30;Totaal;C Industrie;2021;28255;1683;169;2265
31;Totaal;C Industrie;2022;31887;1813;166;2431
32;Totaal;C Industrie;2023;23045;1544;149;1987
33;Totaal;E Waterbedrijven en afvalbeheer;2013;36618;1869;121;2834
34;Totaal;E Waterbedrijven en afvalbeheer;2014;31608;1510;135;2609
35;Totaal;E Waterbedrijven en afvalbeheer;2015;26839;1313;135;2641
36;Totaal;E Waterbedrijven en afvalbeheer;2016;29341;1397;148;2679
37;Totaal;E Waterbedrijven en afvalbeheer;2017;27843;1227;113;2584
