ID;Sectoren;TypeNietFinancieleActiva;Perioden;Beginbalans_1;Herwaardering_2;Kapitaalvorming_3;OverigeVolumemutaties_4;StatistischVerschil_5;Eindbalans_6;VolumeIndex2010100_7
0;Totaal sectoren;Totaal niet-financiële activa;1995;;;;;;1317586.0;81.3
1;Totaal sectoren;Totaal niet-financiële activa;1996;1317586.0;99714.0;22854.0;1045.0;1179.0;1442378.0;82.7
2;Totaal sectoren;Totaal niet-financiële activa;1997;1442378.0;107235.0;27520.0;1583.0;-139.0;1578577.0;84.2
3;Totaal sectoren;Totaal niet-financiële activa;1998;1578577.0;97173.0;30248.0;5642.0;2126.0;1713766.0;86.2
4;Totaal sectoren;Totaal niet-financiële activa;1999;1713766.0;155727.0;34390.0;6875.0;-63.0;1910694.0;88.1
5;Totaal sectoren;Totaal niet-financiële activa;2000;1910694.0;258109.0;33063.0;4854.0;-517.0;2206202.0;89.6
6;Totaal sectoren;Totaal niet-financiële activa;2001;2206202.0;206678.0;33176.0;4764.0;-63.0;2450757.0;91.0
7;Totaal sectoren;Totaal niet-financiële activa;2002;2450757.0;87152.0;24593.0;5874.0;-1467.0;2566909.0;92.0
8;Totaal sectoren;Totaal niet-financiële activa;2003;2566909.0;72142.0;21877.0;6078.0;-2484.0;2664522.0;92.9
9;Totaal sectoren;Totaal niet-financiële activa;2004;2664522.0;77106.0;22380.0;5312.0;-843.0;2768477.0;93.8
10;Totaal sectoren;Totaal niet-financiële activa;2005;2768477.0;107145.0;25073.0;2196.0;-2254.0;2900637.0;94.6
11;Totaal sectoren;Totaal niet-financiële activa;2006;2900637.0;150879.0;32050.0;2524.0;3291.0;3089381.0;95.8
12;Totaal sectoren;Totaal niet-financiële activa;2007;3089381.0;107843.0;39812.0;7259.0;-2210.0;3242085.0;97.1
13;Totaal sectoren;Totaal niet-financiële activa;2008;3242085.0;152614.0;41426.0;3685.0;2006.0;3441817.0;98.5
14;Totaal sectoren;Totaal niet-financiële activa;2009;3441817.0;-111074.0;24585.0;16687.0;-9154.0;3362860.0;99.4
15;Totaal sectoren;Totaal niet-financiële activa;2010;3362860.0;-33568.0;21571.0;-3005.0;-1.0;3347858.0;100.0
16;Totaal sectoren;Totaal niet-financiële activa;2011;3347858.0;-13346.0;24509.0;458.0;1008.0;3360487.0;100.8
17;Totaal sectoren;Totaal niet-financiële activa;2012;3360487.0;-91842.0;15317.0;-4656.0;2342.0;3281650.0;101.2
18;Totaal sectoren;Totaal niet-financiële activa;2013;3281650.0;-121217.0;9232.0;-1796.0;-2413.0;3165456.0;101.3
19;Totaal sectoren;Totaal niet-financiële activa;2014;3165455.0;-8393.0;11968.0;-5460.0;-1661.0;3161910.0;101.5
20;Totaal sectoren;Totaal niet-financiële activa;2015;3161910.0;20436.0;24058.0;5034.0;-594.0;3210844.0;102.4
21;Totaal sectoren;Totaal niet-financiële activa;2016;3210844.0;23193.0;26245.0;-62.0;-161.0;3260059.0;103.2
22;Totaal sectoren;Totaal vaste activa;1995;;;;;;1000326.0;75.6
23;Totaal sectoren;Totaal vaste activa;1996;1000326.0;24281.0;20678.0;-242.0;751.0;1045795.0;77.2
24;Totaal sectoren;Totaal vaste activa;1997;1045795.0;17931.0;24539.0;-611.0;974.0;1088629.0;79.0
25;Totaal sectoren;Totaal vaste activa;1998;1088629.0;23563.0;27365.0;-218.0;1287.0;1140625.0;81.0
26;Totaal sectoren;Totaal vaste activa;1999;1140625.0;32043.0;32943.0;471.0;-262.0;1205820.0;83.3
