ID;Perioden;TotaalOmzetAandelen_1;TotaalOfficieleMarkt_2;InternationaleConcerns_3;HandelEnIndustrie_4;ScheepEnLuchtvaart_5;BankEnVerzekeringswezen_6;Beleggingsfondsen_7;Nmax_8;BuitenlandseAandelen_9;ClaimsStockDividendED_10;TotaalOmzetObligaties_11;Staatsleningen_12;InterprofessioneleTransacties_13
0;2000 mei;101.8;110.5;33.1;52.1;0.5;18.4;6.4;0.3;1.0;0.4;;;
1;2000 juni;103.8;103.7;31.4;42.7;0.6;24.0;5.0;0.1;0.3;0.5;;;
2;2000 juli;108.2;108.1;33.3;42.0;0.6;25.6;6.6;0.1;0.3;0.4;;;
3;2000 augustus;115.6;115.4;37.0;48.0;0.5;24.1;5.8;0.1;0.3;0.4;;;
4;2000 september;121.3;121.0;40.8;48.6;0.5;24.5;6.6;0.1;0.2;0.4;;;
5;2000 oktober;140.9;140.8;48.5;50.9;0.4;32.9;8.1;0.1;0.1;0.4;;;
6;2000 november;147.3;147.3;48.5;59.4;0.4;31.7;7.3;0.0;0.3;0.4;;;
7;2000 december;112.9;112.9;39.7;40.7;0.2;25.7;6.6;0.0;0.1;0.3;199.4;111.5;87.9
8;2001 januari;153.6;153.5;48.8;58.8;0.5;38.2;7.2;0.0;0.1;0.5;90.5;50.6;39.9
9;2001 februari;109.5;109.5;40.3;36.9;0.5;27.3;4.5;0.0;0.1;0.6;71.2;40.3;30.9
10;2001 maart;131.6;131.6;40.3;50.1;0.5;35.8;4.9;0.0;0.2;0.9;81.9;44.8;37.1
11;2001 april;94.5;94.4;32.2;34.9;0.3;23.1;3.9;0.0;0.2;0.3;72.9;40.5;32.5
12;2001 mei;113.0;112.9;37.0;45.9;0.3;25.7;4.0;0.0;0.6;0.4;92.9;51.4;41.5
13;2001 juni;98.6;98.5;34.5;37.6;0.3;22.9;3.2;0.0;0.1;0.4;69.3;38.5;30.8
14;2001 juli;82.8;82.8;34.1;25.3;0.2;19.6;3.6;0.0;0.1;0.2;52.8;29.4;23.5
15;2001 augustus;90.0;90.0;35.3;29.4;0.2;21.9;3.2;0.0;0.6;0.3;59.1;32.9;26.2
16;2001 september;116.6;116.6;47.3;35.2;0.3;29.6;4.2;0.0;0.2;0.7;222.1;122.7;99.4
17;2001 oktober;;;;;;;;;;;;;
18;2001 november;54.9;;;;;;;;;;3.7;;
19;2001 december;49.3;;;;;;;;;;2.5;;
20;2002 januari;55.7;;;;;;;;;;10.6;;
21;2002 februari;48.5;;;;;;;;;;11.2;;
22;2002 maart;56.6;;;;;;;;;;10.3;;
23;2002 april;54.6;;;;;;;;;;65.4;;
24;2002 mei;49.9;;;;;;;;;;15.0;;
25;2002 juni;50.6;;;;;;;;;;10.1;;
26;2002 juli;78.9;;;;;;;;;;9.2;;
27;2002 augustus;48.9;;;;;;;;;;11.8;;
28;2002 september;47.8;;;;;;;;;;9.0;;
29;2002 oktober;52.8;;;;;;;;;;14.0;;
30;2002 november;41.0;;;;;;;;;;17.9;;
31;2002 december;31.4;;;;;;;;;;10.1;;
32;2003 januari;41.8;;;;;;;;;;21.2;;
33;2003 februari;33.8;;;;;;;;;;25.3;;
34;2003 maart;42.6;;;;;;;;;;21.0;;
35;2003 april;41.8;;;;;;;;;;18.6;;
36;2003 mei;43.5;;;;;;;;;;21.8;;
37;2003 juni;46.5;;;;;;;;;;17.8;;
38;2003 juli;45.7;;;;;;;;;;18.5;;
39;2003 augustus;39.5;;;;;;;;;;11.9;;
40;2003 september;50.3;;;;;;;;;;17.8;;
41;2003 oktober;51.9;;;;;;;;;;21.2;;
42;2003, november;39.3;;;;;;;;;;17.6;;
