ID;Perioden;TotaalBewoondeWoningvoorraad_1;Huur_2;Koop_3;Basishuur_4;NettoHuur_5;BijkomendeWoonuitgaven_6;TotaleWoonuitgaven_7;GemiddeldInkomen_8;NettoHuurquote_9;TotaleWoonquote_10;BrutoWoonuitgaven_11;NettoWoonuitgaven_12;BijkomendeWoonuitgaven_13;TotaleWoonuitgaven_14;GemiddeldInkomen_15;NettoKoopquote_16;TotaleWoonquote_17
0;1990;5705;54.7;45.3;209;191;83;274;13617;19.7;28.3;252;197;112;313;20425;12.9;20.5
1;1994;6037;52.4;47.6;257;238;100;338;16022;21.1;30.1;355;283;131;414;24465;15.1;22.9
2;1998;6360;49.2;50.8;317;285;107;393;16950;24.1;33.2;425;340;143;482;27532;16.8;24.5
3;1999;6443;48.1;51.9;322;288;116;405;17094;23.7;33.3;429;359;155;515;27897;17.7;25.9
4;2000;6505;47.8;52.2;331;302;118;421;17984;24.0;33.7;456;358;160;517;28836;17.5;25.5
