ID;PositieVanMoedersInHetHuishouden;Persoonskenmerken;Perioden;TotaalMoeders15Tot65Jaar_1;TotaalMoedersWerkzameBeroepsbevolking_2;Werkt12Tot28UurPerWeek_3;Werkt28Tot35UurPerWeek_4;Werkt35UurOfMeerPerWeek_5;WilWerkVanTwaalfUurOfMeerPerWeek_6;WilKanNiet12UurPerWeekWerken_7;ZorgVoorGezinOfHuishouden_8;OverigeRedenen_9
0;Totaal alleenst. en samenwonende moeders;10;2001;1928.0;1072.0;727.0;174.0;171.0;173.0;683.0;503.0;180.0
1;Totaal alleenst. en samenwonende moeders;10;2002;1945.0;1124.0;767.0;188.0;168.0;175.0;646.0;465.0;182.0
2;Totaal alleenst. en samenwonende moeders;10;2003;1966.0;1158.0;784.0;204.0;170.0;194.0;614.0;426.0;188.0
3;Totaal alleenst. en samenwonende moeders;10;2004;1960.0;1172.0;797.0;207.0;168.0;220.0;569.0;382.0;187.0
4;Totaal alleenst. en samenwonende moeders;10;2005;1952.0;1189.0;807.0;213.0;168.0;244.0;520.0;350.0;169.0
5;Totaal alleenst. en samenwonende moeders;10;2006;1935.0;1230.0;812.0;237.0;181.0;226.0;479.0;317.0;162.0
6;Totaal alleenst. en samenwonende moeders;10;2007;1939.0;1288.0;838.0;260.0;190.0;198.0;452.0;283.0;169.0
7;Totaal alleenst. en samenwonende moeders;10;2008;1916.0;1326.0;843.0;283.0;200.0;168.0;423.0;260.0;163.0
8;Totaal alleenst. en samenwonende moeders;10;2009;1909.0;1343.0;838.0;298.0;208.0;172.0;394.0;234.0;160.0
9;Totaal alleenst. en samenwonende moeders;10;2010;1894.0;1340.0;833.0;301.0;206.0;186.0;368.0;218.0;149.0
10;Totaal alleenst. en samenwonende moeders;10;2011;1872.0;1334.0;820.0;304.0;211.0;174.0;364.0;217.0;147.0
11;Totaal alleenst. en samenwonende moeders;10;2012;1882.0;1342.0;804.0;323.0;215.0;194.0;347.0;203.0;144.0
12;Totaal alleenst. en samenwonende moeders;10;2013;1877.0;1314.0;767.0;329.0;218.0;236.0;328.0;180.0;148.0
13;Totaal alleenst. en samenwonende moeders;12600;2001;1507.0;874.0;626.0;133.0;115.0;121.0;512.0;385.0;126.0
14;Totaal alleenst. en samenwonende moeders;12600;2002;1512.0;914.0;661.0;141.0;112.0;117.0;482.0;357.0;124.0
15;Totaal alleenst. en samenwonende moeders;12600;2003;1524.0;947.0;674.0;159.0;115.0;125.0;452.0;326.0;127.0
16;Totaal alleenst. en samenwonende moeders;12600;2004;1508.0;955.0;684.0;158.0;112.0;144.0;410.0;288.0;121.0
17;Totaal alleenst. en samenwonende moeders;12600;2005;1494.0;963.0;689.0;164.0;111.0;160.0;371.0;261.0;111.0
18;Totaal alleenst. en samenwonende moeders;12600;2006;1474.0;1002.0;696.0;183.0;123.0;135.0;336.0;233.0;103.0
19;Totaal alleenst. en samenwonende moeders;12600;2007;1471.0;1044.0;719.0;198.0;127.0;118.0;308.0;202.0;106.0
20;Totaal alleenst. en samenwonende moeders;12600;2008;1440.0;1057.0;714.0;209.0;134.0;102.0;281.0;183.0;98.0
21;Totaal alleenst. en samenwonende moeders;12600;2009;1427.0;1069.0;707.0;222.0;141.0;102.0;255.0;161.0;95.0
22;Totaal alleenst. en samenwonende moeders;12600;2010;1423.0;1077.0;706.0;230.0;140.0;110.0;237.0;148.0;88.0
23;Totaal alleenst. en samenwonende moeders;12600;2011;1408.0;1071.0;694.0;233.0;144.0;101.0;236.0;148.0;88.0
24;Totaal alleenst. en samenwonende moeders;12600;2012;1393.0;1071.0;672.0;250.0;149.0;108.0;214.0;130.0;84.0
25;Totaal alleenst. en samenwonende moeders;12600;2013;1377.0;1050.0;637.0;257.0;155.0;128.0;199.0;115.0;84.0
26;Totaal alleenst. en samenwonende moeders;12650;2001;177.0;99.0;60.0;20.0;20.0;18.0;60.0;43.0;17.0
27;Totaal alleenst. en samenwonende moeders;12650;2002;177.0;103.0;63.0;22.0;19.0;20.0;54.0;37.0;17.0
28;Totaal alleenst. en samenwonende moeders;12650;2003;180.0;104.0;65.0;21.0;19.0;23.0;53.0;34.0;19.0
29;Totaal alleenst. en samenwonende moeders;12650;2004;183.0;111.0;68.0;23.0;20.0;26.0;47.0;29.0;18.0
30;Totaal alleenst. en samenwonende moeders;12650;2005;182.0;115.0;71.0;21.0;22.0;27.0;40.0;26.0;15.0
31;Totaal alleenst. en samenwonende moeders;12650;2006;180.0;116.0;66.0;26.0;24.0;27.0;37.0;24.0;13.0
32;Totaal alleenst. en samenwonende moeders;12650;2007;185.0;122.0;69.0;28.0;25.0;27.0;36.0;21.0;15.0
33;Totaal alleenst. en samenwonende moeders;12650;2008;185.0;128.0;69.0;33.0;27.0;20.0;37.0;22.0;15.0
34;Totaal alleenst. en samenwonende moeders;12650;2009;188.0;130.0;68.0;36.0;26.0;23.0;36.0;20.0;15.0
35;Totaal alleenst. en samenwonende moeders;12650;2010;182.0;124.0;62.0;34.0;28.0;24.0;35.0;21.0;14.0
36;Totaal alleenst. en samenwonende moeders;12650;2011;182.0;124.0;63.0;33.0;28.0;23.0;35.0;19.0;16.0
37;Totaal alleenst. en samenwonende moeders;12650;2012;189.0;130.0;68.0;33.0;30.0;23.0;36.0;20.0;16.0
38;Totaal alleenst. en samenwonende moeders;12650;2013;194.0;126.0;66.0;32.0;29.0;34.0;34.0;19.0;14.0
39;Totaal alleenst. en samenwonende moeders;13000;2001;242.0;97.0;40.0;21.0;36.0;34.0;111.0;75.0;36.0
40;Totaal alleenst. en samenwonende moeders;13000;2002;254.0;105.0;43.0;25.0;37.0;39.0;110.0;70.0;40.0
41;Totaal alleenst. en samenwonende moeders;13000;2003;261.0;107.0;46.0;24.0;37.0;46.0;109.0;67.0;42.0
42;Totaal alleenst. en samenwonende moeders;13000;2004;268.0;106.0;45.0;25.0;35.0;50.0;112.0;64.0;48.0
43;Totaal alleenst. en samenwonende moeders;13000;2005;275.0;110.0;47.0;28.0;35.0;57.0;108.0;64.0;44.0
44;Totaal alleenst. en samenwonende moeders;13000;2006;281.0;111.0;49.0;28.0;35.0;64.0;106.0;60.0;46.0
45;Totaal alleenst. en samenwonende moeders;13000;2007;282.0;122.0;51.0;33.0;38.0;53.0;107.0;59.0;48.0
46;Totaal alleenst. en samenwonende moeders;13000;2008;291.0;141.0;60.0;40.0;40.0;46.0;104.0;54.0;50.0
47;Totaal alleenst. en samenwonende moeders;13000;2009;294.0;144.0;64.0;39.0;41.0;47.0;103.0;53.0;51.0
48;Totaal alleenst. en samenwonende moeders;13000;2010;287.0;138.0;64.0;36.0;38.0;53.0;96.0;49.0;46.0
49;Totaal alleenst. en samenwonende moeders;13000;2011;281.0;138.0;62.0;37.0;38.0;50.0;94.0;51.0;43.0
50;Totaal alleenst. en samenwonende moeders;13000;2012;299.0;141.0;65.0;40.0;36.0;62.0;96.0;52.0;44.0
51;Totaal alleenst. en samenwonende moeders;13000;2013;305.0;137.0;64.0;40.0;34.0;74.0;94.0;45.0;49.0
52;Totaal alleenst. en samenwonende moeders;13355;2001;3.0;;;;;;;;
53;Totaal alleenst. en samenwonende moeders;13355;2002;2.0;;;;;;;;
54;Totaal alleenst. en samenwonende moeders;13355;2003;;;;;;;;;
55;Totaal alleenst. en samenwonende moeders;13355;2004;;;;;;;;;
56;Totaal alleenst. en samenwonende moeders;13355;2005;;;;;;;;;
57;Totaal alleenst. en samenwonende moeders;13355;2006;;;;;;;;;
58;Totaal alleenst. en samenwonende moeders;13355;2007;;;;;;;;;
59;Totaal alleenst. en samenwonende moeders;13355;2008;;;;;;;;;
60;Totaal alleenst. en samenwonende moeders;13355;2009;;;;;;;;;
61;Totaal alleenst. en samenwonende moeders;13355;2010;2.0;;;;;;;;
62;Totaal alleenst. en samenwonende moeders;13355;2011;;;;;;;;;
63;Totaal alleenst. en samenwonende moeders;13355;2012;;;;;;;;;
64;Totaal alleenst. en samenwonende moeders;13355;2013;;;;;;;;;
65;Totaal alleenst. en samenwonende moeders;18700;2001;673.0;263.0;176.0;36.0;50.0;76.0;334.0;235.0;99.0
66;Totaal alleenst. en samenwonende moeders;18700;2002;641.0;262.0;184.0;37.0;41.0;74.0;304.0;209.0;95.0
67;Totaal alleenst. en samenwonende moeders;18700;2003;611.0;251.0;175.0;35.0;41.0;81.0;279.0;184.0;95.0
68;Totaal alleenst. en samenwonende moeders;18700;2004;559.0;230.0;162.0;31.0;37.0;85.0;243.0;156.0;88.0
69;Totaal alleenst. en samenwonende moeders;18700;2005;527.0;222.0;159.0;30.0;34.0;91.0;213.0;136.0;77.0
70;Totaal alleenst. en samenwonende moeders;18700;2006;496.0;212.0;146.0;33.0;33.0;82.0;202.0;124.0;78.0
71;Totaal alleenst. en samenwonende moeders;18700;2007;477.0;221.0;155.0;34.0;32.0;71.0;185.0;108.0;77.0
72;Totaal alleenst. en samenwonende moeders;18700;2008;459.0;223.0;151.0;38.0;34.0;59.0;177.0;99.0;78.0
73;Totaal alleenst. en samenwonende moeders;18700;2009;444.0;215.0;146.0;39.0;30.0;62.0;167.0;91.0;76.0
74;Totaal alleenst. en samenwonende moeders;18700;2010;416.0;200.0;137.0;34.0;29.0;65.0;151.0;83.0;68.0
75;Totaal alleenst. en samenwonende moeders;18700;2011;416.0;206.0;141.0;35.0;30.0;59.0;152.0;82.0;70.0
76;Totaal alleenst. en samenwonende moeders;18700;2012;394.0;184.0;126.0;33.0;26.0;66.0;144.0;79.0;65.0
77;Totaal alleenst. en samenwonende moeders;18700;2013;355.0;166.0;117.0;30.0;20.0;69.0;120.0;62.0;58.0
78;Totaal alleenst. en samenwonende moeders;18740;2001;860.0;521.0;380.0;72.0;69.0;68.0;272.0;213.0;59.0
79;Totaal alleenst. en samenwonende moeders;18740;2002;881.0;544.0;399.0;76.0;69.0;70.0;267.0;203.0;64.0
80;Totaal alleenst. en samenwonende moeders;18740;2003;909.0;570.0;416.0;81.0;73.0;81.0;258.0;190.0;68.0
81;Totaal alleenst. en samenwonende moeders;18740;2004;899.0;561.0;416.0;79.0;66.0;95.0;243.0;172.0;71.0
82;Totaal alleenst. en samenwonende moeders;18740;2005;911.0;571.0;418.0;87.0;67.0;110.0;230.0;163.0;67.0
83;Totaal alleenst. en samenwonende moeders;18740;2006;912.0;601.0;433.0;96.0;72.0;104.0;207.0;147.0;60.0
84;Totaal alleenst. en samenwonende moeders;18740;2007;923.0;631.0;449.0;104.0;78.0;90.0;202.0;134.0;69.0
