ID;BedrijfstakkenBranchesSBI2008;Perioden;IndexcijfersOmzet_1;OmzetontwikkelingTOVEenJaarEerder_2
75;462-469 Groothandel;2007 1e kwartaal;87.8;8.9
76;462-469 Groothandel;2007 2e kwartaal;91.5;9.2
77;462-469 Groothandel;2007 3e kwartaal;89.4;10.8
78;462-469 Groothandel;2007 4e kwartaal;101.6;15.0
79;462-469 Groothandel;2007;92.6;11.0
80;462-469 Groothandel;2008 1e kwartaal;98.3;12.0
81;462-469 Groothandel;2008 2e kwartaal;104.1;13.8
82;462-469 Groothandel;2008 3e kwartaal;101.4;13.5
83;462-469 Groothandel;2008 4e kwartaal;99.3;-2.2
84;462-469 Groothandel;2008;100.8;8.9
85;462-469 Groothandel;2009 1e kwartaal;89.2;-9.3
86;462-469 Groothandel;2009 2e kwartaal;90.9;-12.7
87;462-469 Groothandel;2009 3e kwartaal;88.8;-12.5
88;462-469 Groothandel;2009 4e kwartaal;96.4;-2.9
89;462-469 Groothandel;2009;91.3;-9.4
90;462-469 Groothandel;2010 1e kwartaal;94.0;5.4
91;462-469 Groothandel;2010 2e kwartaal;100.6;10.7
92;462-469 Groothandel;2010 3e kwartaal;97.2;9.5
93;462-469 Groothandel;2010 4e kwartaal;108.2;12.2
94;462-469 Groothandel;2010;100.0;9.5
95;462-469 Groothandel;2011 1e kwartaal;106.8;13.7
96;462-469 Groothandel;2011 2e kwartaal;109.4;8.7
97;462-469 Groothandel;2011 3e kwartaal;106.6;9.6
98;462-469 Groothandel;2011 4e kwartaal;108.2;0.1
99;462-469 Groothandel;2011;107.8;7.8
100;462-469 Groothandel;2012 1e kwartaal;106.6;-0.2
101;462-469 Groothandel;2012 2e kwartaal;107.4;-1.8
102;462-469 Groothandel;2012 3e kwartaal;107.1;0.5
103;462-469 Groothandel;2012 4e kwartaal;108.5;0.2
104;462-469 Groothandel;2012;107.4;-0.4
105;462-469 Groothandel;2013 1e kwartaal;102.5;-3.9
106;462-469 Groothandel;2013 2e kwartaal;104.7;-2.5
107;462-469 Groothandel;2013 3e kwartaal;103.9;-2.9
108;462-469 Groothandel;2013 4e kwartaal;104.8;-3.4
109;462-469 Groothandel;2013;104.0;-3.2
110;462-469 Groothandel;2014 1e kwartaal;99.6;-2.8
111;462-469 Groothandel;2014 2e kwartaal;103.1;-1.6
112;462-469 Groothandel;2014 3e kwartaal;100.9;-2.9
113;462-469 Groothandel;2014 4e kwartaal;101.5;-3.2
114;462-469 Groothandel;2014;101.3;-2.6
115;462-469 Groothandel;2015 1e kwartaal;97.4;-2.3
116;462-469 Groothandel;2015 2e kwartaal;102.1;-1.0
117;462-469 Groothandel;2015 3e kwartaal;101.8;0.8
118;462-469 Groothandel;2015 4e kwartaal;104.0;2.5
119;462-469 Groothandel;2015;101.3;0.0
120;462-469 Groothandel;2016 1e kwartaal;98.3;0.9
121;462-469 Groothandel;2016 2e kwartaal;104.4;2.3
122;462-469 Groothandel;2016 3e kwartaal;104.7;2.9
123;462-469 Groothandel;2016 4e kwartaal;111.6;7.3
124;462-469 Groothandel;2016;104.8;3.4
125;462-469 Groothandel;2017 1e kwartaal;110.0;11.9
126;462-469 Groothandel;2017 2e kwartaal;111.3;6.6
127;462-469 Groothandel;2017 3e kwartaal;108.5;3.5
128;462-469 Groothandel;2017 4e kwartaal;114.9;2.9
129;462-469 Groothandel;2017;111.1;6.1
130;462 Groothandel in landbouwproducten;2005 1e kwartaal;57.6;
131;462 Groothandel in landbouwproducten;2005 2e kwartaal;55.8;
132;462 Groothandel in landbouwproducten;2005 3e kwartaal;52.4;
133;462 Groothandel in landbouwproducten;2005 4e kwartaal;60.9;
134;462 Groothandel in landbouwproducten;2005;56.7;
135;462 Groothandel in landbouwproducten;2006 1e kwartaal;62.6;8.7
136;462 Groothandel in landbouwproducten;2006 2e kwartaal;58.6;5.1
137;462 Groothandel in landbouwproducten;2006 3e kwartaal;53.5;2.0
138;462 Groothandel in landbouwproducten;2006 4e kwartaal;60.4;-0.9
139;462 Groothandel in landbouwproducten;2006;58.8;3.7
140;462 Groothandel in landbouwproducten;2007 1e kwartaal;77.5;23.8
141;462 Groothandel in landbouwproducten;2007 2e kwartaal;75.3;28.4
142;462 Groothandel in landbouwproducten;2007 3e kwartaal;78.4;46.5
143;462 Groothandel in landbouwproducten;2007 4e kwartaal;104.8;73.6
144;462 Groothandel in landbouwproducten;2007;84.0;42.9
145;462 Groothandel in landbouwproducten;2008 1e kwartaal;103.9;34.1
146;462 Groothandel in landbouwproducten;2008 2e kwartaal;100.9;34.1
147;462 Groothandel in landbouwproducten;2008 3e kwartaal;113.7;45.1
148;462 Groothandel in landbouwproducten;2008 4e kwartaal;90.0;-14.1
149;462 Groothandel in landbouwproducten;2008;102.1;21.6
150;462 Groothandel in landbouwproducten;2009 1e kwartaal;96.9;-6.8
151;462 Groothandel in landbouwproducten;2009 2e kwartaal;92.0;-8.8
152;462 Groothandel in landbouwproducten;2009 3e kwartaal;84.5;-25.7
153;462 Groothandel in landbouwproducten;2009 4e kwartaal;90.9;1.0
154;462 Groothandel in landbouwproducten;2009;91.1;-10.8
155;462 Groothandel in landbouwproducten;2010 1e kwartaal;94.6;-2.4
156;462 Groothandel in landbouwproducten;2010 2e kwartaal;99.3;7.9
157;462 Groothandel in landbouwproducten;2010 3e kwartaal;96.1;13.7
158;462 Groothandel in landbouwproducten;2010 4e kwartaal;110.1;21.1
159;462 Groothandel in landbouwproducten;2010;100.0;9.8
160;462 Groothandel in landbouwproducten;2011 1e kwartaal;116.4;23.1
161;462 Groothandel in landbouwproducten;2011 2e kwartaal;114.0;14.9
162;462 Groothandel in landbouwproducten;2011 3e kwartaal;105.0;9.2
163;462 Groothandel in landbouwproducten;2011 4e kwartaal;112.5;2.2
164;462 Groothandel in landbouwproducten;2011;112.0;12.0
165;462 Groothandel in landbouwproducten;2012 1e kwartaal;121.6;4.4
166;462 Groothandel in landbouwproducten;2012 2e kwartaal;131.5;15.4
167;462 Groothandel in landbouwproducten;2012 3e kwartaal;127.8;21.8
