ID;BedrijfstakkenBranchesSBI2008;BedrijfsgrootteLeeftijdBestelauto;Perioden;BedrijfsbestelautoS_1;KilometersBedrijfsbestelautoS_2;GemiddeldJaarkilometrage_3
0;A-U Alle economische activiteiten;Totaal;2009;813713;15264.8;18759.0
1;A-U Alle economische activiteiten;Totaal;2010;816526;15289.4;18725.0
2;A-U Alle economische activiteiten;Totaal;2011;825140;15326.2;18574.0
3;A-U Alle economische activiteiten;Totaal;2012;820267;15098.1;18406.0
4;A-U Alle economische activiteiten;Totaal;2013;807748;14898.4;18444.0
5;A-U Alle economische activiteiten;Totaal;2014;803562;14993.5;18659.0
6;A-U Alle economische activiteiten;Totaal;2015;814774;15347.9;18837.0
7;A-U Alle economische activiteiten;Totaal;2016;849655;15970.3;18796.0
8;A-U Alle economische activiteiten;Totaal;2017;885466;16530.9;18669.0
9;A-U Alle economische activiteiten;Totaal;2018;927625;17135.5;18472.0
10;A-U Alle economische activiteiten;Totaal;2019;962468;17680.5;18370.0
11;A-U Alle economische activiteiten;Totaal;2020;974839;17221.5;17666.0
12;A-U Alle economische activiteiten;Bedrijfsgrootte: 0 tot 10 werkzame pers.;2009;490163;8532.8;17408.0
13;A-U Alle economische activiteiten;Bedrijfsgrootte: 0 tot 10 werkzame pers.;2010;515065;8928.5;17335.0
14;A-U Alle economische activiteiten;Bedrijfsgrootte: 0 tot 10 werkzame pers.;2011;508922;8750.5;17194.0
15;A-U Alle economische activiteiten;Bedrijfsgrootte: 0 tot 10 werkzame pers.;2012;511381;8661.8;16938.0
16;A-U Alle economische activiteiten;Bedrijfsgrootte: 0 tot 10 werkzame pers.;2013;503842;8544.3;16958.0
17;A-U Alle economische activiteiten;Bedrijfsgrootte: 0 tot 10 werkzame pers.;2014;510259;8734.0;17117.0
18;A-U Alle economische activiteiten;Bedrijfsgrootte: 0 tot 10 werkzame pers.;2015;527405;9198.8;17442.0
19;A-U Alle economische activiteiten;Bedrijfsgrootte: 0 tot 10 werkzame pers.;2016;558329;9762.8;17486.0
20;A-U Alle economische activiteiten;Bedrijfsgrootte: 0 tot 10 werkzame pers.;2017;576209;10001.4;17357.0
21;A-U Alle economische activiteiten;Bedrijfsgrootte: 0 tot 10 werkzame pers.;2018;600454;10319.2;17186.0
22;A-U Alle economische activiteiten;Bedrijfsgrootte: 0 tot 10 werkzame pers.;2019;621791;10596.6;17042.0
23;A-U Alle economische activiteiten;Bedrijfsgrootte: 0 tot 10 werkzame pers.;2020;634518;10301.6;16235.0
24;A-U Alle economische activiteiten;Bedrijfsgrootte: 10 tot 100 werkz. pers.;2009;202617;4190.4;20682.0
25;A-U Alle economische activiteiten;Bedrijfsgrootte: 10 tot 100 werkz. pers.;2010;184058;3891.6;21144.0
26;A-U Alle economische activiteiten;Bedrijfsgrootte: 10 tot 100 werkz. pers.;2011;191940;4018.7;20937.0
27;A-U Alle economische activiteiten;Bedrijfsgrootte: 10 tot 100 werkz. pers.;2012;184693;3855.8;20877.0
28;A-U Alle economische activiteiten;Bedrijfsgrootte: 10 tot 100 werkz. pers.;2013;180716;3765.4;20836.0
29;A-U Alle economische activiteiten;Bedrijfsgrootte: 10 tot 100 werkz. pers.;2014;172776;3700.3;21417.0
30;A-U Alle economische activiteiten;Bedrijfsgrootte: 10 tot 100 werkz. pers.;2015;170797;3669.1;21482.0
31;A-U Alle economische activiteiten;Bedrijfsgrootte: 10 tot 100 werkz. pers.;2016;177597;3819.7;21508.0
32;A-U Alle economische activiteiten;Bedrijfsgrootte: 10 tot 100 werkz. pers.;2017;187885;3999.9;21289.0
33;A-U Alle economische activiteiten;Bedrijfsgrootte: 10 tot 100 werkz. pers.;2018;198803;4181.2;21032.0
34;A-U Alle economische activiteiten;Bedrijfsgrootte: 10 tot 100 werkz. pers.;2019;206883;4307.9;20823.0
35;A-U Alle economische activiteiten;Bedrijfsgrootte: 10 tot 100 werkz. pers.;2020;204491;4166.1;20373.0
36;A-U Alle economische activiteiten;Bedrijfsgrootte: >= 100 werkzame pers.;2009;120933;2541.5;21016.0
37;A-U Alle economische activiteiten;Bedrijfsgrootte: >= 100 werkzame pers.;2010;117403;2469.2;21032.0
38;A-U Alle economische activiteiten;Bedrijfsgrootte: >= 100 werkzame pers.;2011;124278;2557.0;20575.0
39;A-U Alle economische activiteiten;Bedrijfsgrootte: >= 100 werkzame pers.;2012;124193;2580.4;20778.0
40;A-U Alle economische activiteiten;Bedrijfsgrootte: >= 100 werkzame pers.;2013;123190;2588.7;21014.0
41;A-U Alle economische activiteiten;Bedrijfsgrootte: >= 100 werkzame pers.;2014;120527;2559.2;21233.0
42;A-U Alle economische activiteiten;Bedrijfsgrootte: >= 100 werkzame pers.;2015;116572;2480.0;21274.0
43;A-U Alle economische activiteiten;Bedrijfsgrootte: >= 100 werkzame pers.;2016;113729;2387.8;20996.0
44;A-U Alle economische activiteiten;Bedrijfsgrootte: >= 100 werkzame pers.;2017;121372;2529.6;20841.0
45;A-U Alle economische activiteiten;Bedrijfsgrootte: >= 100 werkzame pers.;2018;128368;2635.1;20527.0
46;A-U Alle economische activiteiten;Bedrijfsgrootte: >= 100 werkzame pers.;2019;133794;2776.1;20749.0
47;A-U Alle economische activiteiten;Bedrijfsgrootte: >= 100 werkzame pers.;2020;135830;2753.9;20274.0
48;A-U Alle economische activiteiten;Bedrijfsgrootte: werkzame pers. onbekend;2009;0;0.0;0.0
49;A-U Alle economische activiteiten;Bedrijfsgrootte: werkzame pers. onbekend;2010;0;0.0;0.0
50;A-U Alle economische activiteiten;Bedrijfsgrootte: werkzame pers. onbekend;2011;0;0.0;0.0
51;A-U Alle economische activiteiten;Bedrijfsgrootte: werkzame pers. onbekend;2012;0;0.0;0.0
52;A-U Alle economische activiteiten;Bedrijfsgrootte: werkzame pers. onbekend;2013;0;0.0;0.0
53;A-U Alle economische activiteiten;Bedrijfsgrootte: werkzame pers. onbekend;2014;0;0.0;0.0
54;A-U Alle economische activiteiten;Bedrijfsgrootte: werkzame pers. onbekend;2015;0;0.0;0.0
55;A-U Alle economische activiteiten;Bedrijfsgrootte: werkzame pers. onbekend;2016;0;0.0;0.0
56;A-U Alle economische activiteiten;Bedrijfsgrootte: werkzame pers. onbekend;2017;0;0.0;0.0
57;A-U Alle economische activiteiten;Bedrijfsgrootte: werkzame pers. onbekend;2018;0;0.0;0.0
58;A-U Alle economische activiteiten;Bedrijfsgrootte: werkzame pers. onbekend;2019;0;0.0;0.0
59;A-U Alle economische activiteiten;Bedrijfsgrootte: werkzame pers. onbekend;2020;0;0.0;0.0
60;A-U Alle economische activiteiten;Leeftijd bestelauto: 0 tot 4 jaar;2009;280600;6889.7;24553.0
61;A-U Alle economische activiteiten;Leeftijd bestelauto: 0 tot 4 jaar;2010;264875;6565.9;24789.0
62;A-U Alle economische activiteiten;Leeftijd bestelauto: 0 tot 4 jaar;2011;242550;5833.9;24052.0
63;A-U Alle economische activiteiten;Leeftijd bestelauto: 0 tot 4 jaar;2012;214515;5209.8;24287.0
64;A-U Alle economische activiteiten;Leeftijd bestelauto: 0 tot 4 jaar;2013;213970;5326.4;24893.0
65;A-U Alle economische activiteiten;Leeftijd bestelauto: 0 tot 4 jaar;2014;215681;5370.5;24900.0
66;A-U Alle economische activiteiten;Leeftijd bestelauto: 0 tot 4 jaar;2015;215888;5308.8;24591.0
67;A-U Alle economische activiteiten;Leeftijd bestelauto: 0 tot 4 jaar;2016;232095;5619.7;24213.0
68;A-U Alle economische activiteiten;Leeftijd bestelauto: 0 tot 4 jaar;2017;258036;6162.8;23884.0
69;A-U Alle economische activiteiten;Leeftijd bestelauto: 0 tot 4 jaar;2018;288423;6787.2;23532.0
70;A-U Alle economische activiteiten;Leeftijd bestelauto: 0 tot 4 jaar;2019;307670;7355.1;23906.0
71;A-U Alle economische activiteiten;Leeftijd bestelauto: 0 tot 4 jaar;2020;297844;6860.9;23035.0
72;A-U Alle economische activiteiten;Leeftijd bestelauto: 4 tot 10 jaar;2009;340278;6139.8;18043.0
73;A-U Alle economische activiteiten;Leeftijd bestelauto: 4 tot 10 jaar;2010;335623;6204.4;18486.0
74;A-U Alle economische activiteiten;Leeftijd bestelauto: 4 tot 10 jaar;2011;350397;6693.2;19102.0
