ID;KenmerkenVanHuishoudens;AanvullendPensioen;Perioden;AantalHuishoudens_1;BrutoInkomen_2;BesteedbaarInkomen_3;GestandaardiseerdInkomen_4;AOWInkomen_5;PensioenInclAOW_6;AantalHuishoudens_7;Percentage_8;BedragPerOntvangendHuishouden_9;AantalHuishoudens_10;Percentage_11;BedragPerOntvangendHuishouden_12;AantalHuishoudens_13;Percentage_14;BedragPerOntvangendHuishouden_15;AantalHuishoudens_16;Percentage_17;BedragPerOntvangendHuishouden_18;AantalHuishoudens_19;Percentage_20;BedragPerOntvangendHuishouden_21;AantalHuishoudens_22;Percentage_23;BedragPerOntvangendHuishouden_24
0;Totaal huishoudens;Totaal huishoudens;1990;1391;19.1;14.3;11.4;8.7;12.9;1029;74.0;5.6;710;51.0;3.5;401;28.8;12.9;331;23.8;0.8;362;26.0;1.9;1037;74.5;8.3
1;Totaal huishoudens;Totaal huishoudens;1991;1411;20.1;14.9;12.0;9.1;13.6;1054;74.7;6.0;721;51.1;4.1;377;26.7;13.7;353;25.0;0.8;377;26.7;1.9;1056;74.8;8.7
2;Totaal huishoudens;Totaal huishoudens;1992;1431;20.8;15.4;12.4;9.4;14.1;1082;75.6;6.3;737;51.5;4.4;361;25.2;14.2;358;25.0;0.9;389;27.2;2.1;1075;75.1;8.8
3;Totaal huishoudens;Totaal huishoudens;1993;1446;21.0;15.6;12.6;9.4;14.6;1111;76.8;6.8;733;50.7;4.0;379;26.2;13.1;355;24.6;0.9;399;27.6;2.3;1086;75.1;8.4
4;Totaal huishoudens;Totaal huishoudens;1994;1465;20.8;15.9;12.9;9.3;14.7;1137;77.6;7.0;737;50.3;3.5;382;26.1;12.8;368;25.1;1.0;411;28.1;2.5;1107;75.6;8.0
5;Totaal huishoudens;Totaal huishoudens;1995;1482;21.2;16.3;13.3;9.4;15.1;1167;78.7;7.2;766;51.7;3.4;353;23.8;14.1;374;25.2;1.0;436;29.4;2.5;1124;75.8;8.0
6;Totaal huishoudens;Totaal huishoudens;1996;1502;21.7;16.7;13.6;9.7;15.8;1194;79.5;7.6;775;51.6;3.1;359;23.9;13.8;385;25.6;1.1;446;29.7;2.6;1145;76.3;7.8
7;Totaal huishoudens;Totaal huishoudens;1997;1522;22.3;17.2;14.0;10.1;16.4;1214;79.7;7.9;820;53.9;2.9;356;23.4;13.6;402;26.4;1.1;462;30.3;2.7;1186;77.9;7.5
8;Totaal huishoudens;Totaal huishoudens;1998;1528;23.4;18.1;14.8;10.6;17.2;1217;79.7;8.2;832;54.5;2.9;402;26.3;13.3;395;25.9;1.3;479;31.4;2.7;1213;79.4;7.9
9;Totaal huishoudens;Totaal huishoudens;1999;1549;24.2;18.6;15.2;11.0;17.6;1231;79.5;8.3;801;51.7;2.9;420;27.1;14.0;395;25.5;1.3;492;31.7;2.9;1199;77.4;8.5
10;Totaal huishoudens;Totaal huishoudens;2000;1558;25.4;19.9;16.2;11.3;18.7;1260;80.9;9.1;817;52.5;2.6;399;25.6;15.3;391;25.1;1.4;507;32.5;3.4;1214;77.9;8.6
11;Totaal huishoudens;Met aanvullend pensioen;1990;1029;19.8;14.8;11.8;8.9;14.5;1029;100.0;5.6;529;51.4;3.0;279;27.1;11.6;238;23.1;0.8;261;25.4;1.9;767;74.5;7.2
12;Totaal huishoudens;Met aanvullend pensioen;1991;1054;20.9;15.6;12.5;9.2;15.2;1054;100.0;6.0;543;51.5;3.7;263;25.0;12.4;254;24.1;0.8;279;26.5;1.9;787;74.7;7.6
13;Totaal huishoudens;Met aanvullend pensioen;1992;1082;21.7;16.0;12.9;9.5;15.8;1082;100.0;6.3;557;51.5;3.9;257;23.8;13.0;262;24.2;0.8;291;26.9;2.0;807;74.6;7.8
14;Totaal huishoudens;Met aanvullend pensioen;1993;1111;22.0;16.3;13.2;9.6;16.3;1111;100.0;6.8;562;50.6;3.5;276;24.9;12.2;262;23.5;0.9;305;27.5;2.2;830;74.7;7.6
15;Totaal huishoudens;Met aanvullend pensioen;1994;1137;21.8;16.6;13.4;9.4;16.4;1137;100.0;7.0;570;50.2;3.1;280;24.6;11.9;271;23.8;0.9;319;28.0;2.5;850;74.7;7.2
16;Totaal huishoudens;Met aanvullend pensioen;1995;1167;22.1;17.0;13.8;9.6;16.8;1167;100.0;7.2;603;51.6;2.9;263;22.6;13.0;276;23.7;1.0;342;29.3;2.4;873;74.9;7.2
17;Totaal huishoudens;Met aanvullend pensioen;1996;1194;22.8;17.5;14.2;9.9;17.5;1194;100.0;7.6;620;52.0;2.6;270;22.6;13.0;287;24.1;1.0;357;29.9;2.6;901;75.5;7.0
18;Totaal huishoudens;Met aanvullend pensioen;1997;1214;23.4;18.0;14.7;10.3;18.2;1214;100.0;7.9;661;54.4;2.5;268;22.1;12.5;302;24.8;1.1;371;30.6;2.6;937;77.2;6.7
19;Totaal huishoudens;Met aanvullend pensioen;1998;1217;24.5;19.0;15.4;10.8;19.0;1217;100.0;8.2;669;55.0;2.4;299;24.6;12.3;297;24.4;1.2;388;31.9;2.7;953;78.3;7.1
20;Totaal huishoudens;Met aanvullend pensioen;1999;1231;25.3;19.5;15.9;11.2;19.5;1231;100.0;8.3;637;51.7;2.5;318;25.8;12.9;295;24.0;1.3;397;32.2;2.9;936;76.0;7.7
21;Totaal huishoudens;Met aanvullend pensioen;2000;1260;26.7;20.8;16.9;11.5;20.6;1260;100.0;9.1;667;52.9;2.2;304;24.1;14.5;298;23.6;1.3;417;33.1;3.4;966;76.7;7.9
22;Totaal huishoudens;Zonder aanvullend pensioen;1990;362;16.9;12.9;10.3;8.3;8.3;0;0.0;;181;49.9;4.9;123;33.9;15.9;93;25.7;0.9;101;27.9;2.0;270;74.7;11.5
