ID;DecentraleOverheden;BegrootEMUSaldo2019_1;BegrootEMUSaldo_2;MacronormVoorHetEMUSaldo_3;Verschil_4;BegrootEMUSaldo2021_5
0;Totaal decentrale overheden;-7199;-6407;-3331.0;-3076.0;-3226
1;Provincies;-1358;-1646;-666.0;-980.0;-1074
2;Gemeenten;-5382;-4130;-2249.0;-1881.0;-1768
3;Gemeenten: minder dan 20 000 inwoners;-407;-226;;;-160
4;Gemeenten: 20 000 tot 50 000 inwoners;-1234;-944;;;-209
5;Gemeenten: 50 000 tot 100 000 inwoners;-871;-593;;;-104
6;Gemeenten: 100 000 tot 150 000 inwoners;-532;-288;;;-137
7;Gemeenten: 150 000 tot 250 000 inwoners;-853;-512;;;-372
8;Gemeenten: 250 000 inwoners of meer;-1486;-1568;;;-787
9;Waterschappen;-311;-505;-416.0;-89.0;-366
10;Gemeenschappelijke regelingen;-148;-126;0.0;-126.0;-18
