ID;BrandstofsoortVoertuigen;GewichtBedrijfsklaarVoertuig;LeeftijdVoertuig;Perioden;KilometersNederlandseBestelautoS_1;GemiddeldJaarkilometrage_2;NederlandseBestelautoSInGebruik_3
0;Totaal;Totaal;Totaal;2015;16544.3;18132;912431
1;Totaal;Totaal;Totaal;2016;17144.3;18143;944982
2;Totaal;Totaal;Totaal;2017;17668.4;18039;979457
3;Totaal;Totaal;Totaal;2018;18217.0;17878;1018980
4;Totaal;Totaal;Totaal;2019;18683.4;17772;1051255
5;Totaal;Totaal;Totaal;2020;18107.8;17036;1062912
6;Totaal;Totaal;0 jaar;2015;930.1;16185;57468
7;Totaal;Totaal;0 jaar;2016;1143.5;16233;70441
8;Totaal;Totaal;0 jaar;2017;1142.5;15502;73699
9;Totaal;Totaal;0 jaar;2018;1208.6;15250;79251
10;Totaal;Totaal;0 jaar;2019;1212.6;15812;76689
11;Totaal;Totaal;0 jaar;2020;918.3;15054;60999
12;Totaal;Totaal;1 jaar;2015;1504.6;28855;52145
13;Totaal;Totaal;1 jaar;2016;1688.2;29009;58194
14;Totaal;Totaal;1 jaar;2017;2035.9;28288;71970
15;Totaal;Totaal;1 jaar;2018;2074.3;27430;75623
16;Totaal;Totaal;1 jaar;2019;2296.3;28401;80851
17;Totaal;Totaal;1 jaar;2020;2098.1;26766;78387
18;Totaal;Totaal;2 jaar;2015;1421.8;27680;51367
19;Totaal;Totaal;2 jaar;2016;1468.1;27491;53403
20;Totaal;Totaal;2 jaar;2017;1631.9;27165;60073
21;Totaal;Totaal;2 jaar;2018;1975.0;26721;73912
22;Totaal;Totaal;2 jaar;2019;2027.4;26246;77247
23;Totaal;Totaal;2 jaar;2020;2036.5;24675;82534
24;Totaal;Totaal;3 jaar;2015;1486.2;25908;57365
25;Totaal;Totaal;3 jaar;2016;1351.7;25741;52509
26;Totaal;Totaal;3 jaar;2017;1387.0;25314;54791
27;Totaal;Totaal;3 jaar;2018;1559.4;25114;62093
28;Totaal;Totaal;3 jaar;2019;1852.1;24604;75274
29;Totaal;Totaal;3 jaar;2020;1841.2;23487;78390
30;Totaal;Totaal;4 jaar;2015;1413.6;23628;59830
31;Totaal;Totaal;4 jaar;2016;1361.9;23494;57969
32;Totaal;Totaal;4 jaar;2017;1240.7;23314;53218
33;Totaal;Totaal;4 jaar;2018;1278.7;22810;56056
34;Totaal;Totaal;4 jaar;2019;1408.4;22253;63289
35;Totaal;Totaal;4 jaar;2020;1637.9;21613;75783
36;Totaal;Totaal;5 jaar;2015;1034.5;21243;48698
37;Totaal;Totaal;5 jaar;2016;1288.7;21666;59480
38;Totaal;Totaal;5 jaar;2017;1219.2;21210;57483
39;Totaal;Totaal;5 jaar;2018;1123.2;21087;53265
40;Totaal;Totaal;5 jaar;2019;1144.5;20372;56181
41;Totaal;Totaal;5 jaar;2020;1231.3;19640;62694
42;Totaal;Totaal;6 jaar;2015;915.8;19780;46298
43;Totaal;Totaal;6 jaar;2016;961.5;20007;48060
44;Totaal;Totaal;6 jaar;2017;1175.6;20113;58449
45;Totaal;Totaal;6 jaar;2018;1107.7;19643;56390
46;Totaal;Totaal;6 jaar;2019;1006.7;19208;52411
47;Totaal;Totaal;6 jaar;2020;1017.7;18614;54672
48;Totaal;Totaal;7 jaar;2015;1351.3;18990;71160
49;Totaal;Totaal;7 jaar;2016;858.3;18865;45497
50;Totaal;Totaal;7 jaar;2017;889.8;18904;47071
51;Totaal;Totaal;7 jaar;2018;1078.8;18865;57187
52;Totaal;Totaal;7 jaar;2019;1000.9;18234;54891
53;Totaal;Totaal;7 jaar;2020;894.1;17680;50570
54;Totaal;Totaal;8 jaar;2015;1145.1;18205;62902
55;Totaal;Totaal;8 jaar;2016;1258.5;18132;69407
56;Totaal;Totaal;8 jaar;2017;792.0;17865;44334
57;Totaal;Totaal;8 jaar;2018;814.0;17736;45893
58;Totaal;Totaal;8 jaar;2019;969.1;17488;55415
59;Totaal;Totaal;8 jaar;2020;877.1;16752;52357
60;Totaal;Totaal;9 jaar;2015;759.0;16794;45194
61;Totaal;Totaal;9 jaar;2016;1058.5;17357;60982
62;Totaal;Totaal;9 jaar;2017;1146.7;17093;67089
63;Totaal;Totaal;9 jaar;2018;713.8;16617;42954
64;Totaal;Totaal;9 jaar;2019;723.3;16354;44227
65;Totaal;Totaal;9 jaar;2020;841.1;15957;52712
66;Totaal;Totaal;10 jaar;2015;695.8;15913;43725
67;Totaal;Totaal;10 jaar;2016;697.1;16096;43311
68;Totaal;Totaal;10 jaar;2017;954.4;16335;58428
69;Totaal;Totaal;10 jaar;2018;1022.2;15930;64171
70;Totaal;Totaal;10 jaar;2019;632.2;15387;41089
71;Totaal;Totaal;10 jaar;2020;623.1;14915;41781
72;Totaal;Totaal;11 jaar;2015;858.0;15435;55592
73;Totaal;Totaal;11 jaar;2016;637.5;15364;41492
74;Totaal;Totaal;11 jaar;2017;628.2;15341;40951
75;Totaal;Totaal;11 jaar;2018;841.2;15243;55188
76;Totaal;Totaal;11 jaar;2019;896.7;14829;60468
77;Totaal;Totaal;11 jaar;2020;537.4;13969;38474
78;Totaal;Totaal;12 jaar;2015;625.5;14321;43680
79;Totaal;Totaal;12 jaar;2016;782.8;14989;52226
80;Totaal;Totaal;12 jaar;2017;571.0;14655;38966
81;Totaal;Totaal;12 jaar;2018;557.2;14486;38462
82;Totaal;Totaal;12 jaar;2019;731.0;14204;51464
83;Totaal;Totaal;12 jaar;2020;762.7;13582;56155
84;Totaal;Totaal;13 jaar;2015;543.6;13645;39842
85;Totaal;Totaal;13 jaar;2016;566.6;13934;40659
86;Totaal;Totaal;13 jaar;2017;695.2;14348;48454
87;Totaal;Totaal;13 jaar;2018;499.6;13868;36026
88;Totaal;Totaal;13 jaar;2019;478.2;13471;35497
89;Totaal;Totaal;13 jaar;2020;612.1;12986;47133
90;Totaal;Totaal;14 jaar;2015;447.9;12961;34560
91;Totaal;Totaal;14 jaar;2016;481.2;13248;36327
92;Totaal;Totaal;14 jaar;2017;497.9;13348;37298
93;Totaal;Totaal;14 jaar;2018;601.4;13550;44386
94;Totaal;Totaal;14 jaar;2019;425.2;12988;32739
95;Totaal;Totaal;14 jaar;2020;398.0;12370;32172
96;Totaal;Totaal;15 jaar;2015;406.7;12481;32587
97;Totaal;Totaal;15 jaar;2016;387.6;12561;30856
98;Totaal;Totaal;15 jaar;2017;412.4;12615;32693
99;Totaal;Totaal;15 jaar;2018;424.3;12595;33686
100;Totaal;Totaal;15 jaar;2019;504.5;12632;39938
101;Totaal;Totaal;15 jaar;2020;347.5;11900;29198
102;Totaal;Totaal;16 jaar;2015;335.1;11833;28315
103;Totaal;Totaal;16 jaar;2016;342.5;12016;28501
104;Totaal;Totaal;16 jaar;2017;330.1;12117;27238
105;Totaal;Totaal;16 jaar;2018;343.4;11888;28890
106;Totaal;Totaal;16 jaar;2019;348.1;11686;29789
107;Totaal;Totaal;16 jaar;2020;406.9;11518;35332
108;Totaal;Totaal;17 jaar;2015;242.6;11377;21324
109;Totaal;Totaal;17 jaar;2016;271.0;11152;24304
110;Totaal;Totaal;17 jaar;2017;276.6;11385;24290
111;Totaal;Totaal;17 jaar;2018;264.0;11264;23440
112;Totaal;Totaal;17 jaar;2019;271.7;10945;24822
113;Totaal;Totaal;17 jaar;2020;265.9;10343;25711
114;Totaal;Totaal;18 jaar;2015;152.2;10761;14142
115;Totaal;Totaal;18 jaar;2016;192.6;10750;17920
116;Totaal;Totaal;18 jaar;2017;214.3;10600;20217
117;Totaal;Totaal;18 jaar;2018;215.5;10664;20209
118;Totaal;Totaal;18 jaar;2019;201.5;10324;19522
119;Totaal;Totaal;18 jaar;2020;200.4;9582;20909
120;Totaal;Totaal;19 jaar;2015;76.9;10185;7550
121;Totaal;Totaal;19 jaar;2016;119.2;10141;11755
122;Totaal;Totaal;19 jaar;2017;144.2;9804;14708
123;Totaal;Totaal;19 jaar;2018;165.2;10047;16448
124;Totaal;Totaal;19 jaar;2019;158.5;9624;16473
125;Totaal;Totaal;19 jaar;2020;144.0;8917;16150
126;Totaal;Totaal;20 jaar;2015;28.8;8355;3446
127;Totaal;Totaal;20 jaar;2016;58.5;9561;6115
128;Totaal;Totaal;20 jaar;2017;89.2;9251;9639
129;Totaal;Totaal;20 jaar;2018;110.8;9365;11833
130;Totaal;Totaal;20 jaar;2019;116.9;8897;13142
131;Totaal;Totaal;20 jaar;2020;109.6;8205;13360
132;Totaal;Totaal;21 jaar of ouder;2015;169.0;4796;35241
133;Totaal;Totaal;21 jaar of ouder;2016;168.9;4749;35574
134;Totaal;Totaal;21 jaar of ouder;2017;193.6;5042;38398
135;Totaal;Totaal;21 jaar of ouder;2018;238.6;5471;43617
136;Totaal;Totaal;21 jaar of ouder;2019;277.5;5569;49837
137;Totaal;Totaal;21 jaar of ouder;2020;306.9;5343;57439
138;Totaal;<=1305 kg;Totaal;2015;1795.4;13153;136500
139;Totaal;<=1305 kg;Totaal;2016;1640.6;12825;127926
140;Totaal;<=1305 kg;Totaal;2017;1467.3;12364;118672
141;Totaal;<=1305 kg;Totaal;2018;1283.8;11817;108643
142;Totaal;<=1305 kg;Totaal;2019;1091.8;11169;97751
143;Totaal;<=1305 kg;Totaal;2020;885.4;10117;87515
144;Totaal;<=1305 kg;0 jaar;2015;22.6;13489;1679
145;Totaal;<=1305 kg;0 jaar;2016;22.7;12918;1756
146;Totaal;<=1305 kg;0 jaar;2017;12.7;9919;1277
147;Totaal;<=1305 kg;0 jaar;2018;15.9;11149;1422
148;Totaal;<=1305 kg;0 jaar;2019;8.7;9996;872
149;Totaal;<=1305 kg;0 jaar;2020;2.7;8129;332
150;Totaal;<=1305 kg;1 jaar;2015;30.7;21642;1419
151;Totaal;<=1305 kg;1 jaar;2016;37.2;22043;1689
152;Totaal;<=1305 kg;1 jaar;2017;38.0;21531;1763
153;Totaal;<=1305 kg;1 jaar;2018;23.6;18381;1285
154;Totaal;<=1305 kg;1 jaar;2019;27.1;18988;1428
155;Totaal;<=1305 kg;1 jaar;2020;15.8;17946;883
156;Totaal;<=1305 kg;2 jaar;2015;22.0;21131;1040
157;Totaal;<=1305 kg;2 jaar;2016;28.3;19929;1421
158;Totaal;<=1305 kg;2 jaar;2017;35.1;20650;1699
159;Totaal;<=1305 kg;2 jaar;2018;34.9;19722;1771
160;Totaal;<=1305 kg;2 jaar;2019;22.9;17643;1296
161;Totaal;<=1305 kg;2 jaar;2020;22.8;15953;1430
162;Totaal;<=1305 kg;3 jaar;2015;24.3;18711;1297
163;Totaal;<=1305 kg;3 jaar;2016;20.6;19498;1058
164;Totaal;<=1305 kg;3 jaar;2017;26.8;18846;1421
165;Totaal;<=1305 kg;3 jaar;2018;33.0;19236;1713
166;Totaal;<=1305 kg;3 jaar;2019;32.8;18544;1770
167;Totaal;<=1305 kg;3 jaar;2020;19.8;16363;1213
168;Totaal;<=1305 kg;4 jaar;2015;35.5;17694;2004
169;Totaal;<=1305 kg;4 jaar;2016;22.3;17229;1294
170;Totaal;<=1305 kg;4 jaar;2017;19.6;18249;1072
171;Totaal;<=1305 kg;4 jaar;2018;25.1;17752;1415
172;Totaal;<=1305 kg;4 jaar;2019;29.7;17250;1724
173;Totaal;<=1305 kg;4 jaar;2020;28.6;16256;1761
174;Totaal;<=1305 kg;5 jaar;2015;36.5;16591;2198
175;Totaal;<=1305 kg;5 jaar;2016;33.1;16513;2003
176;Totaal;<=1305 kg;5 jaar;2017;20.4;15728;1296
177;Totaal;<=1305 kg;5 jaar;2018;18.4;17003;1082
178;Totaal;<=1305 kg;5 jaar;2019;22.3;15744;1416
179;Totaal;<=1305 kg;5 jaar;2020;25.9;15097;1716
180;Totaal;<=1305 kg;6 jaar;2015;45.4;16474;2757
181;Totaal;<=1305 kg;6 jaar;2016;37.1;16540;2244
182;Totaal;<=1305 kg;6 jaar;2017;31.5;15707;2006
183;Totaal;<=1305 kg;6 jaar;2018;18.8;14648;1283
184;Totaal;<=1305 kg;6 jaar;2019;15.9;14553;1094
185;Totaal;<=1305 kg;6 jaar;2020;20.7;14688;1412
186;Totaal;<=1305 kg;7 jaar;2015;102.3;16433;6224
187;Totaal;<=1305 kg;7 jaar;2016;44.8;16144;2775
188;Totaal;<=1305 kg;7 jaar;2017;35.5;15732;2258
189;Totaal;<=1305 kg;7 jaar;2018;29.3;14598;2009
190;Totaal;<=1305 kg;7 jaar;2019;18.2;14240;1280
191;Totaal;<=1305 kg;7 jaar;2020;14.8;13672;1082
192;Totaal;<=1305 kg;8 jaar;2015;93.0;15466;6014
193;Totaal;<=1305 kg;8 jaar;2016;98.8;15945;6195
194;Totaal;<=1305 kg;8 jaar;2017;42.6;15224;2796
195;Totaal;<=1305 kg;8 jaar;2018;32.7;14441;2263
196;Totaal;<=1305 kg;8 jaar;2019;26.8;13559;1977
197;Totaal;<=1305 kg;8 jaar;2020;16.3;12891;1268
198;Totaal;<=1305 kg;9 jaar;2015;81.5;14651;5566
199;Totaal;<=1305 kg;9 jaar;2016;89.0;14947;5952
200;Totaal;<=1305 kg;9 jaar;2017;92.7;15037;6166
201;Totaal;<=1305 kg;9 jaar;2018;39.3;14111;2786
202;Totaal;<=1305 kg;9 jaar;2019;30.4;13592;2234
203;Totaal;<=1305 kg;9 jaar;2020;23.8;12276;1935
204;Totaal;<=1305 kg;10 jaar;2015;85.5;14299;5979
205;Totaal;<=1305 kg;10 jaar;2016;77.9;14199;5484
206;Totaal;<=1305 kg;10 jaar;2017;82.1;13929;5896
207;Totaal;<=1305 kg;10 jaar;2018;85.9;14120;6085
208;Totaal;<=1305 kg;10 jaar;2019;36.1;13074;2763
209;Totaal;<=1305 kg;10 jaar;2020;27.6;12483;2209
210;Totaal;<=1305 kg;11 jaar;2015;157.0;14410;10892
211;Totaal;<=1305 kg;11 jaar;2016;79.9;13672;5843
212;Totaal;<=1305 kg;11 jaar;2017;72.8;13538;5375
213;Totaal;<=1305 kg;11 jaar;2018;75.8;13209;5742
214;Totaal;<=1305 kg;11 jaar;2019;78.6;13246;5933
215;Totaal;<=1305 kg;11 jaar;2020;32.7;11969;2730
216;Totaal;<=1305 kg;12 jaar;2015;184.1;13772;13365
217;Totaal;<=1305 kg;12 jaar;2016;147.5;14015;10528
218;Totaal;<=1305 kg;12 jaar;2017;74.5;13106;5682
219;Totaal;<=1305 kg;12 jaar;2018;66.9;12883;5195
220;Totaal;<=1305 kg;12 jaar;2019;68.6;12424;5523
221;Totaal;<=1305 kg;12 jaar;2020;69.4;12180;5700
222;Totaal;<=1305 kg;13 jaar;2015;171.1;13340;12830
223;Totaal;<=1305 kg;13 jaar;2016;171.5;13377;12819
224;Totaal;<=1305 kg;13 jaar;2017;135.2;13308;10163
225;Totaal;<=1305 kg;13 jaar;2018;67.3;12385;5437
226;Totaal;<=1305 kg;13 jaar;2019;59.6;12145;4907
227;Totaal;<=1305 kg;13 jaar;2020;58.4;11191;5216
228;Totaal;<=1305 kg;14 jaar;2015;171.0;12861;13295
229;Totaal;<=1305 kg;14 jaar;2016;156.1;12936;12069
230;Totaal;<=1305 kg;14 jaar;2017;155.4;12823;12118
231;Totaal;<=1305 kg;14 jaar;2018;119.9;12473;9611
232;Totaal;<=1305 kg;14 jaar;2019;60.0;11781;5094
233;Totaal;<=1305 kg;14 jaar;2020;50.0;10920;4576
234;Totaal;<=1305 kg;15 jaar;2015;160.7;12571;12782
235;Totaal;<=1305 kg;15 jaar;2016;151.1;12513;12077
236;Totaal;<=1305 kg;15 jaar;2017;136.4;12241;11140
237;Totaal;<=1305 kg;15 jaar;2018;137.3;12224;11232
238;Totaal;<=1305 kg;15 jaar;2019;103.2;11648;8858
239;Totaal;<=1305 kg;15 jaar;2020;49.1;10612;4625
240;Totaal;<=1305 kg;16 jaar;2015;144.8;11950;12118
241;Totaal;<=1305 kg;16 jaar;2016;134.8;11965;11264
242;Totaal;<=1305 kg;16 jaar;2017;130.3;12081;10789
243;Totaal;<=1305 kg;16 jaar;2018;114.8;11557;9932
244;Totaal;<=1305 kg;16 jaar;2019;114.0;11276;10114
245;Totaal;<=1305 kg;16 jaar;2020;83.9;10607;7914
246;Totaal;<=1305 kg;17 jaar;2015;100.5;11624;8647
247;Totaal;<=1305 kg;17 jaar;2016;114.7;11103;10329
248;Totaal;<=1305 kg;17 jaar;2017;107.8;11248;9581
249;Totaal;<=1305 kg;17 jaar;2018;100.3;10885;9213
250;Totaal;<=1305 kg;17 jaar;2019;91.0;10687;8518
251;Totaal;<=1305 kg;17 jaar;2020;88.4;10020;8827
252;Totaal;<=1305 kg;18 jaar;2015;60.1;10939;5497
253;Totaal;<=1305 kg;18 jaar;2016;77.4;10894;7108
254;Totaal;<=1305 kg;18 jaar;2017;88.6;10586;8372
255;Totaal;<=1305 kg;18 jaar;2018;80.3;10425;7703
256;Totaal;<=1305 kg;18 jaar;2019;74.0;9962;7427
257;Totaal;<=1305 kg;18 jaar;2020;64.7;9118;7101
258;Totaal;<=1305 kg;19 jaar;2015;25.4;10951;2322
259;Totaal;<=1305 kg;19 jaar;2016;45.3;10267;4408
260;Totaal;<=1305 kg;19 jaar;2017;55.7;9852;5654
261;Totaal;<=1305 kg;19 jaar;2018;66.5;10125;6563
262;Totaal;<=1305 kg;19 jaar;2019;57.0;9588;5940
263;Totaal;<=1305 kg;19 jaar;2020;50.3;8434;5964
264;Totaal;<=1305 kg;20 jaar;2015;3.7;7295;505
265;Totaal;<=1305 kg;20 jaar;2016;17.6;9954;1765
266;Totaal;<=1305 kg;20 jaar;2017;32.4;9304;3484
267;Totaal;<=1305 kg;20 jaar;2018;40.2;9255;4339
268;Totaal;<=1305 kg;20 jaar;2019;43.6;8845;4924
269;Totaal;<=1305 kg;20 jaar;2020;37.0;8086;4574
270;Totaal;<=1305 kg;21 jaar of ouder;2015;37.7;4675;8070
271;Totaal;<=1305 kg;21 jaar of ouder;2016;33.0;4208;7845
272;Totaal;<=1305 kg;21 jaar of ouder;2017;41.3;4765;8664
273;Totaal;<=1305 kg;21 jaar of ouder;2018;57.7;5459;10562
274;Totaal;<=1305 kg;21 jaar of ouder;2019;71.2;5626;12659
275;Totaal;<=1305 kg;21 jaar of ouder;2020;82.5;5480;15047
276;Totaal;1306 - 1760 kg;Totaal;2015;4500.9;17783;253106
277;Totaal;1306 - 1760 kg;Totaal;2016;4807.5;17745;270914
278;Totaal;1306 - 1760 kg;Totaal;2017;5076.5;17667;287340
279;Totaal;1306 - 1760 kg;Totaal;2018;5307.6;17369;305574
280;Totaal;1306 - 1760 kg;Totaal;2019;5517.3;17207;320641
281;Totaal;1306 - 1760 kg;Totaal;2020;5366.6;16362;328001
282;Totaal;1306 - 1760 kg;0 jaar;2015;323.6;14987;21590
283;Totaal;1306 - 1760 kg;0 jaar;2016;397.6;14980;26541
284;Totaal;1306 - 1760 kg;0 jaar;2017;387.4;14895;26008
