ID;TechnologyArea;Periods;Applicants_1;Applications_2;ApplicantsWithForeignCooperation_3;ApplicationsWithForeignCooperation_4;PatentApplicants_5;PatentApplications_6;ApplicantsWithForeignCooperation_7;ApplicationsWithForeignCooperation_8
0;All technology areas;2013;910.0;4130.0;70.0;545.0;1160.0;1490.0;0.0;0.0
1;All technology areas;2014;910.0;4385.0;70.0;440.0;1175.0;1660.0;15.0;15.0
2;All technology areas;2015;925.0;4585.0;70.0;455.0;1135.0;1705.0;10.0;10.0
3;All technology areas;2016;910.0;4195.0;65.0;455.0;1115.0;1615.0;10.0;10.0
4;All technology areas;2017;905.0;4260.0;50.0;365.0;1100.0;1665.0;10.0;10.0
5;All technology areas;2018;900.0;4195.0;80.0;365.0;1075.0;1635.0;15.0;15.0
6;All technology areas;2019;935.0;4270.0;75.0;380.0;1065.0;1720.0;15.0;15.0
7;All technology areas;2020;975.0;4245.0;85.0;485.0;1105.0;1645.0;20.0;20.0
8;All technology areas;2021;830.0;3465.0;60.0;375.0;1100.0;1635.0;20.0;15.0
9;A Human necessities;2013;245.0;1010.0;15.0;145.0;285.0;340.0;0.0;0.0
10;A Human necessities;2014;225.0;1005.0;20.0;125.0;320.0;410.0;5.0;5.0
11;A Human necessities;2015;240.0;1120.0;20.0;140.0;305.0;410.0;0.0;0.0
12;A Human necessities;2016;260.0;1075.0;15.0;165.0;315.0;425.0;5.0;5.0
13;A Human necessities;2017;260.0;1130.0;15.0;135.0;310.0;415.0;5.0;5.0
14;A Human necessities;2018;265.0;1145.0;20.0;120.0;305.0;410.0;5.0;5.0
15;A Human necessities;2019;260.0;1090.0;20.0;100.0;330.0;450.0;5.0;5.0
16;A Human necessities;2020;265.0;1080.0;20.0;135.0;350.0;460.0;5.0;5.0
17;A Human necessities;2021;225.0;835.0;15.0;85.0;325.0;440.0;5.0;5.0
18;A1 Agriculture;2013;70.0;130.0;0.0;5.0;105.0;140.0;0.0;0.0
19;A1 Agriculture;2014;55.0;110.0;5.0;5.0;110.0;150.0;0.0;0.0
20;A1 Agriculture;2015;50.0;155.0;0.0;10.0;80.0;150.0;0.0;0.0
21;A1 Agriculture;2016;60.0;115.0;0.0;5.0;90.0;130.0;0.0;0.0
22;A1 Agriculture;2017;55.0;115.0;0.0;5.0;85.0;110.0;5.0;0.0
23;A1 Agriculture;2018;60.0;115.0;0.0;5.0;95.0;125.0;0.0;0.0
24;A1 Agriculture;2019;65.0;130.0;0.0;0.0;100.0;150.0;5.0;5.0
25;A1 Agriculture;2020;55.0;135.0;5.0;10.0;95.0;135.0;0.0;5.0
26;A1 Agriculture;2021;65.0;110.0;0.0;5.0;100.0;145.0;0.0;0.0
27;A2 Foodstuffs and tobacco;2013;30.0;145.0;0.0;30.0;25.0;35.0;0.0;0.0
28;A2 Foodstuffs and tobacco;2014;30.0;150.0;0.0;30.0;25.0;50.0;0.0;0.0
29;A2 Foodstuffs and tobacco;2015;40.0;205.0;5.0;45.0;30.0;45.0;0.0;0.0
30;A2 Foodstuffs and tobacco;2016;30.0;150.0;0.0;40.0;30.0;60.0;0.0;0.0
31;A2 Foodstuffs and tobacco;2017;40.0;145.0;0.0;15.0;35.0;60.0;0.0;0.0
32;A2 Foodstuffs and tobacco;2018;25.0;155.0;0.0;15.0;25.0;40.0;0.0;0.0
33;A2 Foodstuffs and tobacco;2019;30.0;150.0;5.0;10.0;35.0;55.0;0.0;0.0
34;A2 Foodstuffs and tobacco;2020;30.0;130.0;0.0;10.0;40.0;50.0;0.0;0.0
35;A2 Foodstuffs and tobacco;2021;40.0;110.0;5.0;10.0;40.0;55.0;0.0;0.0
36;A3 Personal or domestic articles;2013;35.0;100.0;5.0;10.0;70.0;70.0;0.0;0.0
37;A3 Personal or domestic articles;2014;30.0;95.0;0.0;5.0;85.0;90.0;0.0;0.0
38;A3 Personal or domestic articles;2015;25.0;85.0;5.0;5.0;80.0;85.0;0.0;0.0
39;A3 Personal or domestic articles;2016;45.0;115.0;0.0;10.0;85.0;110.0;0.0;0.0
40;A3 Personal or domestic articles;2017;35.0;95.0;0.0;5.0;70.0;80.0;0.0;5.0
41;A3 Personal or domestic articles;2018;40.0;130.0;0.0;5.0;70.0;80.0;0.0;0.0
42;A3 Personal or domestic articles;2019;30.0;115.0;0.0;5.0;75.0;80.0;0.0;0.0
43;A3 Personal or domestic articles;2020;35.0;115.0;0.0;5.0;80.0;90.0;0.0;0.0
44;A3 Personal or domestic articles;2021;25.0;70.0;0.0;5.0;70.0;75.0;0.0;0.0
45;A4 Health and amusement;2013;115.0;635.0;10.0;105.0;80.0;95.0;0.0;0.0
46;A4 Health and amusement;2014;110.0;645.0;10.0;85.0;100.0;120.0;5.0;0.0
47;A4 Health and amusement;2015;125.0;670.0;10.0;80.0;115.0;130.0;0.0;0.0
48;A4 Health and amusement;2016;125.0;690.0;10.0;110.0;110.0;125.0;0.0;0.0
49;A4 Health and amusement;2017;130.0;775.0;10.0;110.0;120.0;165.0;0.0;0.0
50;A4 Health and amusement;2018;140.0;745.0;15.0;90.0;115.0;160.0;5.0;5.0
51;A4 Health and amusement;2019;135.0;695.0;10.0;85.0;120.0;160.0;0.0;0.0
52;A4 Health and amusement;2020;140.0;705.0;15.0;115.0;140.0;180.0;5.0;0.0
53;A4 Health and amusement;2021;100.0;540.0;10.0;70.0;115.0;160.0;5.0;5.0
54;"B Performing operations; transporting";2013;200.0;485.0;10.0;25.0;315.0;395.0;0.0;0.0
55;"B Performing operations; transporting";2014;205.0;580.0;10.0;35.0;310.0;425.0;5.0;10.0
56;"B Performing operations; transporting";2015;240.0;660.0;10.0;35.0;305.0;425.0;5.0;5.0
57;"B Performing operations; transporting";2016;220.0;585.0;10.0;30.0;295.0;405.0;5.0;5.0
58;"B Performing operations; transporting";2017;200.0;545.0;5.0;25.0;285.0;420.0;0.0;0.0
59;"B Performing operations; transporting";2018;190.0;520.0;10.0;20.0;270.0;385.0;0.0;0.0
60;"B Performing operations; transporting";2019;220.0;595.0;15.0;30.0;250.0;410.0;0.0;5.0
61;"B Performing operations; transporting";2020;230.0;570.0;15.0;35.0;280.0;425.0;5.0;0.0
62;"B Performing operations; transporting";2021;185.0;430.0;10.0;25.0;265.0;420.0;5.0;5.0
63;B1 Separating and mixing;2013;30.0;110.0;0.0;10.0;50.0;65.0;0.0;0.0
64;B1 Separating and mixing;2014;40.0;130.0;5.0;15.0;45.0;55.0;0.0;0.0
65;B1 Separating and mixing;2015;40.0;145.0;0.0;10.0;45.0;60.0;0.0;0.0
66;B1 Separating and mixing;2016;40.0;130.0;0.0;10.0;50.0;60.0;0.0;0.0
67;B1 Separating and mixing;2017;30.0;85.0;0.0;5.0;30.0;40.0;0.0;0.0
68;B1 Separating and mixing;2018;30.0;95.0;0.0;5.0;40.0;50.0;0.0;0.0
69;B1 Separating and mixing;2019;45.0;125.0;5.0;10.0;40.0;55.0;0.0;0.0
70;B1 Separating and mixing;2020;40.0;115.0;5.0;10.0;50.0;60.0;0.0;0.0
71;B1 Separating and mixing;2021;35.0;70.0;5.0;10.0;40.0;60.0;0.0;0.0
72;B2 Shaping;2013;45.0;115.0;0.0;5.0;55.0;70.0;0.0;0.0
73;B2 Shaping;2014;40.0;150.0;0.0;10.0;70.0;100.0;0.0;5.0
74;B2 Shaping;2015;50.0;170.0;5.0;5.0;65.0;90.0;0.0;0.0
75;B2 Shaping;2016;45.0;165.0;0.0;5.0;50.0;75.0;0.0;0.0
76;B2 Shaping;2017;40.0;170.0;0.0;5.0;50.0;85.0;0.0;0.0
77;B2 Shaping;2018;40.0;160.0;5.0;5.0;45.0;75.0;0.0;0.0
78;B2 Shaping;2019;50.0;180.0;5.0;5.0;55.0;95.0;0.0;0.0
79;B2 Shaping;2020;55.0;145.0;5.0;10.0;55.0;80.0;0.0;0.0
80;B2 Shaping;2021;45.0;125.0;0.0;5.0;60.0;100.0;0.0;0.0
81;B3 Printing;2013;5.0;30.0;0.0;0.0;10.0;10.0;0.0;0.0
82;B3 Printing;2014;10.0;50.0;0.0;0.0;10.0;10.0;0.0;0.0
83;B3 Printing;2015;10.0;65.0;0.0;0.0;10.0;15.0;0.0;0.0
84;B3 Printing;2016;5.0;50.0;0.0;0.0;5.0;10.0;0.0;0.0
85;B3 Printing;2017;5.0;45.0;0.0;0.0;10.0;10.0;0.0;0.0
86;B3 Printing;2018;10.0;45.0;0.0;0.0;15.0;20.0;0.0;0.0
87;B3 Printing;2019;10.0;30.0;0.0;0.0;10.0;15.0;0.0;0.0
88;B3 Printing;2020;0.0;15.0;0.0;0.0;10.0;15.0;0.0;0.0
89;B3 Printing;2021;5.0;10.0;0.0;0.0;5.0;10.0;0.0;0.0
90;B4 Transporting;2013;115.0;225.0;5.0;10.0;200.0;255.0;0.0;0.0
91;B4 Transporting;2014;110.0;245.0;5.0;15.0;185.0;260.0;5.0;5.0
92;B4 Transporting;2015;135.0;275.0;5.0;20.0;180.0;260.0;0.0;0.0
93;B4 Transporting;2016;130.0;230.0;5.0;20.0;190.0;255.0;0.0;0.0
94;B4 Transporting;2017;120.0;245.0;5.0;15.0;195.0;280.0;0.0;0.0
95;B4 Transporting;2018;110.0;215.0;5.0;10.0;170.0;245.0;0.0;0.0
96;B4 Transporting;2019;120.0;260.0;5.0;15.0;145.0;245.0;0.0;0.0
97;B4 Transporting;2020;130.0;290.0;5.0;15.0;170.0;270.0;0.0;0.0
98;B4 Transporting;2021;100.0;220.0;5.0;15.0;155.0;250.0;0.0;0.0
99;B5 Micro-structural and nanotechnology;2013;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0
100;B5 Micro-structural and nanotechnology;2014;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0
101;B5 Micro-structural and nanotechnology;2015;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0
102;B5 Micro-structural and nanotechnology;2016;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0
103;B5 Micro-structural and nanotechnology;2017;0.0;5.0;0.0;0.0;0.0;5.0;0.0;0.0
104;B5 Micro-structural and nanotechnology;2018;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0
105;B5 Micro-structural and nanotechnology;2019;0.0;5.0;0.0;0.0;0.0;5.0;0.0;0.0
106;B5 Micro-structural and nanotechnology;2020;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0
