ID;CountryOfCitizenship;AsylumRequests;Periods;TotalMenAndWomen_1;Men_2;Women_3;AllAges_4;YoungerThan15Years_5;k_15To17Years_6;k_18YearsOrOlder_7
0;85;Total asylum requests;2007 1st quarter;2530;1590;940;2530;550;150;1840
1;85;Total asylum requests;2007 2nd quarter;2140;1400;750;2140;420;140;1580
2;85;Total asylum requests;2007 3rd quarter;2470;1620;850;2470;420;150;1910
3;85;Total asylum requests;2007 4th quarter;2590;1760;830;2590;420;190;1980
4;85;Total asylum requests;2007;9730;6360;3370;9730;1800;620;7310
5;85;Total asylum requests;2008 1st quarter;3130;2080;1050;3130;620;240;2270
6;85;Total asylum requests;2008 2nd quarter;3560;2400;1150;3560;560;210;2790
7;85;Total asylum requests;2008 3rd quarter;4510;2920;1590;4510;950;320;3240
8;85;Total asylum requests;2008 4th quarter;4080;2670;1410;4080;780;290;3000
9;85;Total asylum requests;2008;15280;10070;5200;15280;2910;1060;11300
10;85;Total asylum requests;2009 1st quarter;3970;2660;1310;3970;770;360;2840
11;85;Total asylum requests;2009 2nd quarter;3780;2600;1170;3780;760;340;2680
12;85;Total asylum requests;2009 3rd quarter;3850;2550;1300;3850;860;330;2650
13;85;Total asylum requests;2009 4th quarter;4570;2900;1680;4570;980;440;3160
14;85;Total asylum requests;2009;16160;10690;5460;16160;3360;1470;11330
15;85;Total asylum requests;2010 1st quarter;4190;2320;1870;4190;1060;330;2790
16;85;Total asylum requests;2010 2nd quarter;3110;1890;1220;3110;840;250;2010
17;85;Total asylum requests;2010 3rd quarter;3510;2050;1460;3510;1050;230;2230
18;85;Total asylum requests;2010 4th quarter;4350;3230;1120;4350;1280;400;2670
19;85;Total asylum requests;2010;15150;9710;5440;15150;4230;1220;9700
20;85;Total asylum requests;2011 1st quarter;3510;2240;1280;3510;740;260;2510
21;85;Total asylum requests;2011 2nd quarter;3610;2310;1300;3610;870;240;2510
22;85;Total asylum requests;2011 3rd quarter;3890;2460;1440;3890;790;260;2850
23;85;Total asylum requests;2011 4th quarter;3620;2290;1320;3620;700;240;2680
24;85;Total asylum requests;2011;14630;9300;5330;14630;3100;990;10540
25;85;First asylum requests;2007 1st quarter;1850;1160;690;1850;390;130;1330
26;85;First asylum requests;2007 2nd quarter;1480;930;540;1480;300;120;1060
27;85;First asylum requests;2007 3rd quarter;1880;1210;670;1880;330;140;1410
