ID;SoortenBeroep;Perioden;AanHetBeginVanDePeriodeAanhangig_1;IngediendeZaken_2;InVereenvoudigdeBehGedaneUitspraken_3;Ingesteld_4;IngetrokkenNietOntvankelijkOngegrond_5;Gegrond_6;TotaalUitspraken_7;IngetrokkenVerwezenZaken_8;AanHetEindVanDePeriodeAanhangig_9
0;Besluiten en handelingen PBO;1992 1e kwartaal;1422;775;84;29;16;0;139;621;1366
1;Besluiten en handelingen PBO;1992 1e halfjaar;1422;1608;203;64;48;2;297;1113;1433
2;Besluiten en handelingen PBO;1992 1e-3e kwartaal;1422;1982;307;99;53;3;408;1443;1292
3;Besluiten en handelingen PBO;1992 Totaal;1422;2161;343;110;106;4;529;1600;1115
4;Besluiten en handelingen PBO;1993 1e kwartaal;1115;218;32;18;4;3;116;185;1014
5;Besluiten en handelingen PBO;1993 1e halfjaar;1115;496;57;29;28;3;249;301;1005
6;Besluiten en handelingen PBO;1993 1e-3e kwartaal;1115;1173;91;44;28;3;388;482;1343
7;Besluiten en handelingen PBO;1993 Totaal;1115;3083;190;53;39;4;512;588;2922
8;Besluiten en handelingen PBO;1994 1e kwartaal;2922;1680;164;51;22;1;204;126;4137
9;Besluiten en handelingen PBO;1994 1e halfjaar;2922;2259;398;121;71;2;343;268;4222
10;Besluiten en handelingen PBO;1994 1e-3e kwartaal;2922;2835;728;151;110;4;444;357;4269
11;Besluiten en handelingen PBO;1994 Totaal;2922;3183;965;191;156;14;584;443;4148
12;Besluiten en handelingen PBO;1995 1e kwartaal;4148;363;89;18;31;1;120;166;4123
13;Besluiten en handelingen PBO;1995 1e halfjaar;4148;822;146;42;40;2;266;263;4297
14;Besluiten en handelingen PBO;1995 1e-3e kwartaal;4148;1278;304;74;73;3;377;399;4347
15;Besluiten en handelingen PBO;1995 Totaal;4148;1558;389;93;100;3;513;506;4291
16;Besluiten en handelingen PBO;1996 1e kwartaal;4291;308;100;12;13;1;202;146;4150
17;Besluiten en handelingen PBO;1996 1e halfjaar;4291;605;145;26;36;3;306;245;4190
18;Besluiten en handelingen PBO;1996 1e-3e kwartaal;4291;871;193;32;46;3;521;789;3645
19;Besluiten en handelingen PBO;1996 Totaal;4291;1050;287;50;59;3;647;2564;1834
20;Besluiten en handelingen PBO;1997 1e kwartaal;1834;415;41;4;15;0;88;487;1622
21;Besluiten en handelingen PBO;1997 1e halfjaar;1834;779;132;17;18;1;236;680;1564
22;Besluiten en handelingen PBO;1997 1e-3e kwartaal;1834;1064;195;33;34;3;333;774;1595
23;Besluiten en handelingen PBO;1997 Totaal;1834;1579;441;53;42;5;456;916;1611
24;Besluiten en handelingen PBO;1998 1e kwartaal;1611;228;76;6;21;1;86;129;1533
25;Besluiten en handelingen PBO;1998 1e halfjaar;1611;592;89;11;22;1;192;239;1672
26;Besluiten en handelingen PBO;1998 1e-3e kwartaal;1611;978;208;26;25;2;310;428;1644
27;Besluiten en handelingen PBO;1998 Totaal;1611;1326;270;32;43;2;490;529;1637
28;Besluiten en handelingen PBO;1999 1e kwartaal;1637;324;62;9;2;1;122;106;1678
29;Besluiten en handelingen PBO;1999 1e halfjaar;1637;545;97;10;10;1;270;208;1607
30;Besluiten en handelingen PBO;1999 1e-3e kwartaal;1637;762;134;20;11;3;426;305;1543
31;Besluiten en handelingen PBO;1999 Totaal;1637;1021;194;21;22;5;569;415;1479
32;Besluiten en handelingen PBO;2000 1e kwartaal;1479;252;103;14;5;2;159;141;1337
33;Besluiten en handelingen PBO;2000 1e halfjaar;1479;515;137;21;11;4;294;349;1224
34;Besluiten en handelingen PBO;2000 1e-3e kwartaal;1479;741;179;25;12;5;425;416;1213
35;Besluiten en handelingen PBO;2000 Totaal;1479;945;206;31;17;5;501;484;1247
36;Besluiten en handelingen PBO;2001 1e kwartaal;1247;226;6;1;3;0;150;112;1203
37;Besluiten en handelingen PBO;2001 1e halfjaar;1247;464;42;5;6;0;315;221;1132
38;Besluiten en handelingen PBO;2001 1e-3e kwartaal;1247;724;81;11;14;1;600;314;973
39;Besluiten en handelingen PBO;2001 Totaal;1247;1057;110;17;15;1;722;376;1098
40;Besluiten en handelingen PBO;2002 1e kwartaal;1098;493;29;3;6;0;143;305;1111
41;Besluiten en handelingen PBO;2002 1e halfjaar;1098;1222;48;13;15;0;295;420;1555
42;Besluiten en handelingen PBO;2002 1e-3e kwartaal;1098;1559;175;24;17;0;420;493;1576
43;Besluiten en handelingen PBO;2002 Totaal;1098;1938;375;34;27;0;562;629;1477
44;Tuchtbeschikkingen;1992 1e kwartaal;18;4;2;1;1;0;3;0;17
45;Tuchtbeschikkingen;1992 1e halfjaar;18;6;2;1;3;0;10;0;10
46;Tuchtbeschikkingen;1992 1e-3e kwartaal;18;6;2;1;3;0;10;1;9
47;Tuchtbeschikkingen;1992 Totaal;18;15;2;1;3;0;13;1;15
48;Tuchtbeschikkingen;1993 1e kwartaal;15;14;0;0;0;0;6;0;23
49;Tuchtbeschikkingen;1993 1e halfjaar;15;17;5;0;0;0;10;0;17
50;Tuchtbeschikkingen;1993 1e-3e kwartaal;15;19;6;0;0;0;15;0;13
51;Tuchtbeschikkingen;1993 Totaal;15;23;6;0;0;0;22;0;10
52;Tuchtbeschikkingen;1994 1e kwartaal;10;4;0;0;0;0;1;0;13
53;Tuchtbeschikkingen;1994 1e halfjaar;10;6;0;0;0;0;5;0;11
54;Tuchtbeschikkingen;1994 1e-3e kwartaal;10;15;0;0;0;0;7;1;17
55;Tuchtbeschikkingen;1994 Totaal;10;29;3;2;1;0;7;3;27
56;Tuchtbeschikkingen;1995 1e kwartaal;27;9;0;0;1;0;6;1;28
57;Tuchtbeschikkingen;1995 1e halfjaar;27;13;1;0;1;0;12;1;25
58;Tuchtbeschikkingen;1995 1e-3e kwartaal;27;28;1;0;1;0;16;1;36
59;Tuchtbeschikkingen;1995 Totaal;27;41;2;1;1;0;25;1;40
60;Tuchtbeschikkingen;1996 1e kwartaal;40;13;1;1;0;0;2;4;47
