ID;SBI93;Perioden;Ondernemingen_1;BalanstotaalEindstand_2;ImmaterieleVasteActiva_3;MaterieleVasteActiva_4;DeelnemingenTotaal_5;DeelnemingenBinnenland_6;DeelnemingenBuitenland_7;LanglopendeVorderingen_8;Voorraden_9;KortlopendeVorderingen_10;Handelsdebiteuren_11;LiquideMiddelen_12;EigenVermogen_13;BelangVanDerden_14;Egalisatierekening_15;Voorzieningen_16;LanglopendeSchulden_17;KortlopendeSchulden_18;Handelscrediteuren_19;NettoOmzet_20;LoonSalarisEnSocialePremies_21;Afschrijvingen_22;KostenVanDeOmzet_23;Bedrijfsresultaat_24;Rentebaten_25;Rentelasten_26;OverigeFinancieleResultaten_27;ResultaatUitDeelnemingenTotaal_28;ResultaatUitDeelnemingenBinnenland_29;ResultaatUitDeelnemingenBuitenland_30;BuitengewoneBatenEnLastenSaldo_31;BuitengewoneBaten_32;BuitengewoneLasten_33;ResultaatVoorBelastingen_34;Vennootschapsbelasting_35;AandeelVanDerden_36;ResultaatNetto_37;Winstuitkeringen_38
0;0000e  Niet-financiële sector (A-O, mi..;1992;119722.0;416976.5;4868.0;141008.1;71217.3;;;26410.1;45500.0;97102.0;;30871.3;146809.8;5821.3;4183.6;29376.0;87785.3;142999.5;;483130.4;82294.5;19147.2;357253.7;24433.9;;;;;;;-734.1;;;23437.4;6330.4;1464.9;15642.1;10454.3
1;0000e  Niet-financiële sector (A-O, mi..;1993;126953.0;423728.4;5365.4;142515.2;75372.9;;;25801.4;44310.0;98212.1;;32152.7;153024.2;6248.7;3976.2;31318.7;90745.4;138415.9;;483337.3;84450.2;19851.7;356366.6;22668.8;;;;;;;254.7;;;22155.7;5960.9;1351.9;14842.9;9454.1
2;0000e  Niet-financiële sector (A-O, mi..;1994;135497.0;438232.5;5867.6;144086.3;79259.2;;;27862.9;45050.4;101122.2;;34985.5;162582.7;6854.3;3960.4;34019.9;91263.9;139552.3;;501332.8;85509.0;19933.6;369232.4;26657.7;;;;;;;-1172.7;4043.0;5215.7;29901.7;6986.8;1466.9;21447.9;10880.5
3;0000e  Niet-financiële sector (A-O, mi..;1995;141779.0;459505.0;7505.7;147745.5;85839.0;;;29407.7;46970.4;105123.3;;36914.9;171498.8;6980.8;4346.7;36021.1;92118.0;148540.4;;528206.6;86444.8;20391.1;390670.6;30700.1;4208.9;9794.5;-120.3;10710.0;;;-85.0;4353.7;4438.7;35618.7;8699.1;1849.4;25070.2;12126.5
4;0000e  Niet-financiële sector (A-O, mi..;1996;151312.0;495249.1;9112.2;153515.4;97115.4;;;34378.8;47065.2;115615.7;;38448.0;188544.2;7121.7;6501.5;37114.3;97392.7;158575.5;;562924.0;90546.9;21091.6;418414.0;32871.5;4101.6;9430.4;552.1;11849.9;;;999.6;4885.9;3886.3;40943.8;9933.9;2549.7;28460.3;13278.8
5;0000e  Niet-financiële sector (A-O, mi..;1997;161512.0;540436.4;10695.3;158123.7;107357.1;;;42455.1;50608.8;130735.8;;40462.5;209246.1;8714.1;6763.3;38949.8;103862.2;172902.0;;619724.9;97499.8;22198.8;463855.7;36170.6;4559.2;9642.3;642.7;14667.9;;;4702.8;8742.5;4039.7;51100.8;10845.0;2910.7;37345.0;15075.9
6;0000e  Niet-financiële sector (A-O, mi..;1998;167690.0;575309.1;15726.1;164635.8;101172.7;;;52357.8;52589.1;140619.8;;48209.7;214712.6;8297.5;7278.7;41463.1;112775.7;190782.5;;648296.9;104547.5;23303.0;483367.4;37079.0;5461.3;10724.5;711.2;10785.2;;;8623.4;13092.5;4469.1;51935.3;10641.5;2314.3;38979.5;21946.3
7;0000e  Niet-financiële sector (A-O, mi..;1999;170394.0;658991.8;19421.5;176002.5;121843.9;;;63827.5;55757.0;168256.1;;53885.1;249340.4;10663.1;7677.8;46041.2;133242.1;212028.1;;685804.8;113342.3;25806.0;509023.2;37633.4;6468.0;11671.2;1076.8;15720.2;;;7143.2;13597.5;6454.2;56370.4;11353.5;2986.8;42030.1;18950.1
8;0000e  Niet-financiële sector (A-O, mi..;2000;174667.0;790219.9;27638.4;184945.2;153940.2;;;89044.4;59950.9;215524.0;;59178.3;295187.5;14266.2;8490.7;46249.1;171766.0;254261.3;;764401.0;116832.9;27303.3;575665.8;44599.0;9895.2;15181.4;2698.7;17803.3;;;16613.1;24504.1;7891.0;76428.0;12476.0;4208.1;59743.9;22784.6
9;0000e  Niet-financiële sector (A-O, mi..;2001;195759.0;865960.8;35795.4;195546.9;150391.1;;;104424.6;64161.0;243197.9;;72444.4;314451.0;15373.0;9456.6;49594.7;199244.1;277841.7;;825818.0;129048.1;32281.9;625979.6;38508.4;13947.1;20629.6;-440.0;-3824.7;;;9253.1;18449.9;9196.7;36813.9;12267.0;2664.7;21882.2;24202.7
