ID;Perioden;TotaalPersonen_1;AlleenstaandePersonen_2;SamenwonendePersonen_3;ThuiswonendeKinderen_4;Eenouders_5;OverigePersonen_6;InInstitutieWonendePersonen_7;TotaalHuishoudens_8;Eenpersoonshuishouden_9;Paren_10;Eenouderhuishouden_11;OverigeHuishoudens_12;GemiddeldeHuishoudensgrootte_13;TotaalHuishoudens_14;Eenpersoonshuishouden_15;TotaalMeerpersoonshuishoudens_16;k_2Personen_17;k_3Personen_18;k_4Personen_19;k_5OfMeerPersonen_20;TotaalParen_21;GeenKinderen_22;k_1Kind_23;k_2Kinderen_24;k_3OfMeerKinderen_25;TotaalEenouderhuishoudens_26;k_1Kind_27;k_2Kinderen_28;k_3OfMeerKinderen_29;TotaalHuishoudensMetKinderen_30;k_0Tot3Jaar_31;k_3Tot6Jaar_32;k_6Tot12Jaar_33;k_12Tot18Jaar_34;k_18JaarOfOuder_35
0;2007;16353976;2556158;8281830;4581352;461096;267403;206137;7199519;2556154;4133835;461106;48424;2.24;7199519;2556154;4643365;2335159;896248;972100;439858;4133835;2066259;743984;930003;393589;461104;272832;141208;47064;2528680;511928;354551;557701;517996;586504
1;2008;16376899;2599016;8276130;4562390;468372;269022;201971;7246923;2599010;4130976;468370;48567;2.23;7246925;2599010;4647915;2340956;893957;976697;436305;4130971;2067848;739479;934136;389508;468369;277255;143392;47722;2531496;498241;350821;568680;522721;591033
2;2009;16403023;2642463;8274524;4543238;474470;271001;197327;7295896;2642453;4130165;474466;48812;2.22;7295896;2642453;4653443;2346612;893838;980645;432348;4130167;2069739;737615;937811;385002;474466;281199;145088;48179;2534891;489351;340914;582233;520617;601777
3;2010;16432521;2686473;8276983;4523999;479470;273258;192338;7346498;2686484;4131405;479476;49133;2.21;7346499;2686484;4660015;2353653;895323;983408;427631;4131404;2073446;737772;940447;379739;479476;284680;146342;48454;2537434;484290;327055;595256;518005;612829
4;2011;16464311;2730781;8282439;4504573;483744;275624;187151;7398130;2730786;4134129;483742;49473;2.2;7398130;2730786;4667344;2362245;897476;984925;422698;4134129;2078969;738933;941921;374306;483743;287895;147262;48586;2538902;481734;315504;598107;521294;622263
5;2012;16497262;2775203;8290057;4484762;487292;278017;181932;7450228;2775192;4137950;487280;49806;2.19;7450228;2775192;4675036;2372257;899753;985535;417491;4137950;2086234;740527;942541;368648;487280;290802;147871;48607;2538996;479787;308301;595102;523999;631806
6;2013;16530454;2819248;8299290;4464591;490087;280370;176870;7502024;2819240;4142564;490089;50131;2.18;7502026;2819240;4682786;2383480;901783;985194;412329;4142565;2095032;742169;942282;363082;490092;293390;148191;48511;2537619;478055;304583;581617;533377;639988
7;2014;16563253;2862350;8309443;4444611;492122;282583;172144;7552532;2862349;4147641;492112;50430;2.17;7552535;2862349;4690186;2395940;903258;984159;406829;4147642;2105458;743553;941405;357226;492114;295586;148210;48318;2534293;476837;302972;567810;544713;641966
8;2015;16595407;2904430;8319788;4425192;493425;284626;167946;7601347;2904423;4152806;493417;50701;2.16;7601343;2904423;4696920;2408479;904277;982764;401400;4152810;2116328;744764;940240;351478;493417;297412;147960;48045;2529895;476400;301478;551993;558927;641096
9;2016;16626986;2945584;8329922;4406349;494053;286599;164479;7648479;2945577;4157881;494054;50967;2.15;7648480;2945577;4702903;2420198;905241;981322;396142;4157883;2126739;746140;939081;345923;494055;298870;147489;47696;2525196;476963;299735;535489;572336;640675
10;2017;16657931;2986117;8339351;4387863;494085;288573;161945;7694052;2986107;4162589;494095;51261;2.14;7694051;2986107;4707944;2430013;906235;980461;391235;4162588;2135567;747736;938533;340752;494096;299966;146819;47311;2521113;478325;298145;523146;575271;646229
11;2018;16688335;3026047;8347913;4369692;493580;290539;160565;7738052;3026050;4166867;493575;51560;2.14;7738052;3026050;4712002;2438673;907060;979674;386595;4166865;2143612;749316;938073;335864;493574;300680;145998;46896;2516827;480259;297012;514969;572215;652371
12;2019;16718362;3065317;8355411;4351855;492664;292549;160568;7780465;3065316;4170611;492667;51871;2.13;7780463;3065316;4715147;2445467;908014;979122;382544;4170610;2150072;751116;937836;331586;492668;301113;145084;46471;2513204;482711;296594;509776;558649;665477
13;2020;16747901;3103455;8361570;4334743;491426;294512;162194;7820761;3103466;4173699;491421;52175;2.12;7820760;3103466;4717294;2452236;908562;977719;378777;4173701;2156802;752571;936713;327615;491421;301246;144110;46065;2508321;485505;296757;506634;544698;674724
14;2021;16776829;3140509;8366555;4318688;489933;296373;164774;7859060;3140506;4176185;489925;52444;2.11;7859056;3140506;4718550;2458420;908508;976038;375584;4176187;2163255;753435;935263;324234;489928;301098;143139;45691;2502858;488459;297403;503872;528818;684305
15;2022;16804977;3176648;8370501;4303858;488352;298125;167493;7895835;3176652;4178168;488349;52666;2.11;7895836;3176652;4719184;2464657;907449;974029;373049;4178168;2169996;753224;933427;321521;488351;300736;142236;45379;2496520;491287;298588;501436;512370;692841
16;2023;16832106;3211324;8373256;4290762;486732;299644;170387;7930416;3211330;4179544;486715;52827;2.1;7930416;3211330;4719086;2471883;904790;971391;371022;4179543;2177936;751365;930908;319334;486718;300188;141403;45127;2488320;493841;300184;499627;500099;694568
17;2024;16858007;3244155;8374556;4279782;485145;300886;173482;7962405;3244168;4180182;485139;52916;2.1;7962408;3244168;4718240;2479399;900514;968717;369610;4180182;2186326;747788;928320;317748;485139;299511;140683;44945;2478995;496102;302045;498660;492087;690103
18;2025;16882472;3275059;8374056;4270998;483685;301876;176796;7991619;3275068;4179941;483678;52932;2.09;7991615;3275068;4716547;2486350;895060;966412;368725;4179943;2194300;742885;926073;316685;483679;298718;140133;44828;2469319;498042;303904;498876;487095;681404
19;2026;16905264;3304054;8371405;4264422;482391;302671;180321;8017990;3304066;4178613;482375;52936;2.09;8017994;3304066;4713928;2492095;888853;964638;368342;4178611;2201079;737083;924315;316134;482373;297872;139725;44776;2459909;499666;305662;500061;484093;670427
20;2027;16926196;3331176;8366237;4260107;481324;303301;184052;8041427;3331183;4176025;481322;52897;2.08;8041428;3331183;4710245;2495943;882339;963561;368402;4176023;2205963;730816;923202;316042;481319;297042;139489;44788;2451382;500935;307317;501992;481380;659759
21;2028;16945062;3356469;8358348;4257989;480475;303794;187990;8061842;3356453;4172080;480473;52836;2.08;8061840;3356453;4705387;2497542;875794;963267;368784;4172078;2208577;724389;922818;316294;480474;296228;139389;44857;2443976;501832;308801;504497;478913;649937
22;2029;16961654;3379873;8347624;4257942;479867;304211;192138;8079240;3379873;4166721;479871;52775;2.08;8079246;3379873;4699373;2496774;869486;963696;369417;4166721;2208753;718047;923129;316792;479869;295457;139441;44971;2437838;502345;310070;507372;477021;641033
23;2030;16975876;3401351;8334142;4259840;479519;304560;196465;8093559;3401353;4159984;479510;52712;2.07;8093557;3401353;4692204;2493754;863515;964752;370183;4159987;2206589;711924;924043;317431;479510;294771;139613;45126;2432907;502489;311058;510477;475914;632969
24;2031;16987516;3420810;8318212;4263321;479411;304865;200899;8104892;3420813;4152021;479409;52649;2.07;8104890;3420813;4684077;2488776;857934;966350;371017;4152020;2202327;706087;925478;318128;479407;294212;139885;45310;2429101;502244;311751;513495;475962;625651
25;2032;16996426;3438451;8299946;4268024;479526;305132;205346;8113431;3438449;4142884;479524;52574;2.07;8113425;3438449;4674976;2481962;852783;968367;371864;4142882;2196122;700595;927320;318845;479525;293761;140246;45518;2426288;501584;312150;516283;476962;619311
26;2033;17002469;3454091;8279961;4273462;479850;305399;209707;8119391;3454098;4132901;479851;52541;2.07;8119394;3454098;4665296;2473909;848067;970649;372671;4132899;2188480;695474;929410;319535;479850;293456;140661;45733;2424269;500490;312315;518758;478702;614011
27;2034;17005468;3467897;8258546;4279143;480332;305646;213902;8122934;3467891;4122182;480343;52518;2.07;8122936;3467891;4655045;2464808;843869;972961;373407;4122180;2179658;690821;931541;320160;480344;293273;141125;45946;2422866;498941;312302;520814;481035;609773
28;2035;17005388;3480021;8236034;4284633;480934;305892;217873;8124352;3480022;4110927;480922;52481;2.07;8124351;3480022;4644329;2454895;840268;975127;374039;4110923;2169943;686761;933539;320680;480922;293177;141595;46150;2421907;496950;312155;522419;483761;606623
29;2036;17002299;3490599;8212720;4289580;481617;306125;221660;8123959;3490595;4099268;481613;52483;2.07;8123961;3490595;4633366;2444553;837337;976959;374517;4099269;2159634;683357;935219;321059;481614;293193;142072;46349;2421245;494575;311862;523566;486743;604502
30;2037;16996222;3499657;8189000;4293625;482349;306341;225252;8121910;3499656;4087414;482345;52495;2.06;8121914;3499656;4622258;2433952;835154;978327;374825;4087415;2148998;680697;936452;321268;482349;293269;142550;46530;2420765;491912;311374;524303;489661;603513
31;2038;16987485;3507386;8165266;4296609;483082;306542;228600;8118506;3507382;4075539;483086;52499;2.06;8118509;3507382;4611127;2423327;833717;979129;374954;4075545;2138292;678799;937154;321300;483086;293387;143012;46687;2420336;489119;310619;524697;492359;603540
32;2039;16976309;3513860;8141902;4298364;483768;306740;231674;8114020;3513850;4063871;483764;52535;2.06;8114018;3513850;4600168;2412936;832989;979366;374877;4063873;2127783;677648;937312;321130;483765;293506;143437;46822;2419852;486334;309566;524822;494741;604388
33;2040;16963089;3519204;8119230;4298874;484400;306923;234461;8108709;3519213;4052523;484403;52570;2.06;8108711;3519213;4589498;2403016;832852;979050;374580;4052522;2117714;677127;936932;320749;484401;293647;143816;46938;2419211;483701;308224;524675;496717;605894
34;2041;16948168;3523446;8097514;4298164;484973;307093;236979;8102673;3523437;4041673;484973;52590;2.06;8102672;3523437;4579235;2393748;833156;978248;374083;4041673;2108301;677108;936084;320180;484971;293808;144137;47026;2418344;481326;306664;524233;498236;607889
