ID;BedrijfstakBranchesSBI2008;Perioden;TotaalBedrijven_1;Eenmanszaken_2;OverigeRechtspersonen_3
0;A-U Alle economische activiteiten;1993 januari;380;159;221
1;A-U Alle economische activiteiten;1993 februari;371;138;233
2;A-U Alle economische activiteiten;1993 maart;572;218;354
3;A-U Alle economische activiteiten;1993 1e kwartaal;1323;515;808
4;A-U Alle economische activiteiten;1993 april;440;182;258
5;A-U Alle economische activiteiten;1993 mei;418;135;283
6;A-U Alle economische activiteiten;1993 juni;485;183;302
7;A-U Alle economische activiteiten;1993 2e kwartaal;1343;500;843
8;A-U Alle economische activiteiten;1993 juli;499;183;316
9;A-U Alle economische activiteiten;1993 augustus;434;163;271
10;A-U Alle economische activiteiten;1993 september;507;185;322
11;A-U Alle economische activiteiten;1993 3e kwartaal;1440;531;909
12;A-U Alle economische activiteiten;1993 oktober;426;190;236
13;A-U Alle economische activiteiten;1993 november;506;224;282
14;A-U Alle economische activiteiten;1993 december;474;188;286
15;A-U Alle economische activiteiten;1993 4e kwartaal;1406;602;804
16;A-U Alle economische activiteiten;1993;5512;2148;3364
17;A-U Alle economische activiteiten;1994 januari;443;180;263
18;A-U Alle economische activiteiten;1994 februari;433;171;262
19;A-U Alle economische activiteiten;1994 maart;551;227;324
20;A-U Alle economische activiteiten;1994 1e kwartaal;1427;578;849
21;A-U Alle economische activiteiten;1994 april;406;167;239
22;A-U Alle economische activiteiten;1994 mei;376;162;214
23;A-U Alle economische activiteiten;1994 juni;513;172;341
24;A-U Alle economische activiteiten;1994 2e kwartaal;1295;501;794
25;A-U Alle economische activiteiten;1994 juli;380;147;233
26;A-U Alle economische activiteiten;1994 augustus;506;219;287
27;A-U Alle economische activiteiten;1994 september;451;192;259
28;A-U Alle economische activiteiten;1994 3e kwartaal;1337;558;779
29;A-U Alle economische activiteiten;1994 oktober;397;164;233
30;A-U Alle economische activiteiten;1994 november;505;207;298
31;A-U Alle economische activiteiten;1994 december;372;165;207
32;A-U Alle economische activiteiten;1994 4e kwartaal;1274;536;738
33;A-U Alle economische activiteiten;1994;5333;2173;3160
34;A-U Alle economische activiteiten;1995 januari;416;192;224
35;A-U Alle economische activiteiten;1995 februari;378;174;204
36;A-U Alle economische activiteiten;1995 maart;458;212;246
37;A-U Alle economische activiteiten;1995 1e kwartaal;1252;578;674
38;A-U Alle economische activiteiten;1995 april;379;166;213
39;A-U Alle economische activiteiten;1995 mei;376;150;226
40;A-U Alle economische activiteiten;1995 juni;397;161;236
41;A-U Alle economische activiteiten;1995 2e kwartaal;1152;477;675
42;A-U Alle economische activiteiten;1995 juli;393;153;240
43;A-U Alle economische activiteiten;1995 augustus;401;164;237
44;A-U Alle economische activiteiten;1995 september;407;145;262
45;A-U Alle economische activiteiten;1995 3e kwartaal;1201;462;739
46;A-U Alle economische activiteiten;1995 oktober;441;183;258
47;A-U Alle economische activiteiten;1995 november;407;168;239
48;A-U Alle economische activiteiten;1995 december;330;143;187
49;A-U Alle economische activiteiten;1995 4e kwartaal;1178;494;684
50;A-U Alle economische activiteiten;1995;4783;2011;2772
51;A-U Alle economische activiteiten;1996 januari;415;198;217
52;A-U Alle economische activiteiten;1996 februari;366;162;204
53;A-U Alle economische activiteiten;1996 maart;390;162;228
54;A-U Alle economische activiteiten;1996 1e kwartaal;1171;522;649
55;A-U Alle economische activiteiten;1996 april;366;159;207
56;A-U Alle economische activiteiten;1996 mei;398;170;228
57;A-U Alle economische activiteiten;1996 juni;368;146;222
58;A-U Alle economische activiteiten;1996 2e kwartaal;1132;475;657
59;A-U Alle economische activiteiten;1996 juli;373;157;216
60;A-U Alle economische activiteiten;1996 augustus;347;141;206
61;A-U Alle economische activiteiten;1996 september;370;143;227
62;A-U Alle economische activiteiten;1996 3e kwartaal;1090;441;649
63;A-U Alle economische activiteiten;1996 oktober;445;168;277
64;A-U Alle economische activiteiten;1996 november;348;161;187
65;A-U Alle economische activiteiten;1996 december;348;132;216
66;A-U Alle economische activiteiten;1996 4e kwartaal;1141;461;680
67;A-U Alle economische activiteiten;1996;4534;1899;2635
68;A-U Alle economische activiteiten;1997 januari;432;182;250
69;A-U Alle economische activiteiten;1997 februari;382;157;225
70;A-U Alle economische activiteiten;1997 maart;339;132;207
71;A-U Alle economische activiteiten;1997 1e kwartaal;1153;471;682
72;A-U Alle economische activiteiten;1997 april;362;139;223
73;A-U Alle economische activiteiten;1997 mei;378;146;232
74;A-U Alle economische activiteiten;1997 juni;333;117;216
75;A-U Alle economische activiteiten;1997 2e kwartaal;1073;402;671
76;A-U Alle economische activiteiten;1997 juli;397;146;251
77;A-U Alle economische activiteiten;1997 augustus;285;108;177
78;A-U Alle economische activiteiten;1997 september;386;174;212
79;A-U Alle economische activiteiten;1997 3e kwartaal;1068;428;640
80;A-U Alle economische activiteiten;1997 oktober;397;147;250
81;A-U Alle economische activiteiten;1997 november;381;141;240
82;A-U Alle economische activiteiten;1997 december;337;139;198
83;A-U Alle economische activiteiten;1997 4e kwartaal;1115;427;688
84;A-U Alle economische activiteiten;1997;4409;1728;2681
85;A-U Alle economische activiteiten;1998 januari;322;133;189
86;A-U Alle economische activiteiten;1998 februari;331;130;201
87;A-U Alle economische activiteiten;1998 maart;428;175;253
88;A-U Alle economische activiteiten;1998 1e kwartaal;1081;438;643
89;A-U Alle economische activiteiten;1998 april;393;145;248
90;A-U Alle economische activiteiten;1998 mei;278;114;164
91;A-U Alle economische activiteiten;1998 juni;353;148;205
92;A-U Alle economische activiteiten;1998 2e kwartaal;1024;407;617
93;A-U Alle economische activiteiten;1998 juli;350;139;211
94;A-U Alle economische activiteiten;1998 augustus;273;121;152
95;A-U Alle economische activiteiten;1998 september;436;175;261
96;A-U Alle economische activiteiten;1998 3e kwartaal;1059;435;624
97;A-U Alle economische activiteiten;1998 oktober;299;116;183
98;A-U Alle economische activiteiten;1998 november;280;88;192
99;A-U Alle economische activiteiten;1998 december;272;61;211
100;A-U Alle economische activiteiten;1998 4e kwartaal;851;265;586
101;A-U Alle economische activiteiten;1998;4015;1545;2470
102;A-U Alle economische activiteiten;1999 januari;229;76;153
103;A-U Alle economische activiteiten;1999 februari;282;79;203
104;A-U Alle economische activiteiten;1999 maart;345;100;245
105;A-U Alle economische activiteiten;1999 1e kwartaal;856;255;601
106;A-U Alle economische activiteiten;1999 april;289;83;206
107;A-U Alle economische activiteiten;1999 mei;231;56;175
108;A-U Alle economische activiteiten;1999 juni;318;88;230
109;A-U Alle economische activiteiten;1999 2e kwartaal;838;227;611
110;A-U Alle economische activiteiten;1999 juli;232;66;166
111;A-U Alle economische activiteiten;1999 augustus;237;80;157
112;A-U Alle economische activiteiten;1999 september;280;81;199
113;A-U Alle economische activiteiten;1999 3e kwartaal;749;227;522
114;A-U Alle economische activiteiten;1999 oktober;242;67;175
115;A-U Alle economische activiteiten;1999 november;276;72;204
116;A-U Alle economische activiteiten;1999 december;277;77;200
117;A-U Alle economische activiteiten;1999 4e kwartaal;795;216;579
118;A-U Alle economische activiteiten;1999;3238;925;2313
119;A-U Alle economische activiteiten;2000 januari;245;73;172
120;A-U Alle economische activiteiten;2000 februari;281;74;207
121;A-U Alle economische activiteiten;2000 maart;299;92;207
122;A-U Alle economische activiteiten;2000 1e kwartaal;825;239;586
123;A-U Alle economische activiteiten;2000 april;243;73;170
124;A-U Alle economische activiteiten;2000 mei;306;77;229
125;A-U Alle economische activiteiten;2000 juni;266;61;205
126;A-U Alle economische activiteiten;2000 2e kwartaal;815;211;604
127;A-U Alle economische activiteiten;2000 juli;286;73;213
128;A-U Alle economische activiteiten;2000 augustus;362;114;248
129;A-U Alle economische activiteiten;2000 september;279;79;200
130;A-U Alle economische activiteiten;2000 3e kwartaal;927;266;661
131;A-U Alle economische activiteiten;2000 oktober;354;86;268
132;A-U Alle economische activiteiten;2000 november;388;87;301
133;A-U Alle economische activiteiten;2000 december;270;69;201
134;A-U Alle economische activiteiten;2000 4e kwartaal;1012;242;770
135;A-U Alle economische activiteiten;2000;3579;958;2621
136;A-U Alle economische activiteiten;2001 januari;335;84;251
