ID;AardWerkzaamheden;Gebouwbestemming;Perioden;Bouwkosten_1;Bouwvergunningen_2;Bouwkosten_3;Bouwvergunningen_4
0;Totaal;Totaal;2012 januari;827;1554;82.9;98.3
1;Totaal;Totaal;2012 februari;915;1576;91.7;99.7
2;Totaal;Totaal;2012 maart;1183;1632;118.6;103.2
3;Totaal;Totaal;2012 april;940;1609;94.2;101.8
4;Totaal;Totaal;2012 mei;1146;1924;114.9;121.7
5;Totaal;Totaal;2012 juni;1225;1803;122.8;114.0
6;Totaal;Totaal;2012 juli;1271;1838;127.4;116.2
7;Totaal;Totaal;2012 augustus;868;1475;87.0;93.3
8;Totaal;Totaal;2012 september;827;1400;82.9;88.5
9;Totaal;Totaal;2012 oktober;970;1498;97.3;94.7
10;Totaal;Totaal;2012 november;909;1436;91.2;90.8
11;Totaal;Totaal;2012 december;887;1230;88.9;77.8
12;Totaal;Totaal;2013 januari;666;1388;66.7;87.8
13;Totaal;Totaal;2013 februari;852;1404;85.4;88.8
14;Totaal;Totaal;2013 maart;717;1383;71.9;87.5
15;Totaal;Totaal;2013 april;897;1437;89.9;90.9
16;Totaal;Totaal;2013 mei;947;1528;94.9;96.6
17;Totaal;Totaal;2013 juni;835;1376;83.7;87.0
18;Totaal;Totaal;2013 juli;792;1625;79.4;102.8
19;Totaal;Totaal;2013 augustus;699;1331;70.1;84.2
20;Totaal;Totaal;2013 september;833;1372;83.5;86.8
21;Totaal;Totaal;2013 oktober;898;1505;90.0;95.2
22;Totaal;Totaal;2013 november;789;1317;79.1;83.3
23;Totaal;Totaal;2013 december;823;1297;82.5;82.0
24;Totaal;Totaal;2014 januari;847;1374;85.0;86.9
25;Totaal;Totaal;2014 februari;860;1441;86.2;91.1
26;Totaal;Totaal;2014 maart;823;1544;82.6;97.6
27;Totaal;Totaal;2014 april;872;1600;87.4;101.2
28;Totaal;Totaal;2014 mei;771;1545;77.3;97.7
29;Totaal;Totaal;2014 juni;867;1641;86.9;103.8
30;Totaal;Totaal;2014 juli;1051;1887;105.4;119.4
31;Totaal;Totaal;2014 augustus;757;1306;75.9;82.6
32;Totaal;Totaal;2014 september;1165;1646;116.8;104.1
33;Totaal;Totaal;2014 oktober;1101;1608;110.4;101.7
34;Totaal;Totaal;2014 november;880;1397;88.2;88.4
35;Totaal;Totaal;2014 december;1178;1596;118.1;100.9
36;Totaal;Totaal;2015 januari;929;1658;93.1;104.9
37;Totaal;Totaal;2015 februari;1415;2135;141.9;135.0
38;Totaal;Totaal;2015 maart;1397;2087;140.1;132.0
39;Totaal;Totaal;2015 april;1380;1773;138.4;112.2
40;Totaal;Totaal;2015 mei;1047;1465;105.0;92.6
41;Totaal;Totaal;2015 juni;952;1721;95.5;108.8
42;Totaal;Totaal;2015 juli;1055;1784;105.8;112.8
43;Totaal;Totaal;2015 augustus;838;1355;84.0;85.7
44;Totaal;Totaal;2015 september;988;1739;99.0;110.0
45;Totaal;Totaal;2015 oktober;953;1536;95.5;97.1
46;Totaal;Totaal;2015 november;868;1490;87.0;94.2
47;Totaal;Totaal;2015 december;1054;1717;105.6;108.6
48;Totaal;Totaal;2016 januari;780;1492;78.2;94.3
49;Totaal;Totaal;2016 februari;943;1803;94.5;114.0
50;Totaal;Totaal;2016 maart;1082;1779;108.5;112.5
51;Totaal;Totaal;2016 april;1165;1819;116.8;115.0
52;Totaal;Totaal;2016 mei;1079;1820;108.2;115.1
53;Totaal;Totaal;2016 juni;1207;2001;121.0;126.5
54;Totaal;Totaal;2016 juli;1069;1975;107.2;124.9
55;Totaal;Totaal;2016 augustus;1023;1694;102.6;107.1
56;Totaal;Totaal;2016 september;1382;1992;138.6;126.0
57;Totaal;Totaal;2016 oktober;1121;1699;112.4;107.4
58;Totaal;Totaal;2016 november;1256;1951;126.0;123.4
59;Totaal;Totaal;2016 december;1367;1939;137.1;122.6
60;Totaal;Totaal;2017 januari;1000;1887;100.3;119.3
61;Totaal;Totaal;2017 februari;1368;2066;137.2;130.7
62;Totaal;Totaal;2017 maart;1560;2292;156.4;144.9
63;Totaal;Totaal;2017 april;1348;1958;135.2;123.8
64;Totaal;Totaal;2017 mei;1434;2352;143.8;148.7
65;Totaal;Totaal;2017 juni;1205;2270;120.8;143.5
66;Totaal;Totaal;2017 juli;1826;2474;183.0;156.5
67;Totaal;Totaal;2017 augustus;1162;1991;116.5;125.9
68;Totaal;Totaal;2017 september;1438;2232;144.2;141.1
69;Totaal;Totaal;2017 oktober;1703;2153;170.7;136.2
70;Totaal;Totaal;2017 november;1619;2149;162.3;135.9
71;Totaal;Totaal;2017 december;1353;1915;135.7;121.1
72;Totaal;Totaal;2018 januari;1160;1971;116.3;124.6
73;Totaal;Totaal;2018 februari;1459;2108;146.3;133.3
74;Totaal;Totaal;2018 maart;1509;2300;151.3;145.5
75;Totaal;Totaal;2018 april;1483;2161;148.7;136.6
76;Totaal;Totaal;2018 mei;1382;2199;138.5;139.0
77;Totaal;Totaal;2018 juni;1589;2319;159.3;146.7
78;Totaal;Totaal;2018 juli;1723;2425;172.7;153.4
79;Totaal;Totaal;2018 augustus;1416;2023;141.9;127.9
80;Totaal;Totaal;2018 september;1540;2103;154.3;133.0
81;Totaal;Totaal;2018 oktober;2159;2301;216.5;145.5
82;Totaal;Totaal;2018 november;1448;2028;145.2;128.2
83;Totaal;Totaal;2018 december;1432;1852;143.6;117.1
84;Totaal;Totaal;2019 januari;1238;1932;124.1;122.2
85;Totaal;Totaal;2019 februari;1278;1878;128.1;118.7
86;Totaal;Totaal;2019 maart;1420;1997;142.4;126.3
87;Totaal;Totaal;2019 april;1482;2008;148.6;127.0
