ID;Sources;Periods;CO2_1;NMVOC_2;CH4_3;SO2_4;N2O_5;CO_6;NOx_7;NH3_8;PM10_9;PM25_10
559;"Other mobile sources; total";2005;4500;10.27;0.47;5.2;0.04;71.9;55.1;0.01;4.18;3.97
560;"Other mobile sources; total";2006;4400;9.54;0.43;5.1;0.04;70.4;52.3;0.01;3.89;3.7
561;"Other mobile sources; total";2007;4300;8.9;0.41;4.7;0.04;68.6;50.2;0.01;3.67;3.49
562;"Other mobile sources; total";2008;4400;8.35;0.38;2.7;0.04;67.6;48.6;0.01;3.12;2.97
563;"Other mobile sources; total";2009;4300;7.76;0.36;1.5;0.04;66.2;46.2;0.01;2.7;2.57
564;"Other mobile sources; total";2010;4100;7.16;0.33;0.9;0.04;64.6;43.1;0.01;2.4;2.28
565;"Other mobile sources; total";2011;4200;6.97;0.32;0.2;0.04;64.9;42.6;0.01;2.29;2.18
566;"Other mobile sources; total";2012;3900;6.39;0.3;0.2;0.03;63.4;38.4;0.01;2.04;1.95
567;"Other mobile sources; total";2013;3900;6.19;0.29;0.2;0.03;63.3;37.9;0.01;1.98;1.89
568;"Other mobile sources; total";2014;4000;5.93;0.28;0.3;0.04;63.3;37.8;0.01;1.93;1.84
569;"Other mobile sources; total";2015;3900;5.48;0.26;0.2;0.03;62.4;35.7;0.02;1.76;1.67
570;"Other mobile sources; total";2016;4000;5.24;0.24;0.1;0.04;62.2;34.7;0.04;1.68;1.6
571;"Other mobile sources; total";2017;3800;4.8;0.22;0.1;0.03;60.5;31.7;0.05;1.5;1.43
572;"Other mobile sources; total";2018;4000;4.61;0.21;0.1;0.04;59.7;32.2;0.07;1.48;1.41
573;"Other mobile sources; total";2019 ;3900;4.31;0.2;0.2;0.04;57.8;31.4;0.09;1.37;1.31
574;"Other mobile sources; total";2020;4000;4.11;0.19;0.2;0.04;56.8;30.4;0.11;1.32;1.26
575;"Other mobile sources; total";2021;3900;3.83;0.18;0.2;0.04;54.8;29.3;0.12;1.21;1.15
576;Agriculture (mobile sources);1990;1100;3.97;0.18;1.2;0.01;10.2;13.2;0.0;1.66;1.57
577;Agriculture (mobile sources);1995;1100;3.61;0.16;1.2;0.01;9.5;14.0;0.0;1.48;1.41
578;Agriculture (mobile sources);2000;1100;3.31;0.15;1.2;0.01;9.1;14.8;0.0;1.33;1.27
579;Agriculture (mobile sources);2001;1100;3.16;0.14;1.2;0.01;8.8;14.5;0.0;1.28;1.22
580;Agriculture (mobile sources);2002;1100;2.97;0.14;1.1;0.01;8.4;13.7;0.0;1.2;1.14
581;Agriculture (mobile sources);2003;1100;2.76;0.13;1.2;0.01;8.2;13.6;0.0;1.18;1.12
582;Agriculture (mobile sources);2004;1000;2.47;0.11;1.1;0.01;7.8;12.8;0.0;1.08;1.03
583;Agriculture (mobile sources);2005;1100;2.34;0.11;1.2;0.01;7.7;13.0;0.0;1.08;1.03
584;Agriculture (mobile sources);2006;1100;2.14;0.1;1.1;0.01;7.4;12.5;0.0;1.02;0.97
585;Agriculture (mobile sources);2007;1100;1.98;0.09;1.1;0.01;7.2;12.2;0.0;0.97;0.92
586;Agriculture (mobile sources);2008;1100;1.82;0.08;0.6;0.01;6.9;11.8;0.0;0.81;0.77
587;Agriculture (mobile sources);2009;1000;1.65;0.07;0.3;0.01;6.6;11.1;0.0;0.69;0.66
588;Agriculture (mobile sources);2010;1100;1.61;0.07;0.1;0.01;6.6;11.3;0.0;0.67;0.64
589;Agriculture (mobile sources);2011;1100;1.54;0.07;0.0;0.01;6.5;11.4;0.0;0.64;0.61
590;Agriculture (mobile sources);2012;1100;1.44;0.07;0.0;0.01;6.3;10.8;0.0;0.6;0.57
591;Agriculture (mobile sources);2013;1200;1.4;0.06;0.0;0.01;6.2;10.9;0.0;0.58;0.55
592;Agriculture (mobile sources);2014;1300;1.4;0.06;0.0;0.01;6.3;11.5;0.0;0.58;0.55
593;Agriculture (mobile sources);2015;1300;1.32;0.06;0.0;0.01;6.2;11.2;0.01;0.54;0.51
594;Agriculture (mobile sources);2016;1200;1.21;0.06;0.0;0.01;5.8;10.1;0.01;0.47;0.45
595;Agriculture (mobile sources);2017;1200;1.13;0.05;0.0;0.01;5.5;9.5;0.02;0.43;0.41
596;Agriculture (mobile sources);2018;1400;1.14;0.05;0.0;0.01;5.6;10.3;0.03;0.45;0.43
597;Agriculture (mobile sources);2019 ;1300;1.05;0.05;0.0;0.01;5.2;9.4;0.03;0.39;0.38
598;Agriculture (mobile sources);2020;1400;1.02;0.05;0.0;0.01;5.1;9.5;0.04;0.38;0.36
599;Agriculture (mobile sources);2021;1400;0.97;0.05;0.0;0.01;4.9;9.3;0.05;0.35;0.33
600;Fishing;1990;400;0.41;0.02;1.4;0.01;0.4;6.1;0.0;0.34;0.32
601;Fishing;1995;400;0.42;0.02;1.6;0.01;0.5;6.8;0.0;0.37;0.36
602;Fishing;2000;400;0.38;0.02;1.4;0.01;0.4;6.7;0.0;0.35;0.33
603;Fishing;2001;400;0.37;0.02;1.3;0.01;0.4;6.5;0.0;0.33;0.31
604;Fishing;2002;300;0.31;0.01;1.1;0.01;0.3;5.4;0.0;0.27;0.26
605;Fishing;2003;300;0.27;0.01;1.0;0.01;0.3;4.9;0.0;0.24;0.23
606;Fishing;2004;300;0.25;0.01;0.9;0.01;0.3;4.7;0.0;0.22;0.21
607;Fishing;2005;300;0.24;0.01;0.9;0.01;0.3;4.6;0.0;0.22;0.21
608;Fishing;2006;300;0.22;0.01;0.9;0.01;0.3;4.4;0.0;0.2;0.19
609;Fishing;2007;200;0.19;0.01;0.7;0.01;0.2;3.8;0.0;0.18;0.17
610;Fishing;2008;200;0.17;0.01;0.5;0.01;0.2;3.5;0.0;0.16;0.15
611;Fishing;2009;200;0.15;0.01;0.5;0.0;0.2;3.3;0.0;0.16;0.15
612;Fishing;2010;200;0.15;0.01;0.4;0.0;0.2;3.2;0.0;0.14;0.14
613;Fishing;2011;200;0.13;0.01;0.2;0.0;0.1;2.6;0.0;0.11;0.1
614;Fishing;2012;100;0.1;0.0;0.2;0.0;0.1;2.0;0.0;0.08;0.08
615;Fishing;2013;200;0.11;0.0;0.2;0.0;0.1;2.4;0.0;0.1;0.09
616;Fishing;2014;200;0.11;0.0;0.3;0.0;0.1;2.4;0.0;0.1;0.1
617;Fishing;2015;200;0.1;0.0;0.1;0.0;0.1;2.5;0.0;0.09;0.09
618;Fishing;2016;200;0.1;0.0;0.1;0.0;0.1;2.6;0.0;0.09;0.09
619;Fishing;2017;100;0.09;0.0;0.1;0.0;0.1;2.1;0.0;0.08;0.07
620;Fishing;2018;200;0.1;0.0;0.1;0.0;0.1;2.5;0.0;0.09;0.09
621;Fishing;2019 ;200;0.17;0.01;0.2;0.01;0.2;4.0;0.0;0.12;0.12
622;Fishing;2020;200;0.12;0.01;0.1;0.01;0.2;3.0;0.0;0.11;0.1
623;Fishing;2021;200;0.14;0.01;0.1;0.01;0.2;3.4;0.0;0.12;0.11
624;Other sectors (mobile sources);1990;3000;11.58;0.53;3.1;0.02;83.0;39.7;0.01;4.01;3.81
625;Other sectors (mobile sources);1995;3100;10.52;0.48;3.0;0.02;75.1;42.1;0.01;3.66;3.48
626;Other sectors (mobile sources);2000;3300;9.73;0.44;3.2;0.03;69.9;44.8;0.01;3.51;3.33
627;Other sectors (mobile sources);2001;3300;9.38;0.42;3.2;0.03;68.6;44.0;0.01;3.45;3.29
628;Other sectors (mobile sources);2002;3100;8.67;0.39;3.1;0.02;66.3;41.0;0.01;3.2;3.05
629;Other sectors (mobile sources);2003;3100;8.16;0.37;3.0;0.02;64.7;38.9;0.01;3.03;2.88
630;Other sectors (mobile sources);2004;3100;7.84;0.36;3.0;0.02;64.0;37.8;0.01;2.92;2.78
631;Other sectors (mobile sources);2005;3100;7.68;0.35;3.1;0.02;63.9;37.5;0.01;2.88;2.74
632;Other sectors (mobile sources);2006;3100;7.17;0.33;3.0;0.02;62.7;35.5;0.01;2.67;2.54
633;Other sectors (mobile sources);2007;3100;6.72;0.31;2.9;0.02;61.2;34.3;0.01;2.52;2.4
634;Other sectors (mobile sources);2008;3100;6.37;0.29;1.6;0.02;60.5;33.3;0.01;2.14;2.04
635;Other sectors (mobile sources);2009;3000;5.96;0.27;0.7;0.02;59.5;31.8;0.01;1.86;1.77
636;Other sectors (mobile sources);2010;2800;5.4;0.25;0.3;0.02;57.9;28.5;0.01;1.58;1.51
637;Other sectors (mobile sources);2011;2900;5.3;0.25;0.0;0.02;58.3;28.7;0.01;1.54;1.47
638;Other sectors (mobile sources);2012;2600;4.85;0.23;0.0;0.02;57.0;25.6;0.01;1.36;1.3
639;Other sectors (mobile sources);2013;2600;4.68;0.22;0.0;0.02;56.9;24.6;0.01;1.3;1.24
640;Other sectors (mobile sources);2014;2600;4.43;0.21;0.0;0.02;56.8;23.9;0.01;1.25;1.19
641;Other sectors (mobile sources);2015;2500;4.06;0.19;0.0;0.02;56.1;22.0;0.01;1.13;1.07
642;Other sectors (mobile sources);2016;2600;3.93;0.18;0.0;0.02;56.3;22.0;0.02;1.11;1.06
643;Other sectors (mobile sources);2017;2400;3.57;0.17;0.0;0.02;54.9;20.1;0.03;1.0;0.95
644;Other sectors (mobile sources);2018;2400;3.36;0.16;0.0;0.02;54.0;19.3;0.04;0.94;0.9
645;Other sectors (mobile sources);2019 ;2300;3.09;0.14;0.0;0.02;52.4;18.0;0.05;0.86;0.82
646;Other sectors (mobile sources);2020;2400;2.97;0.14;0.0;0.02;51.5;17.9;0.06;0.84;0.8
647;Other sectors (mobile sources);2021;2300;2.73;0.13;0.0;0.02;49.7;16.6;0.07;0.74;0.71
