ID;ClassificationsAndHouseholds;AllPeriods;SolidWasteProduction_1;HeavyMetalsToWater_2;NutrientsToWater_3;ClimateChangeGreenhouseGases_4;Acidification_5;OzoneLayerDepletion_6;FineDust_7;RevenuesEnvironmentalFeesAndTaxes_8;EnvironmentalExpenditure_9;EnvironmentalInvestment_10;OutputBasicPrices_11;ValueAddedGrossBasicPrices_12;FixedCapitalFormationGross_13;LabourInputOfEmployedPersons_14
0;1;1995;;91;17041;40702.0;3.5;92.3;12.4;6867.0;;;;;;
1;1;1996;;93;17454;44417.0;3.4;97.3;12.3;7627.0;;;;;;
2;1;1997;;90;17729;40939.0;3.1;92.2;12.1;7683.0;;;;;;
3;1;1998;;90;18004;39869.0;2.9;78.8;11.8;8292.0;;;;;;
4;1;1999;;94;18279;40428.0;2.9;79.4;11.9;9046.0;;;;;;
5;1;2000;;90;18417;40523.0;2.8;73.6;11.4;9822.0;;;;;;
6;1;2001;;91;18729;41053.0;2.6;70.7;11.9;10260.0;;;;;;
7;1;2002;9289.0;93;19021;40096.0;2.5;67.7;11.9;10599.0;;;;;;
8;1;2003;9223.0;74;19313;40827.0;2.4;64.7;11.6;11245.0;;;;;;
9;1;2004;9493.0;79;19585;40801.0;2.3;61.7;11.4;12411.0;;;;;;
10;1;2005;9511.0;76;19882;39836.0;2.2;58.8;11.0;12947.0;;;;;;
11;1;2006;9417.0;76;19923;39052.0;2.1;55.8;10.8;13683.0;;;;;;
12;1;2007;9568.0;76;19987;38275.0;2.1;52.8;10.7;13605.0;;;;;;
13;1;2008;9420.0;76;20054;39680.0;1.9;49.8;9.6;14333.0;;;;;;
14;2;1995;;103;25591;206362.0;28.0;548.8;49.3;4462.0;;;572833.0;275686.0;64210.0;5774.0
15;2;1996;;78;19092;211564.0;28.2;489.8;43.8;4928.0;;;605959.0;287079.0;69948.0;5907.6
16;2;1997;;76;20071;210171.0;27.7;324.0;40.9;5302.0;;;649628.0;306539.0;75888.0;6089.2
17;2;1998;;74;32028;213614.0;26.9;209.3;40.0;5615.0;;;683977.0;324027.0;81292.0;6266.2
18;2;1999;;71;24388;203333.0;27.0;151.7;40.3;6322.0;;;728317.0;344335.0;89418.0;6414.4
19;2;2000;;65;22678;202725.0;24.7;142.5;40.9;6667.0;;;804906.0;373415.0;92742.0;6533.7
20;2;2001;;65;21480;203302.0;23.9;173.8;38.3;6868.0;;;851895.0;397556.0;96197.0;6636.4
21;2;2002;54232.0;62;20177;203437.0;23.0;151.1;37.2;6587.0;;;869151.0;414374.0;94507.0;6619.5
22;2;2003;53525.0;59;14251;203655.0;23.0;119.7;35.7;6693.0;;;882248.0;425256.0;94759.0;6547.2
23;2;2004;53251.0;54;17359;206140.0;23.1;117.2;35.1;6829.0;;;912631.0;436874.0;94336.0;6480.1
24;2;2005;51702.0;48;15429;203018.0;23.1;114.9;35.2;7630.0;;;960793.0;456182.0;99170.0;6478.0
25;2;2006;52612.0;46;14990;199216.0;21.7;114.4;33.5;8512.0;;;1020578.0;479012.0;108568.0;6582.8
26;2;2007;53664.0;51;19566;200715.0;22.5;108.6;34.2;8560.0;;;1084270.0;507650.0;116712.0;6728.3
27;2;2008;55054.0;45;16050;199025.0;19.7;104.7;32.4;9079.0;;;1150453.0;529319.0;125125.0;6810.6
28;3;1995;;11;11206;34945.0;12.0;0.0;7.7;112.0;;;20714.0;9587.0;2380.0;236.6
29;3;1996;;11;5348;35410.0;12.2;0.0;7.8;162.0;;;21106.0;9442.0;2418.0;242.2
30;3;1997;;12;6828;33516.0;11.9;0.0;7.7;222.0;;;22370.0;10596.0;3057.0;243.0
31;3;1998;;12;18544;32986.0;10.9;0.0;7.9;226.0;;;21382.0;9624.0;2696.0;239.4
32;3;1999;;12;11658;32292.0;10.5;0.0;7.9;289.0;;;21246.0;9182.0;3367.0;240.3
33;3;2000;;12;11971;31019.0;9.6;0.0;7.7;264.0;;;22560.0;9870.0;3330.0;238.7
34;3;2001;;12;11821;30324.0;9.1;0.0;7.5;248.0;;;23456.0;10177.0;3523.0;231.7
35;3;2002;4061.0;11;10940;28902.0;8.8;0.0;7.8;243.0;;;23200.0;9633.0;3543.0;229.2
36;3;2003;3858.0;11;5622;28433.0;8.5;0.0;6.8;239.0;;;23242.0;9978.0;3637.0;224.6
37;3;2004;3868.0;10;8966;28479.0;8.4;0.0;7.4;255.0;;;23248.0;9399.0;3307.0;216.2
38;3;2005;3752.0;9;7213;28485.0;8.4;0.0;7.7;358.0;;;23723.0;9535.0;3346.0;214.7
39;3;2006;3999.0;9;6930;27931.0;8.2;0.0;7.4;393.0;;;25831.0;10550.0;3515.0;211.3
40;3;2007;4513.0;14;11835;28564.0;8.3;0.0;7.6;363.0;;;27078.0;10548.0;4293.0;208.5
41;3;2008;4764.0;11;8424;30266.0;7.6;0.0;7.8;438.0;;;27687.0;9566.0;4461.0;204.9
42;4;1995;;0;85;3854.0;0.2;0.0;0.1;53.0;;;9715.0;7404.0;1203.0;9.6
43;4;1996;;0;60;3813.0;0.6;0.0;0.1;63.0;;;10828.0;8248.0;1175.0;9.9
44;4;1997;;0;44;3428.0;0.9;0.0;0.1;60.0;;;11195.0;8460.0;2225.0;9.5
45;4;1998;;0;27;3461.0;1.4;0.0;0.1;71.0;;;9963.0;7123.0;1553.0;9.8
46;4;1999;;0;11;3192.0;1.0;0.0;0.1;71.0;;;9078.0;6324.0;1128.0;9.4
47;4;2000;;0;3;3110.0;0.2;0.0;0.1;65.0;;;12184.0;9101.0;1036.0;9.2
48;4;2001;;0;2;3112.0;0.2;0.3;0.1;71.0;114.0;58.0;14646.0;11139.0;1464.0;8.9
49;4;2002;118.0;0;2;3296.0;0.2;0.0;0.1;63.0;;;13491.0;10018.0;1580.0;9.3
50;4;2003;240.0;0;2;3277.0;0.2;0.0;0.1;64.0;121.0;35.0;13851.0;10445.0;1712.0;9.1
51;4;2004;293.0;0;2;3315.0;0.1;0.0;0.1;31.0;119.0;44.0;14835.0;11324.0;1203.0;8.9
52;4;2005;252.0;0;3;3353.0;0.1;0.0;0.1;32.0;;;17312.0;12587.0;1378.0;7.5
53;4;2006;207.0;0;2;3180.0;0.1;0.0;0.1;36.0;120.0;31.0;21129.0;15929.0;2033.0;7.2
54;4;2007;153.0;0;0;3082.0;0.1;0.0;0.1;29.0;;;20744.0;15655.0;1585.0;7.1
55;4;2008;111.0;0;0;3129.0;0.1;0.0;0.1;40.0;;;27356.0;21749.0;1652.0;7.1
56;5;1995;;31;6704;63525.0;5.0;426.0;22.7;638.0;;;162276.0;48087.0;7631.0;948.4
57;5;1996;;27;6294;64889.0;4.6;383.9;17.9;709.0;;;168598.0;48234.0;7998.0;937.1
58;5;1997;;25;6144;65225.0;4.3;234.3;15.2;721.0;;;179707.0;49749.0;9234.0;948.4
59;5;1998;;22;6144;65875.0;3.7;135.1;13.8;740.0;;;184088.0;52320.0;9311.0;956.4
60;5;1999;;19;5869;59826.0;3.4;93.2;13.3;899.0;;;190006.0;53856.0;9059.0;955.2
61;5;2000;;15;4267;58302.0;2.8;94.9;13.8;971.0;;;215136.0;58078.0;9103.0;952.2
