ID;Leeftijd;Jaar;Mannen_1;Vrouwen_2
0;0;1996;0.00541;0.00452
1;0;1997;0.00486;0.00405
2;0;1998;0.00539;0.00394
3;0;1999;0.00494;0.00449
4;0;2000;0.00494;0.00418
5;0;1996-2000;0.00511;0.00423
6;1;1996;0.00118;0.00079
7;1;1997;0.00089;0.00064
8;1;1998;0.00084;0.00055
9;1;1999;0.0007;0.00072
10;1;2000;0.00078;0.00076
11;1;1996-2000;0.00087;0.00069
12;2;1996;0.00044;0.00039
13;2;1997;0.00042;0.00031
14;2;1998;0.00042;0.00034
15;2;1999;0.0004;0.00024
16;2;2000;0.00041;0.0003
17;2;1996-2000;0.00042;0.00032
18;3;1996;0.00029;0.00022
19;3;1997;0.0003;0.00029
20;3;1998;0.0004;0.00019
21;3;1999;0.00032;0.00026
22;3;2000;0.0003;0.00023
23;3;1996-2000;0.00032;0.00024
24;4;1996;0.00019;0.00022
25;4;1997;0.00021;0.0002
26;4;1998;0.00018;0.00015
27;4;1999;0.00022;0.00013
28;4;2000;0.00019;0.00013
29;4;1996-2000;0.0002;0.00016
30;5;1996;0.00025;0.00016
31;5;1997;0.00016;0.00013
32;5;1998;0.00016;0.00011
33;5;1999;0.00023;9e-05
34;5;2000;0.00014;0.0002
35;5;1996-2000;0.00019;0.00014
36;6;1996;0.00016;0.00014
37;6;1997;0.00025;0.00012
38;6;1998;0.00016;0.00011
39;6;1999;0.00021;7e-05
40;6;2000;0.00018;6e-05
41;6;1996-2000;0.00019;0.0001
42;7;1996;0.00014;0.00012
43;7;1997;0.00018;0.00011
44;7;1998;0.00013;5e-05
45;7;1999;0.00016;0.00013
46;7;2000;0.00014;9e-05
47;7;1996-2000;0.00015;0.0001
48;8;1996;0.00012;8e-05
49;8;1997;0.00014;8e-05
50;8;1998;0.00016;0.0001
51;8;1999;0.00016;0.00011
52;8;2000;0.00015;0.00013
53;8;1996-2000;0.00015;0.0001
54;9;1996;0.00018;0.00013
55;9;1997;0.00014;0.0001
56;9;1998;0.00017;9e-05
57;9;1999;0.00011;0.00014
58;9;2000;0.00015;0.00013
59;9;1996-2000;0.00015;0.00012
60;10;1996;0.00014;0.0001
61;10;1997;0.00017;6e-05
62;10;1998;0.00012;0.0001
63;10;1999;0.00012;7e-05
64;10;2000;0.00012;0.00011
65;10;1996-2000;0.00013;9e-05
66;11;1996;0.00012;0.00011
67;11;1997;0.00011;0.00012
68;11;1998;8e-05;5e-05
69;11;1999;0.00017;7e-05
70;11;2000;0.00012;0.0001
71;11;1996-2000;0.00012;9e-05
72;12;1996;0.00012;0.00011
73;12;1997;0.00015;0.00012
74;12;1998;0.00017;0.00012
75;12;1999;8e-05;0.00011
76;12;2000;0.00015;3e-05
77;12;1996-2000;0.00013;0.0001
78;13;1996;0.0002;0.00021
79;13;1997;0.00019;0.00015
80;13;1998;0.00015;0.00013
81;13;1999;0.00014;0.00019
82;13;2000;0.00024;0.00018
83;13;1996-2000;0.00019;0.00017
84;14;1996;0.00023;0.00016
85;14;1997;0.00027;0.00015
86;14;1998;0.0002;0.0001
87;14;1999;0.00026;0.00022
88;14;2000;0.00017;0.00015
89;14;1996-2000;0.00023;0.00016
90;15;1996;0.0003;0.00017
91;15;1997;0.00021;0.00017
92;15;1998;0.00025;0.00018
93;15;1999;0.00026;0.00017
94;15;2000;0.00011;0.00014
95;15;1996-2000;0.00023;0.00017
96;16;1996;0.00047;0.00016
97;16;1997;0.00032;0.00018
98;16;1998;0.00037;0.00023
99;16;1999;0.00037;0.00021
100;16;2000;0.00039;0.00028
101;16;1996-2000;0.00038;0.00021
102;17;1996;0.00052;0.00026
103;17;1997;0.00033;0.00026
104;17;1998;0.00046;0.00018
105;17;1999;0.00052;0.00032
106;17;2000;0.00044;0.00027
107;17;1996-2000;0.00046;0.00026
108;18;1996;0.00045;0.00029
109;18;1997;0.00062;0.0002
110;18;1998;0.00053;0.00023
111;18;1999;0.00048;0.00022
112;18;2000;0.00058;0.00022
113;18;1996-2000;0.00053;0.00023
114;19;1996;0.00064;0.00031
115;19;1997;0.00048;0.00029
116;19;1998;0.0007;0.00027
117;19;1999;0.00059;0.00017
118;19;2000;0.00081;0.00028
119;19;1996-2000;0.00064;0.00026
120;20;1996;0.00061;0.0002
121;20;1997;0.00069;0.0003
122;20;1998;0.00068;0.00024
123;20;1999;0.00064;0.00026
124;20;2000;0.00063;0.00028
125;20;1996-2000;0.00065;0.00026
126;21;1996;0.00067;0.00035
127;21;1997;0.00068;0.00032
128;21;1998;0.00078;0.00024
129;21;1999;0.00053;0.00028
130;21;2000;0.00077;0.0003
131;21;1996-2000;0.00069;0.0003
132;22;1996;0.00065;0.00028
133;22;1997;0.00055;0.00033
134;22;1998;0.00066;0.00022
135;22;1999;0.00074;0.00026
136;22;2000;0.00074;0.00028
137;22;1996-2000;0.00066;0.00027
138;23;1996;0.00078;0.0003
139;23;1997;0.00065;0.00022
140;23;1998;0.00065;0.00019
141;23;1999;0.00059;0.00027
142;23;2000;0.00066;0.00027
143;23;1996-2000;0.00067;0.00025
144;24;1996;0.00068;0.00026
145;24;1997;0.00066;0.00027
146;24;1998;0.00071;0.00026
147;24;1999;0.00082;0.00033
148;24;2000;0.00073;0.00031
149;24;1996-2000;0.00072;0.00028
150;25;1996;0.00066;0.00037
151;25;1997;0.00086;0.00039
152;25;1998;0.00058;0.0003
153;25;1999;0.0007;0.00022
154;25;2000;0.00056;0.00031
155;25;1996-2000;0.00068;0.00032
156;26;1996;0.00093;0.00035
157;26;1997;0.00068;0.00038
158;26;1998;0.0007;0.00026
159;26;1999;0.00061;0.00038
160;26;2000;0.00068;0.00032
161;26;1996-2000;0.00073;0.00034
162;27;1996;0.00063;0.00028
163;27;1997;0.00063;0.00041
164;27;1998;0.0007;0.00033
165;27;1999;0.00076;0.00033
166;27;2000;0.00058;0.00036
167;27;1996-2000;0.00066;0.00034
168;28;1996;0.00077;0.00044
169;28;1997;0.00071;0.00038
170;28;1998;0.00078;0.00037
171;28;1999;0.00076;0.00035
172;28;2000;0.00062;0.00034
173;28;1996-2000;0.00073;0.00038
174;29;1996;0.00073;0.00037
175;29;1997;0.00058;0.00034
176;29;1998;0.00064;0.00032
177;29;1999;0.00062;0.00036
178;29;2000;0.00056;0.00031
179;29;1996-2000;0.00063;0.00034
180;30;1996;0.00081;0.0004
181;30;1997;0.00075;0.00048
182;30;1998;0.00063;0.0005
183;30;1999;0.00068;0.0004
184;30;2000;0.00067;0.00024
185;30;1996-2000;0.00071;0.0004
186;31;1996;0.0008;0.00039
187;31;1997;0.00076;0.00038
188;31;1998;0.00076;0.00037
189;31;1999;0.0007;0.00047
190;31;2000;0.00071;0.00048
191;31;1996-2000;0.00075;0.00042
192;32;1996;0.00077;0.00043
193;32;1997;0.00081;0.00049
194;32;1998;0.00074;0.00034
195;32;1999;0.00082;0.00036
196;32;2000;0.00073;0.00045
197;32;1996-2000;0.00077;0.00042
198;33;1996;0.00084;0.00052
199;33;1997;0.00093;0.00046
200;33;1998;0.00082;0.0005
201;33;1999;0.00074;0.00046
202;33;2000;0.00077;0.00047
203;33;1996-2000;0.00082;0.00048
204;34;1996;0.00074;0.00064
205;34;1997;0.00081;0.00058
206;34;1998;0.00095;0.00052
207;34;1999;0.00076;0.00061
208;34;2000;0.00078;0.00053
209;34;1996-2000;0.00081;0.00057
210;35;1996;0.0012;0.00059
211;35;1997;0.00085;0.00058
212;35;1998;0.00069;0.0006
213;35;1999;0.0009;0.00067
214;35;2000;0.00078;0.00051
215;35;1996-2000;0.00088;0.00059
216;36;1996;0.00091;0.00073
217;36;1997;0.00104;0.00071
218;36;1998;0.00071;0.00052
219;36;1999;0.00096;0.00064
220;36;2000;0.00097;0.00072
221;36;1996-2000;0.00092;0.00066
222;37;1996;0.0012;0.00078
223;37;1997;0.00107;0.00083
224;37;1998;0.00104;0.00078
225;37;1999;0.00097;0.00066
226;37;2000;0.00096;0.00081
227;37;1996-2000;0.00105;0.00077
228;38;1996;0.00123;0.00085
229;38;1997;0.0013;0.00068
230;38;1998;0.00106;0.00077
231;38;1999;0.00124;0.00085
232;38;2000;0.00091;0.00091
233;38;1996-2000;0.00114;0.00081
234;39;1996;0.00122;0.00105
