ID;Vissoort;Perioden;PrijsAangevoerdeVis_1
0;4;1994;2514.0
1;4;1995;2732.0
2;4;1996;2528.0
3;4;1997;1915.0
4;4;1998;2700.0
5;4;1999;3471.0
6;4;2000;3372.0
7;4;2001;3785.0
8;4;2002;3510.0
9;4;2003;2670.0
10;4;2004;2530.0
11;4;2005 januari;3010.0
12;4;2005 februari;2910.0
13;4;2005 maart;3840.0
14;4;2005 april;3580.0
15;4;2005 mei;3140.0
16;4;2005 juni;3550.0
17;4;2005 juli;3250.0
18;4;2005 augustus;2820.0
19;4;2005 september;2260.0
20;4;2005 oktober;2060.0
21;4;2005 november;2120.0
22;4;2005 december;2210.0
23;4;2005;2630.0
24;4;2006 januari;2190.0
25;4;2006 februari;2180.0
26;4;2006 maart;2350.0
27;4;2006 april;2440.0
28;4;2006 mei;2370.0
29;4;2006 juni;2440.0
30;4;2006 juli;2610.0
31;4;2006 augustus;3040.0
32;4;2006 september;3190.0
33;4;2006 oktober;3120.0
34;4;2006 november;3170.0
35;4;2006 december;3600.0
36;4;2006;2870.0
37;4;2007 januari;3420.0
38;4;2007 februari;3650.0
39;4;2007 maart;4180.0
40;4;2007 april;2960.0
41;4;2007 mei;2710.0
42;4;2007 juni;2950.0
43;4;2007 juli;3030.0
44;4;2007 augustus;3770.0
45;4;2007 september;4740.0
46;4;2007 oktober;4450.0
47;4;2007 november;5550.0
48;4;2007 december;5580.0
49;4;2007;3830.0
50;4;2008 januari;5890.0
51;4;2008 februari;7480.0
52;4;2008 maart;10450.0
53;4;2008 april;6360.0
54;4;2008 mei;6710.0
55;4;2008 juni;6200.0
56;4;2008 juli;4490.0
57;4;2008 augustus;3480.0
58;4;2008 september;2520.0
59;4;2008 oktober;1920.0
60;4;2008 november;2010.0
61;4;2008 december;1950.0
62;4;2008;3650.0
63;4;2009 januari;2240.0
64;4;2009 februari;2370.0
65;4;2009 maart;2840.0
66;4;2009 april;2700.0
67;4;2009 mei;2980.0
68;4;2009 juni;3290.0
69;4;2009 juli;3300.0
70;4;2009 augustus;3000.0
71;4;2009 september;2330.0
72;4;2009 oktober;2190.0
73;4;2009 november;1970.0
74;4;2009 december;2170.0
75;4;2009;2520.0
76;4;2010 januari;2830.0
77;4;2010 februari;3190.0
78;4;2010 maart;3550.0
79;4;2010 april;3240.0
80;4;2010 mei;3450.0
81;4;2010 juni;3570.0
82;4;2010 juli;3230.0
83;4;2010 augustus;3260.0
84;4;2010 september;2700.0
85;4;2010 oktober;2430.0
86;4;2010 november;1920.0
87;4;2010 december;1850.0
88;4;2010;2710.0
89;4;2011 januari;2120.0
90;4;2011 februari;2190.0
91;4;2011 maart;1900.0
92;4;2011 april;1550.0
93;4;2011 mei;2570.0
94;4;2011 juni;2760.0
95;4;2011 juli;2620.0
96;4;2011 augustus;2660.0
97;4;2011 september;1820.0
98;4;2011 oktober;1570.0
99;4;2011 november;1610.0
100;4;2011 december;2880.0
101;4;2011;2030.0
102;4;2012 januari;3021.0
103;4;2012 februari;3730.0
104;4;2012 maart;3699.0
105;4;2012 april;4254.0
106;4;2012 mei;4040.0
107;4;2012 juni;5344.0
108;4;2012 juli;6164.0
109;4;2012 augustus;5511.0
110;4;2012 september;3932.0
111;4;2012 oktober;3555.0
112;4;2012 november;3508.0
113;4;2012 december;3269.0
114;4;2012;4191.0
115;4;2013 januari;3603.0
116;4;2013 februari;4539.0
117;4;2013 maart;7260.0
118;4;2013 april;6080.0
119;4;2013 mei;5736.0
120;4;2013 juni;7204.0
121;4;2013 juli;7715.0
122;4;2013 augustus;5387.0
123;4;2013 september;3296.0
124;4;2013 oktober;2328.0
125;4;2013 november;2916.0
126;4;2013 december;2431.0
127;4;2013;4195.0
128;4;2014 januari;2610.0
129;4;2014 februari;4453.0
130;4;2014 maart;4943.0
131;4;2014 april;4530.0
132;4;2014 mei;5461.0
133;4;2014 juni;6196.0
134;4;2014 juli;4987.0
135;4;2014 augustus;3668.0
136;4;2014 september;3216.0
137;4;2014 oktober;2815.0
138;4;2014 november;2771.0
139;4;2014 december;2823.0
140;4;2014;3471.0
141;4;2015 januari;2815.0
142;4;2015 februari;2853.0
143;4;2015 maart;2986.0
144;5;1994;5559.0
145;5;1995;5840.0
146;5;1996;7138.0
147;5;1997;8182.0
148;5;1998;7565.0
149;5;1999;8272.0
150;5;2000;6720.0
151;5;2001;6852.0
152;5;2002;7980.0
153;5;2003;7200.0
154;5;2004;6950.0
155;5;2005 januari;7760.0
156;5;2005 februari;8470.0
157;5;2005 maart;7220.0
158;5;2005 april;8150.0
159;5;2005 mei;10770.0
160;5;2005 juni;10270.0
161;5;2005 juli;10670.0
162;5;2005 augustus;7940.0
163;5;2005 september;7080.0
164;5;2005 oktober;7120.0
165;5;2005 november;7120.0
166;5;2005 december;8600.0
167;5;2005;8160.0
168;5;2006 januari;7410.0
169;5;2006 februari;9250.0
170;5;2006 maart;10150.0
