ID;SoortGebouw;Regio;AantalGebouwen_1
0;Totaal aantal gebouwen;Nederland;2729288
1;Totaal aantal gebouwen;Groningen (provincie);149842
2;Totaal aantal gebouwen;Friesland;161250
3;Totaal aantal gebouwen;Drenthe;89753
4;Totaal aantal gebouwen;Overijssel;177719
5;Totaal aantal gebouwen;Gelderland;287888
6;Totaal aantal gebouwen;Utrecht (provincie);136821
7;Totaal aantal gebouwen;Noord-Holland;507862
8;Totaal aantal gebouwen;Zuid-Holland;637398
9;Totaal aantal gebouwen;Zeeland;98981
10;Totaal aantal gebouwen;Noord-Brabant;296349
11;Totaal aantal gebouwen;Limburg;185424
12;Totaal aantal gebouwen;Gemeenten met meer dan 100000 inwoners;681230
13;Totaal aantal gebouwen;Gemeenten met 50001 - 100000 inwoners;228787
14;Totaal aantal gebouwen;Gemeenten met 20001 - 50000 inwoners;272044
15;Totaal aantal gebouwen;Gemeenten met 10001 - 20000 inwoners;400567
16;Totaal aantal gebouwen;Gemeenten met 5001 - 10000 inwoners;450849
17;Totaal aantal gebouwen;Gemeenten met 2001 - 5000 inwoners;483870
18;Totaal aantal gebouwen;Gemeenten met 1001 - 2000 inwoners;153753
19;Totaal aantal gebouwen;Gemeenten met 501 - 1000 inwoners;52316
20;Totaal aantal gebouwen;Gemeenten met 500 of minder inwoners;5871
21;Totaal aantal gebouwen;"Adorp; totaal";780
22;Totaal aantal gebouwen;"Adorp; bewoonde oorden; Adorp";198
23;Totaal aantal gebouwen;"Adorp; bewoonde oorden; Sauwerd";270
24;Totaal aantal gebouwen;"Adorp; bewoonde oorden; Wetsinge";63
25;Totaal aantal gebouwen;"Adorp; verspreide huizen; Arwerd";16
26;Totaal aantal gebouwen;"Adorp; verspreide huizen; Hekkum";15
27;Totaal aantal gebouwen;"Adorp; verspreide huizen; Wierum";18
28;Totaal aantal gebouwen;"Adorp; verspreide huizen; Paddepoel";23
29;Totaal aantal gebouwen;"Adorp; verspreide huizen; Harsens";14
30;Totaal aantal gebouwen;"Adorp; overige verspreide huizen";163
31;Totaal aantal gebouwen;"Aduard; totaal";876
32;Totaal aantal gebouwen;"Aduard; bewoonde oorden; Aduard";288
33;Totaal aantal gebouwen;"Aduard; bewoonde oorden; den Ham";80
34;Totaal aantal gebouwen;"Aduard; bewoonde oorden; Franssum";6
35;Totaal aantal gebouwen;"Aduard; bewoonde oorden; den Horn";84
36;Totaal aantal gebouwen;"Aduard; bewoonde oorden; Poffert";40
37;Totaal aantal gebouwen;"Aduard; vh; Aan den Frieschenstraatweg";28
38;Totaal aantal gebouwen;"Aduard; vh; In 't veld ""Lagemeeden""";45
39;Totaal aantal gebouwen;"Aduard; vh; In 't veld ""Hoogemeeden""";38
40;Totaal aantal gebouwen;"Aduard; overige verspreide huizen";267
41;Totaal aantal gebouwen;"Appingedam; totaal";2492
42;Totaal aantal gebouwen;"Appingedam; bo; Oude Mannenh.";0
43;Totaal aantal gebouwen;"Appingedam; bo; Cornelis Albert Gasth.";0
44;Totaal aantal gebouwen;"Appingedam; bo; Diac. Gasth. N.H. Kerk";0
45;Totaal aantal gebouwen;"Appingedam; bo; Marech.kaz.";0
46;Totaal aantal gebouwen;"Appingedam; bew. oorden; Appingedam, ov.";1867
47;Totaal aantal gebouwen;"Appingedam; bewoonde oorden; Jukwerd";32
48;Totaal aantal gebouwen;"Appingedam; bewoonde oorden; Marsum";28
49;Totaal aantal gebouwen;"Appingedam; bewoonde oorden; Solwerd";109
50;Totaal aantal gebouwen;"Appingedam; bewoonde oorden; Opwierde";238
51;Totaal aantal gebouwen;"Appingedam; bewoonde oorden; Tjamsweer";83
