ID;SectorBranchesSIC93;Periods;JobsPersonsEmployed_1;LabourVolumePersonsEmployed_2;EmployeesOnTheCompanyPayroll_3;LabourVolumeEmployeesOnThePayroll_4;TotalBusinessReturns_5;BusinessTurnoverNet_6;OtherBusinessReturns_7;TotalBusinessCosts_8;TotalPurchaseValueOfTurnover_9;TotalPurchasedRawAuxiliaryAndMat_10;InitialStockOfRawAndAuxiliaryMat_11;PurchasedRawAndAuxiliaryMaterials_12;ClosingStockRawAndAuxiliaryMat_13;TotalPurchasedGoodsForResale_14;InitialStockGoodsForResale_15;PurchasedGoodsForResale_16;ClosingStockGoodsForResale_17;TotalOtherPurchaseValue_18;PaymentsToSubcontractors_19;PurchaseValueNotElsewhereClassified_20;TotalPersonnelCosts_21;GrossWagesAndSalaries_22;EmployerPaidSocialInsurancePremiums_23;PensionAndEarlyRetirementPremiums_24;OtherSocialInsuranceCosts_25;OtherPersonnelCosts_26;TotalOtherBusinessCosts_27;EnergyCosts_28;HousingCosts_29;EquipmentAndInventoryCosts_30;TransportCosts_31;SalesCosts_32;CommunicationCosts_33;ServicesProvidedByThirdParties_34;BusinessCostsNotElsewhereClassified_35;DepreciationFixedAssets_36;ProfitLoss_37;NetFinancialIncome_38;NetProvisions_39;NetExtraordinaryIncome_40;ProfitLossBeforeTax_41
0;C Mining and quarrying;2006;15.0;12.4;7.6;7.3;31662.0;31299.0;363.0;26436.0;20575.0;833.0;75.0;824.0;66.0;18906.0;10.0;18911.0;15.0;836.0;727.0;108.0;831.0;452.0;41.0;54.0;6.0;277.0;4256.0;88.0;91.0;477.0;150.0;151.0;12.0;165.0;3121.0;775.0;5227.0;90.0;-19.0;0.0;5298.0
1;C Mining and quarrying;2007;13.9;12.3;11.0;9.8;31247.0;30749.0;498.0;25857.0;20038.0;875.0;53.0;875.0;53.0;18242.0;17.0;18243.0;18.0;920.0;745.0;175.0;892.0;525.0;49.0;57.0;9.0;253.0;4073.0;79.0;94.0;556.0;131.0;86.0;11.0;247.0;2870.0;853.0;5391.0;26.0;1.0;49.0;5467.0
2;C Mining and quarrying;2008;12.3;10.8;7.6;7.2;41807.0;41263.0;544.0;34517.0;26499.0;896.0;64.0;894.0;62.0;24800.0;21.0;24799.0;20.0;802.0;731.0;72.0;814.0;472.0;45.0;40.0;7.0;250.0;6166.0;112.0;93.0;354.0;314.0;56.0;11.0;298.0;4929.0;1038.0;7290.0;-1.0;-1.0;999.0;8288.0
3;CA Mining and quarrying of energy ..;2006;12.0;9.6;5.1;4.9;30467.0;30120.0;346.0;25324.0;19942.0;353.0;10.0;351.0;8.0;18813.0;5.0;18816.0;8.0;775.0;698.0;77.0;685.0;353.0;30.0;43.0;6.0;253.0;3995.0;30.0;77.0;413.0;116.0;139.0;9.0;149.0;3061.0;702.0;5143.0;96.0;-6.0;2.0;5235.0
4;CA Mining and quarrying of energy ..;2007;11.3;9.9;8.8;7.8;30195.0;29715.0;480.0;24898.0;19487.0;408.0;4.0;407.0;3.0;18182.0;9.0;18184.0;11.0;897.0;724.0;174.0;769.0;438.0;37.0;50.0;8.0;236.0;3840.0;22.0;79.0;498.0;106.0;75.0;8.0;224.0;2826.0;801.0;5297.0;26.0;0.0;34.0;5357.0
5;CA Mining and quarrying of energy ..;2008;10.1;8.8;5.6;5.4;40599.0;40073.0;526.0;33419.0;25830.0;398.0;14.0;392.0;8.0;24653.0;12.0;24652.0;12.0;780.0;714.0;66.0;693.0;387.0;33.0;32.0;6.0;234.0;5906.0;42.0;75.0;292.0;288.0;51.0;9.0;272.0;4878.0;990.0;7180.0;0.0;4.0;989.0;8172.0
6;10 Extraction and agglomeration of peat;2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;10 Extraction and agglomeration of peat;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;10 Extraction and agglomeration of peat;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;11 Extraction of crude petroleum and gas;2006;12.0;9.6;5.0;4.8;30465.0;30118.0;346.0;25322.0;19942.0;353.0;10.0;351.0;8.0;18813.0;5.0;18816.0;8.0;775.0;698.0;77.0;683.0;352.0;29.0;43.0;6.0;253.0;3995.0;30.0;77.0;413.0;116.0;139.0;9.0;149.0;3061.0;702.0;5143.0;96.0;-6.0;2.0;5234.0
10;11 Extraction of crude petroleum and gas;2007;11.3;9.9;8.8;7.8;30193.0;29713.0;480.0;24897.0;19487.0;408.0;4.0;407.0;3.0;18182.0;9.0;18184.0;11.0;897.0;724.0;174.0;769.0;438.0;37.0;50.0;8.0;236.0;3839.0;22.0;79.0;498.0;106.0;75.0;8.0;224.0;2826.0;801.0;5296.0;26.0;0.0;34.0;5357.0
11;11 Extraction of crude petroleum and gas;2008;10.1;8.8;5.6;5.4;40599.0;40073.0;526.0;33419.0;25830.0;398.0;14.0;392.0;8.0;24653.0;12.0;24652.0;12.0;780.0;714.0;66.0;693.0;387.0;33.0;32.0;6.0;234.0;5906.0;42.0;75.0;292.0;288.0;51.0;9.0;272.0;4878.0;990.0;7180.0;0.0;4.0;989.0;8172.0
