ID;Geslacht;Woonvorm;Regio;AantalBewoners_1
0;Totaal mannen en vrouwen;Totaal alle woonvormen;Nederland;7935565
1;Totaal mannen en vrouwen;Totaal alle woonvormen;Groningen (provincie);392436
2;Totaal mannen en vrouwen;Totaal alle woonvormen;Friesland;399659
3;Totaal mannen en vrouwen;Totaal alle woonvormen;Drenthe;222432
4;Totaal mannen en vrouwen;Totaal alle woonvormen;Overijssel;520788
5;Totaal mannen en vrouwen;Totaal alle woonvormen;Gelderland;829293
6;Totaal mannen en vrouwen;Totaal alle woonvormen;Utrecht (provincie);406960
7;Totaal mannen en vrouwen;Totaal alle woonvormen;Noord-Holland;1509587
8;Totaal mannen en vrouwen;Totaal alle woonvormen;Zuid-Holland;1957578
9;Totaal mannen en vrouwen;Totaal alle woonvormen;Zeeland;247606
10;Totaal mannen en vrouwen;Totaal alle woonvormen;Noord-Brabant;898386
11;Totaal mannen en vrouwen;Totaal alle woonvormen;Limburg;550840
12;Totaal mannen en vrouwen;Totaal alle woonvormen;Gemeenten met meer dan 100000 inwoners;2161741
13;Totaal mannen en vrouwen;Totaal alle woonvormen;Gemeenten met 50001 - 100000 inwoners;794275
14;Totaal mannen en vrouwen;Totaal alle woonvormen;Gemeenten met 20001 - 50000 inwoners;909519
15;Totaal mannen en vrouwen;Totaal alle woonvormen;Gemeenten met 10001 - 20000 inwoners;1178525
16;Totaal mannen en vrouwen;Totaal alle woonvormen;Gemeenten met 5001 - 10000 inwoners;1206889
17;Totaal mannen en vrouwen;Totaal alle woonvormen;Gemeenten met 2001 - 5000 inwoners;1218855
18;Totaal mannen en vrouwen;Totaal alle woonvormen;Gemeenten met 1001 - 2000 inwoners;348525
19;Totaal mannen en vrouwen;Totaal alle woonvormen;Gemeenten met 501 - 1000 inwoners;106191
20;Totaal mannen en vrouwen;Totaal alle woonvormen;Gemeenten met 500 of minder inwoners;11045
21;Totaal mannen en vrouwen;Totaal alle woonvormen;"Adorp; totaal";1411
22;Totaal mannen en vrouwen;Totaal alle woonvormen;"Adorp; bewoonde oorden; Adorp";359
23;Totaal mannen en vrouwen;Totaal alle woonvormen;"Adorp; bewoonde oorden; Sauwerd";482
24;Totaal mannen en vrouwen;Totaal alle woonvormen;"Adorp; bewoonde oorden; Wetsinge";162
25;Totaal mannen en vrouwen;Totaal alle woonvormen;"Adorp; verspreide huizen; Arwerd";20
26;Totaal mannen en vrouwen;Totaal alle woonvormen;"Adorp; verspreide huizen; Hekkum";39
27;Totaal mannen en vrouwen;Totaal alle woonvormen;"Adorp; verspreide huizen; Wierum";16
28;Totaal mannen en vrouwen;Totaal alle woonvormen;"Adorp; verspreide huizen; Paddepoel";51
29;Totaal mannen en vrouwen;Totaal alle woonvormen;"Adorp; verspreide huizen; Harsens";31
30;Totaal mannen en vrouwen;Totaal alle woonvormen;"Adorp; overige verspreide huizen";251
31;Totaal mannen en vrouwen;Totaal alle woonvormen;"Aduard; totaal";2019
32;Totaal mannen en vrouwen;Totaal alle woonvormen;"Aduard; bewoonde oorden; Aduard";755
33;Totaal mannen en vrouwen;Totaal alle woonvormen;"Aduard; bewoonde oorden; den Ham";186
34;Totaal mannen en vrouwen;Totaal alle woonvormen;"Aduard; bewoonde oorden; Franssum";21
35;Totaal mannen en vrouwen;Totaal alle woonvormen;"Aduard; bewoonde oorden; den Horn";217
36;Totaal mannen en vrouwen;Totaal alle woonvormen;"Aduard; bewoonde oorden; Poffert";69
37;Totaal mannen en vrouwen;Totaal alle woonvormen;"Aduard; vh; Aan den Frieschenstraatweg";56
38;Totaal mannen en vrouwen;Totaal alle woonvormen;"Aduard; vh; In 't veld ""Lagemeeden""";90
39;Totaal mannen en vrouwen;Totaal alle woonvormen;"Aduard; vh; In 't veld ""Hoogemeeden""";85
40;Totaal mannen en vrouwen;Totaal alle woonvormen;"Aduard; overige verspreide huizen";540
41;Totaal mannen en vrouwen;Totaal alle woonvormen;"Appingedam; totaal";6488
42;Totaal mannen en vrouwen;Totaal alle woonvormen;"Appingedam; bo; Oude Mannenh.";9
43;Totaal mannen en vrouwen;Totaal alle woonvormen;"Appingedam; bo; Cornelis Albert Gasth.";8
44;Totaal mannen en vrouwen;Totaal alle woonvormen;"Appingedam; bo; Diac. Gasth. N.H. Kerk";5
45;Totaal mannen en vrouwen;Totaal alle woonvormen;"Appingedam; bo; Marech.kaz.";12
46;Totaal mannen en vrouwen;Totaal alle woonvormen;"Appingedam; bew. oorden; Appingedam, ov.";4719
47;Totaal mannen en vrouwen;Totaal alle woonvormen;"Appingedam; bewoonde oorden; Jukwerd";93
48;Totaal mannen en vrouwen;Totaal alle woonvormen;"Appingedam; bewoonde oorden; Marsum";69
49;Totaal mannen en vrouwen;Totaal alle woonvormen;"Appingedam; bewoonde oorden; Solwerd";285
50;Totaal mannen en vrouwen;Totaal alle woonvormen;"Appingedam; bewoonde oorden; Opwierde";714
51;Totaal mannen en vrouwen;Totaal alle woonvormen;"Appingedam; bewoonde oorden; Tjamsweer";216
52;Totaal mannen en vrouwen;Totaal alle woonvormen;"Appingedam; bewoonde oorden; Garreweer";51
53;Totaal mannen en vrouwen;Totaal alle woonvormen;"Appingedam; bewoonde oorden; Oling";41
54;Totaal mannen en vrouwen;Totaal alle woonvormen;"Appingedam; vh; Onder Stad-Appingedam";41
55;Totaal mannen en vrouwen;Totaal alle woonvormen;"Appingedam; vh; Onder Jukwerd";9
56;Totaal mannen en vrouwen;Totaal alle woonvormen;"Appingedam; vh; Onder Opwierde";54
57;Totaal mannen en vrouwen;Totaal alle woonvormen;"Appingedam; vh; Onder Tjamsweer";60
58;Totaal mannen en vrouwen;Totaal alle woonvormen;"Appingedam; verspr. huizen; Onder Oling";70
59;Totaal mannen en vrouwen;Totaal alle woonvormen;"Appingedam; vh; Onder Garreweer";32
60;Totaal mannen en vrouwen;Totaal alle woonvormen;"Baflo; totaal";2712
61;Totaal mannen en vrouwen;Totaal alle woonvormen;"Baflo; bewoonde oorden; Den Andel";636
62;Totaal mannen en vrouwen;Totaal alle woonvormen;"Baflo; bewoonde oorden; Baflo";1128
63;Totaal mannen en vrouwen;Totaal alle woonvormen;"Baflo; bewoonde oorden; Rasquert";252
64;Totaal mannen en vrouwen;Totaal alle woonvormen;"Baflo; bewoonde oorden; Saaxumhuizen";77
65;Totaal mannen en vrouwen;Totaal alle woonvormen;"Baflo; bewoonde oorden; Tinallinge";139
66;Totaal mannen en vrouwen;Totaal alle woonvormen;"Baflo; verspr. huizen; Onder Den Andel";132
67;Totaal mannen en vrouwen;Totaal alle woonvormen;"Baflo; verspreide huizen; Onder Baflo";103
68;Totaal mannen en vrouwen;Totaal alle woonvormen;"Baflo; verspreide huizen; Onder Rasquert";76
69;Totaal mannen en vrouwen;Totaal alle woonvormen;"Baflo; vh; Onder Saaxumhuizen";108
70;Totaal mannen en vrouwen;Totaal alle woonvormen;"Baflo; verspr. huizen; Onder Tinallinge";61
71;Totaal mannen en vrouwen;Totaal alle woonvormen;"Bedum; totaal";5890
72;Totaal mannen en vrouwen;Totaal alle woonvormen;"Bedum; bo; Burgerlijk Armhuis";15
73;Totaal mannen en vrouwen;Totaal alle woonvormen;"Bedum; bewoonde oorden; Bedum, ov.";2650
74;Totaal mannen en vrouwen;Totaal alle woonvormen;"Bedum; bewoonde oorden; Onderdendam";611
75;Totaal mannen en vrouwen;Totaal alle woonvormen;"Bedum; bewoonde oorden; Onderwierum";45
76;Totaal mannen en vrouwen;Totaal alle woonvormen;"Bedum; bewoonde oorden; Westerdijkshorn";127
77;Totaal mannen en vrouwen;Totaal alle woonvormen;"Bedum; bew. oorden; Sint-Annerhuisjes";97
78;Totaal mannen en vrouwen;Totaal alle woonvormen;"Bedum; bo; Ellerhuizen";260
79;Totaal mannen en vrouwen;Totaal alle woonvormen;"Bedum; bewoonde oorden; De Poel";74
80;Totaal mannen en vrouwen;Totaal alle woonvormen;"Bedum; bewoonde oorden; Noordwolde";151
81;Totaal mannen en vrouwen;Totaal alle woonvormen;"Bedum; bewoonde oorden; Zuidwolde";586
82;Totaal mannen en vrouwen;Totaal alle woonvormen;"Bedum; bewoonde oorden; Beijum";58
83;Totaal mannen en vrouwen;Totaal alle woonvormen;"Bedum; bo; Noorderhoogebrug (ged.)";189
84;Totaal mannen en vrouwen;Totaal alle woonvormen;"Bedum; vh; Buurtschap Ter Laan";108
85;Totaal mannen en vrouwen;Totaal alle woonvormen;"Bedum; verspr. huizen; Groep Plattenburg";18
86;Totaal mannen en vrouwen;Totaal alle woonvormen;"Bedum; verspr. huizen; In den Oostpolder";120
87;Totaal mannen en vrouwen;Totaal alle woonvormen;"Bedum; vh; Langs den Wolddijk";162
88;Totaal mannen en vrouwen;Totaal alle woonvormen;"Bedum; vh; In den Zuid-Westelijke polder";78
89;Totaal mannen en vrouwen;Totaal alle woonvormen;"Bedum; overige verspreide huizen";541
