ID;NECSectoren;EmissiesNaarLucht;Perioden;EmissiesNaarLucht_1
0;Totaal Stationaire en mobiele bronnen;Ammoniak (NH3);1990;346.6
1;Totaal Stationaire en mobiele bronnen;Ammoniak (NH3);1995;219.9
2;Totaal Stationaire en mobiele bronnen;Ammoniak (NH3);2000;174.9
3;Totaal Stationaire en mobiele bronnen;Ammoniak (NH3);2001;168.7
4;Totaal Stationaire en mobiele bronnen;Ammoniak (NH3);2002;161.3
5;Totaal Stationaire en mobiele bronnen;Ammoniak (NH3);2003;158.2
6;Totaal Stationaire en mobiele bronnen;Ammoniak (NH3);2004;157.9
7;Totaal Stationaire en mobiele bronnen;Ammoniak (NH3);2005;155.2
8;Totaal Stationaire en mobiele bronnen;Ammoniak (NH3);2006;158.0
9;Totaal Stationaire en mobiele bronnen;Ammoniak (NH3);2007;154.2
10;Totaal Stationaire en mobiele bronnen;Ammoniak (NH3);2008;141.6
11;Totaal Stationaire en mobiele bronnen;Ammoniak (NH3);2009;137.4
12;Totaal Stationaire en mobiele bronnen;Ammoniak (NH3);2010;134.4
13;Totaal Stationaire en mobiele bronnen;Ammoniak (NH3);2011;131.8
14;Totaal Stationaire en mobiele bronnen;Ammoniak (NH3);2012;127.7
15;Totaal Stationaire en mobiele bronnen;Ammoniak (NH3);2013;124.4
16;Totaal Stationaire en mobiele bronnen;Ammoniak (NH3);2014;128.0
17;Totaal Stationaire en mobiele bronnen;Ammoniak (NH3);2015;129.4
18;Totaal Stationaire en mobiele bronnen;Ammoniak (NH3);2016;130.8
19;Totaal Stationaire en mobiele bronnen;Ammoniak (NH3);2017;133.2
20;Totaal Stationaire en mobiele bronnen;Ammoniak (NH3);2018;131.7
21;Totaal Stationaire en mobiele bronnen;Ammoniak (NH3);2019;125.3
22;Totaal Stationaire en mobiele bronnen;Ammoniak (NH3);2020;124.6
23;Totaal Stationaire en mobiele bronnen;Ammoniak (NH3);2021;122.9
24;Totaal Stationaire en mobiele bronnen;Ammoniak (NH3);2022;120.4
25;Totaal Stationaire en mobiele bronnen;Ammoniak (NH3);2023;116.4
26;Totaal Stationaire en mobiele bronnen;Stikstofoxiden (NOx);1990;631.3
27;Totaal Stationaire en mobiele bronnen;Stikstofoxiden (NOx);1995;530.2
28;Totaal Stationaire en mobiele bronnen;Stikstofoxiden (NOx);2000;449.5
