ID;Kenmerken;Perioden;AantalBijstandsfraudezaken_1;TotaalBedragBijstandsfraude_2;GemiddeldBedragBijstandsfraude_3;AantalHuishoudensMetBijstandsfraude_4;GemiddeldBedragPerHuishAanFraude_5
0;Totaal geconstateerde bijstandsfraude;1e halfjaar 2002;21510;50.0;2325.0;19740;2535.0
1;Totaal geconstateerde bijstandsfraude;2e halfjaar 2002;22350;50.1;2240.0;19680;2545.0
2;Totaal geconstateerde bijstandsfraude;2002;43860;100.1;2280.0;39420;2540.0
3;Totaal geconstateerde bijstandsfraude;1e halfjaar 2003;17200;45.2;2625.0;15370;2935.0
4;Totaal geconstateerde bijstandsfraude;2e halfjaar 2003;23820;61.2;2570.0;20940;2925.0
5;Totaal geconstateerde bijstandsfraude;2003;41020;106.4;2595.0;36310;2930.0
6;Totaal geconstateerde bijstandsfraude;1e halfjaar 2004;22790;58.1;2550.0;20630;2815.0
7;Totaal geconstateerde bijstandsfraude;2e halfjaar 2004;18800;55.8;2970.0;16120;3465.0
8;Totaal geconstateerde bijstandsfraude;2004;41590;113.9;2740.0;36750;3100.0
9;Totaal geconstateerde bijstandsfraude;1e halfjaar 2005;16800;59.8;3560.0;14450;4140.0
10;Totaal geconstateerde bijstandsfraude;2e halfjaar 2005;18120;59.8;3300.0;15390;3885.0
11;Totaal geconstateerde bijstandsfraude;2005;34920;119.6;3425.0;29850;4005.0
12;Totaal geconstateerde bijstandsfraude;1e halfjaar 2006;16640;62.7;3765.0;14460;4335.0
13;Gemeenten <  5 000 inwoners;1e halfjaar 2002;0;0.0;0.0;0;0.0
14;Gemeenten <  5 000 inwoners;2e halfjaar 2002;0;0.0;0.0;0;0.0
15;Gemeenten <  5 000 inwoners;2002;10;0.0;0.0;10;0.0
16;Gemeenten <  5 000 inwoners;1e halfjaar 2003;10;0.0;0.0;10;0.0
17;Gemeenten <  5 000 inwoners;2e halfjaar 2003;10;0.0;0.0;10;0.0
18;Gemeenten <  5 000 inwoners;2003;10;0.0;0.0;10;0.0
19;Gemeenten <  5 000 inwoners;1e halfjaar 2004;0;0.0;0.0;0;0.0
20;Gemeenten <  5 000 inwoners;2e halfjaar 2004;0;0.0;0.0;0;0.0
21;Gemeenten <  5 000 inwoners;2004;10;0.0;0.0;10;0.0
22;Gemeenten <  5 000 inwoners;1e halfjaar 2005;0;0.0;0.0;0;0.0
23;Gemeenten <  5 000 inwoners;2e halfjaar 2005;0;0.0;;0;
24;Gemeenten <  5 000 inwoners;2005;10;0.0;0.0;10;0.0
25;Gemeenten <  5 000 inwoners;1e halfjaar 2006;0;0.0;0.0;0;0.0
26;Gemeenten  5 000-10 000 inwoners;1e halfjaar 2002;120;0.6;4585.0;110;5050.0
27;Gemeenten  5 000-10 000 inwoners;2e halfjaar 2002;110;0.3;2425.0;100;2650.0
28;Gemeenten  5 000-10 000 inwoners;2002;230;0.8;3575.0;210;3920.0
29;Gemeenten  5 000-10 000 inwoners;1e halfjaar 2003;110;0.3;3005.0;100;3410.0
30;Gemeenten  5 000-10 000 inwoners;2e halfjaar 2003;110;0.2;1645.0;90;1885.0
31;Gemeenten  5 000-10 000 inwoners;2003;220;0.5;2330.0;190;2660.0
32;Gemeenten  5 000-10 000 inwoners;1e halfjaar 2004;110;0.4;3365.0;90;3760.0
33;Gemeenten  5 000-10 000 inwoners;2e halfjaar 2004;80;0.3;3255.0;80;3335.0
34;Gemeenten  5 000-10 000 inwoners;2004;190;0.6;3315.0;170;3565.0
35;Gemeenten  5 000-10 000 inwoners;1e halfjaar 2005;60;0.4;5985.0;60;5995.0
36;Gemeenten  5 000-10 000 inwoners;2e halfjaar 2005;70;0.3;4520.0;60;4975.0
37;Gemeenten  5 000-10 000 inwoners;2005;130;0.7;5220.0;120;5485.0
38;Gemeenten  5 000-10 000 inwoners;1e halfjaar 2006;50;0.3;4940.0;50;5535.0
39;Gemeenten 10 000-20 000 inwoners;1e halfjaar 2002;660;1.5;2330.0;620;2485.0
40;Gemeenten 10 000-20 000 inwoners;2e halfjaar 2002;760;2.1;2765.0;690;3060.0
41;Gemeenten 10 000-20 000 inwoners;2002;1420;3.6;2565.0;1310;2790.0
42;Gemeenten 10 000-20 000 inwoners;1e halfjaar 2003;670;2.4;3580.0;620;3875.0
43;Gemeenten 10 000-20 000 inwoners;2e halfjaar 2003;870;3.1;3505.0;790;3860.0
44;Gemeenten 10 000-20 000 inwoners;2003;1540;5.5;3540.0;1410;3865.0
45;Gemeenten 10 000-20 000 inwoners;1e halfjaar 2004;550;1.5;2690.0;500;2935.0
46;Gemeenten 10 000-20 000 inwoners;2e halfjaar 2004;630;2.4;3780.0;560;4210.0
47;Gemeenten 10 000-20 000 inwoners;2004;1180;3.8;3270.0;1070;3605.0
48;Gemeenten 10 000-20 000 inwoners;1e halfjaar 2005;310;2.2;6930.0;290;7420.0
49;Gemeenten 10 000-20 000 inwoners;2e halfjaar 2005;390;1.8;4620.0;350;5210.0
50;Gemeenten 10 000-20 000 inwoners;2005;700;4.0;5640.0;640;6215.0
51;Gemeenten 10 000-20 000 inwoners;1e halfjaar 2006;370;1.9;5175.0;350;5375.0
52;Gemeenten 20 000-50 000 inwoners;1e halfjaar 2002;2460;6.7;2705.0;2240;2965.0
53;Gemeenten 20 000-50 000 inwoners;2e halfjaar 2002;2550;7.1;2800.0;2270;3140.0
